Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu3g12620,242,280,288,87,94,75
Afu2g11310,133,75,140,291,385,179
Afu5g13490,474,326,272,354,372,339
Afu6g10060,987,753,1000,586,641,538
Afu3g03140,193,274,175,151,283,132
Afu4g00120,1,2,4,4,5,3
Afu6g12430,511,328,450,242,281,234
Afu2g17210,7,7,10,10,5,9
Afu4g08530,446,285,462,400,435,222
Afu2g16160,697,458,608,830,566,658
Afu4g01500,8,5,13,29,33,15
Afu4g11800,520,737,232,1723,7390,1271
Afu7g05490,86,314,55,68,12,62
Afu2g16120,409,379,384,710,852,757
Afu4g11690,269,226,224,258,336,185
Afu5g08880,2,0,4,28,16,14
Afu4g09360,2363,4294,1196,5240,5208,7019
Afu6g10560,393,226,293,264,306,232
Afu5g08750,976,871,711,753,580,626
Afu1g07270,471,365,376,419,377,397
Afu4g11590,137,106,109,194,158,163
Afu4g10660,220,195,165,250,217,227
Afu2g11460,200,172,124,134,194,129
Afu3g03295,12,16,9,6,19,7
Afu8g01800,39,53,20,27,32,34
Afu5g00580,40,27,63,43,37,29
Afu5g11880,30,16,27,32,57,36
Afu4g08800,125,182,105,127,111,71
Afu3g14530,104,41,121,134,139,84
Afu4g02750,284,387,316,193,282,151
Afu6g06450,2264,1651,1715,1355,1488,1303
Afu4g08470,257,165,313,334,316,274
Afu8g06930,15,10,12,20,14,24
Afu4g12810,131,106,89,127,203,128
Afu5g08265,12,2,1,4,3,0
Afu5g03030,94,72,155,93,128,92
Afu2g01260,971,790,631,986,390,691
Afu7g00120,2,4,1,1,0,0
Afu5g02340,1,3,2,13,9,13
Afu3g07330,86,77,65,102,89,112
Afu2g15660,502,468,262,206,287,188
Afu5g03410,166,99,115,123,124,87
Afu6g12530,758,632,438,845,789,762
Afu4g13200,1104,1027,875,836,1012,627
Afu3g05370,2852,2507,2122,2459,2342,2151
Afu5g05830,2183,2087,1282,2547,2569,2467
Afu3g11940,175,97,154,190,230,136
Afu8g06280,0,0,0,1,0,0
Afu5g06030,162,87,92,318,581,281
Afu6g02490,89,53,74,90,104,79
Afu3g05380,525,386,410,581,527,499
Afu1g09970,637,601,477,1431,1445,1352
Afu3g14840,33,22,21,34,30,18
Afu4g11930,185,167,158,233,225,191
Afu4g05890,274,192,212,213,247,222
Afu3g06901,777,573,452,552,617,613
Afu1g14990,181,183,131,518,600,388
Afu8g01300,771,241,687,471,312,260
Afu7tP(CGG)2,0,0,0,1,0,0
Afu4g11810,217,98,141,74,49,94
Afu2g00310,593,337,642,534,675,375
Afu2g10640,526,280,593,513,419,308
Afu6g06330,433,277,250,349,317,461
Afu3g10940,601,480,748,433,433,414
Afu1g09520,89,48,65,102,112,103
Afu5g04350,111,61,136,151,187,112
Afu4g13830,2,3,4,29,42,18
Afu3g00100,14,5,11,15,26,9
Afu5g06760,206,121,208,212,298,131
Afu4g06850,636,569,401,266,159,190
Afu4g01480,1,2,1,0,0,0
Afu7g06050,614,547,439,417,320,264
Afu3g07350,578,386,489,747,752,476
Afu6g03010,379,168,299,358,511,290
Afu6g00300,1166,921,950,796,871,512
Afu2g17960,1,0,1,48,121,40
Afu7g05540,425,290,384,500,475,272
Afu8g04460,158,106,87,217,160,118
Afu5g13080,533,504,541,934,540,378
Afu1g16600,273,180,208,275,214,225
Afu2g13050,13,6,12,11,6,11
Afu1g12540,357,312,396,288,378,219
Afu3g14210,4,1,5,17,41,23
Afu5g05930,169,163,93,320,398,246
Afu4g09120,293,196,272,505,457,355
Afu3g02980,76,46,59,74,73,70
Afu2g03070,625,286,720,282,205,164
Afu1g03190,3,2,2,11,5,3
Afu2g10650,159,79,136,64,64,50
Afu6g11240,128,75,96,56,84,92
Afu3g01520,1,1,4,8,4,4
Afu2g13410,140,172,95,304,270,265
Afu2g11640,281,163,277,352,426,273
Afu3g10600,1075,521,939,482,375,422
Afu2g00790,949,336,905,267,78,349
Afu1g17520,142,94,92,121,159,110
Afu8g06920,383,223,359,361,391,261
Afu6g13550,3130,2717,1824,5852,6911,7557
Afu1g05220,355,186,230,205,216,245
Afu1g07100,436,297,307,376,435,445
Afu6g04780,506,379,494,400,385,404
Afu6g04940,650,441,698,550,628,254
Afu4g12440,246,200,109,142,106,118
Afu8g04320,641,600,497,550,457,469
Afu4g11570,265,193,278,434,314,217
Afu2g10300,3026,3215,1735,4006,4272,5686
Afu8g04810,671,543,511,589,569,424
Afu5g07360,186,110,109,137,106,139
Afu2g12660,1,0,0,1,2,1
Afu4g10630,39,43,37,89,95,93
Afu6g12040,84,77,66,16,10,9
Afu4g02990,507,291,438,377,458,239
Afu7g04811,216,187,188,103,81,106
Afu6g04770,22,36,25,62,47,76
Afu2g12710,14,15,20,29,28,22
Afu2g02390,64,58,46,109,97,118
Afu7g05015,146,105,150,107,295,131
Afu1g09150,249,150,216,224,268,216
Afu4g14560,15,14,12,9,36,7
Afu6g13990,323,187,181,221,382,182
Afu3g12530,2953,2211,2046,1833,1652,1335
Afu2g16280,88,71,77,154,174,79
Afu4g07450,4,8,1,5,8,5
Afu3g09940,462,332,300,388,355,385
Afu4g13940,332,140,391,183,118,118
Afu2g02690,2000,1296,2043,1677,1450,943
Afu6g10500,183,162,120,334,267,278
Afu1g01740,946,788,723,1115,1527,1136
Afu8g04200,181,117,163,77,119,63
Afu3g10760,285,90,210,126,39,118
Afu3g10080,310,184,321,338,532,264
Afu4g01510,193,119,326,137,132,62
Afu2g13590,4313,2898,4474,2289,1250,1941
Afu3g01960,365,87,262,25,9,39
Afu6g10990,2013,1668,1250,2093,1912,2237
Afu1g04660,3007,3205,1750,4656,5721,5577
Afu1g06290,256,186,178,441,451,294
Afu1g16420,14,5,16,20,34,8
