,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00003099,106,699,316,114,246,2754,241,350,185,1816,303,110
CADAFUBG00003100,470,517,807,381,862,1734,751,1135,1124,1512,1172,429
CADAFUBG00003101,5,0,2,1,2,3,3,6,1,6,1,3
CADAFUBG00003102,11,5,12,13,23,32,11,38,13,30,15,10
CADAFUBG00003103,12,17,32,7,25,34,37,19,14,22,38,16
CADAFUBG00003104,112,639,1589,285,258,1443,1475,1301,246,718,1282,226
CADAFUBG00003105,127,50,202,85,276,211,192,373,107,82,144,88
CADAFUBG00003106,17,2,11,14,21,6,12,40,9,10,15,16
CADAFUBG00003107,9,3,25,11,27,9,25,55,21,5,21,31
CADAFUBG00003108,75,21,58,60,183,98,57,246,88,59,63,59
CADAFUBG00003109,391,620,2704,239,719,960,2422,1259,433,523,1779,288
CADAFUBG00003110,1817,1020,1591,1403,3085,2666,1813,3996,1830,1401,1904,1125
CADAFUBG00003111,886,441,861,412,1390,975,935,1385,859,461,895,527
CADAFUBG00003112,365,196,419,387,735,470,493,1289,400,344,509,382
