,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00000328,1256,1114,1758,957,1879,1963,1848,2344
CADAFUBG00000329,3523,2740,7930,3721,1961,2829,6367,6335
CADAFUBG00000330,1038,1006,1303,560,1527,1569,1659,2026
CADAFUBG00000331,1049,915,1268,2214,1191,722,937,1143
CADAFUBG00000332,466,412,582,363,594,492,777,846
CADAFUBG00000333,4225,3346,872,847,1017,463,52,48
CADAFUBG00000334,257,208,105,76,83,64,4,5
CADAFUBG00000335,2002,1532,1722,1069,682,561,638,684
CADAFUBG00000336,6263,4913,4582,2937,3875,3230,2800,3084
CADAFUBG00000337,1206,1237,1484,867,1445,1297,715,882
CADAFUBG00000338,2404,2068,3126,1597,5162,7287,4680,6756
CADAFUBG00000339,1124,1270,1447,918,655,249,417,134
CADAFUBG00000340,1275,1318,1550,670,1551,1438,1300,1422
CADAFUBG00000341,1337,1132,1305,1429,1217,717,962,1122
CADAFUBG00000342,1024,932,703,389,1756,2336,2050,2693
CADAFUBG00000343,1004,905,988,318,836,654,388,479
CADAFUBG00000344,40126,31314,53654,26188,25548,16141,26387,27093
CADAFUBG00000345,1040,931,984,850,1010,788,648,827
CADAFUBG00000346,4426,4433,4347,3004,5688,3754,2791,3322
CADAFUBG00000347,1213,1049,1209,1839,1601,1257,996,1203
CADAFUBG00000348,1798,2009,2295,1168,2036,1580,1581,1565
CADAFUBG00000349,1388,1475,1532,625,1687,1235,1744,1725
CADAFUBG00000350,1403,703,1028,1324,1510,865,256,648
CADAFUBG00000351,11834,11261,14349,8310,19337,15762,18137,18449
CADAFUBG00000352,18111,17611,17949,28365,7418,3894,2374,2448
CADAFUBG00000353,1378,1274,1194,794,1310,916,1222,1228
CADAFUBG00000354,935,906,1163,695,1048,876,882,988
CADAFUBG00000355,310,248,285,191,293,264,182,211
CADAFUBG00000356,4278,2287,2695,4366,829,425,1075,565
CADAFUBG00000357,22,23,20,17,36,7,29,29
CADAFUBG00000358,56,34,57,36,88,82,105,74
