,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_1070007,5,5,2,7,10,47,35,179,258,2,66,9,1,1,17,1,5
BN165_1070009,4,1,3,14,10,1,1327,99,271,1,90,1,3,1,1,1,6
BN165_1070010,1,21,1,1,3,1,1058,39,263,1,429,2,3,1,13,1,12
BN165_1070011,5,6,4,1,4,1,1923,1966,474,1,367,1,3,1,10,1,9
BN165_1070012,1,4,1,1,6,1,98,17,410,3,294,2,3,19,118,1,5
BN165_1070013,2,1,3,1,1,1,114,288,7,3,74,2,3,18,138,1,54
BN165_1070014,1,26,6,1,4,3,8,4,11,10,70,6,3,9,52,1,65
BN165_1070015,1,10,1,5,4,2,3,26,7,4,6,3,3,1,111,23,20
BN165_1070016,1,10,7,4,4,4,1,78,13,11,6,19,2,2,52,8,61
BN165_1070017,1,30,2,11,1,27,2,58,14,53,7,1,2,10,57,9,17
BN165_1070018,2,4,1,3,3,65,3,63,14,123,221,8,3,10,63,3,21
BN165_1070019,1,5,3,22,2,3,3,27,10,11,37,10,9,45,106,1,26
BN165_1070020,1,26,1,62,2,7,3,25,42,2,40,12,5,23,183,2,43
BN165_1070021,1,11,4,374,5,6,8,29,1,5,29,7,1,24,1,2,12
BN165_1080002,3,34,1,19,1,113,9,14,17,9,883,6,1,6,3,2,70
BN165_1080003,15,2,1,1,1,189,3,76,18,15,927,1,1,5,4,1,1
BN165_1080006,3,10,2,2,1,16,161,445,19,15,814,1,1,2,1,13,8
BN165_1080007,13,10,1,11,1,21,513,27,15,8,126,21,1,2,2,1,24
BN165_1080008,47,5,1,18,6,27,2082,49,18,56,91,121,1,1,3,1,22
BN165_1080009,3,44,3,14,6,27,260,27,4,14,5,121,56,13,21,7,1
BN165_1080010,2,15,1,11,10,12,232,18,8,4,3,163,8,8,21,5,2
BN165_1080011,3,5,1,113,10,96,246,45,46,15,2,171,139,13,18,1,5
BN165_1080012,1,1,1,72,18,261,303,17,227,128,2,79,1,6,2,1,4
BN165_1080013,1,2,1,31,21,4,304,733,227,5,7,244,1,26,6,1,2
BN165_1080014,3,2,1,133,1,60,245,13,301,733,3,3,1,1,33,5,1
BN165_1080015,1,1,1,21,1,1,630,47,371,410,3,4,1,1,13,1,3
BN165_1080016,1,1,1,417,1,2,9,7,275,1053,8,117,1,1,5,1,15
BN165_1080017,1,2,1,218,1,1,12,32,435,358,9,117,1,1,22,4,5
BN165_1080018,1,1,1,436,2,1,1,7,7,232,4,1,2,1,70,8,2
BN165_1080019,1,1,1,126,4,7,1,7,8,1188,187,1,2,1,58,1,7
BN165_1080020,1,1,1,144,2,3,1,7,276,107,289,38,1,1,7,1,30
BN165_1080021,1,2,1,378,3,11,1,76,276,64,2454,68,1,2,3,54,18
BN165_1080022,5,1,1,161,1,4,18,1,1,184,287,22,2,2,2,69,2
BN165_1080023,14,1,1,164,1,12,34,1,15,75,289,7,1,2,6,3,1
BN165_1080024,1,11,1,220,8,1,2,1,34,53,377,14,2,2,7,7,1
BN165_1080025,1,6,1,75,14,6,1,3,34,65,459,8,1,9,6,18,1
BN165_1080026,18,10,1,28,18,1,3,31,4,184,300,27,2,9,1,6,2
BN165_1080027,1,61,1,88,25,1,2,1,1,181,272,28,2,9,2,2,3
BN165_1080028,5,4,1,395,20,17,1,8188,24,137,554,1,3,9,35,23,1
BN165_1080029,4,2,1,347,61,10,1,66,1,39,13,22,6,9,29,162,1
BN165_1080030,3,4,1,426,1,21,2,301,4,30,11,1,1,9,3307,2,1
BN165_1080031,1,183,1,85,22,8,4,2,6,2,1,1,1,9,4271,2,11
BN165_1080032,2,1,1,102,41,37,5,2,36,3,1,1,1,1,6846,20,8
BN165_1080033,4,1,1,2,38,76,166,20,23,8,1,1,1,26,4732,1730,819
BN165_1080034,3,230,1,2,34,67,22,1,5,189,1,1,1,18,5320,1730,1251
BN165_1080035,41,25,1,18,20,45,9,1,4,22,15,1,1,1,8850,9,2199
BN165_1080036,1,38,1,234,3,107,13,12,5,26,32,1,1,1,10695,9,1417
BN165_1080037,1,30,1,19,14,86,19,38,6,16,4,1,36,1,9849,9,1442
BN165_1080038,1,32,89,21,11,34,27,56,5,546,4,1,2,3,66,9,2625
BN165_1080039,1,18,1,11,1,15,42,30,7,703,14,1,1,1,1366,9,2978
BN165_1080040,1,13,1,612,69,674,32,35,20,472,4,1,1,1,13,9,2536
