,media_1,media_2,media_3,Cpmedia_1,Cpmedia_2,Cpmedia_3
CDR20291_0707,68.42484707,62.8364164,79.86710416,61.90986465,74.79283685,84.38944148
CDR20291_0708,182.6560462,146.3891278,227.3056918,156.5918589,189.8417639,159.7634963
CDR20291_0709,193.1696993,172.3293592,214.0778171,179.019136,207.3932314,220.0741675
CDR20291_0710,2286.96885,2386.052382,2201.512774,2856.106379,3720.813851,2936.699636
CDR20291_0711,6189.374919,6361.419447,6053.966598,7857.763329,9710.790321,7724.093967
CDR20291_0712,21129.30949,20788.77316,19598.34216,29191.32346,32253.87776,31050.52411
CDR20291_0713,126.4292354,136.4726458,128.0477418,126.9241686,113.2796812,103.2152476
CDR20291_0714,1291.142929,1179.30486,2117.065221,1801.472608,1115.395778,910.1540865
CDR20291_0715,1626.520173,1685.307344,2007.809948,1897.431384,1323.9464,1196.696836
CDR20291_0716,6411.934622,6257.46673,5824.001452,6290.360566,3791.100535,5281.408433
CDR20291_0717,1510.33828,1271.203247,1203.478789,1183.258032,779.2513829,1033.308265
CDR20291_0718,680.6441856,596.771571,579.8311377,843.4387532,1194.441929,1000.689722
CDR20291_0719,2907.368047,3367.77724,3143.149111,4444.092099,4626.139322,4776.257822
CDR20291_0720,1975.67647,2399.842482,2242.948842,3123.056599,3151.181201,3662.807078
CDR20291_0721,1294.963752,1558.187358,1553.590964,2490.459095,2344.879384,2545.788761
CDR20291_0722,290.4185911,381.846238,383.6912354,400.6256549,514.300234,490.05063
CDR20291_0723,31.00983619,17.63260835,27.23148966,11.62674859,24.73861795,24.57728418
CDR20291_0724,10.35628308,18.7113105,19.02701841,9.577381032,7.032990166,4.719214019
CDR20291_0725,2543.746167,3107.184083,2894.755934,7029.688273,5852.056569,7051.272891
CDR20291_0726,7062.493895,8236.204864,7458.738851,11968.50223,9685.30657,11955.28581
CDR20291_0727,1442.644384,1349.763565,1169.760124,1757.301475,1963.511048,1897.748374
CDR20291_0728,6.225572445,18.78045356,43.56925683,11.59942351,15.9491629,29.20304699
CDR20291_0729,40.156413,50.51913388,66.21996302,24.82467629,39.64918758,31.53929048
CDR20291_0730,58.8921321,112.46147,126.6006762,54.07599871,74.69646168,64.76069216
CDR20291_0731,19.17830083,22.90164462,63.27253969,1.379907843,8.449826975,9.344976267
CDR20291_0732,30.53775923,51.4319162,65.67775916,30.94546295,32.25234154,25.69868084
CDR20291_0733,51.63387615,57.30942833,70.82186841,48.6383371,49.81783083,62.42445
CDR20291_0734,40.24492607,63.47739418,90.66142925,51.07025296,55.09288087,52.07487622
CDR20291_0735,23.48604692,50.06278342,74.26979031,33.47301502,45.83705977,28.03493073
CDR20291_0736,108.8737542,96.40542981,106.163255,93.43751496,83.4972918,54.64475036
CDR20291_0737,280.7408126,258.5676541,298.9209081,288.5921005,222.4475348,239.721916
CDR20291_0738,3241.203751,3022.708203,3334.024522,3639.107616,3622.028041,3542.160822
CDR20291_0739,127.0067532,81.81850663,109.37271,89.43068367,100.2499009,88.47604552
CDR20291_0740,704.8673647,919.8488461,944.6597637,734.4548526,555.1458341,712.7374891
CDR20291_0741,946.7725053,1084.268993,1081.931166,837.0906193,755.9945375,715.0077157
CDR20291_0742,5481.006005,5356.032502,5154.629431,4298.474403,4762.434383,4217.960882
CDR20291_0743,3480.848962,3767.148005,3623.101481,4908.494897,4662.67772,5125.475013
CDR20291_0744,1363.580351,1410.716133,1383.571993,1899.677758,2020.842962,2024.956218
CDR20291_0745,2006.404815,1721.436203,1695.412954,1931.044908,2313.584377,1719.286192
CDR20291_0746,354.532973,239.4439212,290.0025951,303.2109406,513.2550119,423.8182786
CDR20291_0747,5749.102352,5401.704485,6073.569764,4657.076934,3933.353131,3458.805085
CDR20291_0748,7585.039615,6787.045643,5436.468222,4127.578678,3874.92051,3566.951786
CDR20291_0749,5507.309607,4800.80293,3613.882789,3179.876456,3590.820945,3362.088533
CDR20291_0750,2674.239572,2264.178524,2099.526089,2553.819773,3525.362752,2990.240899
CDR20291_0751,3255.17412,2757.648764,2529.534148,3125.289241,4071.317448,3656.1917
CDR20291_0752,575.315289,476.3420167,477.8874266,418.0941364,706.9184572,557.7620628
CDR20291_0753,433.7698593,425.3813581,435.7276938,350.4308555,546.8521423,427.784678
