,D240-01,D240-02,D240-03,BHISG-01,BHISG-02,BHISG-03
CD630_19790,785,201,542,29,11,10
CD630_19800,357,104,240,5,6,2
CD630_19801,212,94,121,10,3,3
CD630_19810,9,0,40,0,0,0
CD630_19820,1,1,1,0,0,0
CD630_198201,6,2,4,0,0,0
CD630_19840,165,37,70,2,2,1
CD630_19850,270,56,137,1,1,2
CD630_19860,4013,1185,2758,11,8,6
CD630_19870,719,258,1424,1,0,0
CD630_19871,0,0,0,0,0,0
CD630_19880,1300,310,965,5,2,0
CD630_19890,1,0,4,0,3,0
CD630_19900,53,10,21,0,0,0
CD630_19901,1,2,1,0,0,0
CD630_199011,1,0,0,0,0,0
CD630_19902,27335,13194,18988,8,4,1
CD630_19903,16,0,21,1,1,0
CD630_19904,184,86,116,60,28,28
CD630_19910,21,2,16,0,0,0
CD630_19920,96,22,114,0,1,0
CD630_19921,32,8,15,2,1,1
CD630_19930,80,26,59,5,4,4
CD630_19940,91,8,52,2,0,0
CD630_19941,96,24,72,3,1,0
CD630_19942,489,111,308,0,1,1
CD630_19950,1717,416,1133,4,4,2
CD630_19960,2701,769,1981,4,2,2
CD630_19970,59795,30002,30209,167,77,133
CD630_19980,27697,15339,14938,70,28,39
CD630_19981,0,0,0,0,0,0
CD630_19990,876,746,2897,584,119,891
CD630_20000,30,13,17,0,0,0
CD630_20010,0,0,2,0,0,0
CD630_20020,21,27,13,1,0,1
CD630_20021,10,8,4,0,1,1
CD630_20030,60,31,36,2,0,0
CD630_20040,1066,854,888,876,772,433
CD630_20050,73,39,56,0,0,0
CD630_20051,35,8,9,0,0,0
CD630_20052,168,104,112,2,2,0
CD630_20060,10,7,8,0,1,1
CD630_20061,5,4,4,0,0,1
CD630_20070,53,13,25,5,1,0
CD630_20071,0,0,0,0,0,0
CD630_20080,0,0,0,0,0,0
CD630_20090,4,1,1,0,0,0
CD630_20091,6,5,2,1,0,0
CD630_20100,35,14,23,3,0,0
CD630_20101,4,2,4,1,0,0
CD630_20102,2,0,1,0,1,0
CD630_20103,0,0,1,0,0,0
CD630_201031,0,0,0,1,0,1
CD630_20120,419,63,229,3,3,5
CD630_20130,224,47,148,4,1,1
CD630_20131,0,0,0,0,0,0
CD630_20140,73,25,101,7,6,1
CD630_20141,5,5,6,0,0,0
CD630_20150,7,1,6,0,0,0
CD630_20160,60,6,29,0,0,0
CD630_20170,107,23,94,0,0,0
CD630_20171,200,54,97,4,4,4
CD630_20180,293,22,56,0,0,0
CD630_20190,24,3,11,1,0,0
CD630_20200,72863,22107,8627,4501,2323,1837
CD630_20210,3377,273,437,39,10,9
CD630_20220,2241,231,250,22,5,8
CD630_20230,48,20,11,2,0,1
CD630_20240,77,18,16,10,4,4
CD630_20250,2,1,1,0,0,0
CD630_20260,128,12,37,4,4,0
CD630_20270,378,89,143,8,4,2
CD630_20280,288,59,82,6,2,2
CD630_20290,4415,1313,1802,56,26,34
CD630_20300,48,7,24,1,2,1
CD630_20310,54,15,19,0,0,0
CD630_20320,35,8,7,0,0,0
CD630_20330,92,17,30,0,0,0
CD630_20340,142,28,35,0,0,0
CD630_20350,3,0,4,0,0,0
CD630_20360,40,9,27,0,0,0
CD630_20370,5,2,9,0,0,0
CD630_20380,6,2,12,0,0,1
CD630_20390,1,3,6,0,0,0
CD630_20400,928,143,426,1,1,0
CD630_20410,67,25,61,0,0,0
CD630_20420,510,120,306,2,4,1
CD630_20430,400,233,366,0,0,3
CD630_20431,1,0,0,0,0,0
CD630_20432,0,1,0,0,0,0
CD630_20440,22,3,15,1,0,0
CD630_20450,262,79,174,1,1,3
CD630_20451,3,0,1,0,0,0
CD630_20460,1970,350,998,5,3,5
CD630_20470,12,3,14,0,0,0
CD630_20480,2180,868,1537,196,156,93
CD630_20490,174,71,151,5,5,5
CD630_20500,182,65,136,3,2,3
CD630_20510,3,0,3,0,1,0
CD630_20520,880,324,441,21,12,5
CD630_20530,2985,580,2353,29,7,11
CD630_20540,1205,313,738,14,10,5
CD630_20541,1859,1596,291,4,2,3
CD630_20550,27,3,23,0,0,0
CD630_20560,7193,2580,5246,28,17,10
CD630_20570,1812,291,1080,2,1,1
CD630_20580,614,93,501,4,1,1
CD630_20590,6616,1651,3833,99,82,22
CD630_20600,1693,314,1737,101,43,38
CD630_20610,1200,296,963,89,48,43
CD630_20620,3198,590,1636,5,5,4
CD630_20630,2816,785,1793,5,4,1
CD630_20640,33,14,13,31,17,19
CD630_20650,364,77,358,10,6,4
CD630_20660,186,26,94,3,4,2
CD630_20670,658,223,560,5,0,8
CD630_20680,13987,3328,10255,121,58,68
CD630_20690,4999,1351,2579,62,27,22
CD630_20700,630,157,395,7,2,0
CD630_20710,775,178,480,0,1,4
CD630_20720,2838,682,1666,8,3,4
CD630_20730,449,118,261,70,29,28
CD630_20740,26,1,10,2,0,0
CD630_20750,28,12,34,7,0,4
CD630_20751,17,8,11,2,1,1
CD630_20760,1287,395,1111,30,23,9
CD630_20770,77,12,36,0,3,0
CD630_20780,37,9,25,0,3,0
CD630_20790,74,12,60,8,1,2
CD630_20800,8,3,10,1,0,0
CD630_20810,7,2,4,0,0,0
CD630_20820,22,9,29,2,1,1
CD630_20830,31,6,31,1,0,0
CD630_20840,59,16,56,5,9,3
CD630_20850,39,4,28,5,1,0
CD630_20860,40,13,19,3,1,2
CD630_20870,170,25,90,2,2,1
CD630_20880,27,8,13,0,0,0
CD630_20890,58,15,57,1,3,2
CD630_20900,77,15,53,0,0,0
CD630_20910,114,50,102,2,0,0
CD630_20920,2456,1025,1257,74,42,27
CD630_20930,362,60,127,0,0,0
CD630_20940,1134,363,494,3,1,8
CD630_20950,319,51,158,0,0,2
CD630_20960,356,99,174,0,2,0
CD630_20970,396,89,224,0,1,0
CD630_20980,285,23,240,5,4,4
CD630_20990,4731,908,3319,88,61,37
CD630_21000,671,163,442,4,1,1
CD630_21010,590,126,391,3,3,6
CD630_21020,2645,788,1642,33,21,20
CD630_21021,15,1,4,1,0,0
CD630_21030,666,134,394,10,5,10
CD630_21040,24,4,21,10,3,1
CD630_21050,15,11,42,23,11,12
CD630_21060,448,83,243,4,8,6
CD630_21070,16097,9434,10616,30,17,15
CD630_21080,867,277,467,6,2,2
CD630_21090,275,30,207,0,0,0
CD630_21100,248,111,120,22,18,11
CD630_21110,282,52,148,1,3,2
CD630_21120,30,8,27,6,2,1
CD630_21130,479,155,545,13,2,1
CD630_21140,317,91,321,5,2,2
CD630_21150,2442,1074,2593,43,16,23
CD630_21151,5264,6031,1453,23,20,5
CD630_21152,0,0,1,0,0,0
CD630_21160,53952,12523,39583,92,63,52
CD630_21170,3787,1874,2378,60,19,31
CD630_21180,53,16,63,19,4,3
CD630_21190,113,37,178,35,15,10
CD630_21200,10402,4292,4900,216,126,83
CD630_21210,34,13,51,0,0,0
CD630_21220,1709,483,1046,9,9,3
CD630_21230,2451,486,1444,14,9,14
CD630_21240,1266,226,763,8,7,3
CD630_21241,1,0,1,0,0,0
CD630_21250,257,76,113,2,2,1
CD630_21251,38,3,11,0,0,0
CD630_21260,260,80,140,2,1,0
CD630_21261,0,0,0,0,0,0
CD630_21270,1994,582,1130,597,354,321
CD630_21280,404,132,275,17,6,4
CD630_21290,3694,1250,2602,82,44,37
CD630_21300,1928,551,1815,54,31,17
CD630_21320,147,44,70,6,4,3
CD630_21330,208,42,76,0,0,0
CD630_21340,757,110,552,0,0,3
CD630_21341,48,8,51,0,0,0
CD630_21350,3214,1075,3761,43,27,18
CD630_21360,7803,2778,9768,69,41,47
CD630_21361,1343,213,1423,18,8,8
CD630_21370,5512,1758,5613,153,80,92
CD630_21380,6986,2129,7198,125,50,64
CD630_21390,32140,12667,23235,311,125,150
CD630_21400,24381,9398,16508,301,167,133
CD630_21410,90,23,170,0,0,0
CD630_21420,64,29,115,1,0,0
CD630_21430,40,12,47,0,0,0
CD630_21440,3,1,0,0,0,0
CD630_21450,2758,613,2293,30,16,11
CD630_21460,2202,637,2082,5,6,3
CD630_21480,2003,221,1586,2,2,2
CD630_21490,61201,11298,38599,153,83,80
CD630_21500,47,13,12,0,0,0
CD630_21501,23,7,8,0,0,0
CD630_21510,29,24,22,17,8,11
CD630_21520,6,4,6,39,27,15
CD630_21530,632,109,254,30,16,11
CD630_21540,2371,441,1337,88,52,56
CD630_21550,2233,381,1303,82,65,50
CD630_21560,1096,161,790,66,55,31
CD630_21570,509,92,251,20,12,9
CD630_21580,731,528,1363,350,280,220
CD630_21590,33,7,42,0,0,0
CD630_21600,4,0,6,0,0,0
CD630_21610,15,1,5,0,0,0
CD630_21620,195,53,154,8,4,6
CD630_21630,449,152,270,21,8,5
CD630_21631,8,2,11,0,0,0
CD630_21640,121,53,87,15,10,5
CD630_21650,1896,337,1271,6,4,1
CD630_21660,5311,1720,3445,217,61,55
CD630_21670,66,14,113,7,1,0
CD630_21680,2275,2775,15009,3531,57,242
CD630_21690,527,545,2123,146,2,10
CD630_21700,1277,591,381,7,1,2
CD630_21710,24,12,70,4,4,4
CD630_217101,128,39,434,125,65,56
CD630_21720,42,14,179,4,3,5
CD630_21730,36,15,252,3,1,1
CD630_21740,104,55,570,44,15,13
CD630_21750,48,26,354,19,12,8
CD630_21760,57,23,422,24,3,8
CD630_21770,133,64,840,44,14,13
CD630_21780,60,10,54,3,2,1
CD630_21790,369,104,271,242,79,79
CD630_21800,493,59,213,7,1,3
CD630_21810,361,121,243,68,52,35
CD630_21820,91,20,65,0,0,0
CD630_21830,211,61,142,0,1,0
CD630_21840,119,53,90,3,0,0
CD630_21850,12,2,7,0,0,0
CD630_21860,1,1,0,0,0,0
CD630_21870,239,52,323,5,5,2
CD630_21880,547,134,374,20,6,11
CD630_21890,130,42,122,5,1,1
CD630_21900,401,165,339,7,1,4
CD630_21910,64,16,42,2,1,1
CD630_21920,40,13,28,1,0,1
CD630_21930,914,352,606,26,18,26
CD630_21940,385,51,171,1,2,0
CD630_21950,1051,485,533,70,61,54
CD630_21960,108,31,69,6,2,1
CD630_21970,24,1,13,0,1,1
CD630_21980,21,9,11,1,0,1
CD630_21990,23,6,19,5,1,1
CD630_21991,2,2,4,0,0,0
CD630_22000,22,5,20,1,4,0
CD630_22010,10,5,17,0,0,0
CD630_22020,774,126,329,4,4,1
CD630_22030,788,124,342,5,0,0
CD630_22040,346,92,205,3,3,6
CD630_22050,1402,197,767,16,9,2
CD630_22060,409,80,247,8,2,4
CD630_22070,133,23,104,0,1,1
CD630_22080,270,45,165,5,3,1
CD630_22090,4623,977,2466,30,13,7
CD630_22100,1494,311,3050,47,36,26
CD630_22110,914,193,2366,26,16,20
CD630_22120,226,49,315,2,1,0
CD630_22121,1,0,0,0,0,0
CD630_22130,188,53,52,3,4,0
CD630_22140,586,285,663,12,5,16
CD630_22150,277,62,516,8,3,6
CD630_22160,653,61,326,0,0,0
CD630_22170,177,60,171,3,3,2
CD630_22180,2,0,0,0,0,1
CD630_22190,3,0,4,0,0,0
CD630_22200,663,247,660,180,78,123
CD630_22210,322,112,159,5,0,1
CD630_22220,277,73,156,6,14,3
CD630_22221,75,25,39,1,2,0
CD630_22222,105,24,68,2,2,1
CD630_22230,0,1,0,0,0,0
CD630_22240,0,0,0,0,0,0
CD630_22241,5,3,8,0,0,0
CD630_22242,6,0,11,0,0,0
CD630_22250,426,167,260,9,4,1
CD630_22260,542,108,359,8,9,2
CD630_22270,2087,449,1359,52,16,20
CD630_22280,2180,637,1523,29,12,11
CD630_22290,178,53,101,1,0,0
CD630_22300,19,7,16,0,0,0
CD630_22310,11,2,2,1,0,0
CD630_22320,3,2,0,0,0,1
CD630_22330,14,3,9,0,0,0
CD630_22340,381,42,188,2,0,1
CD630_22350,668,82,285,1,0,0
CD630_22360,309,52,110,2,0,1
CD630_22370,263,10,118,0,1,0
CD630_22380,434,6,231,0,0,0
CD630_22390,6276,26,2242,12,5,7
CD630_22400,1974,12,671,2,0,1
CD630_22410,1087,6,362,4,2,0
CD630_22420,468,49,292,4,0,0
CD630_22430,379,24,223,0,0,0
CD630_22440,1224,158,844,2,0,1
CD630_22450,4801,1266,2581,45,31,23
CD630_22451,15,7,11,1,0,1
CD630_22460,60,9,67,3,3,0
CD630_22470,114,28,103,2,1,1
CD630_22480,202,45,124,12,4,4
CD630_22490,114,32,95,8,0,1
CD630_22500,412,102,216,2,1,1
CD630_22510,7181,1077,5103,30,12,19
CD630_22520,5898,1732,1103,20,26,10
CD630_22530,3969,853,685,2,4,1
CD630_22540,415,186,67,1,2,1
CD630_22550,3678,836,2534,31,15,16
CD630_22560,130,95,44,2,0,0
CD630_22580,452,108,169,8,10,8
CD630_22590,137,42,64,13,4,5
CD630_22600,3582,1286,1794,17,14,8
CD630_22610,1016,203,370,98,75,43
CD630_22620,203,55,152,44,38,23
CD630_22630,1726,486,1244,44,13,33
CD630_22640,207,30,161,0,0,1
CD630_22650,209,24,450,0,1,0
CD630_22660,2602,248,3862,5,3,4
CD630_22670,315,14,396,0,0,0
CD630_226701,42,3,60,0,0,0
CD630_22690,23934,3319,29909,20,9,17
CD630_22700,6906,776,8870,3,1,0
CD630_22710,367,47,306,9,2,0
CD630_22720,100,25,68,4,2,2
CD630_22730,1057,264,586,5,1,0
CD630_22740,436,90,355,8,1,0
CD630_22750,937,291,696,15,7,3
CD630_22760,1868,1133,1918,2,1,1
CD630_22770,30,10,17,4,2,2
CD630_22780,10,6,6,0,0,0
CD630_22790,15,5,5,1,0,0
CD630_22800,134,43,74,0,1,1
CD630_22810,10,3,1,0,0,0
CD630_22820,1,1,4,0,0,0
CD630_22830,29,5,18,2,0,0
CD630_22840,35,6,13,0,0,0
CD630_22841,6,0,4,0,0,0
CD630_22850,436,98,243,3,4,1
CD630_22860,12,0,6,0,0,0
CD630_22870,1,0,1,0,0,0
CD630_22880,1251,184,2664,8,4,3
CD630_22890,358,33,1356,2,0,2
CD630_22900,41,23,32,0,0,0
CD630_22910,28,12,10,0,0,0
CD630_22920,2,2,5,0,0,0
CD630_22930,22,9,19,0,0,0
CD630_22940,36,4,14,0,0,0
CD630_22950,115,14,60,1,0,0
CD630_22951,50,57,51,3,1,1
CD630_22952,1,3,2,0,0,0
CD630_22960,40,9,43,0,0,0
CD630_22970,31,8,27,2,0,2
CD630_22980,35,9,18,7,1,5
CD630_22990,24,4,18,0,0,0
CD630_22991,136,91,53,0,0,0
CD630_23000,858,329,552,5,3,1
CD630_23010,215,31,91,1,0,0
CD630_23011,9,3,5,0,0,0
CD630_23020,177,50,157,12,3,5
CD630_23021,0,0,0,0,0,0
CD630_23030,4,1,7,0,0,0
CD630_23040,0,0,0,0,0,0
CD630_23050,2169,991,1124,8,2,6
CD630_23051,1,0,0,0,0,0
CD630_23052,10,1,4,0,0,0
CD630_23060,2,0,0,0,0,0
CD630_23070,608,172,250,6,0,0
CD630_23080,426,145,233,3,0,1
CD630_23090,712,188,701,137,52,40
CD630_23100,36137,13133,24643,13,5,4
CD630_23110,2515,706,3218,5,4,0
CD630_23120,656,134,1081,1,1,2
CD630_23130,371,89,653,0,0,0
CD630_23140,517,115,1094,1,0,0
CD630_23150,46,8,110,0,0,0
CD630_23160,53,22,76,2,0,1
CD630_23170,28,8,40,0,1,1
CD630_23180,1086,282,773,69,35,25
CD630_23190,456,131,256,11,10,4
CD630_23200,155,68,116,6,4,0
CD630_23210,5758,1111,2853,146,111,77
CD630_23220,3142,575,1560,79,35,56
CD630_23230,9,7,12,1,0,4
CD630_23240,4,5,8,3,2,1
CD630_23250,76,25,81,3,1,2
CD630_23260,18,5,12,1,0,0
CD630_23270,27,4,39,0,1,0
CD630_23280,1928,390,1249,28,16,6
CD630_23290,4361,1699,2109,37,24,20
CD630_23300,1506,304,635,4,2,2
CD630_23310,4787,566,6202,14,8,4
CD630_23320,1483,210,1635,3,0,1
CD630_23330,3904,452,4745,7,3,2
CD630_23340,4563,822,4711,5,5,6
CD630_23350,7652,1788,4523,83,39,19
CD630_23360,4499,1656,2804,52,34,25
CD630_23370,942,200,669,10,7,6
CD630_23380,379,130,332,2477,1193,773
CD630_23390,306,83,250,4025,1641,1487
CD630_23400,44,9,26,729,278,224
CD630_23410,272,78,239,6707,2951,1437
CD630_23420,80,32,88,3303,1313,1041
CD630_23430,99,37,89,2738,1325,932
CD630_23440,57,43,90,3072,779,605
CD630_23450,20,1,13,3,2,0
CD630_23460,41,6,20,7,4,3
CD630_23470,159,82,98,332,173,313
CD630_23480,118,28,123,42,36,15
CD630_23490,86,17,102,10,6,2
CD630_23510,90,15,174,20,21,11
CD630_23520,27,2,36,6,5,1
CD630_23540,59,9,57,13,10,5
CD630_23550,15,6,10,4,2,3
CD630_23560,45,9,29,5,2,6
CD630_23570,25,6,12,2,3,2
CD630_23580,229,27,62,1,1,2
CD630_23590,307,51,53,9,7,4
CD630_23591,7,3,20,0,3,0
CD630_23600,23,4,33,5,1,3
CD630_23610,122,33,173,22,18,10
CD630_23620,22,5,37,7,7,3
CD630_236201,44,26,60,70,28,23
CD630_23630,18,11,40,64,42,24
CD630_23640,0,1,10,1,1,1
CD630_23650,98,66,150,183,96,63
CD630_23660,10,4,39,19,12,11
CD630_23670,32,6,120,17,24,7
CD630_23680,2,0,14,3,0,0
CD630_23690,26,27,111,45,27,17
CD630_23700,85,47,81,0,1,2
CD630_23710,120,35,81,2,0,1
CD630_23720,100,36,76,3,2,0
CD630_23730,98,41,109,9,9,6
CD630_23740,7,3,12,0,0,0
CD630_23750,15,2,7,1,0,0
CD630_23760,1008,127,565,10,4,2
CD630_23770,625,162,347,34,5,21
CD630_23780,428,179,283,10,2,5
CD630_23790,814,232,501,203,104,79
CD630_23800,46,9,100,65,33,15
CD630_23810,100,17,240,208,94,72
CD630_23820,77,8,134,176,58,43
CD630_23830,1479,280,1031,31,15,15
CD630_23840,716,62,316,0,0,3
CD630_23850,295,19,98,0,1,0
CD630_23860,40,1,9,0,0,0
CD630_23861,12,1,16,0,0,0
CD630_23870,203,73,177,4,2,3
CD630_23880,2275,978,1533,102,50,31
CD630_23890,493,64,293,8,10,4
CD630_23900,834,314,409,29,25,14
CD630_23910,7,0,3,0,0,0
CD630_23920,423,84,227,6,0,2
CD630_23930,3113,606,1676,23,18,13
CD630_23940,203,11,86,4,1,0
CD630_23950,4,0,3,0,0,0
CD630_23960,213,66,55,50,10,23
CD630_23970,340,51,152,8,2,1
CD630_23980,760,182,316,14,5,12
CD630_23990,0,0,1,0,0,0
CD630_24000,1,0,7,0,0,0
CD630_24010,8,9,23,0,0,0
CD630_24020,455,106,290,12,6,10
CD630_24030,351,130,170,27,8,13
CD630_24040,841,191,524,18,12,13
CD630_24050,124,29,68,1,1,1
CD630_24060,161,40,225,25,16,18
CD630_24070,330,107,602,60,44,25
CD630_24080,120,28,278,27,12,4
CD630_24090,57,63,137,1,1,0
CD630_24100,4768,5859,11014,156,91,82
CD630_24110,1081,1726,2775,90,53,43
CD630_24120,776,1696,1859,60,42,30
CD630_24130,52,16,33,9,4,2
CD630_24140,6,4,8,0,0,2
CD630_24150,5,0,2,0,0,0
CD630_24160,19,3,5,0,0,0
CD630_24170,18,7,21,2,1,0
CD630_24180,6,4,3,0,0,0
CD630_24190,236,78,206,0,0,1
CD630_24200,8,1,6,1,0,0
CD630_24210,173,46,108,6,0,2
CD630_24220,65,14,52,2,7,2
CD630_24230,31,15,30,0,1,1
CD630_24240,9,0,13,0,0,0
CD630_24250,4,3,8,4,0,1
CD630_24260,10,5,9,4,0,0
CD630_24270,31,2,30,2,0,0
CD630_24280,60,7,42,2,2,0
CD630_24290,50,17,47,3,3,2
CD630_24291,2,1,4,0,0,0
CD630_24300,1159,317,435,26,10,12
CD630_24310,13,5,8,0,0,0
CD630_24320,11233,2650,10742,200,154,104
CD630_24330,4744,1680,4228,72,28,26
CD630_24340,3725,1221,2767,129,53,45
CD630_24350,965,152,550,0,2,1
CD630_24351,549,67,332,1,0,1
CD630_24360,5402,1374,3711,52,27,24
CD630_24370,3136,799,2244,35,20,21
CD630_24380,1609,556,982,22,16,7
CD630_24390,861,263,657,5,7,4
CD630_24400,665,164,646,9,4,2
CD630_24411,1048,239,1232,23,11,9
CD630_24420,589,152,625,8,7,8
CD630_24430,0,0,0,0,0,0
CD630_24440,140,47,81,87,20,42
CD630_24450,15,0,18,0,0,0
CD630_24460,44019,19646,29491,658,374,353
CD630_24461,18695,6763,9341,341,144,199
CD630_24470,2213,514,2109,185,96,104
CD630_24480,5472,1533,4044,111,48,40
CD630_24490,1835,497,1426,36,13,18
CD630_24500,3966,1868,1903,39,23,15
CD630_24510,1090,132,408,7,6,6
CD630_24520,455,59,201,5,1,1
CD630_24530,743,237,281,25,21,7
CD630_24540,254,42,76,2,0,2
CD630_24550,173,41,71,2,2,1
CD630_24560,111,20,43,9,4,3
CD630_24570,12,5,5,0,0,0
CD630_24580,739,136,398,9,15,4
CD630_24590,322,55,155,14,2,5
CD630_24591,1746,1656,1683,149,123,64
CD630_24600,3568,1362,919,1292,574,546
CD630_24610,16381,6393,3016,9302,5133,3999
CD630_24620,1985,1404,354,996,555,376
CD630_24630,2400,1189,448,689,421,235
CD630_24640,346,78,291,4,2,3
CD630_24650,1219,302,1071,67,51,29
CD630_24660,510,123,471,9,6,7
CD630_24670,10915,2119,5945,90,71,54
CD630_24680,6,1,6,0,0,0
CD630_24690,90,28,31,2,2,1
CD630_24700,13,3,4,0,0,1
CD630_24710,554,130,152,22,15,9
CD630_24720,202,40,62,9,6,7
CD630_24730,14106,7617,4930,60,34,42
CD630_24740,575,97,371,0,1,2
CD630_24750,74,10,45,0,0,0
CD630_24760,4227,1638,3736,92,45,34
CD630_24770,6519,2068,7652,88,12,24
CD630_24780,3,2,5,0,0,0
CD630_24790,11264,7319,9548,18,20,8
CD630_24800,279,176,212,30,28,12
CD630_24810,540,127,257,18,11,3
CD630_24820,139,35,65,1,0,1
CD630_24830,417,105,251,4,4,1
CD630_24840,358,49,248,0,5,1
CD630_24850,180,38,121,2,1,0
CD630_24860,1314,197,741,11,7,1
CD630_24870,243,34,174,1,0,0
CD630_24880,277,45,172,1,1,0
CD630_24890,1103,97,688,2,2,0
CD630_24900,127,13,66,1,0,0
CD630_24910,951,211,519,14,14,11
CD630_24920,1899,372,1501,24,15,13
CD630_24930,1986,453,1578,37,27,28
CD630_24950,1403,268,1183,34,19,17
CD630_24960,1674,471,1229,29,15,10
CD630_24970,1,0,6,0,1,0
CD630_24980,3129,845,1740,30,10,15
CD630_24990,74,88,132,273,183,143
CD630_25000,893,238,372,5,3,4
CD630_25010,800,242,472,25,9,2
CD630_25020,217,120,433,58,51,30
CD630_25030,3345,781,4851,12,7,7
CD630_25040,1140,553,4982,5,1,5
CD630_25050,66,6,85,0,1,1
CD630_25060,295,129,415,32,33,18
CD630_25070,551,84,343,28,12,9
CD630_25080,527,67,268,21,13,6
CD630_25090,93,21,155,23,9,9
CD630_25100,60,18,82,23,14,15
CD630_25110,24,8,21,1,0,2
CD630_25120,40,27,74,5,1,3
CD630_25130,8679,5286,8192,748,453,310
CD630_25140,5906,1292,3584,305,173,155
CD630_25150,128,35,133,53,29,13
CD630_25160,3940,1125,1693,71,81,36
CD630_25170,357,89,403,1,0,0
CD630_25171,1945,4335,1027,167,91,45
CD630_25180,152,45,127,38,25,20
CD630_25190,242,62,161,13,13,11
CD630_25200,103,33,50,25,29,14
CD630_25201,59,20,19,7,7,5
CD630_25210,613,217,600,54,35,24
CD630_25220,2571,981,1235,21,13,6
CD630_25230,758,256,452,12,12,2
CD630_25240,522,184,295,6,4,4
CD630_25250,138,10,124,2,2,0
CD630_25260,3450,911,3443,70,55,25
CD630_25270,6014,1934,3746,48,55,35
CD630_25280,3987,999,1707,11,8,6
CD630_25290,716,85,411,1,1,1
CD630_25300,4302,210,2377,14,2,9
CD630_25310,3905,764,1948,66,32,33
CD630_25320,4863,931,2232,91,34,50
CD630_25330,547,151,459,5,0,1
CD630_25340,179,60,122,0,1,1
CD630_25350,136,25,73,0,1,0
CD630_25360,99,53,75,1,1,1
CD630_25370,1381,516,1576,5,5,5
CD630_25380,648,245,921,6,1,4
CD630_25390,1374,477,514,9,4,3
CD630_25400,12275,4040,10043,163,74,101
CD630_25410,24634,9517,12705,137,104,52
CD630_25420,868,147,554,2,1,1
CD630_25430,866,208,606,6,0,3
CD630_25440,601,85,451,3,3,1
CD630_25450,2380,772,1633,14,7,8
CD630_25460,451,140,232,9,4,8
CD630_25470,1331,364,4061,112,73,85
CD630_25480,418,103,1300,18,10,12
CD630_25490,348,127,1159,12,8,9
CD630_25500,1297,636,3624,160,67,113
CD630_25510,1,1,1,0,0,0
CD630_25520,167,46,137,5,3,1
CD630_25530,285,93,247,101,33,32
CD630_255301,0,0,0,0,0,0
CD630_25531,693,190,635,12,3,5
CD630_25540,21,5,11,0,1,0
CD630_25550,4,5,12,1,0,0
CD630_25560,33,14,46,2,1,2
CD630_25570,1030,312,841,49,22,15
CD630_25580,505,73,491,17,7,7
CD630_25590,501,81,431,12,4,6
CD630_25600,3236,700,2811,64,34,27
CD630_25610,10390,2836,6478,194,113,77
CD630_25620,910,274,498,13,6,11
CD630_25621,9283,6326,3411,66,34,46
CD630_25622,7,4,4,0,0,0
CD630_25630,4,0,4,0,0,0
CD630_25640,68,40,176,0,3,6
CD630_25650,44,5,34,0,0,0
CD630_25660,4,1,1,0,0,0
CD630_25670,4,1,4,0,0,0
CD630_25680,26,10,17,1,2,0
CD630_25690,23,6,21,0,1,0
CD630_25700,152,20,112,2,3,0
CD630_25710,46,10,32,3,0,1
CD630_25720,948,326,497,65,54,35
CD630_25730,193,29,118,2,0,0
CD630_25740,1434,248,1059,21,15,21
CD630_25750,1717,319,1107,39,28,24
CD630_25760,1454,281,1013,31,6,10
CD630_25770,316,57,300,10,4,3
CD630_25780,3181,737,3009,202,79,115
CD630_25790,1445,301,1258,38,15,18
CD630_25800,1567,328,1507,40,19,30
CD630_25810,1352,237,1488,11,14,6
CD630_25820,5930,1285,4558,132,89,54
CD630_25830,1190,229,1203,44,12,10
CD630_25840,4254,1248,3744,101,56,49
CD630_25850,960,348,857,16,4,15
CD630_25860,2734,718,2390,26,17,15
CD630_25870,3856,890,3312,76,38,34
CD630_25871,678,165,564,19,6,8
CD630_25880,1279,500,1076,19,12,12
CD630_25890,1068,216,997,12,2,9
CD630_25900,1162,508,869,13,1,5
CD630_25910,1524,367,1204,193,134,115
CD630_25920,1627,396,958,8,10,8
CD630_25930,1289,335,743,0,0,3
CD630_25940,1828,644,950,8,3,3
CD630_25950,1150,385,682,2,1,1
CD630_25960,1437,319,781,11,9,4
CD630_25970,229,14,124,0,0,0
CD630_25980,21,8,20,6,1,2
CD630_25990,5,1,6,2,1,1
CD630_26000,847,255,793,799,320,354
CD630_26010,89,18,75,3,0,1
CD630_26020,208,54,126,8,6,4
CD630_26030,167,18,52,0,1,0
CD630_26040,15,0,4,0,0,0
CD630_260401,3,0,1,1,0,0
CD630_26050,108,57,36,8,8,4
CD630_260501,10,5,2,1,0,0
CD630_260502,28,3,10,2,1,0
CD630_260503,45,7,24,0,0,1
CD630_260504,84,7,50,4,0,2
CD630_26100,2568,551,1579,21,26,13
CD630_26110,1019,269,632,5,3,1
CD630_26120,131,16,44,98,72,52
CD630_26130,260,56,92,240,180,111
CD630_26140,2485,957,1160,14,11,4
CD630_26150,760,103,456,0,0,1
CD630_26160,1411,1045,967,151,70,83
CD630_26170,70,14,61,0,1,0
CD630_26180,5722,1265,4969,146,119,68
CD630_26190,2909,987,1894,213,99,72
CD630_26200,2237,404,1662,40,19,29
CD630_26210,786,92,719,12,5,7
CD630_26220,2279,683,1769,49,38,20
CD630_26230,3716,1361,2772,90,70,46
CD630_26240,189,6,105,0,1,0
CD630_26250,66,26,69,13,6,3
CD630_26260,1471,793,889,18,14,20
