geneid,X15_OFF_1,X15_OFF_2,X15_OFF_3,X15_ON_1,X15_ON_2,X15_ON_3
DLJ98_07425,1774,4473,3116,3723,2140,3280
DLJ98_07435,23829,54855,41903,53091,33097,50801
DLJ98_07445,2562,5920,4466,5635,3607,5767
DLJ98_07450,8414,17536,13839,22453,14051,20814
DLJ98_07455,855,1972,1478,1421,891,1577
DLJ98_07460,678,1862,1382,1329,930,1382
DLJ98_07465,1210,2809,1984,2394,1552,2331
DLJ98_07470,3952,8969,6783,6562,4274,7225
DLJ98_07475,3044,6940,5577,6195,3746,5725
DLJ98_07485,7315,16755,12941,19952,12678,19880
DLJ98_07490,471,1217,866,887,584,958
DLJ98_07495,3938,8840,6787,7987,4765,7848
DLJ98_07500,12107,29671,21575,23686,14804,23972
DLJ98_07520,150,344,275,373,235,389
DLJ98_07525,440,1114,795,838,573,1082
DLJ98_07530,483,1243,901,796,592,703
DLJ98_07535,17100,42427,30492,41672,26836,44833
DLJ98_07540,3257,7891,5919,10474,6374,10128
DLJ98_07545,1258,3102,2287,4088,2589,4229
DLJ98_07550,730,1828,1248,2175,1467,2009
DLJ98_07555,428,1193,771,1378,817,1352
DLJ98_07570,31126,72928,55482,107382,69683,110565
DLJ98_07575,32857,77806,59013,105600,64913,102510
DLJ98_07580,13537,31224,23502,36194,22468,35673
DLJ98_07590,205,533,402,504,292,407
DLJ98_07605,7399,16109,12612,16880,10423,16288
DLJ98_07615,974,2480,1717,1008,578,736
DLJ98_07630,43526,97806,74838,17357,10870,17021
DLJ98_07640,1270,3005,2230,2106,1344,1822
DLJ98_07645,983,2639,1877,2530,1516,2410
DLJ98_07655,3026,7260,5405,4549,2853,4047
DLJ98_07660,2153,8356,3733,25336,15222,5999
DLJ98_07665,283,734,561,804,527,1039
DLJ98_07670,398,1005,804,1091,661,1201
DLJ98_07675,8786,37823,17270,68491,47315,19410
DLJ98_07685,81,188,137,216,131,192
DLJ98_07690,4119,10581,7317,8710,5231,8743
DLJ98_07695,2584,6164,4561,5702,3477,5642
DLJ98_07700,2638,6367,4608,6206,3861,6919
DLJ98_07710,1703,3975,3214,3709,2114,3384
DLJ98_07730,4336,9187,7106,8099,5227,8222
DLJ98_07745,1315,3238,2299,2665,1802,3258
DLJ98_07750,25486,53004,41393,61263,38204,58847
