geneid,Off1,On1,On2,Off3,On3,Off2
723_01874,3783,3660,3610,4123,3580,3876
723_01875,2092,1918,1869,2270,1828,2113
abgA,2566,4694,4930,2673,4787,2718
accA,21857,21695,22887,23666,22505,23884
accB,17098,18968,20158,18199,20104,18148
accC,43015,40233,41246,45444,40486,45416
accD,21717,22493,23147,23336,23467,23097
aceE,342302,334726,345804,358820,338783,349967
aceF,201762,197871,205698,213347,204195,206101
ackA,106171,131067,134700,110806,134563,110192
acpP,50698,42050,44382,54027,43251,54141
adhR,2668,3136,3355,2808,3425,2793
adk,15859,18662,19489,16547,18996,17028
alaS,168986,191341,201310,179861,197224,178242
alr,12622,15991,16360,13139,16147,13312
amiB,6801,8956,9493,7195,9187,7200
ampD,1023,1150,1125,1093,1167,1105
ampG,11037,13879,14515,11935,14142,11269
apaH,4857,4777,5057,4876,5022,4950
apbE,49378,56615,59252,51843,58109,51237
aphA,161,269,322,145,306,144
apt,24953,22893,23990,27152,24012,26395
arcA,10933,19971,20522,11432,20704,11579
arcB_1,3690,1213,1152,3978,1212,3945
arcB_2,3340,3370,3667,3598,3664,3477
arcC1,3443,1109,1144,3661,1056,3638
arfA,142,122,150,167,133,179
argG,51226,66107,68079,53171,67843,53306
argH,17009,19515,20055,17845,20415,17780
argR,1140,1178,1277,1230,1217,1230
argS,24264,27009,27799,25770,27661,25500
aroA,6524,6292,6460,6903,6674,7093
aroB,22040,17957,18365,22922,17883,22615
aroC,28030,25585,26094,29341,25584,29177
aroE,3900,4774,4906,4161,4859,4297
aroG,14701,14414,15224,15758,14841,15337
aroK,7883,7928,8255,8178,8131,8429
aroQ,4626,4790,5055,4945,4968,5031
artI,52690,53252,54972,55485,54467,55989
artM,20712,22198,23845,21658,23157,20987
artP,29601,20133,20765,31563,20990,32271
artQ,28354,28372,29830,29273,29644,29837
ascD,658,570,640,623,616,629
asd,9794,11243,11436,10534,11385,10341
asnA,6463,7971,8328,6672,8389,6666
asnC,5347,5905,5950,5639,5899,5667
asnS,51548,60129,62516,54339,61813,53892
aspA,55156,203713,211882,58168,210689,58146
aspC,8405,11097,11505,8838,11280,8943
aspS,48602,52115,54431,52102,54202,50514
atoA,166,213,243,129,233,147
atoD,108,214,223,123,194,118
atoE,403,608,655,469,567,451
atpA,108665,106060,110454,115023,108777,112573
atpB,27475,32947,34489,28238,33460,28297
atpC,23893,19049,20026,25366,19741,25976
