,Gal.1,Gal.2,Glc.1,Glc.2,NAG.1,NAG.2,Fru.1,Fru.2
GXM22_RS01025,554.8784856,569.4207188,429.671218,508.8730697,163.2888146,164.6722685,172.6626025,307.9106397
GXM22_RS01030,487.2342886,710.1673654,630.8230303,464.9342304,4212.851418,3455.350037,1975.561913,1440.415303
GXM22_RS01035,45.09613134,36.19199484,34.20949188,43.93883935,31.40169512,27.67601151,43.58473462,75.81133174
GXM22_RS01040,1034.269969,1115.517708,1182.280039,1278.313675,943.9349554,844.1183511,719.1481212,1003.042235
GXM22_RS01045,81.36910655,78.01385554,54.73518701,79.70301092,51.49878,51.20062129,43.58473462,89.80726991
GXM22_RS01050,0.980350681,0,0,2.043666947,0,0,8.381679734,3.498984542
GXM22_RS01055,4.901753407,0,5.473518701,8.174667787,8.164440732,4.151401726,46.09923854,31.49086088
GXM22_RS01060,0.980350681,1.608533104,1.368379675,1.021833473,6.908372927,1.383800575,15.9251915,10.49695363
GXM22_RS01065,19.60701363,16.88959759,23.26245448,17.37116905,24.4933222,24.90841036,55.31908625,68.81336266
GXM22_RS01070,214.6967992,303.2084901,454.3020522,532.3752396,361.1194939,325.1931352,661.314531,878.24512
GXM22_RS01075,2173.43746,2131.306363,2214.038314,2224.531471,1401.77167,1480.666616,1699.80465,1697.007503
GXM22_RS01080,1958.740661,1981.712784,2030.675438,2159.134129,1441.337806,1480.666616,1719.082513,1384.43155
GXM22_RS01085,2414.603728,2561.588968,2562.975132,2767.125046,1874.053165,2050.792453,2164.149707,1810.141336
GXM22_RS01090,1688.163873,1711.479223,1620.161535,1743.247905,1305.054449,1482.050416,1747.580225,1551.21648
GXM22_RS01095,220.5789033,273.4506277,280.5178334,297.3535407,258.1219339,254.6193059,183.5587862,201.7747752
GXM22_RS01100,151.9543556,160.8533104,142.3114862,126.7073507,199.714781,238.013699,233.8488646,290.415717
GXM22_RS01105,770.5556355,797.028153,842.9218799,965.6326323,1391.723128,1706.22611,1604.253501,1701.672816
GXM22_RS01110,1676.399665,1654.376297,1971.835112,2173.439798,2834.945036,3384.776208,3986.326882,3662.270487
GXM22_RS01115,796.0447532,997.2905244,1064.599387,1114.820319,1744.050147,1779.56754,1867.438245,1897.61595
GXM22_RS01120,1051.916281,1138.037171,1397.115648,1315.09968,2062.463336,2000.975632,2843.903934,2290.668547
GXM22_RS01125,1235.241858,1317.388612,1564.057969,1660.479394,2487.642288,2649.978102,3387.874949,3002.128737
GXM22_RS01130,4578.237682,5289.661112,6588.748136,6493.751723,10333.66983,10404.79653,12056.20813,10568.09964
GXM22_RS01135,2481.267574,2971.764909,3548.208498,3569.264322,5629.695902,6149.609757,6658.406381,5893.456297
GXM22_RS01140,3619.454715,4273.068191,4934.377109,5027.420689,8096.613071,8356.771675,8965.882812,7875.047876
GXM22_RS01145,532.33042,581.4847171,707.4522921,664.1917577,1109.107872,1072.445446,1291.616847,1280.628342
