,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG0545,2445,3751,3340,4266,3685,2938
PG0546,167,219,193,293,220,219
PG0547,5612,7255,6034,8245,7092,4945
PG0548,5093,6695,5230,7746,7725,7362
PG0549,1470,2039,1902,2340,1862,1921
PG0553,5553,6853,6507,8217,7337,9438
PG0554,611,1076,807,411,406,315
PG0555,6851,11718,8201,5303,5102,4057
PG0556,1547,3299,3167,3348,3402,2084
PG0557,1330,2822,2694,2828,2561,1476
PG0558,1903,2993,2765,3952,3534,2349
PG0559,868,1176,987,1393,1290,1319
PG0560,142,207,214,227,229,210
PG0561,1754,2583,1979,3030,2767,2849
PG0562,738,1313,1282,1706,1623,1181
PG0563,587,1096,1107,1098,946,696
PG0564,259,532,560,603,597,307
PG0565,1336,2775,3028,3338,3291,1814
PG0566,2367,3719,2599,4886,4664,4632
PG0568,1116,1492,1149,2249,1899,2335
PG0569,252,451,388,566,565,509
PG0571,1853,2265,1815,3015,2604,4002
PG0572,131,149,128,176,177,236
PG0573,1406,2026,1443,2455,2331,2896
PG0574,976,1782,1458,3644,3448,2168
PG0575,3009,4535,3498,5345,4954,5553
PG0576,4826,7079,5827,9429,8711,7788
PG0577,3543,4721,3465,5812,4705,5962
PG0578,4250,6064,4844,7026,6013,6075
PG0579,3334,4641,3809,5616,5037,5108
PG0580,1222,1542,1267,1957,1717,2000
PG0581,1903,2793,2344,3855,3457,3090
PG0582,723,1031,800,1212,1147,1343
PG0583,4536,6633,5633,8227,7213,6888
PG0584,2764,4882,4166,7881,8018,5241
PG0585,2344,2474,1984,2168,1629,2439
PG0587,750,912,669,1298,1036,1202
PG0588,1163,1984,1519,2895,2899,2512
PG0589,2618,4329,3404,5873,5593,4694
PG0590,104,168,153,205,170,140
PG0591,379,619,572,738,668,644
predicted RNA,397,857,830,1165,1209,523
PG0592,7129,16468,15906,22501,23801,10691
PG0593,11187,17601,14591,17066,15933,14863
PG0594,5585,6620,5077,9226,8267,10270
PG0595,9264,11037,7324,10938,8072,11821
PG0596,8730,11021,7608,11164,8175,10816
PG0597,19545,29112,22516,30672,25850,24522
PG0598,1400,1755,1414,2584,2246,2842
PG0599,3285,5133,3884,6653,6151,5805
PG0602,1704,2568,2089,3146,2716,2978
PG0603,997,1602,1373,1682,1468,1620
PG0604,736,1034,918,1095,1094,1084
PG0605,818,1488,1218,2209,2127,1554
PG0606,1245,2410,2294,4274,4089,2259
