id,MS2contr_R1,MS2contr_R2,MS2RsaI_R1,MS2RsaI_R2,MS2RsaI_R3,MS2RsaImut2_R1,MS2RsaImut4_R1
HG001_02275,1324,3694,862,921,1770,1399,988
HG001_01449,74,70,28,30,56,53,67
HG001_00750,8732,1302,2565,4814,1150,1185,1219
HG001_01256,62,188,23,24,145,165,112
HG001_01692,713,120,330,317,92,121,90
HG001_01425,422,178,208,190,124,140,92
HG001_02276,2157,3520,1431,1403,1606,1657,1341
HG001_00265,161,440,80,107,244,288,162
HG001_01258,277,266,117,154,181,226,140
HG001_00389,45679,95346,19949,61969,23661,49267,26980
HG001_02289,61,28,22,24,22,69,37
HG001_00365,5191,1433,2188,2577,976,1281,827
HG001_02121,765,725,415,328,403,480,296
HG001_00174,1660,1862,993,694,925,2007,679
HG001_01462,90,29,30,28,24,20,32
HG001_02118,807,559,327,364,385,394,337
HG001_02232,29,65,11,26,18,32,21
HG001_00819,22,153,14,16,51,57,36
HG001_00364,112,48,31,43,31,57,24
HG001_00176,1126,1768,498,314,957,1873,763
HG001_02120,1252,937,515,571,488,653,515
HG001_02119,678,842,250,251,458,544,485
HG001_01574,258,287,85,134,131,78,102
HG001_00175,1198,1335,568,445,532,1447,440
HG001_00177,1672,1745,563,595,948,1615,653
