,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_01319,13800,16629,1867,3634,2673,3318
SAOUHSC_01320,46015,86820,12644,14649,12622,13233
SAOUHSC_01321,41067,52659,5999,17023,12230,15130
SAOUHSC_01322,33238,43411,3166,11175,8705,8708
SAOUHSC_01323,29838,33081,3557,12271,8486,8842
SAOUHSC_01324,2525,2463,159,1416,1277,1001
SAOUHSC_01325,1,9,0,2,0,4
SAOUHSC_01326,24518,34057,5416,6798,5651,5199
SAOUHSC_00134,249,321,15,139,148,89
SAOUHSC_01327,75808,92650,23796,29606,26364,17477
SAOUHSC_01328,18767,30592,3400,25319,21410,15600
SAOUHSC_01329,950,1094,43,10349,6104,6090
SAOUHSC_01330,1644,1236,129,4791,3930,4124
SAOUHSC_01331,43,43,3,94,71,111
SAOUHSC_01332,4075,3897,290,5788,4829,5107
SAOUHSC_01333,29137,30055,4756,35586,27514,28025
SAOUHSC_01334,2079,2408,102,19122,14120,14894
SAOUHSC_01336,1603,2188,182,4787,2944,4163
SAOUHSC_01337,61942,66177,22909,94507,69595,69607
SAOUHSC_00135,274,335,114,1524,855,966
SAOUHSC_01338,4415,6143,331,6644,5411,5258
SAOUHSC_01339,3,7,1,18,15,13
SAOUHSC_01340,1877,1818,85,2557,2109,2013
SAOUHSC_01341,514,593,53,2447,1716,2162
SAOUHSC_01342,2454,2767,458,11375,6196,10188
SAOUHSC_01343,324,261,52,1505,754,1260
SAOUHSC_01344,15628,20568,872,9642,5882,7881
SAOUHSC_01346,8183,6748,1548,13169,10490,12194
SAOUHSC_01347,18814,21630,4417,14431,12554,9052
SAOUHSC_01348,3132,3339,253,4745,3361,3994
SAOUHSC_00136,118,109,17,557,317,334
SAOUHSC_01349,2965,3308,640,1755,1409,1265
SAOUHSC_01350,9066,7337,1641,3536,2564,2350
SAOUHSC_01351,9851,12040,3613,14021,11735,11528
SAOUHSC_01352,15174,16905,2641,24840,19158,22261
SAOUHSC_01353,923,2433,65,478,375,658
SAOUHSC_01354,14175,13739,6702,11847,10019,9622
SAOUHSC_01356,3789,4050,211,1125,839,651
SAOUHSC_01357,568,788,13,151,92,99
SAOUHSC_01358,14822,18937,893,7579,5498,4118
SAOUHSC_01359,30742,38728,1371,10476,9002,7644
SAOUHSC_00015,20801,25696,5775,25754,21808,22363
SAOUHSC_00137,167,192,69,824,506,530
SAOUHSC_01360,5689,8528,1042,4653,3427,3356
SAOUHSC_01361,5555,5555,1292,12659,10021,12028
SAOUHSC_01362,2826,3912,1109,1086,843,675
SAOUHSC_01363,3003,1844,163,37683,26674,27724
SAOUHSC_01364,6257,6614,754,30346,19855,24190
SAOUHSC_01365,4911,4959,508,73092,45333,60583
SAOUHSC_01366,614,870,96,603,478,354
SAOUHSC_01367,358,536,175,285,277,182
SAOUHSC_01368,1014,1391,210,453,429,284
SAOUHSC_01369,451,937,72,267,276,157
SAOUHSC_00138,89,109,22,638,423,377
SAOUHSC_01370,333,763,108,171,183,124
SAOUHSC_01371,839,1547,495,546,468,352
SAOUHSC_01372,1011,1835,497,1002,696,634
SAOUHSC_01373,13667,13867,1211,7397,5569,3808
SAOUHSC_01374,18521,19888,3002,11898,9083,6259
SAOUHSC_01375,1546,2025,180,1244,898,887
SAOUHSC_01376,1994,2830,380,2401,1779,1589
SAOUHSC_01377,1282,1358,138,2062,1456,1555
SAOUHSC_01378,636,878,126,1211,841,968
SAOUHSC_01379,585,662,105,1113,714,726
SAOUHSC_00139,1084,1858,293,1554,938,976
SAOUHSC_01380,844,1006,55,1111,827,771
SAOUHSC_01381,29,7,3,43,17,7
SAOUHSC_01382,55,91,11,42,12,41
SAOUHSC_01383,2849,3090,481,4353,2883,2250
SAOUHSC_01384,447,447,26,936,559,661
SAOUHSC_01385,268,324,41,551,377,353
SAOUHSC_01386,256,203,66,464,329,352
