GeneName,X50494,X50495,X50496,X50497,X50498,X50499,X50501,X50502,X50503,X50504,X50505,X50628
EW031_RS11925,15760,9939,8047,7121,9250,4806,17583,5398,13582,11041,11625,10965
EW031_RS11930,5739,3383,2661,2121,3329,1697,6863,2558,5187,4232,4797,4981
EW031_RS11935,14264,7955,5315,4569,6399,2883,14055,4090,9531,7576,7929,7423
EW031_RS11940,7471,4628,3286,2724,4181,1825,6964,2608,4461,3609,3482,3214
EW031_RS11945,961,1069,1110,876,762,850,536,189,438,427,385,282
EW031_RS11950,2369,2591,2666,1902,1807,1655,1354,578,1199,1233,1165,982
prmC,5910,6704,6230,5647,4135,4941,3499,1611,3121,3251,3374,2538
EW031_RS11960,7178,8191,7347,7648,4393,4812,4614,1882,3752,3862,4583,2840
EW031_RS11965,4399,4155,4304,4016,2418,2611,2493,950,2204,2247,2566,1390
EW031_RS11970,68,72,84,101,35,31,70,14,43,36,39,8
EW031_RS11975,8144,8465,11265,7066,7815,24208,3787,9425,2998,4031,5149,3717
EW031_RS11980,13156,13123,11505,11138,6807,8360,10662,4656,9073,9189,11897,7491
EW031_RS11985,1109,799,830,1184,597,454,1379,1697,1443,1513,1327,921
EW031_RS11990,9185,16789,6533,6182,6436,2551,8475,2466,3547,2946,1397,1302
EW031_RS11995,2892,2345,2348,1922,1881,2060,2285,799,2082,2954,2054,1223
EW031_RS12000,41415,21785,39673,36169,34196,101269,32755,25364,34207,37482,48119,52562
EW031_RS12005,694,518,985,619,1288,1912,320,232,428,479,678,497
EW031_RS12010,8531,14652,8319,10424,3897,10432,2460,1462,2627,3009,3417,2082
EW031_RS12015,4874,5548,6772,6222,4622,8117,3068,1680,2994,2718,3375,1637
EW031_RS12020,798,578,695,706,456,540,590,254,493,395,332,251
coaW,1184,809,986,827,631,849,814,1113,713,646,882,522
EW031_RS12030,3324,2931,5320,3043,4219,6655,1431,820,1388,1649,1765,1064
EW031_RS12035,518,664,1125,875,916,735,405,182,289,306,302,208
EW031_RS12040,369,404,585,1030,259,274,372,142,186,160,109,46
EW031_RS12045,2253,1187,1886,1748,1964,2908,2082,1039,1513,1636,1992,1423
EW031_RS12050,886,494,493,443,524,498,2241,1710,2465,2384,2242,2708
EW031_RS12055,2545,1348,1044,1455,657,670,5030,1959,4091,4398,3632,3358
EW031_RS12060,134,86,48,75,19,25,257,60,189,159,216,119
deoC,1317,565,365,615,255,300,2139,875,1936,2038,2086,1747
deoD,4672,2080,4103,3149,3734,9149,5434,3902,4852,5998,7529,6440
EW031_RS12075,1104,775,837,698,798,1187,926,561,1088,1158,1167,567
EW031_RS12080,282,188,448,427,465,576,605,391,974,997,1127,611
EW031_RS12085,3170,2717,4208,3270,4262,6295,1955,923,2218,2136,2595,1736
EW031_RS12090,1843,1563,1945,1084,1934,1602,743,692,730,794,713,457
EW031_RS12095,9076,7301,10128,6443,8632,6486,3220,2169,3809,3498,3817,2072
EW031_RS12100,188,219,283,545,121,70,616,462,520,372,285,275
EW031_RS12105,288,329,2112,413,2523,1961,885,1004,1018,868,1660,1544
EW031_RS12110,1100,1237,5313,1265,7559,4830,2569,4423,3350,2665,5513,5418
EW031_RS12115,20636,16274,22656,15243,17628,24056,9223,3687,7937,8723,8569,4828
EW031_RS12120,2114,2453,3450,2821,4465,6820,3375,60843,4795,3017,4953,16003
EW031_RS12125,379,499,481,610,243,202,1038,455,421,382,150,73
EW031_RS12130,500,538,605,919,429,524,618,167,529,443,538,366
