geneName,SA_1,SA_2,SA_3,CC_1,CC_2,CC_3
NWMN_0182,42,46,40,13,4,12
NWMN_0183,62,65,65,13,8,8
NWMN_0184,102,96,120,37,16,22
NWMN_0185,400,412,530,123,124,82
NWMN_0186,558,602,725,186,130,129
NWMN_0187,979,959,1282,237,163,130
NWMN_0188,1027,1247,1519,398,274,226
NWMN_0190,3402,3779,4979,1132,728,670
NWMN_0191,6278,6875,9032,1647,1154,914
NWMN_0192,8703,9205,11756,2025,1483,1090
NWMN_0198,1127,1254,1514,408,258,233
NWMN_0199,63,80,90,30,22,13
NWMN_0201,47,74,79,44,30,28
NWMN_0206,28,18,47,4,1,3
NWMN_0207,12,13,18,2,2,3
NWMN_0208,47,51,57,22,15,11
NWMN_0209,135,135,187,57,41,46
NWMN_0211,42,64,86,14,13,2
NWMN_0212,57,43,56,13,5,13
NWMN_0213,13,8,26,4,2,1
NWMN_0214,0,0,0,0,0,0
NWMN_0215,5,6,5,2,0,1
NWMN_0216,4,5,12,2,1,1
NWMN_0217,29,32,43,4,4,1
NWMN_0218,136,153,200,50,38,35
NWMN_0219,704,802,877,446,349,322
NWMN_0220,108,131,170,24,16,21
NWMN_0221,21,20,30,4,1,3
NWMN_0222,30,39,32,10,6,2
NWMN_0223,215,254,289,47,41,29
NWMN_0224,13,16,22,1,2,1
NWMN_0225,18,24,23,3,2,5
NWMN_0226,25,34,42,4,4,0
NWMN_0227,11,14,12,1,2,1
NWMN_0228,1056,1194,1373,514,351,346
NWMN_0229,846,798,1329,363,259,144
