,1_20160629000_S1_L002_R1_001 (paired) (GE) - Total counts,2_20160629000_S2_L002_R1_001 (paired) (GE) - Total counts,3_20160629000_S3_L002_R1_001 (paired) (GE) - Total counts,4_20160629000_S4_L002_R1_001 (paired) (GE) - Total counts,5_20160629000_S5_L002_R1_001 (paired) (GE) - Total counts,6_20160629000_S6_L002_R1_001 (paired) (GE) - Total counts
dnaA,40307,39859,34573,38724,40348,38497
dnaN,40058,37743,35164,42710,46517,43776
SAUSA300_0003,8258,6627,6984,7002,6987,6709
recF,24889,23848,20841,20544,20766,19903
gyrB,36549,36548,27943,30373,29660,30074
gyrA,55839,49515,50190,56914,59518,58845
SAUSA300_0007,4092,3985,3750,4805,4182,4871
hutH,2092,1816,1732,1369,1333,1429
serS,53135,52438,47648,41868,43063,45248
SAUSA300_0010,4059,3316,3012,6222,5597,5694
SAUSA300_0011,2542,2362,1807,3525,3122,3003
SAUSA300_0012,4371,3873,3061,4571,3737,3712
SAUSA300_0013,16382,14693,13432,14393,14034,14137
SAUSA300_0014,63524,59926,52626,51800,53625,53380
rplI,20653,19776,17765,15875,16451,16081
dnaB,40862,41040,35178,36133,36151,36742
purA,1566,1522,1313,1351,1533,1427
SAUSA300_0018,0,0,0,0,0,0
SAUSA300_0019,0,0,4,0,2,0
SAUSA300_0020,19701,18694,14584,16656,16110,16034
SAUSA300_0021,39567,36679,30439,33347,33063,32844
SAUSA300_0022,32968,31369,26670,29503,29113,28574
SAUSA300_0023,18601,18431,15752,16722,16588,16775
SAUSA300_0024,4201,3817,3621,3506,3569,3707
SAUSA300_0025,14683,14061,11331,17182,15903,15426
SAUSA300_0026,2935,2821,2187,2385,2397,2335
SAUSA300_0027,7522,7304,5803,6101,6576,5922
SAUSA300_0028,1316,1261,1015,1281,1466,1398
SAUSA300_0029,482,471,367,379,388,372
SAUSA300_0030,6624,6078,5436,4174,4517,4278
SAUSA300_0031,1921,1714,1453,1349,1428,1336
mecA,728456,719957,584515,692281,678029,626854
SAUSA300_0033,73592,62509,66002,63538,66502,63894
SAUSA300_0035,27022,25573,23659,23123,22907,23318
SAUSA300_0034,374,354,338,503,462,401
SAUSA300_0036,251,192,220,289,229,247
ccrB,3530,3500,3090,3884,3815,3562
ccrA,4251,3623,3707,3872,3931,3877
SAUSA300_0039,1948,1731,1686,1621,1612,1557
SAUSA300_0040,146,129,137,123,131,127
SAUSA300_0041,1634,1884,1158,1251,1365,1282
SAUSA300_0042,13997,13619,10571,10204,10297,10187
SAUSA300_0043,99,98,85,123,150,134
SAUSA300_0044,1356,1232,1051,1374,1410,1254
SAUSA300_0045,120,122,73,119,162,124
SAUSA300_0046,9281,9286,8409,7822,8469,8183
SAUSA300_0047,1435,1422,1066,1129,1162,1076
SAUSA300_0048,75,82,53,56,43,50
SAUSA300_0049,371,374,250,231,285,261
SAUSA300_0050,877,655,679,857,848,756
SAUSA300_0051,168,171,110,195,196,156
SAUSA300_0052,8,5,4,3,7,7
speG,3753,3273,3057,3530,3526,3585
SAUSA300_0054,0,0,0,0,0,0
SAUSA300_0055,1989,1824,1242,1769,1436,1652
SAUSA300_0056,414,372,288,403,309,375
SAUSA300_0057,97,102,52,124,108,97
SAUSA300_0058,0,0,0,0,0,0
SAUSA300_0059,80,81,61,75,75,79
SAUSA300_0060,439,362,299,448,381,404
arcC_1,2888,2876,2420,1824,1949,1852
arcB_1,2366,2497,1923,1546,1488,1339
SAUSA300_0063,234,218,186,136,155,179
arcD_1,1243,1246,953,834,816,794
arcA_1,8904,8585,7431,8825,8657,8372
argR_1,262,252,169,196,209,187
SAUSA300_0067,29671,26344,23110,8282,9385,9184
SAUSA300_0068,704,555,458,653,527,644
SAUSA300_0069,1241,1049,1013,1038,934,991
SAUSA300_0070,28051,29646,20705,11737,11141,11410
SAUSA300_0071,3411,3221,2679,3308,3130,2888
SAUSA300_0072,1424,1470,1188,1585,1598,1500
SAUSA300_0073,3492,3258,2857,3722,3659,3315
opp-3B,2073,1825,1763,2133,2285,2086
opp-3C,1967,1821,1609,2018,2092,1850
SAUSA300_0076,1246,1177,1042,1465,1379,1295
SAUSA300_0077,1026,838,902,885,993,845
copA,20340,18470,16190,14112,14115,13965
SAUSA300_0079,6144,6262,4697,4146,3747,3986
SAUSA300_0080,0,0,0,0,0,0
SAUSA300_0081,5470,5885,4373,3647,3816,3819
SAUSA300_0082,2769,2520,2081,2468,2439,2298
SAUSA300_0083,1504,1537,1268,1624,1546,1344
SAUSA300_0084,403,395,342,472,425,420
SAUSA300_0085,576,587,548,468,500,479
SAUSA300_0086,1219,1112,929,896,1037,875
SAUSA300_0087,12361,10929,10124,6105,6042,6009
SAUSA300_0088,2,0,2,0,0,0
SAUSA300_0089,7308,7972,6366,6025,6151,6149
SAUSA300_0090,704,619,475,446,492,506
SAUSA300_0091,1196,1084,944,964,978,975
SAUSA300_0092,191,201,168,148,183,124
SAUSA300_0093,1534,1400,1137,1270,1302,1229
SAUSA300_0094,317,325,252,255,264,268
SAUSA300_0095,564,594,425,647,658,619
SAUSA300_0096,682,769,458,692,578,670
SAUSA300_0097,8745,8646,7049,8514,8021,8319
SAUSA300_0098,2280,2217,1835,2221,2169,2138
plc,15501,14046,11336,13714,10685,13610
SAUSA300_0100,316,311,226,251,231,239
SAUSA300_0101,698,673,503,627,582,539
SAUSA300_0102,676,679,505,640,639,599
SAUSA300_0103,941,954,650,789,769,750
SAUSA300_0104,19337,18790,14949,14808,14628,14550
SAUSA300_0105,4425,4320,3287,3324,3217,3131
SAUSA300_0106,5094,5098,3528,3840,3560,3504
SAUSA300_0107,38918,35356,31151,22557,23071,25495
SAUSA300_0108,5911,6420,5447,3857,3841,4002
SAUSA300_0109,137,145,97,122,151,147
SAUSA300_0110,660,595,538,1575,1609,1354
SAUSA300_0111,5675,5403,4145,3136,2982,2959
lctP,28183,26316,23006,23390,24711,23015
SAUSA300_0113,705521,751926,586872,1721339,2007900,1559406
SAUSA300_0114,18695,18795,16504,27449,34444,30206
sirC,13531,12213,12295,9892,10244,9832
sirB,645,563,639,1825,1965,1748
sirA,901,807,620,4453,5056,4014
SAUSA300_0118,156,118,127,120,136,122
SAUSA300_0119,294,251,298,239,253,214
sbnC,674,626,623,485,478,386
SAUSA300_0121,389,417,340,375,360,313
SAUSA300_0122,716,585,603,523,574,560
SAUSA300_0123,1062,997,876,863,961,912
SAUSA300_0124,562,620,437,447,507,497
SAUSA300_0125,1132,1009,877,820,833,817
SAUSA300_0126,951,978,837,857,777,742
SAUSA300_0127,410,363,334,228,222,258
SAUSA300_0128,700,839,525,605,619,537
SAUSA300_0129,14925,12980,9566,7955,6278,7263
SAUSA300_0130,209,205,184,5209,3963,4650
SAUSA300_0131,118,105,88,2951,2628,2643
SAUSA300_0132,291,278,284,4507,4448,4317
SAUSA300_0133,479,404,433,3788,3512,3537
SAUSA300_0134,1881,1834,1486,5297,5307,5328
SAUSA300_0135,12749,12208,10575,5459,5588,5094
SAUSA300_0136,46761,44532,39619,30084,26903,31035
SAUSA300_0137,3229,3203,2795,3315,3085,3161
deoD_1,335,277,239,230,201,172
SAUSA300_0139,1282,1403,1045,980,963,895
deoC_1,14439,13732,11713,8509,8527,8812
deoB,35227,34924,28950,19503,20308,21007
phnE_1,637,604,580,1465,1332,1436
phnE_2,539,470,425,1221,1060,1249
phnC,592,453,453,1449,1259,1341
SAUSA300_0145,796,785,655,1976,1909,2122
SAUSA300_0146,1252,1129,863,1775,1540,1776
SAUSA300_0147,3566,3268,2689,3889,3755,4089
SAUSA300_0148,8,6,6,4,4,10
SAUSA300_0149,187,158,136,156,152,125
SAUSA300_0150,2377,2217,1850,2009,1958,1923
adhE,69662,69010,62996,12414,10566,14195
cap5A,411,396,315,91,76,76
cap5B,493,564,420,211,160,170
cap5C,641,548,441,167,144,160
cap5D,1131,1057,772,217,207,189
cap5E,547,535,389,164,170,138
cap5F,754,677,478,263,295,233
cap5G,751,678,534,238,234,215
cap5H,385,355,251,126,172,138
cap5I,811,756,667,418,432,364
cap5J,714,742,542,462,493,446
cap5K,655,672,478,397,414,360
cap5L,1377,1434,1120,795,855,849
cap5M,1041,1165,703,635,665,628
cap5N,1416,1307,1152,902,961,818
cap5O,2517,2416,1988,1658,1695,1486
cap5P,3405,3230,2771,2922,2989,3020
SAUSA300_0168,456,384,357,593,662,739
SAUSA300_0169,212,210,169,395,477,448
SAUSA300_0170,1120,893,971,653,767,748
SAUSA300_0171,3877,3597,3047,3179,3099,3025
SAUSA300_0172,1138,894,833,1316,1372,1354
SAUSA300_0173,29585,17043,17434,22158,18591,17910
SAUSA300_0174,23368,15327,12333,13254,10353,10251
SAUSA300_0175,33951,22345,17912,16098,13143,13386
SAUSA300_0176,32997,20654,17692,13181,10141,11079
SAUSA300_0177,70378,46135,38081,24605,19383,21617
SAUSA300_0178,26355,18126,15077,12008,10725,10742
SAUSA300_0179,1076,795,714,623,557,567
SAUSA300_0180,7946,7032,6051,8871,6227,7604
SAUSA300_0181,68816,62726,55345,52941,47838,48656
SAUSA300_0182,8204,7900,6993,6723,6169,6369
SAUSA300_0183,25115,22479,22497,24873,25773,27072
argB,1209,1169,983,2350,2218,2136
argJ,1886,1506,1432,4108,3626,3548
argC,838,891,566,2241,1904,1762
rocD_1,1038,899,732,2478,2101,2141
brnQ_1,25664,22278,21180,42938,42833,39679
entB,1463,1256,1481,1118,1186,1226
ipdC,3487,3735,2969,3163,3277,3024
ptsG_1,22637,24566,21759,33541,34252,36566
SAUSA300_0192,1263,1312,1106,965,873,928
murQ,716,758,644,386,316,349
SAUSA300_0194,2230,2092,1662,1283,1197,1208
SAUSA300_0195,1090,1118,959,802,704,726
hsdR,25246,23512,20434,28425,29684,28937
SAUSA300_0197,6697,6267,4883,6167,6076,6226
SAUSA300_0198,5210,4609,4349,4472,4382,4493
SAUSA300_0199,5603,5559,4277,4661,4675,4830
SAUSA300_0200,3837,3024,2889,2793,2759,2510
SAUSA300_0201,1092,802,774,1078,800,902
SAUSA300_0202,1169,820,783,863,626,699
SAUSA300_0203,2950,2199,1900,1829,1457,1499
ggt,4559,3628,3394,2950,2588,2532
SAUSA300_0205,1489,1513,1188,1318,1438,1269
SAUSA300_0206,4418,3820,3349,3189,2602,2774
SAUSA300_0207,792,752,587,528,486,482
SAUSA300_0208,734,547,534,519,500,508
SAUSA300_0209,745,965,940,575,592,661
SAUSA300_0210,1390,1504,1383,1019,958,929
SAUSA300_0211,990,1084,876,621,653,611
SAUSA300_0212,1899,1952,1547,1248,1211,1160
SAUSA300_0213,1506,1607,1291,941,987,1000
SAUSA300_0214,1630,1616,1417,977,1170,1085
SAUSA300_0215,999,1129,900,1025,1176,1026
uhpT,533,477,413,599,645,709
SAUSA300_0217,3737,3409,2971,2616,2700,2533
SAUSA300_0218,5060,5103,4299,4100,4140,4159
SAUSA300_0219,2896,2700,2487,2704,2722,2800
pflB,181716,208593,193669,54096,47429,65802
pflA,32700,44793,39900,8829,8378,10574
SAUSA300_0222,8053,7001,6708,10197,10701,9500
SAUSA300_0223,366,309,317,249,263,191
coa,1172,1158,872,1014,938,894
SAUSA300_0225,302,300,204,266,229,313
SAUSA300_0226,312,249,227,266,272,260
fadD,62,72,47,60,74,46
fadE,167,146,110,175,148,160
SAUSA300_0229,273,156,201,319,267,276
SAUSA300_0230,9694,9139,7183,9930,9589,9845
SAUSA300_0231,5449,5566,4925,3926,4655,4218
SAUSA300_0232,1176,1284,1092,762,926,799
SAUSA300_0233,2538,2912,2415,1600,2151,2010
SAUSA300_0234,66604,74774,56172,41935,46133,46842
SAUSA300_0235,1473656,1472134,1291402,934286,912598,1017223
SAUSA300_0236,4611,4568,4069,4374,3935,4427
SAUSA300_0237,3742,3659,3078,2991,2886,2830
SAUSA300_0238,285,216,210,322,337,289
SAUSA300_0239,17,18,32,15,29,18
SAUSA300_0240,25,20,8,9,14,8
SAUSA300_0241,184,236,192,113,134,102
gutB,351,402,299,254,247,262
SAUSA300_0243,42,23,40,21,31,16
SAUSA300_0244,842,750,724,764,781,805
SAUSA300_0245,9209,8588,7055,8322,8152,8435
SAUSA300_0246,15453,13438,12652,15204,14334,15144
SAUSA300_0247,24642,22023,20995,24251,24496,24469
SAUSA300_0248,3659,3603,3335,3331,3841,3720
ispD,11054,9489,9292,7969,8983,8281
SAUSA300_0250,25663,25345,21763,18976,20427,19336
SAUSA300_0251,48197,45350,40250,35478,38349,34993
SAUSA300_0252,70721,67452,58512,51139,54549,51373
scdA,12630,12492,9616,10482,8866,10803
SAUSA300_0254,19567,16137,14682,12355,11719,12262
SAUSA300_0255,5529,4805,4004,3973,3908,3756
SAUSA300_0256,2728,2462,2152,1409,1088,945
SAUSA300_0257,9215,7677,8032,3921,3558,3009
SAUSA300_0258,5154,4547,4348,7218,7035,7058
SAUSA300_0259,706,611,522,647,522,585
bglA,1763,1576,1312,1398,1332,1341
SAUSA300_0261,756,739,681,1449,1357,1416
rbsK,3450,3849,3190,2152,2167,2206
rbsD,1615,1981,1490,940,976,961
SAUSA300_0264,3050,3000,2668,1709,1890,1786
SAUSA300_0265,5637,6443,4766,3221,3207,3272
SAUSA300_0266,630,519,539,930,1261,1080
SAUSA300_0267,149,106,113,171,187,148
SAUSA300_0268,486,497,392,759,757,705
SAUSA300_0269,1094,1078,865,1364,1234,1193
lytM,2986,3008,2516,4058,4600,4227
SAUSA300_0271,1108,1106,987,2069,2340,1989
SAUSA300_0272,982,1081,911,1830,2093,1843
SAUSA300_0273,922,997,733,1529,1919,1503
SAUSA300_0274,7329,7768,5562,12511,15772,12548
SAUSA300_0275,322,304,272,423,487,465
SAUSA300_0276,588,543,483,725,840,806
SAUSA300_0277,4760,4864,3843,1529,1609,1331
SAUSA300_0278,59265,60559,44577,8937,10068,9342
SAUSA300_0279,8960,9227,7330,1834,2105,1691
SAUSA300_0280,1409,1632,1144,312,368,352
SAUSA300_0281,276,316,231,107,103,60
SAUSA300_0282,2886,3054,2293,645,753,648
SAUSA300_0283,14197,14485,10979,3409,3773,3287
SAUSA300_0284,1332,1330,990,272,306,265
SAUSA300_0285,1414,1264,1052,311,321,322
SAUSA300_0286,2336,2337,1709,588,621,539
SAUSA300_0287,1222,1216,840,303,293,273
SAUSA300_0288,17697,17877,12968,8682,8327,8459
SAUSA300_0289,16455,13723,11995,9828,9950,9734
SAUSA300_0290,389,346,290,364,413,333
SAUSA300_0291,691,695,507,637,649,553
SAUSA300_0292,832,603,792,1102,1214,1172
SAUSA300_0293,530,524,366,641,502,569
SAUSA300_0294,607,697,424,656,642,641
SAUSA300_0295,613,551,434,564,571,515
SAUSA300_0296,1107,955,750,1043,1020,923
SAUSA300_0297,679,698,536,781,735,767
SAUSA300_0298,952,954,543,1415,1139,1192
SAUSA300_0299,1037,907,583,1442,1254,1415
SAUSA300_0300,985,842,675,1426,1275,1252
SAUSA300_0301,1646,1366,1025,2291,2013,1893
SAUSA300_0302,1434,1118,970,2040,1923,1738
SAUSA300_0303,1652,1725,1231,1891,2049,1869
SAUSA300_0304,5949,5653,5002,6502,6496,6743
SAUSA300_0305,63111,58865,49744,53033,49857,55757
brnQ_2,14801,13934,12680,13511,13974,13601
SAUSA300_0307,26842,25527,20988,25217,25762,22350
SAUSA300_0308,18900,19832,14458,10421,10966,10340
SAUSA300_0309,12744,13129,10032,6883,7501,7070
pfoR,14591,12890,11061,25866,27065,26393
SAUSA300_0311,97,107,91,101,102,87
SAUSA300_0312,177,133,92,103,143,164
SAUSA300_0313,345,336,289,257,256,301
SAUSA300_0314,351,360,315,365,356,338
nanA,230,191,203,217,220,306
SAUSA300_0316,347,387,287,401,406,389
SAUSA300_0317,3055,3114,2343,2892,3116,3069
SAUSA300_0318,941,986,845,1232,1270,1360
SAUSA300_0319,223,202,213,175,108,149
SAUSA300_0320,285107,251262,198951,63179,52457,52290
SAUSA300_0321,4110,3577,3389,4088,4497,3806
SAUSA300_0322,3305,2917,2849,3253,3137,3227
SAUSA300_0323,0,0,0,0,0,0
SAUSA300_0324,1267,1266,1105,1090,1019,1025
SAUSA300_0325,681,612,482,481,501,449
SAUSA300_0326,1136,1032,941,920,993,830
SAUSA300_0327,1358,1370,1104,1173,1109,1105
SAUSA300_0328,1410,1401,1210,1282,1224,1205
SAUSA300_0329,22817,21799,17805,9032,9378,9241
ulaA,1681,1762,1481,1196,1262,1162
SAUSA300_0331,236,226,218,185,178,186
SAUSA300_0332,189,173,190,213,240,206
SAUSA300_0333,936,872,927,1026,1087,1035
SAUSA300_0334,687,545,546,790,940,812
SAUSA300_0335,1236,1120,1080,1629,1574,1624
SAUSA300_0336,871,821,718,994,1067,1078
glpT,2296,1958,1961,3351,3468,3089
SAUSA300_0338,3221,3264,2326,1330,1265,1181
SAUSA300_0339,4507,4401,3246,1576,1685,1608
SAUSA300_0340,1802,1651,1415,727,730,696
SAUSA300_0341,5865,4441,5020,9299,9779,9276
SAUSA300_0342,105,104,92,155,163,154
SAUSA300_0343,2916,2763,2071,5208,4569,4551
SAUSA300_0344,541,406,346,898,909,813
SAUSA300_0345,899,729,559,1555,1405,1426
SAUSA300_0346,1400,1182,1035,2035,1950,1794
tatC,4373,4224,3932,5635,6430,5706
SAUSA300_0348,2507,2602,2192,3575,3481,3333
SAUSA300_0349,5258,5343,4366,5048,5446,4780
SAUSA300_0350,801,794,509,712,746,779
SAUSA300_0351,2735,2180,1866,2455,2478,2506
SAUSA300_0352,5032,4884,3948,4312,4865,4680
SAUSA300_0353,7675,6803,6340,6523,6980,6857
ltrA,5480,4966,4751,7811,7972,7248
SAUSA300_0355,8445,8025,7541,6676,6968,7168
SAUSA300_0356,5857,4971,4841,5033,4840,4956
metE,13907,12081,10875,13044,11058,11288
SAUSA300_0358,6449,5888,4950,6276,5562,5688
SAUSA300_0359,1682,1637,1367,1878,1716,1694
SAUSA300_0360,1191,1091,894,1429,1293,1360
SAUSA300_0361,3349,3232,2510,3411,3350,3185
SAUSA300_0362,4528,4349,3238,4076,4143,4140
SAUSA300_0363,1968,2232,1201,1824,1718,1687
ychF,16839,15128,12330,15132,14466,14498
SAUSA300_0365,629,576,462,626,576,540
rpsF,40947,43287,34221,59326,58313,60647
ssb,66434,67986,54984,95885,89404,97370
rpsR,13999,13136,12723,19895,20879,21416
SAUSA300_0369,709,777,553,801,809,657
SAUSA300_0370,4220,3154,2884,1255,1054,1118
SAUSA300_0371,111,124,79,99,100,91
SAUSA300_0372,231030,227604,170223,113158,109136,106551
SAUSA300_0373,8427,6410,5747,8630,7447,8116
SAUSA300_0374,161611,149369,124690,94277,88612,93135
SAUSA300_0375,2799,2495,2221,2977,2962,2753
SAUSA300_0376,2031,2047,1568,2199,2078,2089
SAUSA300_0377,10681,10862,8896,8035,8116,8015
SAUSA300_0378,1340,1145,1167,1092,1310,1208
ahpF,162244,149018,145572,129613,123699,120122
ahpC,89217,87812,74170,67621,63499,61949
SAUSA300_0381,6708,6238,5128,8291,8640,8444
SAUSA300_0382,28938,20529,20826,12046,10413,10784
SAUSA300_0383,25206,26292,21741,28388,28335,27222
SAUSA300_0384,7695,7686,6149,6513,6408,6151
SAUSA300_0385,18351,15200,15096,7734,8233,8167
xpt,47751,40320,37524,67108,63511,59577
pbuX,113056,91804,91754,153799,147955,138049
guaB,236984,226040,177792,262952,241765,245429
guaA,321553,275621,261196,311450,303767,304287
SAUSA300_0390,486,500,325,415,425,370
SAUSA300_0391,243,245,195,218,233,246
SAUSA300_0392,139,128,90,270,212,248
SAUSA300_0393,497,525,415,318,307,317
SAUSA300_0394,1292,1195,953,822,797,794
SAUSA300_0395,755,668,518,465,458,425
set7,132,103,98,116,76,76
SAUSA300_0397,64,82,60,70,70,54
SAUSA300_0398,67,72,55,73,61,71
SAUSA300_0399,92,69,81,81,66,77
SAUSA300_0400,174,151,129,146,130,176
SAUSA300_0401,385,297,302,320,343,382
SAUSA300_0402,171,176,116,134,122,136
SAUSA300_0403,213,223,192,201,221,195
SAUSA300_0404,460,482,404,383,353,329
hsdM_1,13620,11575,10325,13842,13677,14316
SAUSA300_0406,5920,5763,4704,7279,7194,7203
SAUSA300_0407,594,499,460,275,247,255
SAUSA300_0408,2284,2078,1947,1377,1335,1236
SAUSA300_0409,30822,22784,19024,9999,7530,8163
SAUSA300_0410,246,230,174,194,183,215
SAUSA300_0411,378,304,210,222,225,216
SAUSA300_0412,389,405,239,260,260,249
SAUSA300_0413,136,115,66,98,78,106
SAUSA300_0414,192,161,96,146,108,119
lpl3,178,177,143,133,167,123
SAUSA300_0416,225,203,134,134,140,141
SAUSA300_0417,915,844,540,444,439,434
SAUSA300_0418,1141,1116,862,640,747,636
SAUSA300_0419,4688,4683,2949,1923,2293,1787
SAUSA300_0420,9808,9594,8021,4573,5785,4693
SAUSA300_0421,4590,4957,3298,2236,2425,2090
SAUSA300_0422,3020,3037,2300,1583,1669,1567
SAUSA300_0423,883,889,630,516,472,538
SAUSA300_0424,726,618,614,1637,1136,1417
SAUSA300_0425,26734,23000,20277,28794,30846,31011
SAUSA300_0426,73540,71730,57025,43262,47691,53197
SAUSA300_0427,15151,15250,11627,7597,8320,8835
SAUSA300_0428,1238,1292,903,1099,1144,1259
SAUSA300_0429,9837,10051,7955,6394,6737,6751
SAUSA300_0430,10007,9375,8140,6380,6689,6804
SAUSA300_0431,4,2,4,2,2,0
SAUSA300_0432,930,828,808,1552,1418,1319
cysM,1235,1085,899,3314,2744,2638
metB,2694,2132,1959,5773,5544,5291
SAUSA300_0435,4761,3164,3007,6701,5089,5259
SAUSA300_0436,3560,2528,2417,4169,3160,3161
SAUSA300_0437,16688,12517,10212,14009,9863,10922
SAUSA300_0438,26348,26666,19971,29871,29421,29022
SAUSA300_0439,1252,1177,1217,1340,1567,1437
SAUSA300_0440,1904,1532,1613,1883,1833,1964
SAUSA300_0441,5267,4908,4258,5009,4836,4876
SAUSA300_0442,7868,6922,6466,7208,7582,6848
SAUSA300_0443,6491,5878,5348,6989,6787,6489
gltC,658,608,421,789,832,782
gltB,26584,23429,17394,32638,24123,29158
gltD,11884,10492,8224,12359,9452,11482
SAUSA300_0447,34,16,57,32,50,78
treP,16758,12680,11847,11871,10658,13046
treC,7235,7842,6803,5281,4920,5454
treR,3014,2994,3045,2607,2528,2671
SAUSA300_0451,2099,1827,1576,2008,1855,1970
dnaX,24847,23484,18145,21478,20382,21697
SAUSA300_0453,37029,31628,24693,24653,23061,25032
recR,50354,40599,34499,34930,33035,35827
rrsA,605,1465,2112,54,280,666
rrlA,1215,1580,2418,916,673,1804
rrfA,0,2,8,10,18,14
SAUSA300_0458,3703,3378,2885,2869,2605,2834
tmk,2874,2563,2139,2495,2401,2418
SAUSA300_0460,21639,20846,14502,18923,16749,18290
holB,9574,9215,7384,11094,10450,10635
SAUSA300_0462,9814,9404,7389,10222,10200,10007
SAUSA300_0463,4118,3158,3292,4336,4550,4214
SAUSA300_0464,846,908,682,954,980,919
SAUSA300_0465,524,643,450,489,479,535
SAUSA300_0466,1635,1361,1399,1740,1735,1623
metS,62356,55777,50122,75263,74967,72298
SAUSA300_0468,25070,22725,20409,28744,28353,28360
SAUSA300_0469,7189,6422,5181,6800,5860,6223
ksgA,11861,10422,8837,10704,9885,9891
SAUSA300_0471,15637,11439,12111,14975,13436,14383
ipk,23014,21078,17043,19604,16891,17942
purR,56396,52062,42015,37351,34874,35347
SAUSA300_0474,88734,81202,74584,48801,49453,48251
SAUSA300_0475,93827,85681,75760,45288,45544,45483
SAUSA300_0476,29,52,15,16,18,23
glmU,24535,22539,19118,22715,22936,22976
prs,24154,24584,20405,27073,28519,26804
SAUSA300_0479,85036,74853,73088,124009,120260,127534
pth,5248,4896,4139,5196,5055,4782
mfd,35033,31481,26992,30004,29735,30442
SAUSA300_0482,19289,17493,16233,14283,14387,14286
SAUSA300_0483,26227,24730,21860,19409,20163,19480
SAUSA300_0484,6753,6711,5029,5242,5096,5399
SAUSA300_0485,9937,9041,8069,7446,7745,7833
SAUSA300_0486,36736,32214,29213,41365,41414,39581
SAUSA300_0487,5166,5141,4223,5885,5968,5837
hpt,4353,3723,3655,5153,5306,5140
SAUSA300_0489,110540,97693,89612,122598,125235,122149
hslO,8938,7728,6788,8733,8890,8798
cysK,201061,157570,156593,79264,72844,79081
folP,4695,3955,3729,4050,3718,3655
folB,2958,2184,2094,2156,2076,1912
folK,6243,5195,4982,6365,6424,5886
SAUSA300_0495,0,8,2,2,4,6
lysS,74921,66241,60526,68902,67142,67401
rrfG,71,11,12,7,4,26
SAUSA300_0498,0,0,0,0,0,0
rrsB,618,885,1960,943,338,340
SAUSA300_0500,0,0,0,0,0,0
rrlB,4145,5469,8276,4913,2185,5772
rrfB,0,2,2,12,24,14
SAUSA300_0503,1252,1144,970,1011,1166,1060
SAUSA300_0504,24892,20950,18946,20262,21321,20575
SAUSA300_0505,17214,16013,12998,14102,14208,13813
nupC,21345,19275,18649,33156,32770,31779
ctsR,4610,4054,3928,3380,3583,3532
SAUSA300_0508,3959,3843,3342,2847,3034,3162
SAUSA300_0509,10919,10850,8820,7593,7536,7946
clpC,47009,44604,37638,32190,33729,33076
radA,20098,17593,16229,15383,14642,14774
SAUSA300_0512,11543,10349,9826,9177,9657,8955
gltX,45171,44311,37878,54539,53763,52386
cysE,10467,10820,7748,6182,6116,6546
cysS,27049,25663,21471,14901,14379,15222
SAUSA300_0516,8641,8419,6116,4411,4306,4399
SAUSA300_0517,14314,13752,11156,7703,7521,7597
SAUSA300_0518,11929,11308,9309,6423,6232,6345
SAUSA300_0519,6541,6540,5021,4207,3965,3890
secE,3047,2613,2369,2440,2490,2443
nusG,21469,20772,17873,18058,18050,17516
rplK,52859,53677,50088,76897,79295,77418
rplA,46258,42786,47138,72376,78180,75800
rplJ,70872,76283,63197,78761,81356,86003
rplL,30218,28218,29824,33511,36928,36702
SAUSA300_0526,5347,4913,4423,5778,5940,6000
rpoB,174399,165129,150151,229014,223134,222181
rpoC,215000,195401,201697,264498,267093,261721
SAUSA300_0529,13943,12853,14243,21362,25216,22344
rpsL,56051,61300,50070,84720,87063,85936
SAUSA300_0531,51576,52628,47294,79367,80771,81477
fusA,297734,296466,278939,439328,440629,452008
tuf,571710,540307,543501,613942,633160,646681
SAUSA300_0534,10759,9143,8495,9309,9243,8951
SAUSA300_0535,20225,17994,15528,13185,13354,13855
SAUSA300_0536,287065,280159,231123,145415,146040,141441
SAUSA300_0537,1963,1827,1454,2326,1965,2005
SAUSA300_0538,11958,12463,11589,9701,9180,10124
ilvE,39854,34678,32361,36780,34525,34529
SAUSA300_0540,11232,9396,8583,9661,8918,8752
SAUSA300_0541,9130,7793,7139,8722,8955,8851
SAUSA300_0542,1414,1297,1225,1672,1805,1783
SAUSA300_0543,3133,2870,2728,4057,4106,3928
SAUSA300_0544,7482,7302,6067,8901,8289,8271
SAUSA300_0545,6236,5418,4781,6619,6687,6519
sdrC,2330,1924,1676,2435,2402,2240
sdrD,9771,9097,7274,80903,82034,72378
sdrE,13477,12065,10124,39892,36452,31217
SAUSA300_0549,10208,9520,8103,6076,6267,6314
SAUSA300_0550,16330,16652,13864,9110,9685,9312
SAUSA300_0551,20740,19841,18039,19581,20477,20267
SAUSA300_0552,11531,11247,9973,11514,11326,11601
SAUSA300_0553,8168,7709,6562,8376,7862,8028
SAUSA300_0554,4051,3619,3406,2983,2891,3125
SAUSA300_0555,45395,45235,36703,22430,23393,22498
SAUSA300_0556,43452,43098,33572,21377,22094,21676
SAUSA300_0557,2965,2570,2380,2797,2706,2794
SAUSA300_0558,12926,13708,10952,4955,6484,5196
SAUSA300_0559,765,729,604,849,925,864
vraB,1913,1707,1477,1979,1967,1889
SAUSA300_0561,448,387,339,492,381,388
thiD_1,29728,28267,22959,23087,21399,23011
ung,3842,3645,3060,4631,4480,4197
