gene_id,X12hUSA5001_count,X12hUSA5002_count,X12hUSA5003_count,X12hUSA500phoU11_count,X12hUSA500phoU12_count,X12hUSA500phoU13_count,X12hUSA500phoU21_count,X12hUSA500phoU22_count,X12hUSA500phoU23_count
CH51_RS02400,518,472,490,968,789,894,494,497,489
CH51_RS02410,407,426,414,791,713,768,349,364,344
CH51_RS02415,336,305,309,491,429,437,174,282,245
CH51_RS02420,4,11,5,13,6,5,1,3,9
CH51_RS02425,41,35,39,89,80,66,23,30,21
CH51_RS02430,92,84,66,185,178,153,42,49,39
CH51_RS02435,280,273,216,467,325,388,91,87,88
CH51_RS02440,139,180,155,152,158,109,48,69,80
CH51_RS02445,93,68,80,64,49,59,16,30,34
CH51_RS02450,706,671,649,382,355,400,142,176,143
CH51_RS02455,2131,2127,2064,2977,2607,2830,3266,3348,2861
CH51_RS02460,94,96,109,257,166,216,73,88,88
CH51_RS02465,51,47,48,58,45,51,74,65,44
CH51_RS02470,201,182,215,277,213,228,192,240,192
CH51_RS02475,236,238,199,542,533,582,69,85,91
