,WT1_RPKM,WT2_RPKM,MT1_RPKM,MT2_RPKM
SAB0780,0,0,0,0
SAB0781,0,0,0,0
SAB0782,0,0,0,0
SAB0783,0,0,0,0
SAB0784c,0,0,0,0
SAB0785c,0,0,0,0
SAB0786,0,0,0,0
SAB0788,0,0,0,0
SAB0789,0,0,0,0
SAB0790,0,0,0,0
SAB0791,0,0,0,0
SAB0792,0,0,0,0
SAB0793c,0,0,0,0
SAB0794,0,0,0,0
SAB0795,0,0,0,0
SAB0796,0,0,0,0
SAB0797,0,0,0,0
SAB0798,0,0,0,0
SAB0799,0,0,0,0
SAB0800,0,0,0,0
SAB0801,0,0,0,0
SAB0802c,0,0,0,0
SAB0803,0,0,0,0
SAB0804c,0,0,0,0
SAB0805,0,0,0,0
SAB0806,0,0,0,0
SAB0808,0,0,0,0
SAB0809,0,0,0,0
SAB0810,0,0,0,0
SAB0812c,0,0,0,0
SAB0813c,0,0,0,0
SAB0814c,0,0,0,0
SAB0815c,0,0,0,0
SAB0816c,0,0,0,0
SAB0817c,0,0,0,0
SAB0818c,0,0,0,0
SAB0819c,0,0,0,0
SAB0820c,0,0,0,0
SAB0821,0,0,0,0
SAB0822,0,0,0,0
SAB0823,0,0,0,0
SAB0824,0,0,0,0
SAB0825,0,0,0,0
SAB0826c,0,0,0,0
SAB0827c,0,0,0,0
SAB0828c,0,0,0,0
SAB0829c,0,0,0,0
SAB0830,0,0,0,0
SAB0831,0,0,0,0
SAB0832,0,0,0,0
SAB0833,0,0,0,0
SAB0834,0,0,0,0
SAB0835,0,0,0,0
SAB0836,0,0,0,0
SAB0837,0,0,0,0
SAB0838,0,0,0,0
SAB0839c,0,0,0,0
SAB0840c,0,0,0,0
SAB0841,0,0,0,0
SAB0843,0,0,0,0
SAB0844c,0,0,0,0
SAB0845,0,0,0,0
SAB0846,0,0,0,0
SAB0847,0,0,0,0
SAB0848,0,0,0,0
SAB0849,0,0,0,0
SAB0850c,0,0,0,0
SAB0851c,0,0,0,0
SAB0852,0,0,0,0
SAB0853,0,0,0,0
SAB0854,0,0,0,0
SAB0855,0,0,0,0
SAB0856,0,0,0,0
SAB0857,0,0,0,0
SAB0858,0,0,0,0
SAB0859,0,0,0,0
SAB0860,0,0,0,0
SAB0861,0,0,0,0
SAB0863c,0,0,0,0
SAB0865,0,0,0,0
SAB0866,0,0,0,0
SAB0867,0,0,0,0
SAB0868c,0,0,0,0
SAB0869c,0,0,0,0
SAB0870c,0,0,0,0
SAB0871,0,0,0,0
SAB0872,0,0,0,0
SAB0873,0,0,0,0
SAB0874,0,0,0,0
SAB0875,0,0,0,0
SAB0876,0,0,0,0
SAB0877,0,0,0,0
SAB0878c,0,0,0,0
SAB0879,0,0,0,0
SAB0880,0,0,0,0
SAB0882c,0,0,0,0
SAB0883c,0,0,0,0
SAB0884,0,0,0,0
SAB0885,0,0,0,0
SAB0886,0,0,0,0
SAB0887,0,0,0,0
SAB0888,0,0,0,0
SAB0889,0,0,0,0
SAB0890,0,0,0,0
SAB_t14,0,0,0,0
SAB_t15,0,0,0,0
SAB0891c,0,0,0,0
SAB0892,0,0,0,0
SAB0893c,0,0,0,0
SAB0894,0,0,0,0
SAB0896,0,0,0,0
SAB0897,0,0,0,0
SAB0898,0,0,0,0
SAB0899c,0,0,0,0
SAB0900,0,0,0,0
SAB0901,0,0,0,0
SAB0902c,0,0,0,0
SAB0903c,0,0,0,0
SAB0904,0,0,0,0
SAB0905,0,0,0,0
SAB0906c,0,0,0,0
SAB0907,0,0,0,0
SAB0908c,0,0,0,0
SAB0909,0,0,0,0
SAB0910,0,0,0,0
SAB0911,0,0,0,0
SAB0912,0,0,0,0
SAB0916c,0,0,0,0
SAB0917c,0,0,0,0
SAB0919c,0,0,0,0
SAB0920c,0,0,0,0
SAB0921c,0,0,0,0
SAB0922c,0,0,0,0
SAB0923,0,0,0,0
SAB0928c,0,0,0,0
SAB0929c,0,0,0,0
SAB0930c,0,0,0,0
SAB0931,0,0,0,0
SAB0932,0,0,0,0
SAB0933,0,0,0,0
SAB0934,0,0,0,0
SAB0935,0,0,0,0
SAB0936,0,0,0,0
SAB0937,0,0,0,0
SAB0938,0,0,0,0
SAB0939,0,0,0,0
SAB0940,0,0,0,0
SAB0941,0,0,0,0
SAB0942c,0,0,0,0
SAB0943c,0,0,0,0
SAB0944c,0,0,0,0
SAB0945,0,0,0,0
SAB0946c,0,0,0,0
SAB0947,0,0,0,0
SAB0948,0,0,0,0
SAB0951c,0,0,0,0
SAB0952,0,0,0,0
SAB0953,0,0,0,0
SAB0954,0,0,0,0
SAB0955c,0,0,0,0
SAB0956c,0,0,0,0
SAB0957c,0,0,0,0
SAB0958,0,0,0,0
SAB0963,0,0,0,0
SAB0964,0,0,0,0
SAB0965,0,0,0,0
SAB0967,0,0,0,0
