gene,P23.1,P23.2,P23.3,P23.G.1,P23.G.2,P23.G.3
Inter.CP000255.1.0.2797567.132,1,1,2,6,2,0
gene1897,485,480,402,226,184,179
Inter.CP000255.1.1.1889014.16,0,3,3,1,1,0
Inter.CP000255.1.1.2538337.3,0,1,2,0,1,2
Inter.CP000255.1.1.944647.59,4,6,6,13,11,2
Inter.CP000255.1.1.771927.78,1,5,1,3,0,3
Inter.CP000255.1.1.285730.168,1,6,8,9,2,4
Inter.CP000255.1.1.2843453.0,0,1,0,0,0,0
Inter.CP000255.1.0.2772481.89,4,0,3,2,3,0
Inter.CP000255.1.1.771927.30,3,4,1,9,9,2
Inter.CP000255.1.1.1349794.6,18,18,15,17,7,3
Inter.CP000255.1.0.1231725.1,1,1,0,1,0,2
Inter.CP000255.1.0.2217814.168,3,7,5,12,1,2
Inter.CP000255.1.1.920559.4,5,6,8,22,10,4
Inter.CP000255.1.0.1853007.131,4,1,2,5,2,1
Inter.CP000255.1.1.394738.6,0,0,0,2,0,0
gene655,415,347,370,234,238,244
Inter.CP000255.1.0.1972520.85,8,1,3,3,4,6
Inter.CP000255.1.1.285730.163,1,0,0,3,2,0
Inter.CP000255.1.1.2848666.4,1,2,0,3,3,0
Inter.CP000255.1.0.763939.2,0,1,0,0,0,0
Inter.CP000255.1.1.1244688.505,1,2,1,3,3,0
Inter.CP000255.1.0.2393904.36,5,12,11,15,16,7
Inter.CP000255.1.0.2864684.11,9,2,3,12,8,5
Inter.CP000255.1.1.1388720.30,1,0,0,2,0,0
Inter.CP000255.1.1.1087371.28,29,24,26,42,49,38
Inter.CP000255.1.0.2175602.146,0,0,0,3,0,1
Inter.CP000255.1.0.1044013.13,3,3,1,9,2,0
Inter.CP000255.1.1.2130862.9,9,5,5,14,1,3
Inter.CP000255.1.0.1853007.46,1,4,2,2,0,0
Inter.CP000255.1.0.823444.2,1,2,2,7,0,0
Inter.CP000255.1.1.36552.4,1,1,0,0,1,0
Inter.CP000255.1.1.608577.62,8,8,6,8,2,1
Inter.CP000255.1.0.1836327.37,3,7,3,5,4,4
Inter.CP000255.1.1.746767.34,14,14,7,22,14,5
Inter.CP000255.1.0.2210614.19,1,0,1,0,3,1
Inter.CP000255.1.1.1531751.0,9,11,12,12,8,5
gene2212,2454,2134,2149,1503,1242,1223
Inter.CP000255.1.0.313053.43,2,1,0,3,2,0
Inter.CP000255.1.0.571077.4,13,7,8,6,11,7
Inter.CP000255.1.0.127839.14,2,1,2,5,4,8
Inter.CP000255.1.0.1802439.15,2,4,3,5,3,1
Inter.CP000255.1.0.1507114.4,0,0,1,2,0,0
Inter.CP000255.1.1.627780.7,0,1,0,1,0,0
Inter.CP000255.1.0.2305985.13,1,0,2,0,0,0
Inter.CP000255.1.1.10613.178,2,3,1,6,4,1
Inter.CP000255.1.1.2405189.35,2,3,1,6,2,0
Inter.CP000255.1.0.39082.6,34,36,38,32,16,10
Inter.CP000255.1.0.1911738.20,1,0,1,3,1,0
Inter.CP000255.1.0.1853007.40,15,11,13,5,0,3
Inter.CP000255.1.0.2457172.23,1,3,3,2,2,0
Inter.CP000255.1.1.727260.34,0,1,0,2,0,0
Inter.CP000255.1.0.278511.19,2,1,1,2,1,0
Inter.CP000255.1.0.256361.23,1,1,2,8,2,0
Inter.CP000255.1.1.1993145.5,1,2,0,1,0,1
Inter.CP000255.1.0.33345.3,27,18,16,58,58,55
Inter.CP000255.1.1.405471.2,3,5,7,8,5,0
Inter.CP000255.1.1.771927.26,0,0,0,2,1,1
Inter.CP000255.1.0.1697155.84,0,5,0,3,3,0
Inter.CP000255.1.0.1535564.53,45,53,65,62,39,59
Inter.CP000255.1.0.2627985.2,2,2,2,1,0,1
Inter.CP000255.1.1.1750552.0,7,8,4,7,12,14
Inter.CP000255.1.0.2558264.1,2,0,1,1,3,3
Inter.CP000255.1.0.2654672.23,3,2,3,3,1,2
Inter.CP000255.1.0.2030838.20,0,0,1,1,1,2
Inter.CP000255.1.1.2397690.11,1,2,2,0,0,1
Inter.CP000255.1.1.2618079.17,1,1,1,4,1,1
Inter.CP000255.1.1.1244688.408,2,0,3,4,1,1
Inter.CP000255.1.0.2620004.67,0,1,0,1,0,0
Inter.CP000255.1.0.1926438.90,0,1,1,3,2,2
Inter.CP000255.1.1.2202766.4,2,3,0,3,2,2
Inter.CP000255.1.0.1766067.76,3,0,3,4,3,2
Inter.CP000255.1.0.2243029.22,2,1,2,4,1,1
Inter.CP000255.1.0.1831977.6,0,2,0,1,1,0
Inter.CP000255.1.1.934609.6,0,0,1,1,0,2
Inter.CP000255.1.1.1151760.2,2,1,3,0,1,1
Inter.CP000255.1.0.739828.12,9,4,6,3,0,1
Inter.CP000255.1.0.389353.4,6,14,10,22,16,13
Inter.CP000255.1.1.1167050.5,0,1,0,1,0,1
Inter.CP000255.1.0.2753574.65,1,0,1,2,1,1
Inter.CP000255.1.0.1541358.257,1,1,2,2,0,0
Inter.CP000255.1.0.449448.3,1,1,3,6,2,4
Inter.CP000255.1.0.2175602.53,1,1,1,3,1,1
Inter.CP000255.1.0.690352.22,12,14,8,6,2,2
Inter.CP000255.1.1.102961.159,0,0,0,1,4,0
Inter.CP000255.1.0.766115.25,46,41,36,15,17,10
Inter.CP000255.1.1.651984.183,11,8,7,8,6,3
Inter.CP000255.1.0.253893.2,1,0,0,2,2,0
Inter.CP000255.1.0.2217814.15,0,1,4,2,0,2
Inter.CP000255.1.0.841640.6,233,275,225,14016,17313,21359
Inter.CP000255.1.1.394738.43,3,1,2,3,0,2
Inter.CP000255.1.0.1983750.77,0,1,1,1,1,0
Inter.CP000255.1.1.1371971.114,1,2,2,7,2,1
Inter.CP000255.1.1.2561891.4,0,1,3,2,3,1
Inter.CP000255.1.0.739828.19,3,0,1,5,3,0
Inter.CP000255.1.0.1802439.141,2,3,1,2,0,0
Inter.CP000255.1.0.1734711.43,0,0,3,7,1,0
Inter.CP000255.1.1.317971.3,1,1,0,1,0,1
Inter.CP000255.1.1.223379.89,13,4,8,14,5,3
Inter.CP000255.1.1.223379.16,5,1,8,2,2,0
Inter.CP000255.1.1.2028349.2,6,11,4,5,3,3
Inter.CP000255.1.0.1822090.11,0,0,0,3,3,1
Inter.CP000255.1.1.727260.30,1,0,1,1,1,0
Inter.CP000255.1.0.2604523.119,3,3,2,7,1,2
Inter.CP000255.1.0.2740813.2,0,2,3,6,3,1
Inter.CP000255.1.0.1902797.12,0,1,0,2,0,1
Inter.CP000255.1.0.2291621.69,8,8,8,16,5,7
Inter.CP000255.1.0.2492308.14,10,13,7,25,15,6
Inter.CP000255.1.0.2478895.17,3,3,0,2,1,0
Inter.CP000255.1.1.651984.234,3,3,3,7,1,2
Inter.CP000255.1.0.2393904.5,4,0,0,1,0,0
Inter.CP000255.1.1.92974.26,2,4,2,7,1,4
Inter.CP000255.1.0.1456753.48,0,2,0,3,4,1
Inter.CP000255.1.0.1966920.15,16,16,14,10,5,3
Inter.CP000255.1.0.1456753.170,1,2,2,1,1,1
Inter.CP000255.1.0.867459.20,3,2,4,5,3,3
Inter.CP000255.1.1.76226.110,1,0,5,5,5,2
Inter.CP000255.1.1.746767.5,3,7,6,14,5,6
Inter.CP000255.1.1.91744.2,0,0,1,1,0,0
Inter.CP000255.1.0.2457172.9,3,0,0,3,1,1
Inter.CP000255.1.1.1817173.3,16,14,13,9,4,8
Inter.CP000255.1.0.2013404.27,9,8,9,11,9,2
Inter.CP000255.1.0.854819.12,3,4,8,8,6,2
Inter.CP000255.1.0.1500086.18,0,2,1,1,2,0
Inter.CP000255.1.0.2217814.136,3,0,5,6,1,1
Inter.CP000255.1.0.1456753.74,1,0,0,0,0,0
Inter.CP000255.1.1.1170092.186,3,1,3,4,6,0
Inter.CP000255.1.1.2785642.4,0,3,2,1,0,0
Inter.CP000255.1.0.2729348.2,1,3,3,5,3,2
gene1982,870,800,777,6770,7453,9616
Inter.CP000255.1.0.636136.15,4,8,8,11,5,4
Inter.CP000255.1.0.1877792.14,0,3,1,5,3,0
Inter.CP000255.1.0.2175602.160,2,0,1,5,4,0
Inter.CP000255.1.0.1541358.110,2,2,2,5,2,1
Inter.CP000255.1.1.993769.66,0,4,1,0,2,0
Inter.CP000255.1.1.102961.86,0,1,0,3,3,0
Inter.CP000255.1.1.134234.132,8,6,4,12,8,5
Inter.CP000255.1.1.195296.119,1,7,6,8,5,2
Inter.CP000255.1.1.1026771.10,6,4,5,10,6,2
Inter.CP000255.1.0.297967.2,1,1,0,2,0,0
Inter.CP000255.1.1.1244688.164,26,39,49,51,42,26
Inter.CP000255.1.1.813246.132,2,1,2,4,4,1
Inter.CP000255.1.0.1507114.78,1,1,2,2,1,1
Inter.CP000255.1.1.1388720.119,3,4,0,2,2,1
Inter.CP000255.1.1.497222.199,4,4,3,6,5,8
Inter.CP000255.1.1.644112.17,0,3,1,6,6,2
Inter.CP000255.1.0.2128531.16,9,5,4,5,3,1
Inter.CP000255.1.0.576035.3,79,64,53,33,26,38
Inter.CP000255.1.0.581871.0,43,48,51,33,39,38
Inter.CP000255.1.0.1697155.95,0,3,1,2,2,2
Inter.CP000255.1.1.1503416.0,5,5,7,2,5,8
Inter.CP000255.1.0.441389.9,6,4,5,12,4,4
Inter.CP000255.1.0.111793.0,47,40,34,30,26,21
Inter.CP000255.1.0.1112388.7,4,4,10,10,8,4
Inter.CP000255.1.0.2175602.112,2,3,2,5,2,0
Inter.CP000255.1.0.2343175.82,0,2,0,0,0,1
Inter.CP000255.1.1.2859142.17,2,3,2,4,0,1
Inter.CP000255.1.1.771927.63,1,4,7,5,2,1
Inter.CP000255.1.0.2025472.26,1,3,1,0,1,1
Inter.CP000255.1.0.2255954.57,20,13,9,25,8,3
Inter.CP000255.1.1.2405189.55,35,26,23,48,58,34
Inter.CP000255.1.0.234808.0,4,4,4,9,5,1
Inter.CP000255.1.1.1986189.3,8,6,7,5,4,2
Inter.CP000255.1.0.2175602.65,0,2,2,2,4,2
Inter.CP000255.1.0.1766067.230,3,5,3,3,2,3
Inter.CP000255.1.0.313053.10,5,4,4,6,2,1
gene412,45,51,43,87,71,37
Inter.CP000255.1.1.1244688.529,4,0,4,3,1,2
Inter.CP000255.1.1.702756.27,1,1,0,7,0,1
Inter.CP000255.1.0.1084075.24,1,1,0,0,0,0
Inter.CP000255.1.1.885604.58,1,0,5,6,2,2
