,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_01473,1542,1685,1289,1893,1696,1357,1547,1379,1438
HG001_01474,592,733,539,992,785,635,654,544,578
HG001_01475,335,409,248,402,414,244,297,277,327
HG001_01476,1583,1515,1541,1574,1634,1210,1477,1800,1652
HG001_01477,12464,12353,13209,13463,12897,13229,17638,12480,11972
HG001_01478,90,49,52,71,58,46,55,70,54
HG001_01479,148,117,118,174,186,106,85,132,125
HG001_01480,93,85,74,105,93,78,75,91,89
HG001_01481,492,537,535,498,478,405,528,548,549
HG001_01482,384,470,408,408,425,358,455,455,438
HG001_01483,575,772,557,710,596,616,662,613,577
HG001_01484,172,196,171,224,177,194,182,148,157
HG001_01485,4579,5213,4826,5740,5047,4333,4869,4345,4356
HG001_01486,2037,2591,2101,2293,1908,1592,2522,2172,2166
HG001_01487,821,897,672,497,522,434,660,820,745
HG001_01488,276,276,239,227,213,159,271,247,308
HG001_01489,3429,3450,3006,3958,3531,3021,2824,2881,2793
HG001_01490,1319,1521,1266,1352,1253,917,1238,1403,1255
HG001_01491,2156,2741,2257,2342,2128,1571,2187,2191,2161
HG001_01492,943,1123,997,968,884,763,947,837,862
HG001_01493,330,243,209,260,228,207,290,239,261
HG001_01494,1233,1707,1299,1523,1319,1171,1443,1147,1204
HG001_01495,2312,3075,2345,3017,2687,2308,2581,2068,2255
HG001_01496,9306,12274,10520,13384,12082,9940,10843,11017,9713
HG001_01497,8576,10343,10134,12449,11563,9806,9700,10338,9233
HG001_01498,3113,3802,3755,4513,4249,3449,3677,3564,3386
HG001_01499,2924,2352,2352,3308,3334,2262,2066,2724,2321
HG001_01500,454,450,441,447,519,470,553,571,515
HG001_01501,208,169,176,219,215,181,236,231,241
HG001_01502,131,150,137,172,160,143,212,205,159
HG001_01503,952,825,1036,822,765,662,981,1164,965
HG001_01504,842,689,841,713,741,675,818,1017,860
HG001_01505,18357,20378,17537,20455,18445,15481,18517,19259,17751
HG001_01506,3461,4007,3061,3840,3641,2573,4011,3760,3336
HG001_01507,1559,1779,1200,1675,1517,1270,1719,1520,1545
HG001_01508,85,98,66,87,71,56,90,84,69
HG001_01509,834,931,810,1020,899,717,770,799,837
HG001_01510,915,846,575,1322,1176,821,564,649,628
HG001_01511,90,86,50,59,50,24,85,65,56
HG001_01512,46,54,47,61,36,45,60,47,52
HG001_01513,227,234,194,193,197,159,211,202,242
HG001_01514,32,46,30,31,29,27,25,42,36
HG001_01515,397,388,384,366,336,251,377,346,327
HG001_01516,392,549,406,478,443,393,395,376,402
HG001_01517,564,743,683,687,698,627,612,636,608
HG001_01518,569,875,757,751,655,544,640,623,599
HG001_01519,162,210,163,189,169,153,155,122,144
HG001_01520,351,457,431,473,441,379,385,377,368
HG001_01521,739,872,734,752,731,630,666,708,668
HG001_01522,346,397,327,346,346,273,290,333,330
HG001_01523,249,321,223,312,269,225,265,234,229
HG001_01524,1,3,0,0,1,0,1,0,1
HG001_01525,44,50,32,47,29,39,38,34,26
HG001_01526,59,55,51,53,45,39,42,35,42
HG001_01527,1283,1526,1911,1322,1267,1157,1518,1262,1138
HG001_01528,780,1046,1169,866,781,738,991,813,705
HG001_01529,1114,1564,1847,1251,1103,1068,1373,1236,1163
HG001_01530,197,358,327,242,221,225,245,218,198
HG001_01531,439,648,743,536,524,469,503,449,413
HG001_01532,166,219,250,184,174,147,164,156,153
HG001_01533,1387,1261,1192,1309,1308,1025,1127,1206,1174
HG001_01534,757,658,826,680,733,633,634,838,701
HG001_01535,945,789,1024,874,861,775,873,1022,946
HG001_01536,301,316,313,311,327,256,306,303,297
HG001_01537,55,70,48,78,55,60,54,47,59
HG001_01538,1219,1289,957,1469,1326,1044,1105,945,979
HG001_01539,1022,1422,963,1349,1278,1102,1070,951,912
HG001_01540,655,841,567,844,788,645,631,541,568
HG001_01541,1328,1524,1495,1492,1386,1129,1378,1430,1332
HG001_01542,270,428,211,442,345,273,272,242,247
HG001_01543,1055,1145,987,1340,1266,907,1047,1077,1102
HG001_01544,87,92,74,116,106,60,72,70,82
HG001_01545,1294,1060,1300,1494,1682,1575,1117,1262,1218
HG001_01546,571,563,590,879,910,835,552,528,567
HG001_01547,40,23,49,28,18,31,33,43,39
HG001_01548,4821,4727,2965,5719,4171,2342,5176,3318,3681
HG001_01549,2869,4666,3085,4485,3765,1972,3771,3220,3158
HG001_01550,232,310,188,372,313,225,277,229,223
HG001_01551,1996,2345,2109,2457,2353,2035,2100,2137,2201
HG001_01552,514,649,525,642,609,352,575,544,571
HG001_01553,100360,119314,96738,128036,125077,124610,94210,99393,78733
HG001_01554,1090,1358,1371,1353,1299,902,1186,1298,1210
HG001_01555,296,404,332,378,413,277,333,388,349
HG001_01556,515,515,317,539,522,314,465,374,388
HG001_01557,875,998,894,673,620,611,910,947,952
HG001_01558,796,720,788,595,534,526,794,824,810
HG001_01559,2307,2305,2365,2038,1921,1785,2355,2335,2503
HG001_01560,277,341,296,371,318,240,291,306,268
HG001_01561,398,494,380,582,438,369,367,357,392
HG001_01562,1944,2120,1889,2266,2241,1931,1602,1735,1721
HG001_01563,411,378,336,466,488,329,314,315,309
HG001_01564,683,785,716,953,961,679,710,719,685
HG001_01565,720,946,1009,1182,1061,847,868,827,849
HG001_01566,969,1327,1374,1596,1407,1310,1289,1149,1168
HG001_01567,575,823,835,902,877,787,751,669,684
HG001_01568,361,312,424,450,401,376,361,421,370
HG001_01569,1372,1670,1765,1795,1736,1661,1568,1532,1437
HG001_01570,3998,3378,3307,4508,4442,3933,2699,3431,2926
HG001_01571,1158,1122,989,1389,1325,1003,881,997,982
HG001_01572,1663,2492,1536,2587,2497,1867,1626,1519,1603
HG001_01573,175,171,166,212,182,180,168,172,177
HG001_01574,456,510,406,572,518,409,450,441,445
HG001_01575,495,424,342,336,342,207,336,371,364
HG001_01576,414,347,307,427,476,359,309,374,292
HG001_01577,31,55,41,58,54,50,25,52,48
HG001_01578,6,4,7,5,2,4,7,3,5
HG001_01579,2730,3085,3077,3023,2577,2320,2697,2783,2642
HG001_01580,3921,4948,4332,4504,4281,3783,4293,4007,4000
HG001_01581,328,275,241,370,335,169,268,283,298
HG001_01582,329,265,279,389,411,335,264,299,293
HG001_01583,255,304,303,439,355,387,368,233,240
HG001_01584,3915,2194,3047,3181,3031,3028,2164,3591,2994
HG001_01585,1434,866,1157,1161,1185,1124,828,1319,1154
HG001_01586,375,340,270,369,355,278,237,320,302
HG001_01587,1158,1260,1040,1316,1200,973,795,1036,959
HG001_01588,695,702,509,715,693,557,490,527,492
HG001_01589,5839,7621,5573,7791,7086,6023,4915,5082,5103
HG001_01590,68,102,51,71,50,48,66,48,71
HG001_01591,1332,1580,1215,1575,1533,1133,1191,1375,1314
HG001_01592,3539,3864,2860,3939,3755,2552,3246,3406,3233
HG001_01593,375,451,305,381,369,291,345,337,384
HG001_01594,121,153,112,162,150,127,149,127,148
HG001_01595,739,799,583,915,970,642,562,602,657
HG001_01596,576,718,427,654,648,485,438,467,492
HG001_01597,750,933,681,972,989,614,675,705,668
HG001_01598,93,83,71,106,99,103,70,85,64
HG001_01599,1280,735,1178,1201,1256,1380,978,1212,1093
HG001_01600,284,161,234,237,209,143,211,264,241
HG001_01601,1610,1807,1670,1449,1409,1177,1519,1703,1693
HG001_01602,411,352,213,393,321,222,342,199,277
HG001_01603,1292,1660,1374,1645,1528,1401,1181,1299,1199
HG001_01604,967,1095,959,1143,1068,971,852,866,881
HG001_01605,251,361,257,361,322,280,274,262,300
HG001_01606,10222,9189,7758,8232,8315,7398,7109,8249,8429
HG001_01607,3752,4110,3521,3765,3306,3010,3640,3582,3502
HG001_01608,2698,2475,2728,2419,2210,2101,2517,2707,2525
HG001_01609,4552,4748,4826,4341,4257,3998,4784,4644,4543
HG001_01610,344,347,288,373,360,269,314,325,303
HG001_01611,3155,3304,3033,3068,2805,2178,3075,2941,2967
HG001_01612,845,1170,902,906,957,651,1079,902,947
HG001_01613,5137,5839,5470,5027,4745,3787,5077,6034,5264
HG001_01614,1196,1389,1371,1414,1351,1111,1320,1505,1384
HG001_01615,1230,776,1131,1110,1194,1062,823,1070,1068
HG001_01616,0,5,3,3,1,2,0,1,0
HG001_01617,6,9,11,14,12,2,11,15,6
HG001_01618,10384,9264,8931,10238,9589,6808,8020,10590,9330
HG001_01619,1353,1539,1211,1325,1428,1058,1319,1555,1409
HG001_01620,887,968,906,1035,962,862,944,972,942
HG001_01621,805,963,941,1007,936,816,894,976,925
HG001_01622,774,828,884,933,874,760,801,905,881
HG001_01623,4800,5626,5185,4825,4406,3400,4837,5103,4664
HG001_01624,1066,1281,1292,1259,1110,995,1101,1332,1156
HG001_01625,645,808,689,679,615,543,704,702,660
HG001_01626,9424,8653,7277,12297,10431,9636,7627,7434,6864
HG001_01627,10258,10341,8589,9948,9189,7977,8835,7479,7942
HG001_01628,1688,2196,1813,2038,1827,1536,2074,1879,1852
HG001_01629,25719,25215,28115,28211,25248,22772,22387,26494,22314
HG001_01630,25003,17210,18403,24703,22940,24498,14413,18734,17688
HG001_01631,2170,2364,1961,2401,2435,1956,1809,2088,1891
HG001_01632,555,713,582,624,545,498,624,520,569
HG001_01633,1903,1663,1479,1554,1410,1223,1405,1742,1603
HG001_01634,124,138,128,122,143,115,138,125,122
HG001_01635,148,125,164,130,117,148,142,135,175
HG001_01636,93,77,48,75,64,65,70,61,68
HG001_01637,6477,6728,5727,8075,7411,6118,5241,5691,5424
HG001_01638,128,141,122,165,187,143,120,127,139
HG001_01639,3247,2925,2619,4098,3906,3299,2352,2842,2721
HG001_01640,150,159,145,176,149,117,160,148,141
HG001_01641,828,832,687,640,688,526,645,681,655
HG001_01642,186,147,182,116,160,119,183,220,154
HG001_01643,230,214,281,194,206,191,293,310,305
HG001_01644,585,717,601,692,625,536,683,602,517
HG001_01645,1187,1249,1250,1608,1504,1208,1007,1134,1074
HG001_01646,166,200,143,213,195,149,146,150,194
HG001_01647,311,269,200,290,290,220,238,258,270
HG001_01648,360,357,291,131,108,138,352,467,383
HG001_01649,107,113,65,137,93,80,115,76,72
HG001_01650,105,93,77,118,102,88,79,100,91
HG001_01651,181,265,244,442,399,384,217,215,211
HG001_01652,1,1,1,0,0,0,0,2,1
HG001_01653,48782,50327,50658,56649,49779,47630,55502,53129,50139
HG001_01654,4337,5328,6288,6473,5905,6729,4740,4798,4409
HG001_01655,94,106,92,131,133,106,81,93,110
HG001_01656,244,263,221,320,331,269,218,295,263
HG001_01657,3652,3654,2238,4396,4154,3063,1835,2308,2189
HG001_01658,900,1102,859,627,574,369,1071,1212,1095
HG001_01659,15265,27802,21246,33017,27570,23126,21095,16389,16911
HG001_01660,16486,14469,12442,21541,18904,14913,13337,12638,12336
HG001_01661,2985,3982,3364,4097,3533,2858,3360,3056,2956
HG001_01662,10659,15766,13375,14465,13059,10603,12700,11051,11051
HG001_01663,1302,1443,1318,1529,1375,1117,1295,1068,1147
HG001_01664,668,720,653,849,772,564,729,619,663
HG001_01665,882,955,680,969,895,674,835,822,797
HG001_01666,1101,1311,1007,1246,1143,912,1126,1120,1104
HG001_01667,63,24,13,39,20,8,53,22,37
HG001_01668,355,413,315,524,481,341,322,323,337
HG001_01669,789,795,631,877,769,655,652,674,614
HG001_01670,1324,1492,1157,1736,1633,1288,1150,1328,1325
HG001_01671,1192,1366,1238,1371,1235,1053,1214,1326,1176
HG001_01672,734,790,698,726,755,581,793,869,853
HG001_01673,3394,4631,3706,5802,4897,4542,4172,2930,3150
HG001_01674,402,554,427,623,589,509,417,368,374
HG001_01675,371,403,375,500,443,431,377,347,364
HG001_01676,359,328,350,434,429,334,330,399,368
HG001_01677,257,426,361,454,387,338,348,322,325
HG001_01678,300,376,238,285,227,242,271,262,253
HG001_01679,1356,1469,1335,1254,1189,955,1213,1484,1364
HG001_01680,156,168,151,173,112,82,161,147,116
HG001_01681,172,110,136,166,163,159,119,135,129
HG001_01682,210,178,182,229,211,156,187,176,187
HG001_01683,99,122,117,157,135,99,94,111,97
HG001_01684,1916,1642,1406,2459,2374,1331,1345,1540,1354
HG001_01685,2,5,4,7,4,3,2,1,2
HG001_01686,5,4,2,2,0,1,3,4,1
HG001_01687,2636,2844,2254,3375,3076,2328,2483,2569,2294
HG001_01688,2283,2424,1949,2841,2845,2166,1609,1943,1948
HG001_01689,278,331,399,329,334,311,553,462,404
HG001_01690,534,822,878,846,792,731,1057,805,837
HG001_01691,186,285,361,304,263,291,383,294,316
HG001_01692,355,455,548,487,466,476,572,463,496
HG001_01693,369,418,381,431,411,408,402,442,365
HG001_01694,300,352,362,418,394,303,342,296,345
HG001_01695,31,19,23,23,30,20,28,16,22
HG001_01696,91,126,103,195,142,129,108,104,96
HG001_01697,78,104,83,111,77,69,61,78,70
HG001_01698,1521,1764,1365,2234,2134,1413,1378,1315,1280
HG001_01699,237,351,231,432,443,262,252,216,207
HG001_01700,12,19,20,29,24,23,22,24,26
HG001_01701,13,16,11,17,13,7,22,25,13
HG001_01702,15,20,13,16,14,17,16,21,11
HG001_01703,43,30,40,46,45,31,54,49,39
HG001_01704,363,416,314,284,257,247,324,364,380
HG001_01705,0,3,2,3,1,0,4,0,4
HG001_01706,11,8,1,26,18,12,8,6,8
HG001_01707,12,18,11,26,23,20,12,12,7
HG001_01708,4,12,9,9,3,8,7,7,6
HG001_01709,0,3,2,1,0,0,0,1,0
HG001_01710,2317,2620,2184,2568,2286,1944,2146,2117,2100
HG001_01711,768,791,522,695,634,555,677,564,594
HG001_01712,429,345,330,448,545,361,365,416,391
HG001_01713,47,35,59,76,29,44,25,44,37
HG001_01714,42833,37178,39129,39189,36789,34469,37528,42228,43132
HG001_01715,213,262,185,338,280,226,208,153,155
HG001_01716,0,1,0,5,0,1,2,0,0
HG001_01717,88,53,73,69,84,54,69,112,94
HG001_01718,30,37,29,52,38,27,37,34,40
HG001_01719,126,96,99,107,133,116,83,104,69
HG001_01720,398,413,412,513,479,389,333,408,384
HG001_01721,218,223,200,229,273,197,184,193,200
HG001_01722,10,20,5,11,11,7,3,8,9
HG001_01723,4415,7218,6566,8470,7444,8540,7593,5612,5756
HG001_01724,7851,10207,10511,13504,12344,13926,12210,9833,9518
HG001_01725,15,38,23,33,24,17,24,32,19
HG001_01726,16,11,14,14,16,7,16,13,18
HG001_01727,34,68,44,77,50,51,51,42,48
HG001_01728,21,15,17,22,14,8,24,17,13
HG001_01729,21,23,17,28,12,22,12,23,21
HG001_01730,104,115,107,122,124,95,99,125,107
HG001_01731,18,42,26,36,21,23,20,23,18
HG001_01732,0,1,0,0,1,0,1,1,1
HG001_01733,0,1,3,0,0,0,1,2,2
HG001_01734,50,85,58,78,66,49,65,55,52
HG001_01735,161,206,149,246,210,189,167,164,201
HG001_01736,120,110,127,134,153,151,90,122,132
HG001_01737,125,115,144,216,272,179,133,223,166
HG001_01738,71,95,118,162,208,147,101,180,104
HG001_01739,105,82,161,186,250,149,111,193,145
HG001_01740,69,53,105,138,157,112,97,155,84
HG001_01741,45,55,60,87,135,82,72,101,85
HG001_01742,44,30,47,52,79,49,59,78,56
HG001_01743,5,15,9,13,9,7,13,11,8
HG001_01744,1272,1929,1345,1635,1406,1561,1555,902,1138
HG001_01745,2718,2381,2570,2846,2235,2305,2580,1779,2057
HG001_01746,10160,12021,9813,12527,11208,10913,9716,6983,7601
HG001_01747,3744,4890,3932,5217,5023,4813,3982,3096,3202
HG001_01748,21,26,17,27,12,19,22,21,14
HG001_01749,99,114,103,123,106,103,87,97,81
HG001_01750,161,174,135,214,141,160,163,152,151
HG001_01751,49,52,53,83,68,49,46,55,42
HG001_01752,12,21,27,27,21,14,26,19,18
HG001_01753,12,7,11,12,8,11,12,8,11
HG001_01754,31,38,31,49,48,54,48,33,31
HG001_01755,263,263,177,230,199,166,247,179,240
HG001_01756,5,2,4,5,5,1,5,4,4
HG001_01757,10,6,4,9,8,5,6,8,14
HG001_01758,13,6,11,13,13,7,9,17,11
HG001_01759,4,5,5,9,6,3,5,10,6
HG001_01760,18,6,12,23,9,14,7,29,14
HG001_01761,15,6,14,20,13,7,4,16,10
HG001_01762,2,1,6,4,5,1,2,4,1
HG001_01763,4,2,0,9,5,4,5,7,3
HG001_01764,66,80,61,54,43,32,94,112,110
HG001_01765,1580,1873,1691,1786,1733,1312,1473,1758,1732
HG001_01766,668,833,729,838,800,665,697,775,690
HG001_01767,522,724,569,725,672,552,586,595,581
HG001_01768,3839,4055,3221,5897,4871,4476,2776,2708,2681
HG001_01769,496,559,419,640,530,451,470,400,431
HG001_01770,237,253,222,287,303,257,238,250,237
HG001_01771,690,657,563,887,794,704,684,652,624
HG001_01772,5934,6167,5269,7431,6682,5589,5660,5424,5369
HG001_01773,18,14,8,18,11,4,18,11,21
HG001_01774,1336,1191,791,871,860,694,980,1179,1043
HG001_01775,2635,3437,2632,3489,2930,2522,2365,2220,2267
HG001_01776,3908,5047,3904,5088,4191,3765,3873,3460,3523
HG001_01777,623,815,610,823,677,522,698,522,566
HG001_01778,5664,5339,4292,6601,6004,4699,4194,5044,4471
HG001_01779,211,198,168,272,250,215,222,158,157
HG001_01780,119,153,116,155,149,80,148,131,134
HG001_01781,82,114,94,124,107,115,105,112,115
HG001_01782,144,173,153,216,224,205,177,169,155
HG001_01783,460,390,397,428,438,334,345,399,390
HG001_01784,4542,3592,3872,4518,4474,3707,3083,4044,3776
HG001_01785,21,14,11,15,15,11,11,12,14
HG001_01786,1949,1995,1690,2251,1967,1452,1964,1578,1736
HG001_01787,6174,6649,5437,7093,6067,4053,6299,5667,5463
HG001_01788,249,344,278,248,270,237,289,267,275
HG001_01789,519,727,602,553,501,454,595,538,546
HG001_01790,92,111,100,128,119,98,116,131,112
HG001_01791,62,76,84,57,65,60,70,57,76
HG001_01792,202,170,159,278,234,213,176,150,154
HG001_01793,56,76,47,49,39,37,58,53,60
HG001_01794,15,9,13,15,12,16,12,8,8
HG001_01795,3,6,6,7,3,6,6,7,10
HG001_01796,6,2,4,1,4,1,0,7,3
HG001_01797,6,4,10,10,8,6,4,3,5
HG001_01798,5,5,3,9,6,6,5,5,4
HG001_01799,5,7,6,7,7,8,7,7,13
HG001_01800,11,9,7,15,23,11,9,18,11
HG001_01801,5,5,4,8,5,4,8,8,4
HG001_01802,1,4,5,7,2,5,0,5,5
HG001_01803,4,5,3,9,2,3,5,11,6
HG001_01804,4,1,9,11,8,7,3,9,8
HG001_01805,6,1,2,5,2,4,4,4,4
HG001_01806,10,9,5,9,13,6,9,15,7
HG001_01807,40,21,24,31,26,27,25,32,25
HG001_01808,30,10,15,21,19,21,14,32,13
HG001_01809,13,9,15,11,10,15,13,15,13
HG001_01810,5,1,3,3,5,1,2,7,2
HG001_01811,13,5,7,10,9,10,9,18,5
HG001_01812,6,1,2,3,2,6,2,2,4
HG001_01813,13,7,6,10,14,6,4,7,15
HG001_01814,21,7,3,22,21,14,13,12,14
HG001_01815,5,0,4,5,2,1,3,6,1
HG001_01816,4,4,4,4,1,3,5,6,1
HG001_01817,26,15,19,31,25,17,18,21,31
HG001_01818,4,1,3,1,3,3,2,1,1
HG001_01819,7,0,1,5,4,3,5,8,2
HG001_01820,1,0,1,1,0,1,1,1,1
HG001_01821,0,2,3,2,0,3,0,3,4
HG001_01822,1042,4411,10727,1250,256,946,1442,3374,5742
HG001_01823,7,4,6,8,12,7,1,9,9
HG001_01824,0,1,1,1,1,0,2,1,0
HG001_01825,633,1390,2430,750,103,537,842,1363,2344
HG001_01826,2972,2889,2726,4928,4378,3165,2945,2471,2455
HG001_01827,689,997,798,949,1006,573,948,664,754
HG001_01828,252,461,290,342,467,228,407,227,262
HG001_01829,977,620,917,899,993,1002,743,1079,954
HG001_01830,691,545,511,709,734,591,514,656,544
HG001_01831,376,431,386,285,272,251,343,344,365
HG001_01832,325,403,300,388,333,252,328,333,382
HG001_01833,119,173,121,136,144,101,136,109,147
HG001_01834,540,489,540,641,586,521,524,580,520
HG001_01835,121,127,86,106,96,73,128,100,119
HG001_01836,247,287,233,220,224,163,305,240,262
HG001_01837,54,66,46,83,66,55,89,63,72
HG001_01838,80,115,79,105,85,72,126,95,114
HG001_01839,493,536,436,532,557,348,455,387,434
HG001_01840,6642,7271,6265,6290,6340,4206,6266,6023,6185
HG001_01841,48,48,51,62,64,26,57,61,68
HG001_01842,105,116,104,149,159,107,108,105,81
HG001_01843,0,6,1,6,3,0,2,2,0
HG001_01844,192,280,260,349,315,280,199,237,178
HG001_01845,1576,2205,1716,3205,3418,2505,1597,1441,1277
HG001_01846,293,349,289,720,738,478,177,152,179
HG001_01847,292,405,297,682,761,468,224,245,207
HG001_01848,798,995,821,1764,1952,1271,608,618,553
HG001_01849,1036,1039,1040,2216,2611,1765,659,789,607
HG001_01850,212,239,216,431,476,333,131,155,121
HG001_01851,58,81,62,140,143,108,47,52,40
HG001_01852,119,181,164,279,362,266,95,104,84
HG001_01853,879,1117,998,2144,2245,1687,589,687,599
HG001_01854,938,1191,979,2234,2546,1647,653,685,628
HG001_01855,1088,1361,1068,2435,2671,1844,748,808,693
HG001_01856,636,843,557,1495,1659,1083,476,489,372
HG001_01857,2652,2919,2393,5300,5697,3991,1656,1806,1572
HG001_01858,239,335,227,561,552,379,173,197,141
HG001_01859,274,341,279,640,656,527,210,213,172
HG001_01860,805,980,734,1695,1868,1405,555,670,513
HG001_01861,352,460,319,834,875,597,269,250,234
HG001_01862,353,461,393,802,936,691,291,292,250
HG001_01863,388,447,342,883,909,657,258,246,245
HG001_01864,472,550,460,1075,1192,827,338,353,287
HG001_01865,267,275,286,550,613,386,161,195,139
HG001_01866,1400,1507,1267,2895,3444,2273,883,981,753
HG001_01867,883,1225,1033,2298,2553,1784,657,709,584
HG001_01868,97,97,111,184,209,128,71,88,50
HG001_01869,258,433,306,633,729,502,292,254,212
HG001_01870,380,400,341,736,816,551,273,264,249
HG001_01871,236,282,228,513,607,397,198,198,146
HG001_01872,108,131,104,199,238,140,69,82,74
HG001_01873,154,189,222,320,312,252,150,157,129
HG001_01874,46,54,56,100,93,79,50,42,39
HG001_01875,27,38,38,61,61,47,36,35,23
HG001_01876,24,55,39,64,59,57,37,45,27
HG001_01877,54,90,54,125,133,106,68,58,40
HG001_01878,15,13,10,24,21,19,14,16,15
HG001_01879,135,254,222,354,373,287,162,182,120
HG001_01880,53,90,68,137,122,87,54,39,42
HG001_01881,37,91,76,126,152,100,64,63,63
HG001_01882,58,80,80,132,148,88,62,65,47
HG001_01883,60,96,83,150,168,112,71,72,54
HG001_01884,57,83,73,125,152,100,67,52,42
HG001_01885,44,71,65,109,129,81,43,33,28
HG001_01886,39,74,65,108,119,69,40,51,37
HG001_01887,50,119,90,162,181,105,80,63,48
HG001_01888,45,71,62,112,135,72,42,48,36
HG001_01889,360,467,422,750,843,604,340,328,288
HG001_01890,129,152,159,232,322,195,134,105,80
HG001_01891,205,301,286,495,572,339,248,185,169
HG001_01892,178,341,275,439,568,350,177,191,142
HG001_01893,175,251,230,469,487,322,205,163,132
HG001_01894,218,398,299,440,546,362,208,221,162
HG001_01895,174,290,270,301,350,255,153,145,141
HG001_01896,53,83,89,112,111,74,49,40,33
HG001_01897,52,141,84,190,175,91,87,73,55
HG001_01898,12,13,20,28,28,18,13,19,10
HG001_01899,107,181,149,260,284,175,106,103,81
HG001_01900,179,335,308,518,569,346,200,219,165
HG001_01901,50,157,126,173,182,138,78,73,50
HG001_01902,355,713,508,921,1075,776,382,378,290
HG001_01903,251,314,255,631,608,391,213,207,156
HG001_01904,57,88,48,121,116,60,38,38,40
HG001_01905,199,218,174,265,240,222,194,191,196
HG001_01906,12,8,12,16,18,7,11,11,10
HG001_01907,113,223,130,201,149,122,109,133,145
HG001_01908,357,427,347,422,435,293,334,376,375
HG001_01909,34,25,25,25,30,30,30,33,26
HG001_01910,77,98,70,112,95,63,79,68,67
HG001_01911,275,302,310,400,331,242,257,311,308
HG001_01912,935,1232,932,1412,1218,987,910,864,906
HG001_01913,1027,1214,1024,1471,1297,1135,1039,991,1039
HG001_01914,37,55,22,53,50,41,40,22,32
HG001_01915,2194,2905,1985,3305,3062,3254,2282,1657,1913
HG001_01916,2449,2151,1967,2986,2746,3094,2180,1896,1983
HG001_01917,6590,7511,6211,8420,8231,6800,6402,5470,5992
HG001_01918,890,966,671,628,603,377,578,674,680
HG001_01919,629,712,472,418,431,289,541,516,541
HG001_01920,109,127,96,94,104,80,105,126,120
HG001_01921,17,21,10,20,14,4,6,5,15
HG001_01922,1001,980,781,999,939,743,851,948,933
HG001_01923,66,53,54,73,75,56,51,65,62
HG001_01924,4,4,4,4,1,2,2,4,0
HG001_01925,325,427,277,422,407,333,317,325,352
HG001_01926,438,629,547,723,663,468,503,566,539
HG001_01927,4295,4641,3092,5639,5429,4744,2839,2597,2986
HG001_01928,87,75,70,113,83,68,76,74,70
HG001_01929,260,250,275,303,262,218,253,299,241
HG001_01930,160,124,119,209,168,123,147,135,133
HG001_01931,264,329,257,384,304,288,282,266,274
HG001_01932,357,449,345,477,469,284,403,421,392
HG001_01933,4019,4923,4442,5550,4999,4003,4143,4579,4471
HG001_01934,1471,1600,1492,2035,1937,1463,1543,1759,1616
HG001_01935,74,90,83,118,111,69,82,67,66
HG001_01936,589,390,610,912,856,957,458,543,538
HG001_01937,1369,1878,1518,1756,1507,1247,1470,1400,1353
HG001_01938,1226,1829,1642,1633,1486,1221,1297,1344,1302
HG001_01939,686,1007,837,991,809,786,770,735,773
HG001_01940,84,134,95,100,110,70,87,87,78
HG001_01941,329,279,242,304,298,239,253,272,257
HG001_01942,597,659,501,647,701,549,597,626,628
HG001_01943,305,363,326,417,434,200,262,407,350
HG001_01944,42,30,34,37,33,15,40,40,32
HG001_01945,377,368,475,439,390,366,345,431,389
HG001_01946,647,776,801,910,795,640,699,711,659
HG001_01947,1129,1468,1527,1503,1392,1356,1282,1248,1153
HG001_01948,728,1112,973,1146,1029,1014,1010,811,830
HG001_01949,701,775,618,911,1011,685,538,638,691
HG001_01950,375,459,347,537,554,386,295,359,310
HG001_01951,736,775,782,1046,923,785,679,584,738
HG001_01952,978,997,917,1101,961,920,897,750,812
HG001_01953,341,420,272,324,354,334,295,276,315
HG001_01954,3876,3447,3262,4000,4076,3141,2772,3599,3276
HG001_01955,6687,7940,7252,9444,8718,8568,6969,6502,6427
HG001_01956,1339,1440,1254,953,1024,654,1244,1369,1256
HG001_01957,10,11,14,18,12,11,10,10,5
HG001_01958,182,167,159,183,186,122,171,196,165
HG001_01959,113,104,112,133,145,136,95,84,79
HG001_01960,427,564,439,599,519,431,477,477,456
HG001_01961,144,166,129,162,162,148,160,166,135
HG001_01962,83,109,80,132,103,76,91,100,120
HG001_01963,2269,2653,2185,3614,3353,3218,2287,2020,1977
HG001_01964,464,413,301,461,399,273,248,224,283
HG001_01965,2111,2432,1703,2282,1945,1222,1164,1264,1448
HG001_01966,57,37,33,54,38,25,41,23,43
HG001_01967,1630,1836,1543,1676,1610,955,1011,1127,1208
HG001_01968,693,866,618,800,745,424,419,495,571
HG001_01969,1,1,2,2,1,1,0,2,2
HG001_01970,1353,1588,1219,1626,1651,1186,1250,1231,1262
HG001_01971,66,90,82,98,80,78,85,67,64
HG001_01972,329,523,439,493,411,305,552,368,394
HG001_01973,35,56,29,90,99,60,36,43,50
HG001_01974,440,563,362,913,849,577,385,345,341
HG001_01975,0,0,0,0,0,1,0,1,0
HG001_01976,3,2,0,1,3,1,3,7,3
HG001_01977,128,164,135,165,145,105,128,113,132
HG001_01978,150,161,142,323,261,250,148,175,137
HG001_01979,5,11,9,7,7,8,12,5,8
HG001_01980,1,2,3,4,1,0,0,1,3
HG001_01981,758,612,629,787,641,673,500,540,534
HG001_01982,10,19,8,17,15,9,6,6,17
HG001_01983,4,5,9,11,2,8,5,4,1
