,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_00039,7,12,4,8,9,7,7,6,6
HG001_00040,115,130,122,157,114,103,166,142,139
HG001_00041,7,5,2,3,5,3,3,1,4
HG001_00042,28,30,36,27,24,16,31,20,26
HG001_00043,39,48,41,29,33,24,38,24,34
HG001_00044,1179,1635,1309,1934,1732,1351,1279,1198,1125
HG001_00045,371,594,474,649,550,438,452,403,401
HG001_00046,284,327,337,616,615,448,263,325,262
HG001_00047,35,49,50,61,53,36,41,29,39
HG001_00048,53,82,71,99,95,64,59,48,46
HG001_00049,72,97,104,121,105,82,69,73,72
HG001_00050,103,122,142,157,128,116,97,97,102
HG001_00051,738,1025,900,1059,1002,862,860,823,828
HG001_00052,907,910,1048,1156,1163,1115,923,790,875
HG001_00053,667,659,759,857,883,906,708,700,690
HG001_00054,128,165,124,198,187,193,166,138,153
HG001_00055,853,880,640,1372,1429,1318,404,429,496
HG001_00056,4,4,4,6,3,5,3,1,5
HG001_00057,23,26,24,27,22,25,27,18,22
HG001_00058,1168,1374,1094,1810,1650,1572,1117,825,994
HG001_00059,3317,3707,3818,4931,4741,3908,3538,3176,3379
HG001_00060,185,291,199,420,512,396,325,328,334
HG001_00061,216,162,121,188,205,136,156,176,174
HG001_00062,1197,1180,1150,1694,1632,1364,1284,1109,1134
HG001_00063,20,19,23,15,29,18,25,24,23
HG001_00064,70,66,53,73,59,33,68,60,74
HG001_00065,20,15,11,10,6,9,13,14,23
HG001_00066,20,28,37,29,28,8,29,33,18
HG001_00067,66,44,64,54,45,52,65,63,50
HG001_00068,21,32,39,47,26,37,32,23,24
HG001_00069,59,65,60,58,49,46,65,56,45
HG001_00070,84,100,120,95,105,88,90,99,96
HG001_00071,68,92,83,100,79,85,82,84,81
HG001_00072,110,137,156,196,167,118,156,126,153
HG001_00073,113,206,185,194,182,166,163,166,157
HG001_00074,34,18,21,36,34,24,29,14,22
HG001_00075,23,33,26,38,35,30,18,18,24
HG001_00076,9420,10213,9889,10224,9932,8910,8690,9711,8922
HG001_00077,11,31,24,29,5,14,18,11,17
HG001_00078,9,11,14,11,7,8,9,11,7
HG001_00079,18,22,23,15,25,23,26,17,23
HG001_00080,6,17,15,16,13,5,13,10,13
HG001_00081,84,98,85,139,102,81,109,85,88
HG001_00082,399,396,318,516,512,476,286,387,335
HG001_00083,1792,1808,1878,2301,2415,2370,1785,2044,2019
HG001_00084,257,308,293,269,284,210,228,278,267
HG001_00085,66,84,72,87,81,76,80,105,83
HG001_00086,363,291,278,415,356,340,350,309,323
HG001_00087,2650,2674,2812,2840,2706,2526,2707,3092,3017
HG001_00088,5644,4519,5614,4102,4479,4029,5212,6386,6219
HG001_00089,16,12,25,24,27,20,16,19,16
HG001_00090,10,21,23,13,14,20,15,16,11
HG001_00091,12,16,21,26,25,29,10,16,10
HG001_00092,23,47,30,44,43,33,30,20,30
HG001_00093,59,83,79,97,68,83,81,83,81
HG001_00094,301,354,394,327,360,289,344,417,393
HG001_00095,0,2,0,0,0,1,1,0,1
HG001_00096,18,29,24,34,18,14,28,21,19
HG001_00097,4,17,9,8,4,1,16,4,6
HG001_00098,50,58,48,69,59,42,56,42,44
HG001_00099,352,420,345,692,627,626,261,303,315
HG001_00100,2740,4156,3593,4333,3762,3536,3009,1975,2493
HG001_00101,3412,5000,4650,5104,4686,4405,3696,2555,3005
HG001_00102,3693,5867,5036,5907,5290,4718,3949,2706,3266
HG001_00103,5032,7046,7301,7704,6836,6399,5729,4480,4961
HG001_00104,2154,3297,3290,3215,2862,2684,2591,2058,2185
HG001_00105,2646,3884,3751,3979,3323,3062,2868,2255,2405
HG001_00106,2489,3381,3506,3385,2994,2968,2457,2178,2320
HG001_00107,1247,1702,1701,1778,1525,1459,1292,1038,1079
HG001_00108,1762,2338,2160,2294,1951,1815,1762,1331,1477
HG001_00109,1035,1293,1311,1406,1160,1050,1021,857,956
HG001_00110,451,502,471,549,433,374,476,323,361
HG001_00111,1843,2523,2595,2880,2590,2300,1861,1646,1740
HG001_00112,1008,1366,1186,1496,1280,1131,957,793,897
HG001_00113,1617,1929,2136,2198,2025,1699,1347,1411,1386
HG001_00114,2192,2850,2893,3383,3154,2602,1989,1849,2086
HG001_00115,1628,1862,1860,2376,2214,1647,1348,1363,1474
HG001_00116,24,27,21,36,26,21,32,27,44
HG001_00117,7,20,16,19,15,14,15,11,14
HG001_00118,824,975,874,1165,978,1227,967,748,898
HG001_00119,2486,2661,2332,3371,2707,2371,2852,2025,2114
HG001_00120,936,833,832,1595,1513,951,904,810,759
HG001_00121,179,203,128,194,260,189,246,276,225
HG001_00122,32,38,18,24,48,28,34,38,40
HG001_00123,46,42,32,31,34,46,48,56,43
