X,dpurR.T3.R1,dpurR.T3.R2,dpurR.T5.R1,dpurR.T5.R2,WT.T3.R1,WT.T3.R2,WT.T5.R1,WT.T5.R2
SAUSA300_2632,4677,5031,8799,10442,4541,3073,12651,9065
SAUSA300_2633,57,63,44,57,82,58,102,110
SAUSA300_2634,274,281,128,175,299,190,305,355
SAUSA300_2635,20,15,15,14,19,10,30,30
SAUSA300_2636,1000,1130,350,466,969,607,672,818
SAUSA300_2637,377,407,117,261,328,233,228,189
SAUSA300_2638,141,182,69,83,154,81,165,128
SAUSA300_2639,320212,347486,413805,135232,375594,221898,239872,451327
SAUSA300_2640,2731,2961,3112,8405,2266,1430,3428,3878
SAUSA300_2641,1199,1278,1217,3377,1107,743,1434,1772
SAUSA300_2642,970,935,1127,3052,724,405,1567,1642
SAUSA300_2643,5323,5761,1967,3588,4241,2722,4142,4988
SAUSA300_2644,2406,2579,803,1330,1674,1225,967,1254
SAUSA300_2645,4319,4404,1849,2861,3458,2162,2360,2699
SAUSA300_2646,2080,2191,1001,1289,2415,1597,1539,1569
SAUSA300_2647,286,296,144,194,252,149,204,208
SAUSA300_2648,13378,13816,6236,9146,3858,2417,4145,4545
