,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,16,73,10,47.5,4.5,1.5,2,1.5,1,2,2.5,3
NC_007795.1,48,248.5,10,133.5,21,5.5,18,6,1,2.5,8.5,7
NC_007795.1,22.11111111,61,18.16666667,31,17.5,18,5,9,12,31.5,9,34
NC_007795.1,21,160.5,19,87,10,1,9,4,0,1.5,5,9
NC_007795.1,8,93.5,8,89,8,0,8.142857143,1,1,3.5,4,5
NC_007795.1,9,45,7,56,2,2,3,1,1,1,0,3
NC_007795.1,504,384,485,438,63.25,106,29,144,63,112,70,182
NC_007795.1,32,132.5,22.39285714,154.6428571,11,1,10.33333333,3,8,9,10,10
NC_007795.1,14,20,7,25,1.5,0.5,3,1.5,0,11,2,13
NC_007795.1,2,9.5,4,13,0.5,0.5,1,0.833333333,0,0,1,1
NC_007795.1,2.333333333,38.33333333,0,17.625,0.5,0.833333333,0.5,5.5,0.166666667,0.333333333,0,0.5
NC_007795.1,95,451.7,97,369,47.5,13,30,9,14,4.666666667,18,14
NC_007795.1,1,13.5,4.5,21,0.5,0.5,4.142857143,0,0,0.142857143,0,1
NC_007795.1,8,30,6.5,51.5,3.5,2,2,1,2,3,1,0
NC_007795.1,6.5,39,9,38,3,0,2,0,0,0.5,0.5,1
NC_007795.1,17.5,80,4,54.5,5,3.5,8,2,0,1,3.5,4
NC_007795.1,172.3333333,264,140.1666667,199.8333333,24,18.33333333,9.5,25,13,36,11.5,49
NC_007795.1,377.8333333,271.3333333,319,351.5,44.33333333,63.33333333,19.66666667,81.16666667,41.33333333,114.3333333,21.5,157
NC_007795.1,26,113,24,91,8,10,2,2,3,6,5,7
NC_007795.1,35,119,2,93,13,3,5,7,1,4,5,5
NC_007795.1,9,30,6,38,5,1,4,4,1,7,4,10
NC_007795.1,8.5,39,11.5,23,4,1,0,4,0,2.5,2,1
NC_007795.1,214.3333333,201.3333333,198.5,218,29.33333333,43.83333333,18.66666667,46.66666667,29.33333333,67.83333333,17.5,100.75
NC_007795.1,200.8333333,184.8333333,196,204,30.5,41.83333333,15.16666667,42.16666667,28.66666667,67.33333333,18.5,96.25
NC_007795.1,7.666666667,61.16666667,11.33333333,47.16666667,4.5,1.166666667,5.5,1,0,2.5,0,4.75
NC_007795.1,5.5,20.5,2,40,8.5,1,2.5,1,2,0.5,0,6.25
NC_007795.1,3,10,3,34,1,1.25,0,0,0,2,0,6
NC_007795.1,20,66.75,13.58333333,45,2.125,2,2,2,2.75,6,1,9
NC_007795.1,44,152,30.2,101,13,6.5,9,6,3,5,5.5,10
NC_007795.1,175,471.1666667,79,312,38,17,21,29,11,18,17,35
NC_007795.1,5,34,23.66666667,34,2,1,4,0,2,1,0,1
NC_007795.1,68.66666667,228.5,47,174,19,9,13.83333333,10,6,14,19,26
NC_007795.1,88.5,122.5,76,113,12,20,7.5,22,15,54,21,78
NC_007795.1,0,1.5,1,1.5,1,0,0,0,0,0,0,0
NC_007795.1,113.5,394,55.5,317,31,10.5,18,16.5,4,12,13.5,15.5
NC_007795.1,25,150.5,24.33333333,122.5,10,1,4,4,2,0,9,0
NC_007795.1,36,248.5,24.5,155.5,19,4.5,8.5,4,9,1,3,5
NC_007795.1,41,256,28,207.5,25,6.5,11.5,4.25,5,4,8.25,3
NC_007795.1,150.25,557.3333333,69,296.625,24.45833333,15.25,38.25,21.125,22.75,13.125,24.5,22
NC_007795.1,9,75,11.5,74,9,0,3,1,7,3,4.5,2
NC_007795.1,108,238,79,179.5,25,12,8,27,4,9,10,20
NC_007795.1,16,91,7.111111111,55,7,3,6,2,4,3,5,4
NC_007795.1,61.55833333,260.5,38,114,14,4,9,3,6,2,6,11
NC_007795.1,81,337.3333333,35.51515152,198.3333333,30.16666667,8.333333333,25,7,5,3,6,13
NC_007795.1,8081,6744.083333,7843.366667,9418.416667,678.1666667,982.6666667,383.3333333,1166,1037.666667,1263,564,1397
NC_007795.1,11,72,3,49,5,1,2,0,2,2,1,0
NC_007795.1,28,167,19,126,11,3,8,1,3,1,4,1
NC_007795.1,1.142857143,1,0.142857143,3,0,0,0,0,0,0,0,0
NC_007795.1,75,319.5,52,264,13,11.2,8,5,11,6.5,3,7
NC_007795.1,63,61,26,55.5,5,3,4,1,0,4,1,9
NC_007795.1,58,241.5,40,145,16,6,14,3.5,7.642857143,7.5,10.5,6.5
NC_007795.1,49.45238095,145.3333333,39.38095238,150.1428571,18.5,5.5,6,3.5,2.5,4,3.166666667,5.5
NC_007795.1,73.5,250.5,56.5,179.5,18.5,7.5,14,4.5,3,6,10.5,3
NC_007795.1,253,305,155,270,27,17,19,25,18,29,23,42
NC_007795.1,141.5,562.5,87,309.3333333,29.5,12,18,11,8,4,23,17
NC_007795.1,9,39.5,3,44,5,0,0,4.5,2,1,0,2.5
NC_007795.1,4,25,5.5,9.5,1,1.5,1.5,3,0,1,1,1.5
NC_007795.1,35,173.1666667,26.5,111.75,7.7,4.5,7.5,3.5,2,2,7,2.166666667
NC_007795.1,12,18,32,24,0,2,1,1,0,2,0,1
NC_007795.1,99,596,49,404,33,7,37,13,10,6.25,17,10
NC_007795.1,12,40,6,51,5,0,4,2,2,1,3.166666667,4
NC_007795.1,128,582.3333333,93,355,33.33333333,10,32.2,20,16,9,19.25,14
NC_007795.1,77.5,117,60.5,90.5,13,21,13,28.5,15,26,8,36
NC_007795.1,105.3333333,227.5,77.33333333,175,23.5,13.5,5,25.5,12.5,15.5,6.5,21
NC_007795.1,66,97.5,53,137,18.5,18.5,5,13.5,2.5,12.5,7.5,22
NC_007795.1,121.5,401,64.5,228,19,8.5,21,16,6,9,11.5,21
NC_007795.1,22.15807433,64.97550315,20.27148731,78.25217949,4.107142857,1.197293447,2.043478261,4.330128205,2.54,2.80000962,3.5,2.7124334
NC_007795.1,46.66666667,130,43.83333333,119.1666667,14,2.5,4,3,3.5,3,4.5,6
NC_007795.1,4,32.5,3.166666667,32.83333333,2.5,1,1,0.5,0,0,1.5,2
NC_007795.1,56.5,347.5,16.33333333,285,23.5,6.5,21,3.5,8,3,8.75,9
NC_007795.1,121.5,596.2,39,448,50,5.5,43.33333333,10.33333333,10,4,16,11
NC_007795.1,49.5,176,18.5,106,14,6.5,8,11,4,6,7,11
NC_007795.1,14.5,18,7.5,18,1,0.5,8,2,2,6,2,1
NC_007795.1,0,21,0,14.5,0,1,1,1.5,2,0,1,0
NC_007795.1,22,57,14,46.5,5,2,1.5,3,0.5,0,0,5.5
NC_007795.1,61,201.5,49.5,151,17,10,15.5,10.5,5,5,7,12.5
NC_007795.1,34.65,112,8.5,86.5,9,2.5,4,6.5,1,2,2,7
NC_007795.1,116.5,376.5,82,249.5,42,14.5,21,18,8,17,6,21
NC_007795.1,40,131,16,81,10,0,8,5,1,3,4,7
