,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,164,419,136.1666667,326.5,31,21.5,17.5,23,17,14.33333333,12.16666667,41
NC_007795.1,44,121,22.5,70,17,2,7,6,5,3,10,4
NC_007795.1,31,171,17.66666667,136.1666667,14.16666667,3,11,9,2,4.25,10.16666667,3.166666667
NC_007795.1,42,146,14.83333333,113.5,16.16666667,0,12,6,5,2,6.5,4
NC_007795.1,12,95.5,4,37,13,1,5,4.5,3,5,8.5,1
NC_007795.1,16.5,112,3,92.5,11,2,5,4.5,0,2,8,5
NC_007795.1,10,48,11.2,33,4,2,2,2,2,2,1,2
NC_007795.1,38.16666667,210.1666667,27,159.5,13,3.166666667,8,4,3,5,7,9
NC_007795.1,8,7,5.5,14.5,2,0,0.5,1,0.5,3.5,1,4
NC_007795.1,174,173,128.5,253,28,12,6.5,16,15.5,24.5,10,36
NC_007795.1,95,57,109,88.5,18,26,4,22,4,25,7,16
NC_007795.1,122.5,148,118,307,14,9,3.5,4,8.5,20.5,6.5,11.5
NC_007795.1,153,305.5,172,304.5,16.5,8.5,16.5,4.5,8.5,12,4.5,16.5
NC_007795.1,78.5,91.5,60.5,87.5,5.5,10.5,4,13.5,21,21.5,6,23
NC_007795.1,7,11,4,11,1,4,0,2,4,5,4,4
NC_007795.1,3,19,0,14.25,3,0,0,1,1,0,0,1.5
NC_007795.1,4,10,1,6,1,0,0,1,0,0,0,1
NC_007795.1,24,45,5,59,5,1,2,2,1,0,0.5,3
NC_007795.1,2,34,1,13,0,0,1,0,0,0,0,0
NC_007795.1,47,126,45,85,26.25,11,8,19,26,31,6,19
NC_007795.1,25,35,14,19,2.5,1,2,4,12,11,3,16
NC_007795.1,941.5,1568,631.5,840.5,132,138,83,211.5,503,616.5,171,591
NC_007795.1,108,137,158,221.5,253,79,87,70,121,91,56,48
NC_007795.1,44.16666667,67,16.33333333,54.5,4.833333333,7.5,4,3,2,7,1,8
NC_007795.1,82,74,73,77,7,13,4,12.5,7,19,1,38.5
NC_007795.1,96,59,48,57,2,17,6,25,14,28,7,56
NC_007795.1,24,38,25,31,1,1,6,5,15,7,1,14
NC_007795.1,1629.166667,1392.5,1418,1397,121.5,179,69.5,224,169,310.5,115.5,343
NC_007795.1,1358.5,910.5,1318.5,998,81.5,155,37.5,181,122,318.5,63.5,307
NC_007795.1,206.5,259,186,263,31.5,28.16666667,9,27,49,76,31,73
NC_007795.1,409.2857143,618.8571429,399.5,533.2142857,72.28571429,77.92857143,50,76,31.5,42.25,22.14285714,54
NC_007795.1,6,32,1,33,1,0,2,0,3,0,2,1
NC_007795.1,76.33333333,73,64,55,9,7,0,2.333333333,8,14,7,14
NC_007795.1,31,28,30,28.2,2,3,3.166666667,4,3,3,3,7
NC_007795.1,3948,3368.666667,3578,3084.142857,360,712,171,764,641,1280,358,1589.142857
NC_007795.1,12.16666667,69,19,51,6,1,3,0,2,0,2,1.166666667
NC_007795.1,66,325,59,214,37,7,18,13.5,6.5,4,7.5,13
NC_007795.1,183,715.1428571,142,585.9166667,66,15,41,29,34.5,26.5,27.5,49
NC_007795.1,87,370,75,292.5,36,14,23,18.5,15,17.5,20,15
NC_007795.1,28,20,20,15,1,0,0,2,0,2,0,4
NC_007795.1,7,27,10,34,4,2,2,0,1.5,1,0,2
NC_007795.1,1,4,1,3,0,0,0,0,1,0,0,1
NC_007795.1,9,10,9,13,0.125,2,1,2,3,10,2,1
NC_007795.1,453,371,404,333.5,29,70,19.5,66.5,31,73.5,34,153
NC_007795.1,98,179,105,174.5,24,11,7.5,14.5,28,20.5,5,21
NC_007795.1,23,77,24,39,6,2,2,5,3,4,3,6
NC_007795.1,10,54,5,55.16666667,3,0,4,2,1,1,0,6
NC_007795.1,10.83333333,50,6,34.5,5,0,1,1,0,2,1,0
NC_007795.1,3,25,0,17,1,0,0,0,0,0,0,0
NC_007795.1,24.5,71,3,42.5,2,4,5,1,1,3,3,2
NC_007795.1,26,49,18,61,5,5,5,8,7,7,3,8
NC_007795.1,20,62,10,57,4,2,4,2,3,4,3,4
NC_007795.1,10.14285714,44,16,57.5,6,3,3,0,3,2,4,1
NC_007795.1,17,42,5.142857143,40,1,1,3,2,4,5,4,4
NC_007795.1,1,12,1,14,3,0.5,2.5,0,1,2,0.5,5.5
NC_007795.1,34,50.5,28,48,2,6,3,9,4,10,5,8
NC_007795.1,23,106,21,81.5,13,1,10.5,6,1,0,5,4
NC_007795.1,42,119.3333333,14,126.5,4,5,8,4.5,4,3,10.5,3.5
NC_007795.1,21.3,70.5,7.2,74,11,2,4,4,3,10.5,4.5,7
NC_007795.1,11.5,37.5,3,55.4,2.5,1,1,0,3,3,1,0
NC_007795.1,8.5,30.5,7,43,4.5,2,1,0,2,2,1,2
NC_007795.1,182,477.5,190,374,13,14,13,14,126,178,97,194
NC_007795.1,27,110,13,94,3,5,6.5,8,3.5,7,5,8
NC_007795.1,5,39,5,17.5,0,4,3.5,0,1.5,0,2,1
NC_007795.1,18.5,26,21,31,4,6,6,9.5,3.5,18.5,2.5,16
NC_007795.1,75,105,40.5,98,7.5,8,6,11.5,16.5,41.5,17.5,36.5
NC_007795.1,11.5,6,8.5,5,1.5,1,3,1,0,9.5,2.5,9
NC_007795.1,11,19,12,13,3,2,2,6,1,4,3.5,5.5
NC_007795.1,127,304,115,158,16,14,11,13,14,21,11,39
NC_007795.1,31,202,11,154,19,6,13,7,5,2,4,3
NC_007795.1,1,6,0,1,1,0,0,0,0,0,0,0
NC_007795.1,114.1666667,584.6666667,61,369.1666667,41.5,4,27.33333333,17,4,7,16,30
NC_007795.1,172.5,663.5,92.66666667,509.625,40.5,10,46.33333333,18,9,7,22.125,13
NC_007795.1,646,369,433,346,34,92,21,128,65,162,27,184
NC_007795.1,24.5,58.5,10,60.22222222,19,7,6,13,20,26,11,30
NC_007795.1,77,256,42,183.5,19,4,13,9.5,9,3.5,8,11.5
NC_007795.1,74,213,53.66666667,98.5,20,6,10,11,8,8,5,23.5
NC_007795.1,23,205,13,122,9,2,8,9,3,1,5,7
NC_007795.1,91,307,62,248,28,7,16,12,8,13,8,10
NC_007795.1,53.5,257.5,27,196.5,16.5,3,12.5,3,5,1,9,0
NC_007795.1,39.5,158.5,12.33333333,113.6666667,7.5,5,11.5,4,2,3,6,7
NC_007795.1,28,142,8.5,89.5,18,3,7,7,3,3,2.5,1
NC_007795.1,40.5,213.5,11.33333333,121.5,13,4,5.5,4.5,1,4,9.5,7
NC_007795.1,19.5,57.5,11.5,89,10,0,3,2.5,2,1,3,2.5
NC_007795.1,96.5,156,113.25,169.75,15,3,12,4,6,6,7,10
NC_007795.1,116.5,111,82,87,5,2,3,17,6,19,4,24
NC_007795.1,39,147.5,34.5,97,10,3,2,13.5,7,14,15.5,16.5
NC_007795.1,121,162.5,115.5,160,7,28,7,31,7,17,9.5,40.5
NC_007795.1,18.5,44.5,5,28,0.5,2,2,2,0,6,4,2
NC_007795.1,41.16666667,195.5,24.5,134.8333333,13.5,1.166666667,12,13,2,2.166666667,6,2
NC_007795.1,11,32,10,12,2,0,0,2,1,3,1,1
NC_007795.1,247,1427.5,96.16666667,890.4583333,103.5,12,60,27.5,30,7,38.5,39
NC_007795.1,105.6666667,423.75,46.33333333,367,30.5,5.166666667,25.16666667,12.5,9,4.75,18.75,24
NC_007795.1,75150.05952,233606.9167,96462.66667,425348.6167,51060,12779.78333,24361.5,13157.08333,24575.41667,10800.51667,26451,13031.08333
NC_007795.1,215.3333333,520,165.8666667,382.1666667,36,20,22,12,22,23,13.5,46
NC_007795.1,49.45238095,345.5,24.16666667,257.1666667,30.5,10,15,5,14.5,5.5,17.5,14
NC_007795.1,34.5,194.5,15,121.4166667,11.5,3,6,1,6,4.5,11.5,1
NC_007795.1,4,13,2,48,2,0,0,0,2,2,0,0
NC_007795.1,34,167,13,59.5,6,3,7,1.5,8,5.25,8,10
NC_007795.1,65,297,50.2,244,30,5.5,9,11,7,14,12,21
NC_007795.1,297,207,282,179,18,34,11.5,57.5,36.5,85.5,29.5,114.5
NC_007795.1,216,314,134.6,213.5,22,33,19.5,41.5,27.5,45.5,27.5,55.5
NC_007795.1,41,152,12,181,17,0,9,4,1,0,4,6
NC_007795.1,1996961.599,1107213.195,2373016.226,1669347.797,110238.9139,309394.0643,53971.77619,310883.0274,107237.1214,291049.2881,72477.56905,369914.6691
NC_007795.1,3728679.721,2121746.345,5109657.5,3217773.78,243089.9333,765149.3861,121790.1143,643114.5821,257839.5607,668775.2698,148173.0179,715464.3317
NC_007795.1,48935.63175,299680.3048,68714.19365,476246.3095,63803.80476,12395.55357,32301.47222,11512.49683,36181.35476,11641.52421,41956.85397,13604.8996
NC_007795.1,26.16666667,93.66666667,6,61,7,2,1,2,5,5,5,6.5
NC_007795.1,36.5,126,12.5,91.5,6,0.5,3,3,5,7.5,7,6.5
NC_007795.1,1322.5,1033.5,1082.5,810,63,226,47,290,84,204.5,44,301
NC_007795.1,178,123,143.5,125,12.5,24.5,9.5,40,15,40,8,51
NC_007795.1,223,284,135,267.5,28.5,33,13.5,30.5,23,43.5,21,62
NC_007795.1,37,97,35,49.5,9,5.5,5,8.5,4,8.5,4,14
NC_007795.1,37.5,162,15,130,9.5,1,6.5,4.5,2,1,1,5
NC_007795.1,9,19.5,7,25,3,1,2.5,3.5,0,0,0.5,4
NC_007795.1,42.5,185.5,31,114,17.5,4,12,10,3,6,8.5,10
NC_007795.1,92,194,98.33333333,202,13,12,14,12,10,32.5,13,33
NC_007795.1,62.30952381,229.5,88.11111111,140.6666667,10.16666667,3.833333333,6.166666667,5.166666667,10,19.41666667,7.166666667,19.5
NC_007795.1,17,101.5,23,56,6,2,0,5,3,15,3.5,6.5
NC_007795.1,39,104.5,35.25,92,14,1,3,7,1,8,5.5,12.5
NC_007795.1,1701,3692,1173,2483,380,468,202,532,999,921,382,764
NC_007795.1,52.5,135.5,35.5,112,9.5,3,10,10,14,6,1,14
NC_007795.1,301,291,238.5,299,36.5,31,8.5,43,54,106.5,33,82
NC_007795.1,155,136,125,149,9.5,16,3.5,16.5,12.5,36.5,4.5,40
NC_007795.1,2630.5,1842.5,1856.5,1715,196.5,348,74,305,306.5,571,233.5,899.3333333
NC_007795.1,8.5,39,10.5,14.5,1.5,0.5,1.5,1,2.5,3.5,0,2
NC_007795.1,304.4583333,495.3333333,268.8333333,432.6818182,20.5,24.5,22.5,33.16666667,14.5,62.5,19,88
NC_007795.1,215.6666667,215.5,219.1428571,190.5,25,23,13,37.5,25,39,19,60.5
NC_007795.1,2,8.5,0,6.5,1,0,0,0,0.5,0,0.5,0.5
NC_007795.1,329,252.5,317.75,370.5,30.5,45.5,13.5,65.5,48,104,27,121.5
NC_007795.1,16.7,48,12,44,9,1,4,0,1,2,1,4
NC_007795.1,187,701.1666667,138,522.5,60.5,17.5,34.5,33,19,39.5,27.5,43
NC_007795.1,93,338.7,54,282,21.5,7.5,26,7.5,10,11,15.5,21.2
NC_007795.1,70.33333333,149,70.5,144.5,25.75,8.5,10.5,9,11,25,8,8
NC_007795.1,23,32,14,37.5,5,2.5,2,3.5,2,2.5,0,4
NC_007795.1,25.75,40,26.75,30.7,3.25,5.25,2,2,4,7,1.25,7
NC_007795.1,3120,1249,2187,1075,76,326,48,393,226,718,142,1231
NC_007795.1,39.33333333,111.5,30.5,113.5,12,3,0,3.5,7.5,6,6.5,8
NC_007795.1,24,46.5,16,55.5,6,3.5,3,1.5,2.5,5,3.5,1
NC_007795.1,282.1666667,573.1666667,264.3333333,476.6746032,50.5,29,29.16666667,40.5,26,87.61111111,35,64
NC_007795.1,134.4285714,170,160.5714286,129.2857143,11,15.28571429,10,12.14285714,10,18.42857143,5,28.42857143
NC_007795.1,356,382,301.1666667,368,29,32.25,29,57.58333333,23,49.25,22,75
NC_007795.1,24.5,117,26,183,15,2.5,6.5,4,5,9,8,5
NC_007795.1,13,67.5,12,44.5,3,0.5,0.5,2,2,2.5,0,2.5
NC_007795.1,12.5,70,13.75,50.5,13,1,4.333333333,3,2,2.5,2,1.5
NC_007795.1,6.5,6.5,1,8.5,0,1,0,3.5,1,0,0,6.5
NC_007795.1,140.1666667,402.5,140,266.5,31,19,29,29.83333333,23.16666667,34,24.16666667,57.83333333
NC_007795.1,1639519.182,6403579.791,1563527.56,3711782.396,509486.3381,276354.1702,672958.4889,382962.6468,810044.2547,345168.3409,707252.354,390660.3996
NC_007795.1,28721.53571,34293.08333,26277.96905,39164.61905,5592.916667,5467.333333,5345.083333,6804.25,4368.416667,4414,3964.333333,5693.533333
NC_007795.1,2146.083333,1668.166667,3073.666667,1989.233333,321.8333333,629.8333333,145.5,491.5,276.75,509.6666667,147,481.6666667
NC_007795.1,54.55952381,84.58333333,113.8690476,130.5357143,16.33333333,21.58333333,10,10.33333333,63.25,51.66666667,22.16666667,21.16666667
NC_007795.1,99666.30952,78759.33333,84516.7619,109496.9444,15171,16811.75952,9432.166667,22281.33333,8449.5,15058.08333,8334.5,17703.33333
NC_007795.1,5539.666667,7095,9068,10418.83333,1208.333333,1480.416667,535.1666667,1058.333333,1032,1314.5,642.5,1115.5
NC_007795.1,53452,49123.83333,78187,52473.5,5805.166667,12058,3936,10611.5,3922.5,8293.5,3765.5,10498.75
NC_007795.1,3105.666667,689.1666667,4918.671429,400.4166667,72.7,1120.5,37.33333333,634.3333333,105,1426.333333,52.5,1057.2
NC_007795.1,11631.28571,10062,15380.31905,13269.28571,1482.333333,2521.533333,832.3333333,1973.5,1234.533333,1784,877,2119.666667
NC_007795.1,1966736.465,1105391.612,2335192.443,1655655.697,109889.1639,307695.731,54073.69286,309813.0274,108087.3714,291800.3714,72801.23571,368454.3357
NC_007795.1,3852917.605,2161141.845,5663520.234,3296487.28,229397.7667,727999.8527,114931.1143,601147.9155,251871.3941,693697.0531,143834.1012,718616.6317
NC_007795.1,1640319.965,6405610.741,1564024.327,3708903.096,509567.2548,276440.9536,673141.6722,383115.3135,810372.4047,345313.2409,707407.6373,390829.7329
NC_007795.1,19,101,3,74,6,0,5,1,4,2,6,1
NC_007795.1,104.7222222,233,129.6111111,268.2222222,31,12,12,14.5,16,64.5,19,47
NC_007795.1,40,72.5,41.5,102.5,11,9,6,11.5,14.14285714,13.64285714,11,23
NC_007795.1,130,397,64,215,18.5,13,18,11,18,46,18,50
NC_007795.1,1929,1331.5,1928,1427,63,155,27.33333333,143,119,322,57,265
NC_007795.1,1966.5,1110.25,1937.5,1341,49,117,18,100.3333333,55.5,113,52.5,172
NC_007795.1,2961.5,1736.166667,2880.5,2149,82,158.1666667,29,172,71,178.5,66.5,287
NC_007795.1,6155.5,4202.5,5806.5,4579,261.3333333,460,130.8333333,598,161.5,440.5,180,774
NC_007795.1,146.5,406.5,111.875,361,27,14.5,16,18,17,20.5,15.5,26
NC_007795.1,68,109.5,60.83333333,105.1666667,6,8.5,9,13,8,6.5,5.5,22.16666667
NC_007795.1,93.66666667,152,61,148.3333333,16,7,8,11,13,9.166666667,6,19
NC_007795.1,142.5,136,124.5,147.5,17,31,13,27,11.5,18.5,7.5,37.5
NC_007795.1,148.5,285.5,114,210,18.5,18,8,23.5,10.5,34.5,18,53.5
NC_007795.1,34.5,44.5,31.5,49.5,1.5,2.5,3,6,0,7,3,6
NC_007795.1,76,85,49.5,63.5,6,4,2,8.5,6.5,10,11,14.5
NC_007795.1,60.5,47,46.5,72.5,5,6,3,12,3.5,12,4.5,17.5
NC_007795.1,20,47.5,18.5,30.5,3,6.5,8,5,2,4,1,4
NC_007795.1,32,48.5,48.5,44,7.5,6.5,2.5,5,6.5,14,4,13.5
NC_007795.1,66.5,77.5,58,108,7.5,10.5,4.5,12,12.5,35,2,29.5
NC_007795.1,533,316,577,398,20,31,9,47,23,58,24,86
NC_007795.1,82,128,63,87.33333333,8,5,4,12,19,20,3,15.33333333
NC_007795.1,93.5,118.5,59,117,8,6,4,4,1,5,1,8
NC_007795.1,56.5,53.5,71,56,2.2,3,1,4,10,11.5,1,11
NC_007795.1,89,76,38,68,10,15,6,14,16,22,10,29
NC_007795.1,1126.666667,1163.071429,802.6428571,1038,111.5,175,56,210.5,87,218,94.66666667,355.3333333
NC_007795.1,1301,1181,1287,1168.833333,116,202,83,232,89,165,78,295
NC_007795.1,14,33,20,34,3,3,1,4,9,8,10,10
NC_007795.1,97,101.5,124,79.5,11.5,15,8,5,14,36.5,8,26
NC_007795.1,167,203.5,114,179.5,18.5,12,12,25,18,36.5,12,45
NC_007795.1,604.125,478,705.6428571,541.5595238,33.25,32,15,47.125,49,99,36,104
NC_007795.1,1219.5,690,1443.5,829,37,60.14285714,16,91,53,146,33,123
NC_007795.1,42,195,21,173,16,6,8,3,4,1,4,3
NC_007795.1,1022.111111,938,826,762,100,192,67,220,181,328,102,385
NC_007795.1,104,208,111.1666667,155.6666667,11,16.16666667,12,14.16666667,28,39,9,23
NC_007795.1,74.5,198.1666667,40.5,128,21,7,5,12.5,14,9.166666667,6,11
NC_007795.1,573.0833333,490.8333333,484.5,485.25,45.33333333,62,23,86,38,117,22,128
NC_007795.1,129.5,357,102,298,25.5,11,21,29,23,40.5,18.5,44.5
NC_007795.1,14.5,20,8.5,28,6.5,5,3,5,10,11.5,8.5,17.5
NC_007795.1,20,65,17,95,5,3.25,5,2,6,6,3,12
NC_007795.1,18,42.16666667,7.5,44.5,1,2.5,3.5,3.5,2,2,0,3
NC_007795.1,1,17.5,2.5,15,1.5,0.5,1.5,1.5,4,1,1,2
NC_007795.1,21,81,18,58,6,0.166666667,4,4,3.166666667,4,1,4
NC_007795.1,64.5,64,32,56,7,7,1,13.5,4,8,7,9.5
NC_007795.1,43,50,33.25,30.125,2,5,3,3.5,5,6,1,14.5
NC_007795.1,2,6.5,2.5,7,0.5,0,0,0,0,0.5,0.5,0
NC_007795.1,137.3690476,212.6818182,64.46190476,160.0194805,15.5,23.33333333,13.75,28.63809524,33,85.08333333,25.5,63
NC_007795.1,174.5142857,215.6515152,161.1,260.54329,20,17.66666667,18,37.67285714,53.5,130.3333333,46.3,167
NC_007795.1,94,133.3333333,92,106.25,12,11,6,5,10,29,6,23
NC_007795.1,477,548,496,460,70,83,38,101.5,81,130,44,171
NC_007795.1,137.1666667,338,166.7,194.3333333,32.33333333,19,22.53333333,22.66666667,35.16666667,35.5,16.66666667,69.5
NC_007795.1,37,43,36.5,29.5,4.5,4.5,1,8.5,7,7.5,2.5,12.5
NC_007795.1,121.5,121.5,62,83,10.5,21,7,10.5,38.5,55.5,12.5,53
NC_007795.1,74,70,64,101,7,7,10,11,8,10.5,5,6
NC_007795.1,102.5,131,88.5,94,10,14.5,8,25,21,21.5,11,26
NC_007795.1,235.5,214,218.5,199,13,31.5,11,34,24,34.33333333,22,53
NC_007795.1,15.41666667,61.16666667,11.5,28.25,8.5,4,3,2,5,12,6,4.333333333
NC_007795.1,57,169,17,133.3333333,22,6,7,4,9,14,9,20
NC_007795.1,15,124,7.5,84.5,5,1,6,5.5,4,2,4,4
NC_007795.1,495.5,1130.5,387.5,1110.5,125.5,88,100.5,119.5,78.5,66.5,109.5,116
NC_007795.1,401.5,779,323.5,829.1666667,89.83333333,83,77.5,100,74.5,57.5,88.5,89
NC_007795.1,4,22.5,1,29,1.5,0,0.5,1,0,0,1,1
NC_007795.1,33069.33333,42219,35097.5,38168,15888.33333,23231,9863,31078,1640,1677,1542,3577
NC_007795.1,50,96,65,90,5,12.5,4,9,11,27,4,17
NC_007795.1,41,127.5,29,116.5,8.5,1,5,5,2,9,3,3
NC_007795.1,8,35.5,3,26.5,2.5,3,3,3,4,2,2,1
NC_007795.1,30,122,21,47,8,5,3,6,6,13,5,8
NC_007795.1,136.5,557,75,320,40,8,27,17,14,7,25,27
NC_007795.1,26,94,19.5,83.5,8.5,5.5,8,2,3,5,5.5,4
NC_007795.1,32,130,12.5,49.5,13.5,1.5,7,3,2,2,7.5,2
NC_007795.1,464,458,349.6666667,363,23,51,18.5,49,27,80,21,85
NC_007795.1,54.5,180.5,53,165,12,4,7,11.5,8,11,2,14
NC_007795.1,103.3928571,230.6666667,61.89285714,161.5714286,17.25,11,15.14285714,14.5,8.392857143,27,9.166666667,16
NC_007795.1,46,199.5,59,138.8333333,14,11.2,11,2,10,8,6,22
NC_007795.1,57,225.5,51,170.5,16,6,10,11,5.5,8,18,12
NC_007795.1,41.5,192,37.5,155,17,9,6,3.5,5.5,3,6,26
NC_007795.1,2,32,12,7,3,1,0,2,1.5,2,2,3
NC_007795.1,71,173,70.7,117.75,9,7.5,10,8.5,3.5,7,6,13
NC_007795.1,11,18,11.5,7.25,3,3,1,0.5,1.5,2,1,4
NC_007795.1,10,41,6,29,2.5,1,0,0,1,0,2,0
NC_007795.1,331,425.5,226,324,49.33333333,58,29.5,86,33,42,34,98
NC_007795.1,7,28.5,9,19,2,0,0.5,4,4,6,2,9
NC_007795.1,12,23,9,31,4,7,3,8,1,6,2,9
NC_007795.1,18,92,15.5,55,10,4,6,4,2,1,2,12
NC_007795.1,13.5,29,5,20,0,4,1.5,1,2,3,3.5,2
NC_007795.1,4,3,1,0,0,0.5,0,0,0,0,0.5,0
NC_007795.1,5,5,5,7,2,0.5,2,0,1,1,3,2
NC_007795.1,29,100,8,71,15,3,8,5,2,1,4,8
NC_007795.1,9.125,54,3,57,4,0,2,2,2,0,2,6
NC_007795.1,5.5,48,2,23,3,1,3,0,2,0,2,2
NC_007795.1,9,50.5,4,45,14,0,5,0,0,1,2.5,1.5
NC_007795.1,1.5,25.5,4,2.5,1,0,1,1,0,2,0.5,0.5
NC_007795.1,4,29,8,8.5,2,1,4,3,0,2,0,0
NC_007795.1,88,154,67,169,12,8,11,14,12,6,10,16
NC_007795.1,195,148,212,163,10,15,2,13,33,45,25,64
NC_007795.1,6,47,4.5,48,6.5,2.333333333,1.5,0,15,5,1,5
NC_007795.1,39,165.5,23.5,121.6666667,12.5,4,3,7.5,4.833333333,9,5,16
NC_007795.1,27,82.5,18,53,6.5,4,2,4.5,2,2,2,5
NC_007795.1,258.5,540.5,278,441,48.5,38,29,50,66,71,29.25,76
NC_007795.1,3.5,50.5,1,40,4,2,6,1,2,0,3,4
NC_007795.1,47.5,61,51.5,52,3,9.5,4.5,9,6,20,5.5,19.5
NC_007795.1,228.8333333,231.3095238,175.5,176,18,36.5,11.5,38,25,50,14.16666667,57.5
NC_007795.1,14,29,10,29.33333333,9,0,0,2,1,1,0,3
NC_007795.1,32,61,19,39,5,0,0,1,4,9,6,11
NC_007795.1,29,133.5,8.5,110,9,4,7,7,4,8,9.5,11
NC_007795.1,66,188.5,49,130,12,9.5,10,17,22.5,22,20.5,24.5
NC_007795.1,59,80.5,32,69.5,9,3.5,12,10,6.5,11,3,16.5
NC_007795.1,6662,6124.333333,6879.5,6018.75,599,1025,312,1275,496.5,928,411,1546
NC_007795.1,94,170,67.25,63,10,17,5,19,7,23,12,21
NC_007795.1,193,222,164,211.5,12,17,5,23,42,58,37,75
NC_007795.1,2253,1334,1753,1375,256,519,128,644,146,381,101,437
NC_007795.1,95,129,82.5,109,7,11,11,20,8,17,9,17
NC_007795.1,5,13,1,24,2,1,0,0,4,1,2,2
NC_007795.1,57.5,78.5,49.28571429,78.5,20,12.5,12,11.5,29.5,24.5,16.64285714,27
NC_007795.1,349,710,319.25,519,67,55.5,57.5,74.5,20.33333333,44.5,31.5,93.5
NC_007795.1,88,153.5,61.5,127.1666667,12.66666667,8,7.5,15.5,4.5,13,7.142857143,18
NC_007795.1,53,109,29,94.5,13.5,7.5,5,6.5,3.5,7,5.5,10.5
NC_007795.1,205,442.5,199.5,283.3333333,28,21.5,22.5,33.75,13.5,24.5,19.5,45
NC_007795.1,72.5,82.5,66,65,7,11.5,5.5,14.5,5,6.125,1.125,20
NC_007795.1,140,276,115,225,18,21,10,28,15,25,14,35
NC_007795.1,929,961.6666667,830,857.1666667,89,139,49.33333333,138.5,49,83,52,206
NC_007795.1,557,429.1666667,478.8333333,405,41.5,88,24.5,89.5,125,319.5,60,351.5
NC_007795.1,281.1666667,346,213.5,251,36,32.5,15.5,40.5,32.5,71.5,27,89
NC_007795.1,494,441,501,586,32.5,49.5,18,58,124.5,245,56,155
NC_007795.1,372.5,282,325,250,27,50,25,67,81,104,43,109
NC_007795.1,52,114,31,79,9,17,5,9,7,6,3,7
NC_007795.1,47,97,26,99,5,6,6,6,6,8,5,25
NC_007795.1,241,236,228,170,22,25,5,31,26,62,16,94
NC_007795.1,107,146,103.6428571,146.5,20,24.25,12,25,11,43,15,31
NC_007795.1,130,173.5,155,127.5,16.5,20.5,8.5,21,13,25,7,46.14285714
NC_007795.1,96,98.5,70.5,84.5,13.5,23,5.5,17.5,3,19,3,36
NC_007795.1,201,482,172.5,419,54,41.5,52,52.5,49,33,30,69
NC_007795.1,27.5,97,11.33333333,66.5,12,0,4,4.333333333,2,4,5,4
NC_007795.1,717.1428571,787,646.6190476,707.2857143,82,115,37,171,47.14285714,119,46,184
NC_007795.1,148,276,112.2,230,22,15,15,29,15,35,22,51
NC_007795.1,3,6,0,6,0,0,0,0,0,2,0,0
NC_007795.1,160,264,112,228,23,26,12,17.5,24,37,21,45
NC_007795.1,88,119,84.5,113.5,9.5,12,6,13,9,16,8,13
NC_007795.1,191,304.5,139,211,31,8,19,21,11,23,15,25
NC_007795.1,118.5,369.5,63,194.5,24,13,27.5,14,7,6,10,19
NC_007795.1,152.3333333,292,129.1666667,247,12.5,16,11,12,11,35,17,40.5
NC_007795.1,151,170.5,159,194,11,17.5,3,7,18.5,32,7.5,32
NC_007795.1,30.83333333,63.5,22.5,60,6.5,0,7,3,2.5,11,1.5,18.5
NC_007795.1,611,575,455.1666667,282,51,87,40,136,125,251,78,287
NC_007795.1,232,389,188,336,27,24,18.33333333,35,21,42,20,59
NC_007795.1,8,88,10,61,15,2,0,0,1,1,2,1
NC_007795.1,193,170,145,150,33,42,18,66,62,90,25,101
NC_007795.1,176,93,42,64,8,6,3,12,16,48,10,39
NC_007795.1,46.33333333,52.33333333,43.83333333,100.6666667,6.166666667,10.5,4,7.25,12,22.75,10,17
NC_007795.1,33.6,67.5,13.89285714,44.1,3.933333333,5.5,5.5,3.5,6,7.5,2.6,9.5
NC_007795.1,94.5,165.5,75.5,104,11,16.5,3.5,23.5,11,22.16666667,9.5,28.83333333
NC_007795.1,89.83333333,154.8333333,103.3333333,135,10.5,5.5,6.5,3.5,11,16,15,28.5
NC_007795.1,201.5,303.5,163.1428571,251,19.5,19.5,13.5,21.5,22,39.5,20,59.5
NC_007795.1,72.83333333,44.5,93.5,63,11,10.5,3,10,5,14.5,6,23
NC_007795.1,171.3928571,316.5,112.3968254,212.3968254,21,16.5,28,27,13,36.5,16,33
NC_007795.1,55.5,110,41,77,7,9,7,1,10,23.25,7,10
NC_007795.1,42,125,34,74,10.2,4,10,11,8,13,8.142857143,20
NC_007795.1,31,79.11111111,19,58.125,8,3,9.5,4,2,14,7,7
NC_007795.1,53,49,59,56,13,14,6,17,52,106,31,135
NC_007795.1,102.6666667,289,95.5,225.5,31,6,11,13,33,14,24,25
NC_007795.1,65.5,92,37,79.5,7,7,5,3,2,12,5,12
NC_007795.1,0,11,1.181818182,9,1,0,1,0,0,1,1,0
NC_007795.1,52,73,83,91,5,2,5,5,6,15,6,20
NC_007795.1,70.5,115.5,53.5,105.5,10,12.5,8,13,7.5,25,7,42
NC_007795.1,29.5,39,28,23,3,6,1.5,9,1.5,5,4,7
