Synonym,USA300(EX)BHI,USA300(ST)BHI,T032(EX)BHI,T032(ST)BHI,USA300(EX)SNM,T032(EX)SNM,in vivo
SA2981_1576,374,421,336,450,337,989,1
SA2981_1577,99,120,124,127,175,506,0
SA2981_1578,54,105,83,114,95,316,0
SA2981_1579,205,145,244,200,301,580,3
SA2981_1580,218,309,232,250,556,743,2
SA2981_1581,68,100,49,145,145,140,0
SA2981_0162,19,9,1,16,14,116,0
SA2981_1586,275,238,285,168,472,814,0
SA2981_1588,541,436,402,308,372,1708,0
SA2981_1589,132,127,130,63,194,850,1
SA2981_1591,65,109,71,232,658,565,0
SA2981_1592,474,736,435,768,1553,1953,1
SA2981_1593,100,84,114,63,96,239,0
SA2981_0163,2,8,9,19,19,255,0
SA2981_1594,149,142,163,80,287,577,0
SA2981_1595,702,586,715,872,1397,3007,0
SA2981_1596,59,26,51,29,20,61,0
SA2981_1597,1193,506,823,244,472,1422,7
SA2981_1598,161,150,102,64,91,244,0
SA2981_1599,334,229,121,164,242,445,1
SA2981_1600,89,77,107,87,195,365,0
SA2981_1601,116,64,90,71,205,314,0
SA2981_1602,367,254,268,161,647,842,2
SA2981_1603,68,27,18,29,23,19,0
SA2981_0017,330,177,232,117,211,1981,0
SA2981_0164,80,65,45,44,46,443,0
SA2981_1604,3545,2873,3285,944,3274,4527,0
SA2981_1605,4,0,1,1,2,5,0
SA2981_1606,64,59,74,38,155,432,0
SA2981_1607,44,87,90,62,220,689,0
SA2981_1609,20,18,27,5,67,197,0
SA2981_1611,55,32,78,41,69,383,0
SA2981_0165,26,44,25,66,61,362,0
SA2981_1620,1,0,1,6,43,54,0
SA2981_1621,216,282,278,135,317,964,0
SA2981_1622,659,733,389,331,553,1268,1
SA2981_1623,79,91,38,93,265,378,0
SA2981_1624,53,78,49,118,557,733,0
SA2981_1627,143,178,150,163,105,501,1
SA2981_1628,67,121,53,90,87,271,1
SA2981_1629,31,36,29,35,33,91,0
SA2981_1630,159,215,200,175,195,651,0
SA2981_1631,140,155,126,240,211,513,0
SA2981_1632,1006,3297,948,3390,3326,4064,4
SA2981_1633,67,60,58,37,135,236,0
SA2981_0167,7,7,2,0,99,127,0
SA2981_1634,1175,1036,861,639,941,2598,1
SA2981_1635,911,1025,1136,601,871,2357,3
SA2981_1641,280,632,267,392,600,1118,1
SA2981_1642,390,617,316,448,396,970,0
SA2981_1643,113,141,95,153,345,693,0
SA2981_0168,43,100,44,50,106,233,0
SA2981_1644,236,427,160,408,1010,1430,0
SA2981_1645,297,799,241,551,1208,1733,0
SA2981_1646,170,95,33,89,31,134,0
SA2981_1647,98,136,111,129,254,713,1
SA2981_1648,72,114,64,135,218,564,0
SA2981_1649,348,500,227,554,562,1263,2
SA2981_1651,147,195,132,243,314,693,1
SA2981_1652,117,261,90,270,533,742,0
SA2981_1653,95,93,126,99,308,1384,1
SA2981_0169,28,272,21,124,211,215,0
SA2981_1654,80,88,111,105,258,1322,0
SA2981_1655,468,948,302,1456,1253,1696,0
