,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
SAUSA300_0512,11954,12328,11551,8239,9825,13239
gltX,36224,39932,37094,33899,39945,48420
cysE,8596,10272,9308,6600,8572,10111
cysS,22925,27193,25802,15409,20203,24466
SAUSA300_0516,7649,8852,8338,5004,6465,7201
SAUSA300_0517,11906,14305,13293,7225,9327,10918
SAUSA300_0518,11062,13100,11892,6426,8010,10052
SAUSA300_0519,6128,7343,6936,4093,5108,5852
secE,3175,3496,3296,2483,3096,3622
nusG,18731,22139,20014,14568,17006,21109
rplK,45271,61748,55849,44592,52584,63468
rplA,38877,59407,51608,43558,49703,58419
rplJ,70784,97137,87605,77018,90814,104424
rplL,28677,40602,36250,31077,34021,40977
SAUSA300_0526,5724,7433,7035,6128,7180,8062
rpoB,142032,162632,149666,156986,191512,238140
rpoC,202236,225270,214841,200724,235168,303538
SAUSA300_0529,17772,23049,20827,20473,21266,26185
rpsL,62763,80338,74362,65695,81996,96755
SAUSA300_0531,59196,78333,69835,65950,77329,91349
fusA,344414,447889,411046,367248,437298,521181
tuf,590496,707229,671287,472740,577423,764159
SAUSA300_0534,10960,9511,9125,7205,8847,11516
SAUSA300_0535,23655,24226,24164,12316,15861,21852
SAUSA300_0536,321620,321394,306649,121741,152732,231345
SAUSA300_0537,1793,1655,1587,1372,1707,2002
SAUSA300_0538,10207,12518,13965,5639,7754,10715
ilvE,33258,30357,29547,22862,26691,36033
SAUSA300_0540,7702,6245,6186,5869,7158,9975
SAUSA300_0541,8090,7600,6968,6365,7981,10001
SAUSA300_0542,1330,1257,1266,1435,1396,1861
SAUSA300_0543,3006,2820,2476,2320,2477,3475
SAUSA300_0544,5643,5443,4898,5137,5889,7218
SAUSA300_0545,4497,4544,4268,4503,5375,6314
sdrC,2238,1582,1630,2376,2960,4235
sdrD,6292,5698,5929,90358,109252,141643
sdrE,17154,15740,15945,39126,44992,65018
SAUSA300_0549,9811,9532,9399,5508,6415,8976
SAUSA300_0550,18775,19699,20195,9336,11592,15758
SAUSA300_0551,18970,18055,17161,11827,14166,18644
SAUSA300_0552,12884,12383,11793,7999,9620,12324
SAUSA300_0553,9384,8260,7787,5303,6047,7924
SAUSA300_0554,3690,3903,3565,2262,2664,3795
SAUSA300_0555,39618,45898,42462,16138,20105,26457
SAUSA300_0556,36976,42598,39362,14676,19891,25310
SAUSA300_0557,2533,1974,2009,1076,1338,1988
SAUSA300_0558,14349,18790,16334,17076,19717,26836
SAUSA300_0559,688,670,631,456,631,710
vraB,1441,1467,1329,1051,1269,1440
SAUSA300_0561,291,293,298,223,294,288
thiD_1,29946,29917,26783,19881,24823,31161
ung,3238,3473,3201,2412,2875,3557
SAUSA300_0564,2135,2220,2115,1621,2123,2464
SAUSA300_0565,1745,2011,1845,1519,1755,2271
SAUSA300_0566,78512,101685,83457,24436,33903,46973
SAUSA300_0567,3724,3308,3002,2385,2994,3918
SAUSA300_0568,6032,5183,4753,4481,5377,7260
SAUSA300_0569,25122,25730,24577,17786,21946,28407
eutD,64692,68501,64183,38330,46467,62255
SAUSA300_0571,54950,58115,55234,33221,39335,53602
mvk,7026,8723,7896,2824,3872,5078
mvaD,9860,12839,10869,4060,5414,7409
SAUSA300_0574,11130,14456,12898,4631,5920,8000
SAUSA300_0575,968,1134,1094,632,730,1026
SAUSA300_0576,1276,1233,1261,2517,3127,2857
SAUSA300_0577,108,112,128,449,553,459
SAUSA300_0578,0,0,0,0,0,0
SAUSA300_0579,6047,6414,6053,5828,7328,9455
SAUSA300_0580,900,817,879,934,1025,1174
SAUSA300_0581,1485,1506,1500,1383,1482,2008
SAUSA300_0582,2097,2207,2286,1852,2102,2548
SAUSA300_0583,1178,1256,1274,956,1132,1298
SAUSA300_0584,1436,1609,1646,1147,1303,1751
SAUSA300_0585,465,513,518,410,461,471
SAUSA300_0586,461,539,561,429,482,569
SAUSA300_0587,1371,1607,1517,1390,1597,1781
