,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
SAUSA300_2276,2010,1868,1802,1643,2034,2652
hutI,1203,1330,1244,746,954,1267
hutU,632,694,726,407,500,646
SAUSA300_2279,785,760,755,471,588,978
fosB,247,189,252,94,154,196
hutG,34055,38422,35789,8424,12327,19273
SAUSA300_2282,15566,17008,15261,15259,17963,23081
rpiA,6795,7443,7066,5029,6409,7992
SAUSA300_2284,6478,5843,5429,3807,4639,6046
galM,6168,6994,6296,5896,7519,8923
SAUSA300_2286,2260,2671,2236,2233,2855,3101
SAUSA300_2287,5661,6135,5854,6651,8075,10245
SAUSA300_2288,2681,2943,2557,3707,4604,5730
SAUSA300_2289,4491,5753,5603,1732,2077,2425
SAUSA300_2290,1017,987,895,559,686,1014
gltS,639,709,711,915,1056,1269
fni,12889,13630,12527,10388,12905,15874
corA,6507,6528,5900,4859,5735,7216
SAUSA300_2294,3559,3124,3105,1979,2367,3269
SAUSA300_2295,4895,4712,4426,2986,3851,5000
SAUSA300_2296,17874,16970,15747,11900,14602,20289
SAUSA300_2297,4338,4061,4051,3647,4117,5857
SAUSA300_2298,4258,5166,4561,3905,4629,5628
SAUSA300_2299,1322,1674,1525,1159,1488,1887
SAUSA300_2300,4402,3789,3669,3067,3275,4483
tcaB,2054,2576,1999,2028,2579,2606
tcaA,7136,7849,7198,4103,4497,5787
tcaR,9745,9810,9444,4453,5192,7323
SAUSA300_2304,10076,10475,10035,3633,4841,6953
SAUSA300_2305,56,65,42,48,50,63
SAUSA300_2306,285,522,547,594,535,801
SAUSA300_2307,300,670,655,500,546,631
SAUSA300_2308,1419,1413,1313,900,1216,1627
SAUSA300_2309,4527,4442,4359,2984,3833,5141
SAUSA300_2310,1494,1296,1298,827,1129,1431
SAUSA300_2311,1354,1292,1343,815,1033,1312
mqo_1,5537,6532,6389,3781,4691,6056
SAUSA300_2313,341033,371976,356701,206406,237483,305872
SAUSA300_2314,13989,12591,12745,7815,9498,13103
SAUSA300_2315,43940,45784,44785,16414,22083,33698
SAUSA300_2316,2198,1980,1773,1713,1804,2255
SAUSA300_2317,8330,9554,8782,8174,9919,12677
SAUSA300_2318,565,664,541,479,690,686
SAUSA300_2319,1140,1508,1113,1416,1883,1674
SAUSA300_2320,5805,6752,5935,4261,5388,6253
SAUSA300_2321,770,805,740,607,753,914
SAUSA300_2322,2129,2179,2173,1404,1789,2524
cobI,6095,6690,6216,5721,6612,9162
SAUSA300_2324,6979,8776,8836,3860,5179,7630
SAUSA300_2325,780,767,753,432,558,784
SAUSA300_2326,8336,7600,7267,6531,7572,9772
SAUSA300_2327,33384,38491,38932,9279,11765,18992
SAUSA300_2328,11790,12265,12230,7867,8660,12698
gltT,30568,34165,30041,21450,25421,31964
SAUSA300_2330,4758,5286,4510,3439,3645,4036
SAUSA300_2331,25609,25612,24537,6661,7496,10197
SAUSA300_2332,6260,7037,6864,4212,5022,6061
narK,306440,347809,334184,212622,264495,322060
SAUSA300_2334,315,306,272,184,253,347
SAUSA300_2335,125,121,89,70,93,137
SAUSA300_2336,733,794,727,602,628,850
SAUSA300_2337,21333,35389,32808,13363,18886,23360
SAUSA300_2338,46796,70565,65558,28060,38410,45730
SAUSA300_2339,27908,40514,38647,17089,22331,26430
narI,33388,48280,44742,19559,26794,30171
narJ,31284,44845,40322,19965,25632,27155
narH,142162,173825,158640,84016,104342,110902
SAUSA300_2343,571874,609425,568742,411451,510028,541476
SAUSA300_2344,94014,112327,102625,60919,80814,87882
nirD,35163,39805,35802,24933,31700,34236
nirB,222363,243167,225100,189702,241239,260889
nirR,63804,68264,60887,55912,69897,66817
SAUSA300_2348,938,1260,1125,980,1267,1396
SAUSA300_2349,10176,12124,11102,10550,12964,14828
SAUSA300_2350,967,956,797,728,870,1155
SAUSA300_2351,5605,6570,6348,3977,4924,6084
SAUSA300_2352,3844,3990,4000,2522,3201,4546
SAUSA300_2353,5119,4822,4959,3065,3985,5853
SAUSA300_2354,3587,3807,3302,3014,3539,4018
SAUSA300_2355,1761,1807,1522,1701,1875,2294
fmhA,1272,1116,1029,925,1061,1531
SAUSA300_2357,115867,110651,105684,56741,69076,100624
SAUSA300_2358,85891,81595,78287,44780,53033,75718
SAUSA300_2359,102216,96590,85853,53477,59944,85953
SAUSA300_2360,29780,29931,26795,18753,22772,29361
SAUSA300_2361,523,488,526,214,284,367
gpmA,167350,165283,158262,95166,112966,175036
SAUSA300_2363,7441,6309,5989,4173,5264,7679
sbi,131174,95389,97583,25379,30492,47144
hlgA,305,257,283,158,167,284
hlgC,4333,1842,1903,544,592,1033
hlgB,4859,2218,2251,804,824,1759
SAUSA300_2368,223,192,185,134,165,213
SAUSA300_2369,501,580,578,395,487,640
SAUSA300_2370,579,729,586,414,591,612
bioB,487,533,446,333,448,556
bioA,258,255,268,206,233,276
bioD,102,123,102,71,88,126
SAUSA300_2374,768,665,619,486,637,794
SAUSA300_2375,195,247,239,217,217,276
SAUSA300_2376,2297,2425,2334,714,972,1523
SAUSA300_2377,6442,6241,6075,3964,4776,6645
SAUSA300_2378,9447,9312,9578,6049,7542,9596
SAUSA300_2379,17236,16583,15574,9373,11351,15518
SAUSA300_2380,814,921,807,366,556,724
SAUSA300_2381,10184,9643,9759,4512,5871,8882
SAUSA300_2382,1556,1386,1414,848,1128,1504
SAUSA300_2383,1407,1482,1534,734,1030,1385
SAUSA300_2384,24682,21752,21247,21158,24876,33763
SAUSA300_2385,30907,25032,21698,24692,28625,38681
SAUSA300_2386,9846,8631,8686,4783,6146,8715
SAUSA300_2387,2316,2612,2516,2712,3378,4333
panE_1,9231,8668,7334,8169,9950,12351
SAUSA300_2389,41471,37510,34025,33312,39463,54786
opuCd,4305,4421,4623,7823,9796,15634
opuCc,8299,7695,7439,15337,19111,29611
opuCb,3408,3186,3012,6722,8655,13048
opuCa,8557,7482,6987,16836,21412,33132
SAUSA300_2394,5051,4887,4536,4886,5980,7438
SAUSA300_2395,12832,11015,10113,31338,36266,50513
pnbA,26810,26644,26100,8637,11944,17990
SAUSA300_2397,7468,8832,7713,6275,7894,10054
SAUSA300_2398,22176,26614,24323,5588,7780,11385
SAUSA300_2399,12009,15364,12953,3944,5545,7498
SAUSA300_2400,13321,13106,12865,7681,9836,12842
SAUSA300_2401,2015,1842,1839,1579,1528,2295
SAUSA300_2402,3714,3101,3164,2577,3094,4391
SAUSA300_2403,13535,15982,16028,8706,10674,15149
SAUSA300_2404,5163,5832,5265,3767,4771,5624
SAUSA300_2405,5992,5303,5278,3227,3649,4970
SAUSA300_2406,2629,2635,2444,1428,1863,2430
SAUSA300_2407,788,783,828,543,651,713
SAUSA300_2408,794,778,718,574,700,757
SAUSA300_2409,509,459,437,300,394,530
SAUSA300_2410,1307,1186,1187,748,874,1196
opp-1A,3961,3871,3333,2123,2526,2962
SAUSA300_2412,501,424,404,124,151,186
SAUSA300_2413,397,367,376,114,107,132
SAUSA300_2414,388,360,318,108,94,171
SAUSA300_2415,1676,2095,1952,718,760,1166
SAUSA300_2416,9836,12847,10674,3134,4453,6100
SAUSA300_2417,19831,15438,15201,12101,14160,21193
SAUSA300_2418,17389,20891,21243,8196,9883,16292
SAUSA300_2419,1561,1565,1529,1208,1146,1684
SAUSA300_2420,971,971,836,652,843,1026
SAUSA300_2421,5391,5278,4750,4235,4884,6174
SAUSA300_2422,10009,10179,8264,7046,9412,11953
SAUSA300_2423,77948,72105,69826,31776,32888,54008
SAUSA300_2424,1483,1420,1428,1003,1172,1520
SAUSA300_2425,502,485,478,354,510,604
SAUSA300_2426,823,793,856,677,905,953
SAUSA300_2427,3265,3519,3383,2675,3408,3979
SAUSA300_2428,891,892,902,639,726,947
SAUSA300_2429,1532,1612,1561,1481,1628,2041
SAUSA300_2430,1571,1511,1552,1708,1889,2276
SAUSA300_2431,9376,10038,9640,10474,11088,13856
SAUSA300_2432,1704,1655,1621,1571,1725,2041
SAUSA300_2433,6508,6455,6258,4124,5091,6753
SAUSA300_2434,1270,1300,1124,451,594,686
SAUSA300_2435,5039,5361,4679,28689,34041,41681
SAUSA300_2436,7690,8492,7566,53148,62826,70161
sarT,110,144,161,238,238,235
sarU,52,61,44,67,91,106
galU,6449,6189,6022,5226,6293,7771
fnbB,3375,3212,2756,11958,14345,19081
fnbA,14930,12874,12116,12092,13436,20060
gntP,2557,3458,4088,1529,1965,2583
gntK,1350,2097,2981,806,1150,1562
gntR,1842,2514,3574,1113,1811,3539
SAUSA300_2445,8135,7289,7295,4578,5864,8898
SAUSA300_2446,5942,5429,5113,3452,3964,6364
SAUSA300_2447,33761,25438,22222,14575,17950,35158
SAUSA300_2448,8842,8765,7651,6030,7051,10498
SAUSA300_2449,4446,5013,4499,3028,3899,5141
SAUSA300_2450,8511,7414,6934,8084,10406,13681
SAUSA300_2451,1297,1376,1427,967,1112,1445
SAUSA300_2452,173,167,176,143,207,221
SAUSA300_2453,10331,9062,9208,1154,1380,1848
SAUSA300_2454,9265,8178,8631,970,1196,1684
SAUSA300_2455,2692,2955,2912,1323,1650,2347
SAUSA300_2456,4775,4972,4274,4631,5543,6834
SAUSA300_2457,681,726,652,459,630,788
SAUSA300_2458,518,532,398,312,413,553
SAUSA300_2459,686,647,562,882,1095,1232
SAUSA300_2460,3857,4317,3783,1644,2061,3743
SAUSA300_2461,4051,3467,3373,2050,2750,4056
frp,2434,2529,2450,4385,5707,8513
ddh,22164,26140,24627,321958,401734,607738
SAUSA300_2464,362,420,398,483,620,878
SAUSA300_2465,109,114,100,1738,1938,2256
SAUSA300_2466,484,463,443,2816,3490,4530
srtA,12221,11136,10306,7269,8743,11216
SAUSA300_2468,1448,1491,1321,886,1056,1352
sdaAA,1011,1143,1095,848,1111,1408
sdaAB,411,521,436,326,391,451
SAUSA300_2471,599,676,639,395,494,605
SAUSA300_2472,6085,5655,4728,5005,6750,7707
SAUSA300_2473,20130,19619,17940,9913,12782,17397
SAUSA300_2474,2425,2420,2293,1134,1437,2039
SAUSA300_2475,4772,3869,3729,1798,2200,3418
ptsG_2,6333,9645,9108,5793,7140,7710
cidC,71476,84029,76110,42662,52454,71209
cidB,24810,29084,26689,13582,17273,23878
cidA,2723,2456,2136,3008,3175,4693
SAUSA300_2480,5356,5188,4894,2362,3063,4312
SAUSA300_2481,74205,86566,77575,40050,48310,71889
SAUSA300_2482,429,658,588,481,674,828
SAUSA300_2483,8331,9060,8193,6102,7487,9590
SAUSA300_2484,22978,28351,26373,17194,20364,27629
SAUSA300_2485,3730,4903,3541,3069,4242,4928
SAUSA300_2486,142114,164385,151993,59684,81361,126289
feoB,1539,1442,1545,2305,2774,2753
feoA,26,14,23,125,147,129
SAUSA300_2489,2385,2805,2649,2149,2492,2821
SAUSA300_2490,1975,1774,1898,1460,1609,2225
SAUSA300_2491,6478,7277,7915,4299,5660,7900
SAUSA300_2492,2850,2788,2583,1988,2596,3746
SAUSA300_2493,380,211,234,218,226,210
SAUSA300_2494,18022,15325,14948,7776,10164,14927
SAUSA300_2495,4898,4458,4503,1990,2463,3994
SAUSA300_2496,7777,7462,7594,4399,5746,7523
SAUSA300_2497,8535,7866,7841,4616,5775,8125
crtN,4304,7134,6527,1858,2457,2756
crtM,3605,5316,4838,1043,1325,1588
SAUSA300_2500,10101,12564,11608,2204,3167,4160
SAUSA300_2501,16430,18450,18000,4076,5544,8469
SAUSA300_2502,4774,4961,5161,1309,1640,2693
SAUSA300_2503,759,1021,996,733,1029,1194
SAUSA300_2504,19548,20742,18707,17573,21415,24501
SAUSA300_2505,319,495,446,530,569,618
isaA,15131,25767,20226,19138,23679,26354
SAUSA300_2507,307,284,247,228,257,323
SAUSA300_2508,4,6,6,4,9,17
SAUSA300_2509,1505,1210,1289,1025,1325,1874
SAUSA300_2510,821,703,698,526,681,971
SAUSA300_2511,686,595,607,403,511,760
SAUSA300_2512,482,487,438,446,482,553
SAUSA300_2513,631,664,546,559,618,753
SAUSA300_2514,149,195,173,171,209,242
SAUSA300_2515,641,648,617,556,798,840
SAUSA300_2516,721,761,624,507,776,840
SAUSA300_2517,5304,6501,6160,2424,3250,4479
SAUSA300_2518,23119,27460,25412,8244,10834,16122
SAUSA300_2519,768,984,882,924,1064,1363
SAUSA300_2520,900,908,722,966,1092,1507
SAUSA300_2521,449,404,379,647,788,1108
SAUSA300_2522,675,857,717,2433,2963,3781
SAUSA300_2523,984,1122,1038,3384,4103,4800
SAUSA300_2524,457,656,513,1551,1920,2565
SAUSA300_2525,10666,14050,13027,3186,4538,6953
pyrD,7587,8844,8081,6286,7427,9056
SAUSA300_2527,4934,5140,4830,4781,5599,7237
SAUSA300_2528,3137,3278,3000,3163,3767,4628
SAUSA300_2529,4876,6151,5463,9703,10828,14910
SAUSA300_2530,1134,1289,1140,859,1051,1254
SAUSA300_2531,2671,2621,2479,1885,2232,3286
panD,5025,5086,4627,4545,5380,6571
panC,11241,11709,10983,10481,13689,16464
panB,8359,8452,7452,7709,9649,11790
panE_2,5900,5856,5145,4367,5317,6965
budA_2,6636,7221,6603,3916,5115,5899
SAUSA300_2537,62828,61530,63394,17999,23183,32966
SAUSA300_2538,9615,9472,8263,10382,12298,16404
SAUSA300_2539,665,685,614,531,706,830
SAUSA300_2540,148406,151537,145462,73341,87909,125296
mqo_2,392795,399740,369807,220721,258239,353801
SAUSA300_2542,97868,92941,90751,48259,61615,89995
SAUSA300_2543,15649,18202,18842,3839,5811,9168
SAUSA300_2544,3863,3319,3162,1898,2071,3142
betA,621,684,677,597,699,838
betB,530,605,562,422,556,798
SAUSA300_2547,2253,2407,2235,1891,2223,3040
SAUSA300_2548,5074,5087,4982,1792,2354,3886
bccT,1057,1195,1083,793,883,1096
nrdG,16452,14277,14262,1711,2305,3328
nrdD,63713,50928,51491,8049,10580,14266
SAUSA300_2552,2332,2089,1891,737,1019,1228
SAUSA300_2553,2589,2546,2261,1920,2447,3240
SAUSA300_2554,4895,4850,4648,4131,5168,6964
SAUSA300_2555,469,568,483,3764,4319,6607
SAUSA300_2556,5778,5791,5513,2934,3861,5006
SAUSA300_2557,1756,1858,1744,1091,1314,1617
nsaS,6599,7085,6561,3912,4672,5861
SAUSA300_2559,6068,6426,6209,3557,4219,5185
SAUSA300_2560,2791,2984,2732,1556,2008,2424
phoB,588,656,532,281,307,366
SAUSA300_2562,1580,1381,1337,953,1009,1543
SAUSA300_2563,3912,3642,3443,2749,3440,4213
estA,4260,3771,3587,3104,3947,4967
clfB,77489,75010,68350,111641,130363,161912
arcR,1239,1348,1157,949,1105,1420
arcC_3,1364,1535,1327,1035,1270,1392
arcD_2,710,759,638,511,676,815
arcB_2,186,259,276,231,242,313
arcA_2,182,190,245,135,147,205
argR_3,188,170,175,97,85,152
aur,15659,14428,14316,1351,1743,2862
isaB,11453,12256,13099,16713,21604,32480
SAUSA300_2574,1083,979,973,1887,2380,3455
SAUSA300_2575,2278,2078,2089,1631,2010,2797
SAUSA300_2576,9763,9310,9587,7144,9305,14376
manA_2,6243,5870,5627,4286,5099,6794
SAUSA300_2578,29726,27900,27967,18593,23594,30210
SAUSA300_2579,116355,96285,97303,35887,43843,65083
SAUSA300_2580,9433,8521,8418,3290,4128,6044
SAUSA300_2581,11782,13690,13985,6090,7784,10678
SAUSA300_2582,15321,19102,17154,10410,12302,15845
SAUSA300_2583,21127,25806,22650,11692,14368,17216
SAUSA300_2584,34253,41189,37981,21220,26794,33927
SAUSA300_2585,1770,1904,1931,6554,7932,8976
SAUSA300_2586,2487,2598,2522,9656,11262,14021
SAUSA300_2587,2196,2300,2193,8950,10462,13181
secY_2,1079,1049,1139,4353,4869,5839
SAUSA300_2589,71869,60916,62046,238055,278061,388413
SAUSA300_2590,4959,5044,4431,2548,3169,4524
SAUSA300_2591,2048,2066,1852,971,1087,1666
SAUSA300_2592,15497,16272,14684,4698,6321,9795
SAUSA300_2593,7437,6789,6489,3051,4087,6328
msrA_3,414,400,406,377,437,590
SAUSA300_2595,279,283,244,265,328,365
cap1C,329,377,369,3364,4363,5556
cap1B,213,212,194,2619,3588,4323
cap1A,97,72,99,1131,1469,1762
tetR,19233,17144,15777,9708,10942,14649
icaA,124,127,117,138,136,213
icaB,340,283,232,231,253,365
icaC,679,637,663,584,663,834
lip,8357,6498,8213,2298,3323,6540
SAUSA300_2604,170,133,152,233,258,313
hisIE,477,532,538,653,770,1070
hisF,520,556,501,711,953,1108
hisA,278,375,319,521,737,794
hisH,214,205,198,331,454,511
hisB,182,146,158,337,415,566
hisC_2,262,308,267,662,858,971
hisD,334,342,331,974,1122,1321
hisG,79,75,76,221,248,390
hisZ,146,103,108,433,540,661
SAUSA300_2614,1964,1865,1777,10130,12039,16189
SAUSA300_2615,946,694,790,698,749,954
SAUSA300_2616,1466,1211,1320,1083,1252,1443
SAUSA300_2617,3497,3258,3144,2366,2926,3867
SAUSA300_2618,1040,953,923,815,818,1128
SAUSA300_2619,939,767,743,721,806,1067
SAUSA300_2620,5620,6651,6544,2790,3314,5424
SAUSA300_2621,1040,1033,1073,913,1001,1437
SAUSA300_2622,1647,1732,1657,1163,1454,1932
pcp,1887,1526,1404,1379,1740,2313
SAUSA300_2624,1924,2019,1895,1565,1933,2579
SAUSA300_2625,497,462,406,519,662,769
SAUSA300_2626,2764,3262,2980,1008,1312,2164
SAUSA300_2627,29125,29066,29018,13296,16782,23590
rarD,3303,3109,2958,3621,4478,5839
SAUSA300_2629,3186,3186,3061,1415,1852,2754
nixA,6700,6968,6605,9137,11187,15711
SAUSA300_2631,1267,1450,1433,1210,1344,1985
SAUSA300_2632,26808,35203,35387,5473,7383,12654
SAUSA300_2633,478,436,440,296,334,559
SAUSA300_2634,1123,1115,1000,682,820,1087
SAUSA300_2635,94,62,74,58,69,88
SAUSA300_2636,1581,1585,1689,947,1256,1544
SAUSA300_2637,319,374,297,256,299,343
SAUSA300_2638,235,274,223,122,196,247
SAUSA300_2639,161717,160497,143010,96357,104711,140221
SAUSA300_2640,3436,4092,3726,1289,1690,2130
SAUSA300_2641,1052,1076,1015,743,960,1159
SAUSA300_2642,1008,1136,980,790,1066,1210
SAUSA300_2643,9159,9411,8976,6510,7878,10739
gidB,2894,3436,2968,2358,2708,3537
gidA,7895,8817,8144,6261,7648,9390
trmE,3870,4539,4078,3023,3650,4505
rnpA,384,467,422,300,316,423
rpmH,5253,7345,6497,4908,5649,7789
