,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA1703,3224,2570,2897,1086,1069,1077.5
SA0872,3028,3255,3141.5,1572,1475,1523.5
SA1455,5811,5971,5891,5460,5835,5647.5
SA1493,13242,14134,13688,8693,8907,8800
SA0547,4404,4291,4347.5,3650,4151,3900.5
SA0675,11179,12086,11632.5,8059,8569,8314
SA2285,1804,2064,1934,1640,1728,1684
SA1060,12268,12898,12583,11233,11083,11158
SA0725,4129,4017,4073,4734,4992,4863
SA2096,567,473,520,878,910,894
SA0836,158,126,142,70,88,79
SA0752,748,725,736.5,654,767,710.5
SA0731,77397,76577,76987,141801,148232,145016.5
SA1518,5128,5148,5138,4874,5068,4971
SA2101,52446,57688,55067,24439,25111,24775
SA0501,163631,180281,171956,180656,186471,183563.5
SA_RS08795,14,10,12,22,4,13
SA0545,44337,45430,44883.5,37903,38696,38299.5
SAS008,120,123,121.5,98,129,113.5
SA1458,11314,11100,11207,8209,8143,8176
SA0416,5040,4743,4891.5,5024,5287,5155.5
SA2126,9117,7726,8421.5,8458,8729,8593.5
SA0777,20559,22180,21369.5,16662,16522,16592
SA0395,961,912,936.5,1452,1404,1428
SA0230,1455,1541,1498,1095,1122,1108.5
SA1933,11240,10656,10948,7256,7503,7379.5
SA1110,8558,8943,8750.5,6875,6861,6868
SA1307,12574,13211,12892.5,16273,16358,16315.5
SA1781,469,385,427,1375,1381,1378
SA_RS12640,486,455,470.5,282,305,293.5
SA0820,1479,1329,1404,1813,1902,1857.5
SA0658,1923,1980,1951.5,1676,1786,1731
SA2418,7057,7355,7206,4972,5165,5068.5
SA1980,1468,1381,1424.5,1208,1354,1281
SAS023,967,1006,986.5,729,832,780.5
SA1644,136,141,138.5,187,199,193
SA_RS06940,27,16,21.5,27,26,26.5
SA2181,7912,7566,7739,10729,10453,10591
SA1180,1772,1638,1705,2033,2234,2133.5
SA0786,3074,2943,3008.5,1474,1639,1556.5
SA0095,0,0,0,0,0,0
SA2366,1619,1632,1625.5,2003,2039,2021
SA2168,557,448,502.5,536,610,573
SA0040,0,0,0,0,0,0
SA0087,436,389,412.5,468,508,488
SA1075,6935,6163,6549,6321,7552,6936.5
SA1436,1265,1276,1270.5,1132,1095,1113.5
SA0363,2249,2160,2204.5,2242,2271,2256.5
SA_RS10770,9,7,8,6,9,7.5
SA2298,2947,2732,2839.5,1985,2141,2063
SA0132,2512,2570,2541,3694,3702,3698
SA1784,34,26,30,137,117,127
SA0834,504,444,474,344,328,336
SA_RS11790,117,122,119.5,74,76,75
SA0397,557,511,534,345,336,340.5
SA0235,371,302,336.5,631,610,620.5
SA0050,0,0,0,0,0,0
SA2204,51357,55318,53337.5,23773,24563,24168
SA2049,5029,4343,4686,3729,4133,3931
SA0242,4513,4737,4625,5649,5753,5701
SA1057,3409,2699,3054,1977,2030,2003.5
SA1612,1052,941,996.5,617,714,665.5
SA0282,2884,2261,2572.5,3494,3604,3549
SA1247,2005,1942,1973.5,1774,2011,1892.5
SA2380,935,972,953.5,1887,1938,1912.5
SA1167,21709,25028,23368.5,10633,11339,10986
SA2202,16478,14130,15304,22618,22992,22805
SA1549,6184,5357,5770.5,6657,7161,6909
SA1737,4784,4824,4804,4147,4240,4193.5
SA0484,8203,7472,7837.5,11936,12429,12182.5
SAP009,2275,2117,2196,1090,1047,1068.5
SA0499,5969,6283,6126,8061,8499,8280
SA0468,4971,4534,4752.5,6075,6041,6058
SA1147,3612,3670,3641,2599,2858,2728.5
SA1079,7191,6812,7001.5,7948,7871,7909.5
SA1050,1425,1557,1491,1344,1423,1383.5
SA1421,10923,11568,11245.5,9312,9327,9319.5
SA0629,3169,2954,3061.5,2158,2244,2201
SA0897,12501,12960,12730.5,10175,10278,10226.5
SA1013,1131,1067,1099,692,741,716.5
SA0744,164,200,182,261,286,273.5
SA0463,11704,11961,11832.5,12077,12113,12095
SA0258,503,500,501.5,916,970,943
SA2295,390,350,370,4684,4514,4599
SA0006,46767,49233,48000,41009,41675,41342
SA0285,489,432,460.5,286,272,279
SA1334,4268,4617,4442.5,3524,3635,3579.5
SA1770,1416,1155,1285.5,3380,3375,3377.5
SA1999,1890,2030,1960,1374,1474,1424
SA0535,167,153,160,190,199,194.5
SA2476,637,526,581.5,1505,1398,1451.5
SA0333,484,400,442,433,461,447
SA1913,30802,29601,30201.5,45162,47000,46081
SA0450,1806,1699,1752.5,2491,2519,2505
SA1256,10540,10684,10612,13963,13876,13919.5
SA0720,4406,4671,4538.5,4762,4931,4846.5
SA1779,361,266,313.5,570,611,590.5
SA1632,4,7,5.5,2,4,3
SA0764,0,0,0,0,0,0
SA_RS11865,729,762,745.5,324,372,348
SA1577,2561,2957,2759,2251,2390,2320.5
SA_RS10045,1092,906,999,469,563,516
SA2359,898,1050,974,773,850,811.5
SA1769,1162,962,1062,2649,2688,2668.5
SA1041,4650,4720,4685,2925,3003,2964
SA1197,888,809,848.5,942,1016,979
SA1105,10126,8725,9425.5,11723,12018,11870.5
SA0218,99657,94645,97151,267547,272676,270111.5
SA1851,8191,8593,8392,7575,7923,7749
SA2170,2750,2414,2582,2421,2342,2381.5
SA2195,6464,6291,6377.5,3203,3154,3178.5
SA_RS05700,34,33,33.5,30,38,34
SA0226,152,127,139.5,118,107,112.5
SA0336,258,274,266,459,428,443.5
SA1319,1111,1069,1090,682,673,677.5
SA0692,2293,2400,2346.5,2748,2737,2742.5
SA1083,4507,5130,4818.5,4473,4327,4400
SA1725,556,507,531.5,817,814,815.5
SA1641,2025,2040,2032.5,1552,1468,1510
SAtRNA08,506,505,505.5,366,374,370
SA1762,1012,827,919.5,1384,1481,1432.5
SA1729,6537,6108,6322.5,7997,7978,7987.5
SA1802,73,94,83.5,143,133,138
SA_RS13415,27,15,21,72,76,74
SA1885,34129,36588,35358.5,29085,30501,29793
SA2305,971,981,976,1387,1546,1466.5
SA0061,0,0,0,0,0,0
SA1956,6871,5447,6159,8360,8938,8649
SA_RS10890,15,18,16.5,40,50,45
SA0169,711,729,720,1400,1323,1361.5
SA_RS09040,18,9,13.5,6,4,5
SA1776,1060,860,960,1876,1962,1919
SA2398,177,136,156.5,118,124,121
SA1847,895,882,888.5,986,1023,1004.5
SA0647,285,300,292.5,241,233,237
SA2128,824,803,813.5,700,701,700.5
SA2109,4122,3784,3953,8085,8361,8223
SA1339,400,350,375,1722,1923,1822.5
SA1568,2777,3152,2964.5,1979,1902,1940.5
SA1441,7101,7304,7202.5,6736,7181,6958.5
SA1946,1628,1439,1533.5,1945,2132,2038.5
SA0560,9908,9644,9776,9016,9120,9068
SA1463,25923,22432,24177.5,29062,30932,29997
SA0419,6022,6614,6318,6239,6511,6375
SAtRNA52,15,6,10.5,25,18,21.5
SA_RS08485,31268,32072,31670,13023,13510,13266.5
SA1443,20143,19482,19812.5,11827,12574,12200.5
SA2058,125,99,112,156,156,156
SAtRNA23,1195,1114,1154.5,1264,1321,1292.5
SA0431,16882,20410,18646,12694,13164,12929
SA1818,249,153,201,353,360,356.5
SA1932,2473,2512,2492.5,3023,3262,3142.5
SA0611,1644,1597,1620.5,777,731,754
SA_RS02545,10,3,6.5,5,10,7.5
SA1481,0,0,0,0,0,0
SA1276,1082,1085,1083.5,682,742,712
SA1683,5937,5599,5768,5681,5841,5761
SA0876,6879,6966,6922.5,6616,6590,6603
SA0619,11402,11828,11615,12577,13346,12961.5
SA1049,1462,1455,1458.5,1595,1555,1575
SA1572,19561,20087,19824,17655,17967,17811
SA2180,13116,12856,12986,15676,15809,15742.5
SA1945,6816,6385,6600.5,5055,5297,5176
SA1161,13784,12004,12894,8243,8368,8305.5
SAS088,100,100,100,74,61,67.5
SA2313,258,250,254,392,392,392
SA1092,533,480,506.5,416,357,386.5
SA_RS08440,2431,2135,2283,1510,1588,1549
SA0331,89,77,83,95,104,99.5
SA1424,8305,8736,8520.5,7428,7490,7459
SA0693,3660,3684,3672,4021,4047,4034
SA0516,724,704,714,381,373,377
SA0412,100144,108490,104317,81459,83483,82471
SA1422,11688,12464,12076,12709,12457,12583
SA1667,2493,2609,2551,2070,2227,2148.5
SA_RS04335,821,728,774.5,754,735,744.5
SA1128,18730,19264,18997,26564,26638,26601
SA_RS09340,545,605,575,307,355,331
SA2124,19,34,26.5,15,18,16.5
SA1361,4786,4062,4424,2509,2538,2523.5
SArRNA05,372,262,317,723,445,584
SA0909,6918,5609,6263.5,3500,3902,3701
SA_RS08540,0,0,0,0,0,0
SA2029,62497,74590,68543.5,71969,76209,74089
SA0181,911,1044,977.5,592,623,607.5
SA0205,404,309,356.5,399,432,415.5
SA1062,7929,8188,8058.5,7371,7276,7323.5
SA_RS05060,292,295,293.5,171,169,170
SA0236,130,100,115,198,173,185.5
SA1064,3449,3712,3580.5,3069,3151,3110
SA_RS04040,31,40,35.5,23,13,18
SA0462,6238,6657,6447.5,6945,7691,7318
SA1274,16145,16260,16202.5,16227,16420,16323.5
SA1571,16578,16833,16705.5,13718,13504,13611
SA1735,25191,26680,25935.5,26074,27118,26596
SA0940,47077,48968,48022.5,34257,35417,34837
SA1356,11280,11260,11270,9825,9837,9831
SA2327,95569,100572,98070.5,63985,66314,65149.5
SA1949,3946,2982,3464,4191,4327,4259
SA0602,1646,1823,1734.5,1617,1579,1598
SA0120,992,972,982,951,903,927
SA0446,848,861,854.5,784,796,790
SA_RS05625,2,2,2,3,0,1.5
SA1219,98,93,95.5,84,82,83
SA1184,16588,17443,17015.5,27400,27597,27498.5
SA1522,13467,14340,13903.5,11438,12184,11811
SA0800,2550,2653,2601.5,1973,2064,2018.5
SA2414,2821,2342,2581.5,2244,2332,2288
SA2239,4853,4952,4902.5,3886,3873,3879.5
SA1003,978,894,936,1975,1830,1902.5
SA1461,11657,11895,11776,7773,7941,7857
SA2392,6277,6449,6363,8149,8331,8240
SA2200,19577,19445,19511,32728,33235,32981.5
SA0826,5751,5109,5430,4184,4382,4283
SA1859,941,981,961,2554,2552,2553
SA_RS07380,4,4,4,0,4,2
SA2035,78291,93872,86081.5,84894,87030,85962
SA0955,2461,2261,2361,2387,2416,2401.5
SA1576,3879,3796,3837.5,3230,3539,3384.5
SAS093,27821,24601,26211,13591,14526,14058.5
SA2074,18960,16083,17521.5,13472,14421,13946.5
SAtRNA24,1484,1464,1474,1489,1559,1524
SA0368,4251,3932,4091.5,8795,8993,8894
SA2489,563,477,520,636,701,668.5
SA_RS13840,38,74,56,42,45,43.5
SA_RS13510,27,13,20,11,24,17.5
SA1673,4643,4698,4670.5,3913,3979,3946
SA0850,91,71,81,141,131,136
SA_RS08615,14,15,14.5,5,4,4.5
SA0209,245,199,222,848,876,862
SA_RS12595,138,118,128,83,81,82
SA1242,11360,11151,11255.5,4821,5365,5093
SA0406,18470,14903,16686.5,13365,13068,13216.5
SA0853,123,112,117.5,106,80,93
SA_RS07405,327,336,331.5,58,73,65.5
SA0229,11108,10360,10734,6255,6690,6472.5
SA1169,5504,4749,5126.5,9739,10331,10035
SA0894,2717,2824,2770.5,3196,3344,3270
SA1345,2722,2639,2680.5,2206,2316,2261
SA2263,513,564,538.5,507,476,491.5
SA2249,722,637,679.5,669,647,658
SA0053,0,0,0,0,0,0
SA2237,7979,7069,7524,8877,9330,9103.5
SA0617,6146,5534,5840,6874,7401,7137.5
SA0967,6220,5962,6091,4401,4464,4432.5
SA1884,214,152,183,297,285,291
SA2259,1119,1179,1149,1632,1701,1666.5
SA1243,19601,19390,19495.5,11039,11641,11340
SAtRNA33,1586,1576,1581,1642,1798,1720
SA1415,2891,2548,2719.5,1381,1469,1425
SA0791,13336,14655,13995.5,10738,11645,11191.5
SA0150,1225,1018,1121.5,1534,1547,1540.5
SA1129,46169,45130,45649.5,49985,51417,50701
SA1467,12322,12851,12586.5,16696,16532,16614
SA1775,918,787,852.5,1907,1954,1930.5
SA1997,191,137,164,354,291,322.5
SA2408,743,705,724,928,973,950.5
SA1432,2086,1981,2033.5,1665,1759,1712
SA1487,16192,16937,16564.5,18151,19237,18694
SA2205,1589,1487,1538,1641,1690,1665.5
SA_RS03885,26,9,17.5,7,12,9.5
SArRNA13,323,274,298.5,791,419,605
SA2162,1197,1188,1192.5,975,1038,1006.5
SA_RS11530,22,9,15.5,64,48,56
SA0698,11660,12192,11926,12038,12541,12289.5
SA1685,1154,1172,1163,973,1032,1002.5
SA_RS06900,349,309,329,176,178,177
SA1900,1024,932,978,1002,1167,1084.5
SA0311,638,642,640,1065,1153,1109
SA1430,313,308,310.5,304,314,309
SA1841,1997,2057,2027,1229,1268,1248.5
SA0870,4440,4070,4255,6182,6723,6452.5
SA1096,7908,8537,8222.5,7595,7529,7562
SA2238,5060,5089,5074.5,3075,3155,3115
SA_RS01890,136,155,145.5,149,152,150.5
SA_RS03585,46,24,35,29,27,28
SA1542,1451,1488,1469.5,1253,1402,1327.5
SA2225,326,409,367.5,310,327,318.5
SA0174,2800,2915,2857.5,2400,2456,2428
SA_RS09780,510,466,488,235,269,252
SA1100,41686,39262,40474,45054,45996,45525
SA2018,3529,3856,3692.5,4129,4366,4247.5
SA2262,1767,1435,1601,1855,1842,1848.5
SA1038,8,6,7,7,9,8
SA2465,498,546,522,706,722,714
SA0588,22291,21385,21838,26395,27609,27002
SA2467,321,326,323.5,367,415,391
SA0374,11728,11950,11839,14027,14511,14269
SA_RS12815,13,7,10,30,21,25.5
SA_RS09030,4,5,4.5,3,5,4
SA1410,79930,71834,75882,62742,62840,62791
SA0149,1362,1044,1203,1506,1627,1566.5
SA_RS09680,10,3,6.5,6,5,5.5
SA2356,48568,45828,47198,44236,45039,44637.5
SA0059,0,0,0,0,0,0
SA1382,41764,44250,43007,27824,29325,28574.5
SA2151,471,487,479,490,498,494
SA2184,2690,2501,2595.5,14533,14831,14682
SA1081,6615,6296,6455.5,3045,3247,3146
SAS085,656,618,637,622,674,648
SA0974,833,768,800.5,433,417,425
SA0644,1419,1429,1424,682,726,704
SA2442,21576,21954,21765,15758,16468,16113
SA2221,8107,8548,8327.5,8684,8703,8693.5
SA2426,5748,5987,5867.5,5172,5402,5287
SA0461,11751,13010,12380.5,14530,14873,14701.5
SA0860,8217,8072,8144.5,4844,5046,4945
SA1793,515,355,435,1158,1077,1117.5
SA0922,1355,1375,1365,2395,2532,2463.5
SA_RS05180,57,35,46,32,14,23
SA2422,5082,5036,5059,3105,3513,3309
SA0557,4905,5018,4961.5,4778,4930,4854
SA1141,2590,2501,2545.5,7877,7809,7843
SA1720,15470,14880,15175,18559,18504,18531.5
SA1766,3724,3027,3375.5,10241,10303,10272
SA1230,1131,1398,1264.5,1910,2048,1979
SA1499,84137,82499,83318,67168,68975,68071.5
SA_RS12415,61,55,58,32,31,31.5
SA0980,119,98,108.5,117,113,115
SA1699,1654,1496,1575,1904,2217,2060.5
SA2322,744,595,669.5,1223,1370,1296.5
SA2439,7947,8439,8193,7301,7282,7291.5
SA_RS04200,2769,2200,2484.5,2548,2435,2491.5
SA0761,1362,1287,1324.5,1405,1365,1385
SA0308,113,92,102.5,102,117,109.5
SA1168,6509,5936,6222.5,2578,2687,2632.5
SA0759,3871,3756,3813.5,4276,4232,4254
SA0529,4964,4602,4783,8005,8231,8118
SA1925,9591,10450,10020.5,6697,7021,6859
SA1149,11310,10701,11005.5,12367,12178,12272.5
SAS081,359,286,322.5,382,403,392.5
SAtRNA14,1133,763,948,798,872,835
SA0267,472,430,451,656,582,619
SA1780,1123,835,979,2349,2477,2413
SA0353,49997,52192,51094.5,67893,69332,68612.5
SA1329,4035,4475,4255,2948,3090,3019
SA2215,35,24,29.5,60,82,71
SA1348,12276,12510,12393,14731,14544,14637.5
SA1465,19251,19604,19427.5,17332,18037,17684.5
SA2110,1206,1140,1173,1364,1374,1369
SA1024,31226,28357,29791.5,30527,30538,30532.5
SA1239,1891,1689,1790,1730,1808,1769
SA2046,63881,74077,68979,70289,72917,71603
SA1879,153,176,164.5,283,339,311
SA1592,187,185,186,111,154,132.5
SA1963,2183,2292,2237.5,3436,3605,3520.5
SA1825,0,0,0,0,0,0
SA_RS06525,182,138,160,66,66,66
SA2129,9189,9263,9226,7213,7135,7174
SA0049,0,0,0,0,0,0
SA_RS08745,0,2,1,2,0,1
SA0537,7511,7476,7493.5,8433,8388,8410.5
SA_RS01300,0,1,0.5,0,1,0.5
SA0370,13549,14280,13914.5,11765,11814,11789.5
SA2407,3317,3273,3295,2632,2613,2622.5
SA2272,17073,17031,17052,13119,13594,13356.5
SA1492,15610,17078,16344,14038,14329,14183.5
SA1088,12437,12375,12406,17378,17379,17378.5
SA1914,14807,14562,14684.5,24313,24757,24535
SA2451,595,626,610.5,696,643,669.5
SA2002,574,551,562.5,343,357,350
SA0317,2060,2073,2066.5,2469,2579,2524
SA0036,0,0,0,0,0,0
SA1758,2089,1539,1814,3975,4239,4107
SA2355,6381,6027,6204,4174,4167,4170.5
SA1662,15238,14959,15098.5,11465,11779,11622
SA_RS02630,36,38,37,81,76,78.5
SA1164,39776,45889,42832.5,30622,30830,30726
SA0315,832,830,831,768,828,798
SA1679,6409,6247,6328,5194,5514,5354
SA0676,26847,27431,27139,16647,17472,17059.5
SA0935,122986,129928,126457,112144,115220,113682
SA1744,6799,6999,6899,4070,4018,4044
SA0729,43180,41285,42232.5,100121,103878,101999.5
SAP029,0,0,0,0,0,0
SA2039,62362,73933,68147.5,71440,69854,70647
SAtRNA39,667,511,589,694,790,742
SA0428,1852,1578,1715,1090,1222,1156
SA1565,4887,5003,4945,3471,3731,3601
SA1982,606,546,576,676,723,699.5
SA1578,3877,3735,3806,3078,3065,3071.5
SA0451,3125,3001,3063,3549,3446,3497.5
SA1125,4248,4201,4224.5,4398,4443,4420.5
SA0719,20562,20696,20629,19288,20307,19797.5
SA0631,204,234,219,158,181,169.5
SA0783,3590,3195,3392.5,3864,3905,3884.5
SA0018,25875,29371,27623,27951,28145,28048
SA0413,30402,31685,31043.5,19495,19913,19704
SA2332,884,800,842,1216,1154,1185
SA1272,23613,23405,23509,42377,43478,42927.5
SA0828,29364,32704,31034,23356,24023,23689.5
SA1082,2317,2615,2466,1752,2007,1879.5
SA2011,254193,273125,263659,83617,80845,82231
SA0835,55512,53843,54677.5,77498,79661,78579.5
SAtRNA40,695,540,617.5,761,871,816
SA1814,1026,1130,1078,1131,1052,1091.5
SA1127,4342,4480,4411,3672,3838,3755
SA0166,352,314,333,646,630,638
SA2404,468,458,463,228,247,237.5
SA2271,4862,4757,4809.5,3787,3823,3805
SA1283,81794,88177,84985.5,75712,77881,76796.5
SA1480,0,0,0,0,0,0
SA2491,1184,1081,1132.5,1454,1478,1466
SA_RS01515,20,18,19,10,12,11
SA0564,13636,13299,13467.5,9237,9571,9404
SA0753,887,942,914.5,803,848,825.5
SA0469,41057,38029,39543,50975,51542,51258.5
SA2320,748,706,727,1510,1555,1532.5
SA_RS13810,4658,4531,4594.5,1761,1706,1733.5
