,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA1920,8811,9116,8963.5,9759,9710,9734.5
SA1416,877,877,877,626,627,626.5
SA1023,19202,18306,18754,8392,8849,8620.5
SA1742,3197,2986,3091.5,1954,1977,1965.5
SA0776,41546,45829,43687.5,38661,39552,39106.5
SA0096,84,81,82.5,119,106,112.5
SA2079,3477,3335,3406,3942,3950,3946
SA1639,1689,1763,1726,786,842,814
SA1983,4588,4733,4660.5,3454,3814,3634
SA1399,5200,5312,5256,4542,4817,4679.5
SA0558,5341,5508,5424.5,4407,4746,4576.5
SA0953,3214,2645,2929.5,4464,4564,4514
SA0148,1002,745,873.5,1046,1130,1088
SA2068,38613,41220,39916.5,29812,30563,30187.5
SAtRNA51,3236,2674,2955,2272,2568,2420
SAP011,3653,3323,3488,2159,2370,2264.5
SA1543,657,585,621,606,619,612.5
SA1238,9794,9499,9646.5,9614,9317,9465.5
SA0794,18782,18256,18519,23555,24067,23811
SA2333,4731,4823,4777,5313,5262,5287.5
SA1232,5444,5424,5434,6660,6945,6802.5
SA0530,674,672,673,444,452,448
SA0185,166,104,135,643,672,657.5
SA1555,467,472,469.5,471,508,489.5
SA0795,10612,9505,10058.5,14017,14383,14200
SA2196,6605,6281,6443,3407,3427,3417
SA0910,38418,35838,37128,35117,39512,37314.5
SA0493,7844,7829,7836.5,6415,6330,6372.5
SA2130,3482,3524,3503,3153,3120,3136.5
SA1559,13558,12032,12795,17175,17123,17149
SA1308,67555,68930,68242.5,38380,39843,39111.5
SA0429,636,530,583,426,333,379.5
SA0437,8716,7976,8346,8583,8800,8691.5
SA0293,2388,2059,2223.5,11199,11546,11372.5
SA1315,4701,5413,5057,2044,1992,2018
SA_RS03775,4830,3623,4226.5,10150,10369,10259.5
SA2104,1730,1437,1583.5,2083,2079,2081
SA2026,53652,60631,57141.5,61931,61607,61769
SA1701,7667,6849,7258,6909,6765,6837
SAP001,97647,104673,101160,37931,37830,37880.5
SA1550,6303,6691,6497,5710,6222,5966
SA_RS00065,1062,1045,1053.5,1090,1135,1112.5
SA2303,3030,2418,2724,5620,6173,5896.5
SA2460,130,101,115.5,784,767,775.5
SA2350,729,633,681,846,835,840.5
SA0722,10287,10338,10312.5,9405,9693,9549
SA1755,4451,2393,3422,4310,4633,4471.5
SA0405,8406,6957,7681.5,6215,6474,6344.5
SA1843,96434,85766,91100,56221,58792,57506.5
SA2076,2456,2602,2529,1393,1688,1540.5
SA1551,1205,1274,1239.5,892,847,869.5
SA1537,4511,4183,4347,5477,5532,5504.5
SA0754,6656,6404,6530,5782,5751,5766.5
SA0022,1221,970,1095.5,2686,2549,2617.5
SA1295,3968,4116,4042,4308,4671,4489.5
SA1893,9312,8500,8906,12188,12892,12540
SA1384,5725,5946,5835.5,3867,3774,3820.5
SAS018,1014,1136,1075,873,975,924
SA0561,3696,3833,3764.5,2856,2741,2798.5
SA2354,36608,34221,35414.5,26156,26562,26359
SA0665,10757,11748,11252.5,6993,6910,6951.5
SA2148,229,224,226.5,327,378,352.5
SA0668,343,339,341,421,350,385.5
SA0091,1297,1074,1185.5,1299,1355,1327
SA_RS03875,1059,1347,1203,728,731,729.5
SA0584,399,357,378,542,603,572.5
SA0219,43008,40691,41849.5,91145,92922,92033.5
SA2502,1752,1832,1792,1601,1647,1624
SA0774,29710,31022,30366,25153,24839,24996
SA2231,3516,3393,3454.5,3779,3834,3806.5
SA2403,512,482,497,599,569,584
SA2456,220,170,195,222,226,224
SA1873,16723,16898,16810.5,9664,10366,10015
SA2149,4101,4236,4168.5,2553,2478,2515.5
SA1444,32877,32470,32673.5,21552,21739,21645.5
SA0512,17860,18855,18357.5,17810,18341,18075.5
SA2099,10625,11404,11014.5,7370,7573,7471.5
SA0474,3373,3282,3327.5,3416,3598,3507
SA1569,34449,36607,35528,19215,19486,19350.5
SA_RS03840,1,0,0.5,1,4,2.5
SA0646,17494,17984,17739,12147,12819,12483
SAS053,2862,2772,2817,2049,2225,2137
SA0257,309,300,304.5,270,282,276
SA2369,255,317,286,298,329,313.5
SA0276,5969,4669,5319,7676,8117,7896.5
SA2297,1824,1600,1712,1092,1153,1122.5
SAP013,1855,1672,1763.5,994,1012,1003
SA1811,787,638,712.5,846,905,875.5
SA0760,15452,15615,15533.5,16342,16856,16599
SA0434,2699,2810,2754.5,5753,5789,5771
SA1069,28522,28773,28647.5,22051,22719,22385
SA1906,75110,76008,75559,92098,92201,92149.5
SA1732,1580,1654,1617,2078,2127,2102.5
SA_RS07110,1,2,1.5,2,3,2.5
SA0591,480,471,475.5,464,454,459
SA0227,321,249,285,225,251,238
SA0844,92,106,99,42,54,48
SA0287,281,287,284,437,455,446
SA1627,76,60,68,110,113,111.5
SA0295,9597,8411,9004,6358,6495,6426.5
SA_RS00500,0,0,0,0,0,0
SA1052,12271,12040,12155.5,10556,10891,10723.5
