gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_02395,37037,36523,35847,17207,21809,26590,20791,28596,19726
SKAG_02394,24736,26347,23042,7749,10219,11187,10670,12941,8212
SKAG_02393,30929,33033,34462,11971,13450,16848,12534,16718,11929
SKAG_01620,2172,1976,1851,1048,1112,1520,1249,1112,1036
SKAG_02391,46014,42977,37732,57562,69581,81933,59474,58741,49443
SKAG_02390,30187,27142,25126,40689,45474,56821,38002,36566,35157
SKAG_01621,1489,1198,1151,803,803,1143,838,783,642
SKAG_01626,0,0,0,0,0,0,0,0,0
SKAG_00260,15955,15736,15395,7335,9493,11370,9248,11922,8341
SKAG_02053,9112,8607,9505,3152,3892,4730,3536,4361,3215
SKAG_01627,552,423,423,208,209,277,308,309,214
SKAG_01333,1,0,1,0,0,0,0,1,0
EBG00001170991,26,18,27,31,31,35,20,14,26
SKAG_01625,229,217,162,94,160,125,190,149,68
SKAG_02338,0,0,0,0,0,0,0,0,0
SKAG_01252,6932,8063,8747,1645,1827,2214,2145,3003,2075
SKAG_00308,45855,43265,46548,23224,28236,34958,26401,34221,25628
SKAG_02573,36,42,47,16,23,31,19,25,24
SKAG_02572,44,45,59,19,25,31,15,26,29
SKAG_02571,10802,11028,10725,3680,4858,5577,3925,5951,4224
SKAG_00309,33115,32913,32511,14971,19059,23889,18828,23853,16249
SKAG_02577,1014,838,900,267,388,507,377,618,491
SKAG_02576,24994,24726,23769,11339,16098,21731,15723,28095,18898
SKAG_02575,12372,13166,13693,5826,9585,12825,8386,14697,10793
SKAG_02574,16016,16059,15433,4646,5548,7383,5273,6601,4456
SKAG_02579,1447,1238,1440,520,773,1126,841,1338,882
SKAG_02578,508,418,496,136,226,351,187,384,251
SKAG_01294,10580,10956,10692,6110,7231,8798,6353,6311,4995
EBG00001170999,36,34,44,43,32,40,42,42,70
SKAG_01254,38,42,41,16,17,26,21,14,19
EBG00001170998,1,1,1,1,1,1,1,1,1
SKAG_01392,9254,9945,10538,3760,4595,5922,4389,5647,3598
EBG00001171045,5,0,0,4,4,5,5,0,0
EBG00001171046,3,0,0,1,1,3,1,0,0
SKAG_00959,5333,5662,5037,1841,2579,3131,3063,3532,2069
EBG00001171047,7,0,0,10,8,12,10,0,0
SKAG_01396,19458,22686,18938,4827,5616,6722,6799,8617,5229
SKAG_00951,7945,8818,7986,1700,1849,2400,2241,2856,1995
SKAG_00950,11210,11676,11286,2989,3182,3886,3303,4873,3312
SKAG_00957,7009,7905,7837,1478,2041,2637,2470,4181,2590
SKAG_00956,42,50,48,25,58,39,30,43,38
SKAG_00955,966,903,892,289,370,508,326,525,355
EBG00001171041,0,0,0,0,0,0,0,0,0
SKAG_02889,10910,5299,6821,2165,4184,4688,4001,11043,6922
SKAG_02888,64991,70476,72126,20654,21802,25274,24470,27897,18838
SKAG_01394,13115,14002,14843,3749,4956,5610,5041,7007,5442
SKAG_02883,3532,3576,3374,1471,1554,2212,1744,2074,1245
SKAG_02882,5959,5745,5505,2169,2865,3644,3226,3953,2254
SKAG_02881,40960,32257,35687,13803,18722,21253,15129,24021,17093
EBG00001171043,18,0,0,16,14,17,18,0,0
SKAG_02887,29251,35320,21909,7918,13499,11889,14384,17356,6254
