,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_01004,56,121,129,81,66,46,106,78,112,58,30,71,73,165,82,25,75,71,61,21,,,,,,,,,,,,,,,,,,,,
SAA6008_01005,72,123,119,68,54,40,66,50,31,27,17,24,43,48,9,11,45,42,25,16,,,,,,,,,,,,,,,,,,,,
SAA6008_01006,0,3,2,1,3,11,6,22,20,8,3,7,8,4,1,1,8,14,10,5,,,,,,,,,,,,,,,,,,,,
SAA6008_01007,604,1270,1673,780,549,675,2128,5943,1215,651,353,605,2507,1224,657,826,3600,12905,1839,885,,,,,,,,,,,,,,,,,,,,
SAA6008_01008,50,57,99,74,70,58,83,111,110,72,39,47,92,256,62,38,60,127,115,55,,,,,,,,,,,,,,,,,,,,
SAA6008_01009,17,42,49,52,31,19,73,50,73,30,40,33,51,92,33,22,81,95,48,29,,,,,,,,,,,,,,,,,,,,
SAA6008_01010,77,187,194,55,74,38,119,100,36,39,34,81,98,94,45,26,114,148,41,39,,,,,,,,,,,,,,,,,,,,
SAA6008_01011,382,576,721,729,442,197,350,394,344,171,229,263,364,892,233,136,328,567,372,133,,,,,,,,,,,,,,,,,,,,
SAA6008_01012,33,74,76,18,42,26,82,48,36,29,12,28,25,28,13,13,49,36,13,15,,,,,,,,,,,,,,,,,,,,
SAA6008_01013,128,244,294,202,186,729,1728,2434,1721,699,573,1271,1325,2064,447,614,1671,2190,1411,640,,,,,,,,,,,,,,,,,,,,
SAA6008_01014,210,384,457,190,188,1218,2658,3353,1646,977,995,1780,2086,2262,581,884,2448,3599,1471,766,,,,,,,,,,,,,,,,,,,,
SAA6008_01015,344,729,785,360,276,2378,6435,6797,4267,1982,1731,3771,4407,4417,1107,1583,6161,8063,2929,1605,,,,,,,,,,,,,,,,,,,,
SAA6008_01016,235,349,491,237,248,1737,3949,4193,3629,2033,1444,2143,2686,3355,1170,1313,3942,5221,2613,1640,,,,,,,,,,,,,,,,,,,,
SAA6008_01018,134,507,511,168,129,25,135,149,52,40,14,65,79,98,29,20,118,143,47,20,,,,,,,,,,,,,,,,,,,,
SAA6008_01019,162,202,256,131,107,380,707,415,470,244,219,313,291,317,192,183,551,406,334,177,,,,,,,,,,,,,,,,,,,,
SAA6008_01020,2,5,16,5,5,17,27,141,33,8,11,23,65,128,16,11,64,140,61,19,,,,,,,,,,,,,,,,,,,,
SAA6008_01021,17,21,31,16,17,76,139,846,171,101,64,92,263,493,114,97,406,758,277,189,,,,,,,,,,,,,,,,,,,,
SAA6008_01022,7,12,12,8,7,48,121,607,119,73,59,70,205,322,77,90,325,626,163,109,,,,,,,,,,,,,,,,,,,,
SAA6008_01023,5,12,9,9,8,103,130,622,122,87,111,102,267,370,121,117,369,729,210,101,,,,,,,,,,,,,,,,,,,,
SAA6008_01024,29,11,22,11,10,188,211,982,230,118,177,162,359,542,186,191,511,1120,322,180,,,,,,,,,,,,,,,,,,,,
SAA6008_01025,46,44,62,37,32,368,586,2356,524,273,325,327,699,925,318,430,1381,3119,691,394,,,,,,,,,,,,,,,,,,,,
SAA6008_01026,25,30,48,20,17,255,548,2507,312,256,220,324,700,523,249,282,1125,3377,393,294,,,,,,,,,,,,,,,,,,,,
SAA6008_01027,23,28,35,15,26,300,471,2674,403,303,265,283,664,826,262,270,795,3761,483,267,,,,,,,,,,,,,,,,,,,,
SAA6008_01028,15,21,22,26,24,248,323,1918,428,324,202,251,468,1056,355,175,470,2563,566,268,,,,,,,,,,,,,,,,,,,,
