key,Gal_NO_A,Gal_NO_B,Gal_A,Gal_B
SAUSA300_0633,7926,7817,5715,5539
SAUSA300_0634,2449,2728,1814,2106
SAUSA300_0635,2862,3076,2869,3164
SAUSA300_0636,1125,1257,1907,1922
SAUSA300_0637,1000,994,2004,2119
SAUSA300_0638,752,535,1698,1828
SAUSA300_0639,3004,2747,3606,3824
SAUSA300_0640,3577,3495,1713,1940
SAUSA300_0641,840,899,509,475
SAUSA300_0642,3013,2636,1376,1384
SAUSA300_0643,2842,3017,1381,1140
SAUSA300_0644,1049,1061,427,438
SAUSA300_0645,1496,1390,706,756
SAUSA300_0646,1817,1944,1202,1161
SAUSA300_0647,719,904,471,502
SAUSA300_0648,673,583,326,361
SAUSA300_0649,1556,1538,2368,2887
SAUSA300_0650,1590,1542,2400,2651
SAUSA300_0651,48420,56832,24989,22239
SAUSA300_0652,917,1100,875,839
SAUSA300_0653,438,390,280,306
SAUSA300_0654,206,152,136,129
SAUSA300_0655,6030,5649,5370,4648
SAUSA300_0656,4554,4235,4161,3888
SAUSA300_0657,1193,1255,683,709
SAUSA300_0658,2623,2755,1812,1862
SAUSA300_0659,1113,1023,782,736
SAUSA300_0660,829,795,706,805
SAUSA300_0661,401,495,306,248
SAUSA300_0662,86,76,99,62
SAUSA300_0663,974,1274,1166,929
SAUSA300_0664,2065,2064,2431,2514
SAUSA300_0665,1149,1252,1002,1000
SAUSA300_0666,2858,3248,3859,3545
SAUSA300_0667,1929,2449,4384,3097
SAUSA300_0668,2793,3431,13092,10604
SAUSA300_0669,1855,1874,3468,3635
SAUSA300_0670,404,383,703,619
SAUSA300_0671,339,333,611,574
SAUSA300_0672,38025,40701,30673,39911
SAUSA300_0673,871,922,952,968
SAUSA300_0674,2227,2117,1903,1875
SAUSA300_0675,1217,1130,1196,1074
SAUSA300_0676,712,695,900,982
SAUSA300_0677,915,913,1000,1090
SAUSA300_0678,373,319,319,390
SAUSA300_0679,747,846,863,790
SAUSA300_0680,441,329,561,599
SAUSA300_0681,6615,6771,853,1040
SAUSA300_0682,368,312,310,343
SAUSA300_0683,264,256,1162,1422
SAUSA300_0684,295,304,821,879
SAUSA300_0685,662,690,1331,1482
SAUSA300_0686,1274,1189,1310,1393
SAUSA300_0687,7393,7539,6167,5338
SAUSA300_0688,1207,1312,1245,1330
SAUSA300_0689,1430,1402,1133,1151
SAUSA300_0690,1121,1345,4584,4688
SAUSA300_0691,2044,2489,9757,9875
SAUSA300_0692,773,871,4379,4127
SAUSA300_0693,2285,2557,16314,15540
SAUSA300_0694,1279,1022,333,425
SAUSA300_0695,1544,1414,560,640
SAUSA300_0696,1080,1164,375,531
SAUSA300_0697,890,916,304,237
SAUSA300_0698,266,268,205,216
SAUSA300_0699,392,447,423,385
SAUSA300_0700,534,521,570,593
SAUSA300_0701,1089,954,928,864
SAUSA300_0702,1911,1917,1762,1706
SAUSA300_0703,20722,22584,15117,15415
SAUSA300_0704,2119,2297,839,899
SAUSA300_0705,2478,2374,978,977
