,MS2contr_R1,MS2contr_R2,MS2RsaA_R1,MS2RsaA_R2,raw_MS2totRNA,raw_MS2RsaAtotRNA
HG001_01970,0,3,1,7,7541,7719
HG001_01971,736,1579,375,1167,114,125
HG001_01972,292,177,294,153,750,809
HG001_01973,1559,829,1350,721,76,69
HG001_01974,2,10,7,10,2363,2296
HG001_01975,252,539,742,1045,32,33
HG001_01976,35,174,47,140,40,33
HG001_01977,1,0,2,1,1045,1307
HG001_01978,305,342,7876,3167,324,272
HG001_01979,34,76,49,88,16,14
HG001_01980,6,5,2,6,2,2
HG001_01981,0,1,0,0,8974,5878
HG001_01982,35,47,15,43,24,28
HG001_01983,1,2,1,0,2,9
HG001_01984,0,0,0,1,3,5
HG001_01985,1,2,3,0,553,575
HG001_01986,244,329,180,243,55,43
HG001_01987,44,33,34,17,494,583
HG001_01988,627,713,2568,1102,3,7
HG001_01989,1,0,0,0,182,204
HG001_01990,60,68,51,78,35,29
HG001_01991,9,11,2,13,16,15
HG001_01992,6,10,3,3,20,21
HG001_01993,10,20,13,19,9,12
HG001_01994,3,6,3,3,10,8
HG001_01995,5,9,4,11,83,82
HG001_01996,53,66,49,48,24,18
HG001_01997,4,3,6,3,11,16
HG001_01998,1,5,4,2,1,0
HG001_01999,2,4,3,0,36,27
HG001_02000,1,1,0,2,12,7
HG001_02001,1,0,0,0,8,5
HG001_02002,14,15,19,27,4,7
HG001_02003,7,8,7,5,28,34
HG001_02004,1,3,7,2,8,12
HG001_02005,6,3,8,3,5,3
HG001_02006,1,1,3,0,11,12
HG001_02007,9,7,9,9,4,3
HG001_02008,4,1,2,2,19,15
HG001_02009,0,1,2,4,5,3
HG001_02010,1,7,3,2,2,6
HG001_02011,4,0,2,1,3,9
HG001_02012,5,1,2,2,6,2
HG001_02013,4,2,1,0,5,3
HG001_02014,4,2,5,1,2,4
HG001_02015,18,13,10,8,2,3
HG001_02016,11,12,13,11,4,4
HG001_02017,118,171,242,299,4,3
HG001_02018,1,0,1,0,1,0
HG001_02019,3,7,1,5,29,29
HG001_02020,1,2,3,2,31,29
HG001_02021,1,2,1,1,3373,3397
HG001_02022,0,1,0,1,1,3
HG001_02023,2,0,1,0,25,17
HG001_02024,0,0,1,0,13,28
HG001_02025,1,3,2,0,30,32
HG001_02026,29,55,18,80,12,8
HG001_02027,1,0,1,0,10,5
HG001_02028,2,1,0,3,0,2
HG001_02029,4,3,1,0,28,32
HG001_02030,87,129,60,122,268,269
HG001_02031,1,1,1,1,4,3
HG001_02032,0,0,2,0,11,4
HG001_02033,259,421,742,481,10,15
HG001_02034,198,233,477,284,24,28
HG001_02035,151,287,101,240,1105,1120
HG001_02036,77,138,115,107,13,14
HG001_02037,93,114,68,85,6,3
HG001_02038,266,236,207,214,722,654
HG001_02039,188,183,209,163,281,189
HG001_02040,2676,1518,2688,1538,5,3
HG001_02041,10,17,12,16,208,196
HG001_02042,1,2,1,0,143,132
HG001_02043,52,105,53,77,856,1007
HG001_02044,716,598,793,595,652,714
HG001_02045,20,16,17,16,3215,3926
HG001_02046,1584,1522,1286,1150,183,144
HG001_02047,274,209,285,138,69,37
HG001_02048,168,445,229,379,545,488
HG001_02049,409,774,453,792,1799,2140
HG001_02050,3127,4783,4853,4207,39,41
HG001_02051,1660,3304,1509,2857,6936,8201
HG001_02052,93867,254656,451401,580965,996,1232
HG001_02053,21882,49442,16665,35003,2108,1737
HG001_02054,2740,10535,2486,7420,1675,2288
HG001_02055,54317,109031,35346,69541,2687,3577
HG001_02056,61388,116598,40028,75916,4366,4290
HG001_02057,1165,2193,1031,1989,1238066,1165579
HG001_02059,949,1777,601,1280,68515,63916
HG001_02060,140,291,85,227,19716,22325
HG001_02061,2,2,2,8,106881,105460
HG001_02062,4,9,7,7,70117,80596
HG001_02063,30,21,23,28,2520,2868
HG001_02064,466,674,397,680,3283,3215
HG001_02065,90,402,183,456,1858,1884
HG001_02066,126,228,93,192,28,31
HG001_02067,1142,1625,825,1425,42,42
HG001_02068,231,354,123,250,138,117
HG001_02069,353,476,176,402,4019,3933
HG001_02070,122,171,71,140,1235,1057
HG001_02071,27,47,20,74,806,669
HG001_02072,20,78,33,109,1411,1598
HG001_02073,0,10,2,9,385,443
HG001_02074,21,63,16,87,574,528
HG001_02075,37,131,50,137,465,357
HG001_02076,30,103,40,110,155,232
HG001_02077,66,169,89,166,207,328
HG001_02078,26,51,31,52,25,28
HG001_02079,33,106,31,115,158,228
HG001_02080,1209,973,797,856,198,287
HG001_02081,1466552,1557926,1641749,1399842,153,201
HG001_02082,1643807,2158825,2154677,2565165,215,274
HG001_02083,102,157,73,135,86,108
HG001_02084,2,2,1,0,194,286
HG001_02087,1096,837,719,772,1,1
HG001_02088,3542,2793,2118,2290,18,16
HG001_02089,2006,3125,1441,2602,6,11
HG001_02090,423,750,378,649,1621,1767
HG001_02091,275,377,165,307,5540,5626
HG001_02092,792,1153,643,905,12058,12777
HG001_02093,435,618,426,524,4329,4515
HG001_02094,202,411,229,343,2989,3080
HG001_02095,3246,4460,3062,3655,5441,5701
HG001_02096,908,1214,886,1156,3351,3298
HG001_02097,475,698,501,630,1875,1789
HG001_02098,2179,3002,2405,2505,5157,6379
HG001_02099,257,416,356,375,1465,1759
HG001_02100,14969,18934,19578,14909,848,1051
HG001_02101,28770,39361,32200,29610,4370,4929
HG001_02102,9529,15834,10246,11978,812,931
HG001_02103,2591,3656,1706,3627,9584,9865
HG001_02104,1393,1865,771,1741,29420,29477
HG001_02105,1834,4163,956,2701,18780,17540
HG001_02106,1954,3167,1645,2257,11407,13174
HG001_02107,1301,2429,1104,1419,3621,4701
HG001_02108,160,329,89,235,6801,8401
HG001_02109,2409,4540,1806,4480,3738,3539
HG001_02110,108,122,72,109,2651,2491
HG001_02111,94,85,41,61,3405,3229
HG001_02112,496,819,478,811,10415,12419
HG001_02113,407,619,355,721,231,206
HG001_02114,1359,2285,574,1799,158,215
HG001_02115,674,492,209,333,1740,2357
HG001_02116,950,709,275,500,1040,1266
HG001_02117,891,663,384,456,3861,4492
HG001_02118,572,471,284,296,842,824
HG001_02119,41,40,46,66,1181,1131
HG001_02120,14,17,5,19,843,805
HG001_02121,169,152,142,184,668,588
HG001_02122,33,60,29,38,112,114
HG001_02123,4610,3063,4908,2507,62,123
HG001_02124,14346,8399,16052,7737,498,526
HG001_02125,558,533,972,553,475,360
HG001_02126,40346,36024,24772,29855,2755,3376
HG001_02127,109599,93827,65538,75459,8622,11500
HG001_02128,70764,51794,42861,44396,1143,1578
HG001_02129,141062,90467,95131,75700,15808,20223
HG001_02130,36484,22338,26203,17851,39293,49790
HG001_02131,51116,28780,35314,22862,23894,28009
HG001_02132,34114,18902,21152,15482,31722,37913
HG001_02133,78532,40412,50953,34672,9646,10803
HG001_02134,30799,16864,23681,14642,10645,13024
HG001_02135,226000,84877,145984,79811,8621,9140
HG001_02136,126799,48113,83599,42666,18326,17772
HG001_02137,418171,172240,337029,161116,9111,8799
HG001_02138,142454,64909,120599,65093,14137,15458
HG001_02139,232,520,164,349,5758,6675
HG001_02140,453,1316,366,874,15266,17938
HG001_02141,2412,5602,1811,4059,7149,7513
HG001_02142,1485,3652,890,2647,990,928
HG001_02143,337,828,208,547,1498,1431
HG001_02144,371,622,234,519,2634,2418
HG001_02145,1220,1816,762,1529,2608,2387
HG001_02146,6261,3460,8346,3949,1280,1216
HG001_02147,1859,2559,2734,3245,5578,6825
HG001_02148,2773,4844,4537,4784,6865,7551
HG001_02149,3871,7924,2794,7516,11998,16437
HG001_02150,14,67,13,52,10942,12084
HG001_02151,738,2020,513,1340,7199,7271
HG001_02152,247,451,258,681,55163,49554
HG001_02153,146,335,109,418,433,439
HG001_02154,246,444,145,312,7368,6129
HG001_02155,321,567,336,519,2246,2443
HG001_02156,353,575,256,523,1186,1278
HG001_02157,148,241,125,264,1509,1228
HG001_02158,299,435,199,326,1484,1603
HG001_02159,7530,7741,5160,5439,1329,1468
HG001_02160,25150,23272,17404,18288,618,697
HG001_02161,12384,12608,8824,9764,2964,2778
HG001_02162,651,975,421,1045,12251,13083
HG001_02163,1144,1203,949,983,30819,34314
HG001_02164,275,288,449,364,11112,12347
HG001_02165,1059,2110,1219,1770,8248,8493
HG001_02166,721,1250,906,1011,3228,3247
HG001_02167,3170,4257,3708,3515,1174,1261
HG001_02168,622,623,752,465,2867,2389
HG001_02169,2171,1786,2643,2109,772,728
HG001_02170,26,21,20,21,2555,2740
HG001_02171,101,170,101,131,613,629
HG001_02172,356,842,438,697,6665,7665
HG001_02173,467,1228,299,965,292,247
HG001_02174,178,293,148,268,1432,1080
HG001_02175,52,185,39,147,5321,4689
HG001_02176,580,1268,443,1007,23336,18855
HG001_02177,129,411,80,410,300,284
HG001_02178,3140,24732,2298,26596,832,762
HG001_02179,127,1570,43,1691,2090,2202
HG001_02180,3711,936,1655,673,607,604
HG001_02181,15038,4234,7578,2948,58631,56838
HG001_02182,2603,941,993,627,4569,4505
HG001_02183,5464,2182,2180,1503,2159,2111
HG001_02184,6896,4259,7129,7174,3642,3950
HG001_02185,5221,9828,3621,7459,1152,1347
HG001_02186,2458,4367,1929,3338,3420,3851
HG001_02187,2954,4276,2405,3351,1898,4954
HG001_02188,505,802,593,692,8349,8725
HG001_02189,45,93,14,68,3217,3646
HG001_02190,0,1,0,0,3244,3546
HG001_02191,4,3,1,1,1832,1716
HG001_02193,0,0,0,2,3,2
HG001_02194,1,0,0,3,18,15
HG001_02195,1179,964,762,821,1,1
HG001_02196,1483116,1571904,1657748,1413258,1,2
HG001_02201,1031,1168,730,821,88,80
HG001_02202,1352556,1783469,1775749,2112816,2,0
HG001_02203,758,1456,744,1292,7651,5875
HG001_02204,135,194,180,187,667,823
HG001_02205,17,97,45,121,600,542
HG001_02206,130,231,112,266,1227,1183
HG001_02207,422,763,319,774,2548,2737
HG001_02208,2279,3460,2174,2624,6115,6890
HG001_02209,466,576,421,481,1283,1612
HG001_02210,287,900,1345,1164,14027,10798
HG001_02211,4315,4675,5538,5229,816,1014
HG001_02212,88,174,64,165,380,353
HG001_02213,46,63,32,53,180,208
HG001_02214,104,314,63,213,1267,959
HG001_02215,1578,689,1481,571,1218,1460
HG001_02216,14418,4713,15419,4496,2484,3706
HG001_02217,53,91,44,84,152,132
HG001_02218,15679,19117,17495,18681,6586,7108
HG001_02219,2,2,1,1,3,4
HG001_02220,1,0,2,1,1,0
HG001_02221,0,0,1,0,2,0
HG001_02222,8801,7237,8527,7699,81324,126250
HG001_02223,940,564,943,507,8977,15388
HG001_02224,4860,4583,4953,4724,34320,59911
HG001_02225,339,347,620,680,1762,3936
HG001_02226,200,281,130,294,1174,1089
HG001_02227,430,776,379,730,4850,4660
HG001_02228,129,293,105,245,928,1096
HG001_02229,132,120,84,137,240,272
HG001_02230,241,178,215,145,112,161
HG001_02231,10,9,13,10,8,13
HG001_02232,44,25,33,37,25,32
HG001_02233,33,40,25,24,31,35
HG001_02234,12,7,8,7,12,19
HG001_02235,2,7,2,6,22,23
HG001_02236,624,603,512,493,1287,1179
HG001_02237,184,320,148,328,1862,1696
HG001_02238,2,1,5,4,44,42
HG001_02239,1,1,0,0,21,16
HG001_02240,601,716,444,518,1923,1621
HG001_02241,101,134,135,94,213,256
HG001_02242,112,96,50,74,247,264
HG001_02243,545,619,516,541,1281,1118
HG001_02244,221,335,160,222,755,652
HG001_02245,17576,5665,24159,7334,2290,3601
HG001_02246,3504,10710,4986,7042,24702,18792
HG001_02247,6823,18388,9001,11714,51688,45784
HG001_02248,552,1377,476,1144,6176,4974
HG001_02249,889,1927,703,1449,5124,5026
HG001_02250,1878,3061,1422,2340,5393,5487
HG001_02251,174,368,127,296,1038,1009
HG001_02252,82,245,61,150,604,483
HG001_02253,2114,9590,1308,5883,14777,13165
HG001_02254,948,3348,989,2543,11777,10346
HG001_02255,67,209,80,159,1784,1354
HG001_02256,443,987,322,878,1039,1139
HG001_02257,190,547,169,498,757,690
HG001_02258,165,434,120,324,856,803
HG001_02259,99,303,70,197,586,582
HG001_02260,2933,4302,1884,3467,6527,8585
HG001_02261,9592,13365,6445,10497,21566,26841
HG001_02262,3516,4926,2242,3774,6116,7939
HG001_02263,3248,4353,1968,3563,6118,7421
HG001_02264,1223,1929,842,1487,3850,4626
HG001_02265,2766,3645,1789,2724,6124,7718
HG001_02266,7340,10026,4642,7894,14070,19790
HG001_02267,14242,18843,9203,14829,22152,29184
HG001_02268,3237,4147,1918,3140,6635,9301
HG001_02269,1763,2147,1124,1832,4680,5542
HG001_02270,4792,5377,2980,4331,8408,12135
HG001_02271,3293,3647,2168,3079,7888,9506
HG001_02272,4349,4233,2539,3212,10095,13859
HG001_02273,3522,3534,2412,2826,8439,10243
HG001_02274,1747,1420,1177,1341,3033,3910
HG001_02275,4885,4223,2996,3592,9319,12646
HG001_02276,3039,2557,1928,2217,6092,7931
HG001_02277,4572,4030,2853,3368,6620,8742
HG001_02278,2804,2708,2023,2227,6230,7808
HG001_02279,1610,1337,1057,1165,2186,3163
HG001_02280,6726,5627,4777,4790,7809,10302
HG001_02281,10695,9484,7273,7925,13660,17434
HG001_02282,4741,4419,3141,3629,5962,7256
HG001_02283,4986,5218,3251,4122,5941,7271
HG001_02284,14167,18587,9134,13900,19489,25633
HG001_02285,2257,3180,1492,2027,3425,4215
HG001_02286,7188,9526,4584,7085,8558,11810
HG001_02287,6226,8044,3683,5172,8788,11344
HG001_02288,5639,7153,3758,4557,7794,9595
HG001_02289,65,173,36,119,2143,1707
HG001_02290,1431,1310,1321,1366,3659,4241
HG001_02291,475,831,393,768,2457,3014
HG001_02292,72,216,68,183,2696,2025
HG001_02293,63,115,51,104,840,811
HG001_02294,29,76,55,75,383,374
HG001_02295,6,38,7,44,180,239
HG001_02296,39,283,64,323,1458,1374
HG001_02297,3047,4502,2640,4154,3439,4303
HG001_02298,1632,1785,1055,1604,3103,3319
HG001_02299,2,2,1,0,57,49
HG001_02300,138,165,121,196,403,383
HG001_02301,29,38,22,48,101,107
HG001_02302,88,115,80,132,474,460
HG001_02303,186,302,315,623,1709,3378
HG001_02304,2169,1736,1569,1607,4442,4727
HG001_02305,832,641,539,589,1077,1441
HG001_02306,206,165,132,113,171,232
HG001_02307,1089,693,702,637,1213,1421
HG001_02308,1448,920,993,749,1623,1879
HG001_02309,4860,2919,3131,2445,4617,4627
HG001_02310,419,256,275,202,371,332
HG001_02311,1540,852,1019,653,1335,1444
HG001_02312,3353,1711,2573,1267,2877,2938
HG001_02313,3413,2183,3854,2141,2610,2641
HG001_02314,6126,3194,6625,3425,3062,3330
HG001_02315,5581,4174,5451,3561,5447,5126
HG001_02316,209,615,365,580,487,525
HG001_02317,121,219,130,195,673,599
HG001_02318,37,86,46,70,314,267
HG001_02319,54,94,37,83,461,369
HG001_02320,1132,1235,1027,902,715,704
HG001_02321,2243,1357,2337,1202,1819,1657
HG001_02322,33,86,54,134,130,268
HG001_02323,250,250,247,324,153,298
HG001_02324,659,614,674,769,324,634
HG001_02325,3013,2750,3024,3713,1537,3247
HG001_02326,1049,961,1162,1234,583,1033
HG001_02327,1383,1353,1449,1699,776,1601
HG001_02328,1711,1589,1752,2143,818,1508
HG001_02329,2188,2532,2831,3407,1294,2275
HG001_02330,852,3107,2718,4110,11600,10198
HG001_02331,350,700,439,729,4744,4439
HG001_02332,118,121,124,99,99,107
HG001_02333,281,240,245,274,226,214
HG001_02334,164,285,1042,1314,1324,1575
HG001_02335,1908,1398,2391,1365,860,1075
HG001_02336,988,986,1105,992,1413,1729
HG001_02337,0,14,3,28,318,312
HG001_02338,63,44,2544,1377,521,1108
HG001_02339,1861,5573,1620,3929,15514,13971
HG001_02340,206,448,191,323,1852,1487
HG001_02341,130,257,135,319,1444,1445
HG001_02342,2,7,2,8,202,165
HG001_02343,1283,2147,1127,1687,6193,7351
HG001_02344,11251,17159,9259,14822,40398,53605
HG001_02345,1054,1210,821,1080,3079,3433
HG001_02346,486,423,365,523,1998,2457
HG001_02347,2032,4268,1570,4241,13289,8782
HG001_02348,66,286,60,259,2719,2724
HG001_02349,16,58,8,61,643,635
HG001_02350,0,0,0,1,6,7
HG001_02351,295,974,604,1182,7119,6152
HG001_02352,233,739,257,905,2363,2894
HG001_02353,16,27,6,45,509,533
HG001_02354,12,31,6,21,463,402
HG001_02355,24,48,16,53,385,357
HG001_02356,39,103,28,100,924,896
HG001_02357,9,34,6,23,189,188
HG001_02358,18,69,91,167,139,124
HG001_02359,1687,2177,1742,1819,1655,1745
HG001_02360,108,94,110,66,147,128
HG001_02361,722,1007,484,781,2661,2501
HG001_02362,59,144,25,115,403,454
HG001_02363,28,51,19,56,113,88
HG001_02364,37,58,38,61,148,152
HG001_02365,17838,13555,11173,9501,13432,13782
HG001_02366,297,564,210,429,624,711
HG001_02367,4329,6585,3435,6415,16569,19756
HG001_02368,3234,4927,1997,5320,14830,17519
HG001_02369,57,174,33,135,877,715
HG001_02370,5,25,4,19,71,53
HG001_02371,17995,9589,14616,9179,7915,13823
HG001_02372,58,256,55,307,2950,4075
HG001_02373,1689,1909,1465,1400,2559,2189
HG001_02374,70,269,84,223,454,373
HG001_02375,316,544,280,459,2282,1909
HG001_02376,97,180,123,170,672,571
HG001_02377,367,575,375,490,1017,935
HG001_02378,154,209,161,184,525,466
HG001_02379,32,93,50,81,887,834
HG001_02380,49,82,38,80,284,261
HG001_02381,98,203,89,178,683,807
HG001_02382,1270,1527,866,1309,3482,3471
HG001_02383,191,326,94,283,1190,1225
HG001_02384,45,153,39,151,562,533
HG001_02385,48,220,55,208,1113,1064
HG001_02386,34,196,22,143,1492,1267
HG001_02387,44,117,38,139,727,749
HG001_02388,1790,2222,1773,1769,1397,1412
HG001_02389,327,308,325,244,373,398
HG001_02390,16,30,25,41,519,528
HG001_02391,232,757,237,595,1060,823
HG001_02392,3632,5236,4402,4580,1902,2031
HG001_02393,75,164,80,128,683,646
HG001_02394,65,158,75,166,985,974
HG001_02395,7,8,4,21,119,105
HG001_02396,0,3,0,0,7,10
HG001_02397,160,100,82,73,533,714
HG001_02398,107,56,63,40,512,671
HG001_02399,30,84,29,75,167,152
HG001_02400,127,410,90,370,886,900
HG001_02401,55,154,85,236,669,771
HG001_02402,55,188,158,254,524,592
HG001_02403,3288,4769,2197,4595,13733,13620
HG001_02404,8363,11389,12597,12103,45948,49171
HG001_02405,1393,2393,1315,1867,3439,3615
HG001_02406,1984,4260,1319,2916,11114,15259
HG001_02407,12,37,15,32,117,117
HG001_02408,122,225,91,241,893,821
HG001_02409,50,126,34,88,287,262
HG001_02410,122,293,108,167,528,521
HG001_02411,217,515,618,625,2332,2008
HG001_02412,23,34,10,35,81,91
HG001_02413,688,1666,478,966,4394,3532
HG001_02414,733,1806,557,1251,5460,4703
HG001_02415,67,72,58,67,277,314
HG001_02416,124,309,230,480,700,649
HG001_02417,100,211,144,272,635,790
HG001_02418,2472,2104,10807,4918,6464,9228
HG001_02419,66,140,160,224,1966,1998
HG001_02420,382,1124,526,1765,4341,5163
HG001_02421,23,127,49,161,696,942
HG001_02422,129,286,338,448,1404,1160
HG001_02423,289,327,716,249,813,644
HG001_02424,120,182,160,170,1253,1045
HG001_02425,10,12,8,10,30,38
HG001_02426,4,9,4,7,8,10
HG001_02427,81,155,77,123,178,172
HG001_02428,2192,2337,4409,3733,5639,5670
HG001_02429,3842,4394,5101,5188,9274,9273
HG001_02430,2313,2446,2284,2428,3999,3651
HG001_02431,1018,1265,1143,1174,1997,1994
HG001_02432,204,193,316,142,200,198
HG001_02433,950,714,977,482,674,596
HG001_02434,1047,954,1109,588,1484,1321
HG001_02435,2534,2386,2920,2083,2457,2609
HG001_02436,490,491,595,407,485,504
HG001_02437,2792,2953,2908,2222,3992,3946
HG001_02438,545,737,772,437,651,618
HG001_02439,130,81,154,114,123,120
HG001_02440,1267,2739,2176,2531,1643,1526
HG001_02441,27,125,85,102,394,180
HG001_02442,12,17,15,12,58,60
HG001_02443,550,574,615,531,1783,1897
HG001_02444,110,193,113,154,1223,864
HG001_02445,83,132,94,120,814,542
HG001_02446,213,427,285,486,656,745
HG001_02447,63,195,97,229,323,377
HG001_02448,11,24,7,24,155,167
HG001_02449,1021,1195,572,832,3303,3234
HG001_02450,713,936,445,571,2062,2160
HG001_02451,1023,1194,607,811,2171,1849
HG001_02452,2144,2550,1311,1671,2645,2304
HG001_02453,19,58,17,51,519,508
HG001_02454,2980,2964,2300,3136,26258,24907
HG001_02455,599,829,647,721,516,556
HG001_02456,20,43,29,35,298,254
HG001_02457,24,43,9,40,373,297
HG001_02458,94,176,106,176,651,907
HG001_02459,261,459,247,404,833,1189
HG001_02460,43,52,22,41,72,71
HG001_02461,356,281,247,193,198,220
HG001_02462,431,432,315,273,262,248
HG001_02463,483,392,316,285,190,195
HG001_02464,11,3,13,5,14,17
HG001_02465,1,0,0,0,4,1
HG001_02466,66,58,44,48,2,1
HG001_02467,22,37,26,23,251,240
HG001_02468,198,259,146,352,252,202
HG001_02470,3,2,3,1,1437,1282
HG001_02471,22,66,21,76,5,16
HG001_02472,16023,11897,26466,10523,265,322
HG001_02473,22991,17474,41135,16258,1853,2207
HG001_02474,57,144,56,155,3513,4131
HG001_02475,200,233,335,274,688,717
HG001_02476,95,297,89,214,421,394
HG001_02477,105,77,80,73,666,634
HG001_02478,405,1930,256,1613,193,223
HG001_02479,112,513,82,400,6009,5584
HG001_02480,1490,2544,1259,2233,1604,1740
HG001_02481,175,494,105,448,3791,3735
HG001_02482,68,60,63,67,1467,1495
HG001_02483,140,222,122,203,497,458
HG001_02484,117,202,130,283,1056,934
HG001_02485,283,559,206,484,1130,1225
HG001_02486,304,543,214,487,1205,1415
HG001_02487,91,161,121,138,1487,1603
HG001_02488,268,348,426,306,516,526
HG001_02489,123,184,96,169,1159,1110
HG001_02490,87,225,84,273,1470,1496
HG001_02491,38581,18363,43968,15798,922,1120
HG001_02492,792,768,798,852,8894,10059
HG001_02493,547,593,411,636,825,1048
HG001_02494,647,816,540,693,3265,4876
HG001_02495,242,541,136,472,1257,1852
HG001_02496,31,171,28,102,3071,2929
HG001_02497,40,127,42,76,836,560
HG001_02498,1724,959,2709,846,680,490
HG001_02499,328,621,255,572,1334,1033
HG001_02500,8,52,17,83,3173,3069
HG001_02501,235,339,170,344,320,345
HG001_02502,49,90,38,62,443,484
HG001_02503,70,95,43,91,118,127
HG001_02504,77,150,37,104,101,103
HG001_02505,94,219,81,181,54,64
HG001_02506,178,465,184,355,178,212
HG001_02507,22,31,10,35,584,675
HG001_02508,22,10,3,10,61,64
HG001_02509,17,11,16,20,37,42
HG001_02510,219,278,311,363,31,45
HG001_02511,4539,2932,4474,3355,1063,1445
HG001_02512,1340,3109,1649,3148,3871,5683
HG001_02513,333,348,362,519,1343,1441
HG001_02514,215,207,131,134,4048,5953
HG001_02515,34,80,49,39,692,582
HG001_02516,79,168,60,136,361,324
HG001_02517,586,575,252,455,559,593
HG001_02518,173,289,261,386,933,1039
HG001_02519,48997,71553,54270,69375,1916,2374
HG001_02520,39,64,38,45,133359,122884
HG001_02521,44,77,32,75,184,162
HG001_02522,51,106,55,79,178,175
HG001_02523,185,353,116,233,215,241
HG001_02524,78,144,67,106,830,852
HG001_02525,62,142,30,86,524,571
HG001_02526,301,775,232,644,423,429
HG001_02527,27,47,24,55,5139,4167
HG001_02528,337,461,170,429,363,286
HG001_02529,7,9,3,9,2721,2479
HG001_02530,6,4,2,1,176,121
HG001_02531,0,1,0,0,60,46
HG001_02532,29,81,46,83,3,2
HG001_02533,4725,5048,2260,3078,402,358
HG001_02534,5,8,9,15,2902,3242
HG001_02535,0,1,0,0,203,145
HG001_02536,648,2109,431,1418,6,2
HG001_02537,65,175,45,132,3624,3162
HG001_02538,374,368,302,326,317,356
HG001_02539,1368,1577,1002,1392,445,669
HG001_02540,344,383,164,352,2179,2412
HG001_02541,336,327,216,218,1434,1667
HG001_02542,19386,32211,23610,23791,835,969
HG001_02543,7527,12392,13590,8618,24283,19691
HG001_02544,78,139,105,175,8884,8472
HG001_02545,95,148,62,170,1630,2289
HG001_02546,437,1606,773,2336,1069,1427
HG001_02547,13,58,18,43,4916,5486
HG001_02548,17,27,26,38,637,633
HG001_02549,6,10,0,5,207,235
HG001_02550,2,6,2,9,46,35
HG001_02551,3,13,4,6,87,49
HG001_02552,505,1574,379,1376,113,74
HG001_02553,6,8,8,4,2880,2800
HG001_02554,227,270,206,283,5,10
HG001_02555,681,765,1141,523,355,542
HG001_02556,249,288,302,206,456,388
HG001_02557,17,54,15,32,274,223
HG001_02558,196,295,227,307,480,352
HG001_02559,269,295,194,241,1159,1319
HG001_02560,3133,3200,2469,2511,1208,1380
HG001_02561,100941,93950,108398,116020,4656,3772
HG001_02562,31,62,21,54,158195,202833
HG001_02563,8,64,16,109,264,229
HG001_02564,36,142,45,186,199,357
HG001_02565,43,81,47,106,287,473
HG001_02566,97,362,101,274,1096,1377
HG001_02567,20,19,23,13,309,290
HG001_02568,83675,71014,156858,80554,43,34
HG001_02569,14616,13897,25525,15612,13381,19043
HG001_02570,22667,24439,38507,27193,5784,8063
HG001_02571,93,135,145,136,11019,15069
HG001_02572,90,140,122,246,495,537
HG001_02573,721,1401,540,1152,809,847
HG001_02574,139,266,123,224,5202,4800
HG001_02575,33,104,59,88,733,667
HG001_02576,310,352,467,274,499,435
HG001_02577,5614,6093,5623,5925,1593,2139
HG001_02578,1555,1617,1679,1885,15227,19337
HG001_02579,18,56,21,39,4484,5524
HG001_02580,936,658,650,639,246,253
HG001_02581,202,316,166,235,1398,1710
HG001_02582,7,7,78,125,64790,50322
HG001_02583,1,14,3,16,138,290
HG001_02584,923,1639,697,1266,76,90
HG001_02585,1539,4104,785,2986,4117,4378
HG001_02586,3096,4808,4104,4262,7503,8668
HG001_02587,34414,38874,34012,33136,9473,9016
HG001_02588,9,34,11,46,51527,74311
HG001_02589,191,614,171,522,151,173
HG001_02590,18,42,16,43,1128,1456
HG001_02591,120,149,119,159,92,94
HG001_02592,147,435,106,400,370,381
HG001_02593,2705,5517,1226,3773,811,846
HG001_02594,40,63,16,55,26382,25228
HG001_02595,14,57,21,35,176,111
HG001_02596,2670,4703,2133,3481,1697,1446
HG001_02597,332,545,225,409,8226,8116
HG001_02598,685,1183,501,1087,3879,3690
HG001_02599,814,1455,605,1298,2150,2471
HG001_02600,2173,2103,2395,2100,2056,2271
HG001_02601,972,925,832,901,4670,5172
HG001_02602,1946,2053,1570,1741,2194,2454
HG001_02603,4673,4455,5571,3882,3716,5009
HG001_02604,638,840,888,728,6113,10326
HG001_02605,47,36,161,198,2322,3218
HG001_02606,1909,6305,2347,8369,214,589
HG001_02607,14,43,7,53,39744,40987
HG001_02608,899,784,501,920,372,437
HG001_02609,6,23,5,30,11186,28557
HG001_02610,12,36,3,25,90,222
HG001_02611,6,21,9,27,189,191
HG001_02612,3,21,6,25,233,216
HG001_02613,81,98,39,90,165,139
HG001_02614,60,71,32,84,342,416
HG001_02615,9,11,4,8,414,473
HG001_02616,45,138,32,99,122,102
HG001_02617,131,302,90,248,159,172
HG001_02618,3896,2389,3089,1727,220,260
HG001_02619,10247,5099,7751,3664,2223,2389
HG001_02620,210,373,255,325,6714,7766
HG001_02621,6,19,6,13,165,166
HG001_02622,2,11,5,7,21,25
HG001_02623,2,7,5,3,18,29
HG001_02624,10,10,8,42,17,33
HG001_02625,6,15,18,80,156,377
HG001_02626,6,7,7,13,142,339
HG001_02627,1213,897,1221,1078,66,130
HG001_02628,2683,10950,3066,5758,3840,5532
HG001_02629,655,3450,805,1683,7504,4535
HG001_02630,13,39,14,43,4427,2581
HG001_02631,222,358,82,198,430,376
HG001_02632,31,60,86,108,3384,3314
HG001_02633,40,102,34,84,499,425
