,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_001922,1017,1271,1262,968,1054,980,1153,1576,1395,764,827,560
RSAU_001923,1705,1790,1295,1054,1613,1345,1179,1490,1209,870,1003,715
RSAU_001924,116,158,122,101,103,103,103,181,127,55,81,62
RSAU_001925,69,82,63,54,65,62,67,108,77,48,47,37
RSAU_001926,45,42,31,28,34,18,25,37,33,30,25,26
RSAU_001927,1452,1292,1327,1136,1104,1167,1230,1560,1266,1001,1041,731
RSAU_001928,745,721,698,625,666,582,683,832,671,503,496,363
RSAU_001929,4022,4054,3958,3357,3694,3871,3388,4576,3843,2378,2430,2076
RSAU_001930,1082,1206,1228,1032,1138,1081,972,1244,1087,568,545,473
RSAU_001931,751,916,894,744,852,773,751,1039,878,369,398,279
RSAU_001932,711,847,921,750,780,727,715,978,853,401,390,296
RSAU_001933,542,649,508,449,538,449,490,646,536,224,288,178
RSAU_001934,481,480,506,395,349,407,391,438,396,266,344,278
RSAU_001935,610,514,482,348,423,421,388,519,436,354,436,351
RSAU_001936,166,205,155,136,180,148,180,238,200,91,94,83
RSAU_001937,825,897,746,685,773,690,756,951,781,445,483,391
RSAU_001938,1693,2049,1691,1573,1622,1501,1630,2578,2017,1165,1214,892
RSAU_001939,51,77,45,56,29,36,48,84,74,36,30,25
RSAU_001940,3047,2901,3296,2863,2479,2833,2804,3691,3334,1556,1816,1325
RSAU_001941,6661,6772,7876,6775,6245,7016,7011,9156,7910,3742,4099,3026
RSAU_001942,2311,2436,3019,2903,2211,2544,2719,3625,3064,1347,1474,930
RSAU_001943,3500,4287,4768,4129,3751,3732,4493,5703,5082,2475,2545,1545
RSAU_001944,642,783,885,780,790,767,787,1104,892,483,475,340
RSAU_001945,1039,910,1197,1131,1069,1059,1261,1446,1243,782,971,552
RSAU_001946,402,435,482,468,505,447,520,620,474,321,418,271
RSAU_001947,1236,1248,1333,1002,1150,1150,1326,1663,1423,935,1113,738
RSAU_001948,494,506,528,403,482,460,550,610,603,375,377,256
RSAU_001949,2361,2943,2801,2294,2347,2232,2546,3171,2799,1819,1981,1259
RSAU_001950,1228,1534,1370,1220,1141,1055,1308,1735,1468,901,923,584
RSAU_001951,2266,2956,2521,2299,2184,2116,2475,3202,2759,1678,1824,1136
RSAU_001952,579,641,522,405,479,463,550,759,616,377,400,265
RSAU_001953,258,233,219,222,227,223,225,272,241,157,177,107
RSAU_001954,571,590,536,492,516,468,503,641,527,322,297,273
RSAU_001955,1097,1031,1039,951,906,964,943,1050,958,550,557,389
RSAU_001956,1051,950,1017,1020,880,1015,900,1087,1041,581,607,483
RSAU_001957,393,362,318,284,258,339,367,354,374,277,233,198
RSAU_001958,3024,2110,2326,1613,1691,2316,2049,3076,2501,1347,1671,1236
RSAU_001959,1464,1454,1452,1266,1099,1164,1350,1728,1528,725,766,578
RSAU_001960,5946,7174,5136,4211,5494,4266,4471,7199,5712,2623,3377,2809
RSAU_001961,2440,2347,1796,1289,1832,1808,1573,1972,1708,2012,2317,1809
RSAU_001962,1379,1479,1254,1160,1189,1109,1161,1607,1204,851,864,730
RSAU_001963,8776,8996,7945,6497,7187,6748,6656,7580,6948,5396,5979,4533
RSAU_001964,594,644,548,450,535,492,463,596,471,393,401,326
RSAU_001965,1047,911,1085,920,842,1022,868,1243,1003,444,448,358
RSAU_001966,2091,1653,1803,1325,1495,1573,1542,2129,1660,927,954,826
RSAU_001967,1120,1112,1034,814,849,883,939,1204,989,586,552,495
RSAU_001968,139,160,143,119,131,155,120,142,143,91,112,61
RSAU_001969,1273,1170,1145,915,1032,977,1105,1391,1194,884,833,749
RSAU_001970,362,501,458,364,385,419,414,522,404,306,298,231
RSAU_001971,236,285,234,225,214,245,253,326,220,241,244,169
RSAU_001972,864,868,697,547,806,690,660,795,639,471,483,418
RSAU_001973,1346,1175,1142,838,1060,993,1016,1342,953,691,688,535
RSAU_001974,2339,1668,2047,1681,2094,1909,2177,2627,1770,1223,1398,1050
RSAU_001975,1618,1193,1575,1315,1347,1308,1508,1768,1399,911,987,697
RSAU_001976,1967,2077,1808,1321,1797,1576,1705,2119,1801,1047,1207,874
RSAU_001977,3939,3217,3990,2164,2973,3977,2202,4370,3095,2305,3288,2857
RSAU_001978,113,129,109,87,115,102,96,185,132,81,67,56
RSAU_001979,2830,2899,2596,2208,2439,2201,2242,3052,2385,1579,1472,1378
RSAU_001980,836,703,715,584,590,645,700,965,681,521,499,452
RSAU_001981,132,194,108,111,141,106,102,242,117,90,79,69
RSAU_001982,357,318,269,169,209,245,203,331,280,223,210,188
RSAU_001983,2864,2775,2483,2018,2271,2226,1715,2409,2096,1932,2025,1830
