,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA0682,8,12,3,0
PA0683,2,4,1,2
PA0684,2,5,0,1
PA0685,20,26,4,6
PA0686,9,11,0,1
PA0687,5,8,2,1
PA0688,2,6,2,1
PA0689,19,21,10,6
PA0690,150,140,32,29
PA0691,2,5,0,0
PA0692,16,9,3,1
PA0693,17,17,4,2
PA0694,0,2,0,0
PA0695,3,4,0,0
PA0696,26,12,0,1
PA0697,7,0,1,0
PA0698,5,3,0,0
PA0699,4,5,1,0
PA0700,2,0,1,1
PA0701,6,10,5,1
PA0702,8,3,2,0
PA0703,7,15,3,2
PA0704,17,26,19,11
PA0705,18,17,7,2
PA0706,4,5,2,1
PA0707,5,0,1,0
PA0708,10,10,2,2
PA0708.1,0,0,0,0
PA0709,0,1,0,1
PA0710,1,0,0,0
PA0711,1,0,0,0
PA0712,0,1,0,0
PA0713,137,117,26,16
PA0714,22,22,1,2
PA0715,85,44,6,6
PA0716,36,24,3,2
PA0717,0,0,0,2
PA0718,6,5,3,0
PA0719,6,2,2,1
PA0720,9,12,1,2
PA0721,0,0,0,0
PA0722,3,3,3,1
PA0723,29,21,13,6
PA0724,21,20,3,1
PA0725,1,1,0,1
PA0726,16,19,5,0
PA0727,14,3,3,0
PA0728,8,5,1,3
PA0729,11,7,6,0
PA0730,16,22,8,5
PA0731,27,17,12,5
PA0732,53,44,17,10
PA0733,11,10,1,1
PA0734,2,2,1,0
PA0735,7,7,2,2
PA0736,6,12,8,4
PA0737,11,21,4,0
PA0738,0,0,1,0
PA0739,10,6,6,2
PA0740,20,6,3,2
PA0741,12,5,4,0
PA0742,1,0,0,0
PA0743,80,85,46,31
PA0744,46,46,27,25
PA0745,37,36,11,10
PA0746,58,60,12,6
PA0747,119,139,43,22
PA0749,5,4,3,1
PA0750,8,1,4,5
PA0751,7,9,5,1
PA0752,12,9,1,0
PA0753,0,2,2,0
PA0754,5,3,8,7
PA0755,13,17,1,1
PA0756,1,3,1,0
PA0757,15,3,1,0
PA0758,18,5,8,2
PA0759,21,24,15,6
PA0760,1,2,1,0
PA0761,95,113,33,28
PA0762,289,290,48,31
PA0763,396,342,83,45
PA0764,95,89,23,21
PA0765,11,9,1,0
PA0766,52,57,17,20
PA0767,46,56,16,22
PA0768,30,16,19,20
PA0769,27,38,6,7
PA0770,24,15,10,4
PA0771,23,12,15,9
PA0772,1,6,5,2
PA0773,10,13,3,2
PA0774,6,6,2,3
PA0775,5,2,2,0
PA0776,7,5,4,3
PA0777,4,0,0,1
PA0778,3,6,1,0
PA0779,79,75,45,23
