,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA4145,234,102,103,142
PA4145a,114,43,46,63
PA4147,465,81,160,131
PA4148,28,15,46,27
PA4149,87,37,91,64
PA4150,65,28,71,29
PA4151,71,21,51,34
PA4152,35,10,37,15
PA4153,43,21,45,21
PA4154,37,34,35,28
PA4155,43,11,58,21
PA4156,61,35,76,49
PA4157,184,158,122,206
PA4158,59,38,70,49
PA4159,14,11,41,14
PA4160,20,10,50,14
PA4161,88,22,77,25
PA4162,115,40,80,60
PA4163,1211,363,414,484
PA4164,246,64,94,95
PA4165,226,63,102,97
PA4166,50,6,77,13
PA4167,35,19,47,19
PA4168,126,103,122,118
PA4169,36,33,22,44
PA4170,91,30,66,45
PA4171,31,12,54,22
PA4172,22,9,36,8
PA4173,5,2,11,2
PA4174,87,42,58,49
PA4175,488,242,158,317
PA4176,333,201,241,268
PA4177,9,10,21,9
PA4178,35,109,29,150
PA4179,89,100,106,115
PA4180,1144,355,1045,449
PA4181,116,19,62,24
PA4182,236,43,147,58
PA4183,155,57,82,68
PA4184,326,80,97,98
PA4185,147,109,72,110
PA4186,180,114,80,136
PA4187,53,31,49,35
PA4188,28,6,40,15
PA4189,61,28,62,42
PA4190,950,132,185,190
PA4191,122,74,51,46
PA4192,29,52,29,56
PA4193,37,76,30,97
PA4194,28,75,19,87
PA4195,52,313,31,497
PA4196,73,53,43,78
PA4197,218,116,150,199
PA4198,517,144,90,225
PA4199,903,151,319,236
PA4200,355,75,122,86
PA4201,889,236,407,299
PA4202,422,94,155,123
PA4203,46,25,42,35
PA4204,260,65,204,64
PA4205,54,20,22,32
PA4206,74,36,53,32
PA4207,176,85,120,93
PA4208,103,35,83,38
PA4209,113,38,46,39
PA4210,9,7,5,7
PA4211,53,13,23,12
PA4212,165,61,130,93
PA4213,28,8,17,7
PA4214,103,27,89,34
PA4215,38,11,35,13
PA4216,58,17,59,30
PA4217,151,67,91,93
PA4218,77,67,78,76
PA4219,37,37,90,54
PA4220,17,13,15,17
PA4221,217,277,214,407
PA4222,61,73,97,94
PA4223,69,84,77,105
PA4224,35,39,58,70
PA4225,336,365,466,435
PA4226,231,258,287,340
PA4227,22,37,49,42
PA4228,66,62,122,79
PA4229,30,14,65,18
PA4230,15,12,25,18
PA4231,83,126,118,145
PA4232,1560,2211,881,2832
PA4233,470,679,227,803
PA4234,2318,2156,553,2626
PA4235,1476,786,291,789
PA4236,11140,2136,4275,2146
PA4237,7726,16125,1544,19056
PA4238,13755,25728,2574,31858
PA4239,7740,15218,1382,19068
PA4240,6229,18539,1554,22231
PA4241,3676,8113,593,10431
PA4242,341,776,55,992
PA4243,13106,32006,1853,38150
PA4244,7951,18538,1076,22269
PA4245,4628,11193,694,13321
PA4246,7715,17676,1182,21509
PA4247,4015,8629,536,11641
PA4248,5391,13727,708,17376
PA4249,3517,9377,526,12246
PA4250,4421,6757,881,9001
PA4251,11585,21068,2164,27898
PA4252,6668,11304,1049,14508
PA4253,6645,12947,1181,16295
PA4254,4329,9388,704,11498
PA4255,1279,1927,164,2524
PA4256,7765,14222,1179,17529
PA4257,12622,27015,2316,33540
PA4258,3807,7656,593,9567
PA4259,4107,10335,869,12465
PA4260,8475,17622,1278,22122
PA4261,4145,9687,649,11734
PA4262,8457,19049,1397,24033
PA4263,8512,19186,1655,24389
PA4264,5158,11654,1516,15352
PA4265,27987,49378,7138,62089
PA4266,34837,68472,6110,87978
PA4267,5475,11226,1104,14649
PA4268,5090,11381,1278,14503
PA4269,39568,43335,4831,55387
PA4270,32889,35904,4996,42768
PA4271,9062,20974,744,27906
PA4272,12049,31675,867,39692
PA4273,7732,19674,965,23630
PA4274,6476,19378,888,23728
PA4275,2848,4719,679,5800
PA4276,1755,2904,378,3708
PA4277,25451,44808,6436,55945
PA4278,458,340,178,348
PA4279,294,330,124,345
PA4280,400,651,113,679
PA4281,408,231,143,277
PA4282,1146,524,467,669
PA4283,727,319,284,430
PA4284,1589,668,478,886
PA4285,1249,766,467,1063
PA4286,197,181,88,262
PA4287,11,16,27,21
PA4288,54,22,46,34
PA4289,321,59,66,104
PA4290,910,191,87,432
PA4291,190,378,192,462
PA4292,617,1962,232,2435
PA4293,142,90,146,100
PA4294,48,9,19,6
PA4295,23,22,36,19
PA4296,1456,249,440,266
PA4297,351,88,221,107
PA4298,22,4,22,3
PA4299,63,7,66,9
PA4300,40,17,52,16
PA4301,63,10,39,12
PA4302,112,16,90,21
PA4303,94,27,84,37
PA4304,122,17,80,20
PA4305,109,26,82,35
PA4306,210,20,265,31
PA4307,976,527,279,584
PA4308,1094,256,413,357
PA4309,1198,539,432,581
PA4310,1202,1320,511,1555
PA4311,398,73,415,61
PA4312,245,82,280,139
PA4313,283,284,155,353
PA4313a,151,87,82,125
PA4314,967,1333,424,1821
PA4315,8371,4888,3592,6555
PA4316,753,556,488,756
PA4317,949,847,270,1199
PA4318,462,299,100,446
PA4319,393,216,129,297
PA4320,838,370,213,501
PA4321,649,347,188,432
PA4322,1139,395,246,495
PA4323,730,341,219,484
PA4324,502,318,268,371
PA4325,139,139,147,168
PA4326,119,72,58,89
PA4327,265,96,168,100
PA4328,1634,658,183,550
PA4329,3817,1581,1279,1727
PA4330,448,172,138,173
PA4331,236,64,78,67
PA4332,365,113,130,142
PA4333,3012,2621,1183,3824
PA4334,171,94,100,133
PA4335,140,28,88,65
PA4336,467,147,561,174
PA4337,180,51,55,41
PA4338,251,75,184,69
PA4339,223,65,82,79
PA4340,178,84,100,102
PA4341,146,11,50,10
PA4342,96,33,74,31
PA4343,27,21,40,11
PA4344,109,37,213,69
PA4345,168,44,294,71
PA4346,68,13,48,21
PA4347,680,274,174,292
PA4348,4422,2099,360,1642
PA4349,141,54,74,69
PA4350,227,118,49,121
PA4351,1417,426,118,447
PA4352,5249,1788,552,1690
PA4353,216,114,89,119
PA4354,42,18,33,49
PA4355,62,34,49,41
PA4356,517,86,99,129
PA4357,25,3,7,10
PA4358,141,94,69,105
PA4359,10,7,4,6
PA4360a,14,6,13,10
PA4361,744,353,389,427
PA4362,259,43,130,52
PA4363,77,37,54,50
PA4364,23,5,25,15
PA4365,32,9,35,14
PA4366,20431,13009,17221,17655
PA4367,997,402,561,490
PA4368,447,155,320,211
PA4369,262,107,109,116
PA4370,2147,601,658,864
PA4371,75,54,57,63
PA4372,381,185,150,235
PA4373,415,169,151,207
PA4374,280,154,95,205
PA4375,1039,185,234,293
PA4376,590,355,316,455
PA4377,150,77,228,96
PA4378,237,146,185,205
PA4379,339,242,306,291
PA4380,334,127,131,175
PA4381,268,143,187,194
PA4382,204,53,107,62
PA4383,137,77,39,97
PA4384,51,18,34,27
PA4385,28730,2437,3822,4065
PA4386,1717,211,259,354
PA4387,151,53,59,73
PA4388,454,225,172,269
PA4389,1401,372,770,535
PA4390,169,222,143,312
PA4391,136,132,125,164
PA4392,49,28,26,24
PA4393,349,265,183,359
PA4394,222,516,337,688
PA4395,1234,1182,710,1620
PA4396,225,152,130,183
PA4397,155,50,89,73
PA4398,504,227,272,274
PA4399,345,76,151,102
PA4400,587,164,252,262
PA4401,343,110,142,151
PA4402,1235,633,432,733
PA4403,10233,8316,3511,10431
PA4404,254,290,135,362
PA4405,133,137,55,132
PA4406,5382,4496,1971,5897
PA4407,9264,3693,4313,4834
PA4408,2371,1354,958,1758
PA4409,1254,738,559,966
PA4410,1627,926,720,1167
PA4411,2813,1464,1063,1978
PA4412,1141,556,581,722
PA4413,871,427,393,500
PA4414,2304,1240,1015,1476
PA4415,1165,743,453,918
PA4416,2086,1397,1014,1616
PA4417,1969,1303,824,1753
PA4418,2035,1585,1005,1985
PA4419,186,121,122,169
PA4420,1231,826,500,1020
PA4421,1951,1352,778,1678
PA4422,171,158,109,170
PA4423,1852,1688,955,2065
PA4424,277,121,97,185
PA4425,1246,919,599,1057
PA4426,1174,663,743,928
PA4427,470,567,178,609
PA4428,310,432,96,445
PA4429,4852,3299,1276,3569
PA4430,7495,6292,2092,6801
PA4431,3588,3905,1354,4072
PA4432,3334,9873,748,13050
PA4433,3449,16565,941,19258
PA4434,761,237,386,309
PA4435,657,195,271,248
PA4436,221,181,91,214
PA4437,295,59,65,58
PA4438,412,1383,174,1980
PA4439,1485,814,529,1104
PA4440,391,239,148,290
PA4441,1212,633,461,774
PA4442,2263,1458,292,2430
PA4443,872,1190,185,2156
PA4444,454,293,435,363
PA4445,221,113,148,138
PA4446,653,730,384,903
PA4447,1495,685,374,943
PA4448,1260,846,313,1005
PA4449,1420,1201,339,1558
PA4450,3053,3384,1356,4679
PA4451,485,846,269,1041
PA4452,162,72,97,110
PA4453,2262,1544,1443,1949
PA4454,709,475,346,716
PA4455,504,480,305,628
PA4456,535,673,398,967
PA4457,1326,1919,580,2386
PA4458,656,678,255,881
PA4459,1046,1200,388,1427
PA4460,1901,1966,883,2461
PA4461,2412,2376,969,2993
PA4462,2326,1878,995,2601
PA4463,13637,4727,13793,5217
PA4464,5829,2483,2002,2746
PA4465,3436,1813,1087,1962
PA4466,398,169,137,238
PA4467,47,46,51,62
PA4468,63,35,35,45
PA4469,13,11,24,14
PA4470,91,44,56,44
PA4471,16,18,10,6
PA4472,490,175,238,242
PA4473,512,548,327,700
PA4474,1243,456,586,592
PA4475,641,268,334,308
PA4476,1891,996,774,1327
PA4477,1499,815,627,1081
PA4478,201,194,90,194
PA4479,134,143,39,164
PA4480,419,753,100,902
PA4481,1208,2169,312,2690
PA4482,355,585,174,702
PA4483,1687,2106,708,2880
PA4484,2353,2442,708,2968
PA4485,67,108,30,135
PA4486,227,126,123,164
PA4487,854,250,378,314
PA4488,714,223,241,252
PA4489,4626,1215,1093,1472
PA4490,555,169,172,209
PA4491,1823,605,541,787
PA4492,683,573,374,617
PA4493,1420,857,592,809
PA4494,2113,1653,403,1434
PA4495,1577,362,956,431
PA4496,3988,428,798,500
PA4497,1010,157,396,176
PA4498,1164,124,87,192
PA4499,412,233,133,225
PA4500,8108,729,378,757
PA4501,4353,74,123,93
PA4502,4079,236,224,244
PA4503,1602,186,183,188
PA4504,988,67,62,58
PA4505,1307,78,103,79
PA4506,1015,70,122,68
PA4507,167,45,84,50
PA4508,76,26,49,45
PA4509,148,36,86,52
PA4510,197,73,106,103
PA4511,223,99,113,133
PA4512,473,564,197,837
PA4513,72,47,93,73
PA4514,200,118,130,150
PA4515,78,46,73,55
PA4516,79,40,85,51
PA4517,305,213,288,260
PA4518,170,77,47,96
PA4519,2332,1175,323,1464
PA4520,3023,535,434,723
PA4521,285,136,147,124
PA4522,285,163,171,201
PA4523,2353,1115,886,1037
PA4524,299,270,197,324
PA4525,22211,18808,7414,22206
PA4526,3010,2140,1051,2508
PA4528,691,491,149,649
PA4529,617,369,211,404
PA4530,391,223,137,218
PA4531,350,108,86,144
PA4532,213,127,83,132
PA4533,199,92,100,86
PA4534,275,176,168,245
PA4535,498,183,169,225
PA4536,277,96,124,114
PA4537,94,31,54,41
PA4538,1249,711,672,885
PA4539,382,266,213,292
PA4540,47,26,40,23
PA4541,477,266,285,316
PA4542,3891,1384,659,1332
PA4543,269,248,143,310
PA4544,707,920,189,1207
PA4545,1309,1980,783,2350
PA4546,486,360,309,483
PA4547,962,575,528,719
PA4548,504,262,169,359
PA4549,22,12,23,13
PA4550,532,423,242,479
PA4551,470,287,163,359
PA4552,863,536,329,557
PA4553,654,347,241,387
PA4554,5454,2870,1807,3264
PA4555,426,234,154,256
PA4556,879,538,402,579
PA4557,1151,1077,465,1419
PA4558,869,566,243,745
PA4559,1021,717,244,966
PA4560,6780,4801,1829,6319
PA4561,617,582,247,695
PA4562,178,173,81,268
PA4563,1482,6467,399,8001
PA4564,667,433,315,501
PA4565,1066,943,374,1128
PA4566,1271,1854,552,2158
PA4567,3981,10074,1063,13069
PA4568,2540,8579,459,10685
PA4569,632,1212,324,1546
PA4570,19,15,13,19
PA4571,2906,2047,313,1868
PA4572,790,876,273,1182
PA4573,41,24,59,34
PA4574,100,258,46,306
PA4575,141,88,115,111
PA4576,4505,1559,1674,1885
PA4577,734,218,73,214
PA4578,13476,1931,6357,2392
PA4579,2142,636,614,853
PA4580,358,147,111,209
PA4581,206,144,135,214
PA4582,186,77,45,79
PA4583,192,78,64,104
PA4584,129,69,50,96
PA4585,715,106,133,147
PA4586,399,55,50,59
PA4587,2200,1238,216,930
PA4588,3564,497,457,588
PA4589,16418,58,305,99
PA4590,22396,82,1121,139
PA4591,723,55,105,70
PA4592,889,80,122,132
PA4593,263,44,59,56
PA4594,231,59,86,66
PA4595,3240,1764,1289,2242
PA4596,160,65,17,39
PA4597,77,34,74,40
PA4598,170,99,114,119
PA4599,33,27,43,31
PA4600,144,114,91,135
PA4601,1512,1264,1027,1529
PA4602,2327,2736,997,3545
PA4603,169,51,59,70
PA4604,648,164,150,292
PA4605,567,58,73,113
PA4606,7535,1210,843,1824
PA4607,6103,245,6657,269
PA4608,377,127,229,174
PA4609,459,333,258,429
PA4610,348,160,54,121
PA4611,3321,1164,1542,1187
PA4612,62,19,48,26
PA4613,233,107,108,108
PA4614,1794,703,862,905
PA4615,441,560,295,622
PA4616,84,451,58,486
PA4617,330,275,124,362
PA4618,341,307,204,407
PA4619,280,492,161,631
PA4620,98,184,33,308
PA4621,862,1043,159,1268
PA4622,69,107,66,155
PA4623,17,27,21,35
PA4624,357,99,447,124
PA4625,720,321,1904,484
PA4626,197,113,152,156
PA4627,150,202,115,279
PA4628,431,855,185,1055
PA4629,58,221,37,242
PA4630,335,149,213,191
PA4631,626,431,301,592
PA4632,1373,584,528,764
PA4633,2196,861,590,1009
PA4634,181,108,88,139
PA4635,42,22,44,24
PA4635a,46,21,35,20
PA4636a,16,6,13,5
PA4636,608,803,241,1085
PA4637,118,145,74,216
PA4637a,243,73,403,73
PA4639,1050,570,847,739
PA4640,3911,2344,581,2234
PA4642,143,60,48,109
PA4643,261,285,205,299
PA4644,106,181,43,208
PA4645,244,430,133,533
PA4646,489,552,203,648
PA4647,699,714,185,1010
PA4648,62,40,56,45
PA4649,43,16,33,22
PA4650,30,13,42,16
PA4651,58,19,44,28
PA4652,112,55,152,60
PA4653,363,45,68,51
PA4654,609,55,69,50
PA4655,705,602,272,867
PA4656,309,293,141,398
PA4657,569,176,250,215
PA4658,409,306,148,378
PA4659,244,132,73,179
PA4660,663,360,175,499
PA4661,2027,612,1498,996
PA4662,383,428,113,523
PA4663,272,212,69,290
PA4664,608,541,135,710
PA4665,871,926,253,1212
PA4666,388,521,157,670
PA4667,2612,1677,1075,2132
PA4668,683,405,248,494
PA4669,898,1144,388,1464
PA4670,2103,7155,636,9103
PA4671,6101,18645,806,21568
PA4672,347,1110,64,1171
PA4673,975,2929,255,3373
PA4674,97,29,50,23
PA4675,311,193,102,211
PA4676,423,190,162,249
PA4677,541,141,115,207
PA4678,154,108,42,160
PA4679,221,160,86,218
PA4680,369,10,31,14
PA4681,1540,75,100,84
PA4682,1411,164,201,171
PA4683,846,346,153,386
PA4684,243,456,110,654
PA4685,4,22,1,23
PA4686,1486,2068,397,2494
PA4687,523,252,426,337
PA4688,152,104,89,125
PA4689,1003,753,599,820
PA4690,248,156,195,194
PA4690a,214,179,156,213
PA4691,89,29,54,47
PA4692,226,160,185,180
PA4693,1159,928,731,1268
PA4694,11730,4415,1274,4978
PA4695,2545,1180,221,1484
PA4696,5602,4500,926,6248
PA4697,595,423,437,487
PA4698,192,107,73,147
PA4699,606,465,281,547
PA4700,864,1190,358,1515
PA4701,1608,783,669,984
PA4702,78,23,68,34
PA4703,77,17,79,19
PA4704,225,158,236,161
PA4705,261,73,128,113
PA4706,95,19,67,36
PA4707,129,43,77,56
PA4708,101,31,99,48
PA4709,22,18,48,24
PA4710,72,45,89,67
PA4711,54,86,36,115
PA4712,50,48,48,49
PA4713,46,31,34,45
PA4714,249,101,135,110
PA4715,1245,472,1909,515
PA4716,226,129,94,136
PA4717,434,156,270,193
PA4718,249,181,146,226
PA4719,237,876,138,1113
PA4720,462,1041,130,1239
PA4721,316,246,141,277
PA4722,550,321,262,370
PA4723,1358,1749,539,2295
PA4724,105,166,46,231
PA4724.1,39,27,31,39
PA4725,1010,476,413,673
PA4726,2250,1091,1115,1089
PA4727,1059,1654,612,1885
PA4728,204,242,109,316
PA4729,535,459,325,596
PA4730,472,370,311,443
PA4731,283,158,199,192
PA4732,2843,1038,1441,1377
PA4733,2010,250,459,310
PA4734,372,160,219,214
PA4735,3576,1000,1744,1250
PA4736,406,115,144,129
PA4737,406,112,133,128
PA4738,584,134,11747,204
PA4739,466,110,10618,199
PA4740,11573,18820,1613,22734
PA4741,5215,11224,1054,14357
PA4742,1065,2032,324,2215
PA4743,536,1313,95,1451
PA4744,11019,23650,1772,26483
PA4745,5064,11298,985,13299
PA4746,487,1352,127,1496
PA4747,2116,3404,923,4677
PA4748,1809,4294,568,5667
PA4749,2303,1852,906,2407
PA4750,689,556,205,745
PA4751,6840,4187,2464,5073
PA4752,485,438,200,578
PA4753,363,628,132,879
PA4754,556,622,116,707
PA4755,1321,1083,335,1389
PA4756,6847,6607,1582,7643
PA4757,466,458,170,495
PA4758,2360,2538,747,3025
PA4759,652,102,143,147
PA4760,851,149,190,235
PA4761,5139,835,1104,1293
PA4762,313,54,64,107
PA4763,647,430,277,584
PA4764,955,680,479,996
PA4765,1229,1343,479,1791
PA4766,69,59,25,74
PA4767,327,174,166,272
PA4768,207,365,125,483
PA4769,358,432,122,653
PA4770,402,686,140,806
PA4771,144,197,90,240
PA4772,320,418,134,427
PA4773,186,210,122,390
PA4774,303,295,156,503
PA4775,148,111,98,179
PA4776,150,101,54,127
PA4777,135,85,94,109
PA4778,348,114,117,211
PA4779,112,46,41,63
PA4780,220,211,103,288
PA4781,441,60,232,91
PA4782,100,37,28,69
PA4783,153,55,48,60
PA4784,88,25,61,41
PA4785,303,50,197,66
PA4786,955,102,348,104
PA4787,1340,322,439,381
PA4788,355,39,101,56
PA4789,79,47,29,66
PA4790,101,70,56,80
PA4791,152,64,112,85
PA4792,192,50,118,114
PA4793,871,476,518,516
PA4794,286,103,124,123
PA4795,123,46,39,60
PA4796,180,52,73,66
PA4797,133,85,72,96
PA4798,225,129,158,179
PA4799,91,35,59,42
PA4800,78,43,30,61
PA4801,66,55,50,79
PA4802,85,55,61,57
PA4803,182,76,142,91
PA4804,163,120,96,146
PA4805,73,32,78,40
PA4806,160,59,80,78
PA4807,575,173,275,202
PA4808,726,402,354,452
PA4809,318,122,129,132
PA4810,964,112,163,182
PA4811,3881,670,730,857
PA4812,12468,2870,2522,3743
PA4813,1166,11,43,6
PA4814,294,47,94,47
PA4815,39,33,34,34
PA4816,143,118,117,140
PA4817,13,43,17,41
PA4818,41,38,81,32
PA4819,7,11,21,9
PA4820,9,9,18,14
PA4821,106,77,102,129
PA4822,70,42,65,57
PA4823,2,1,7,2
PA4824,24,8,38,15
PA4825,123,90,88,114
PA4826,10,17,20,27
PA4827,137,45,101,50
PA4828,87,10,49,9
PA4829,246,48,135,55
PA4830,40,9,25,15
PA4831,94,70,50,84
PA4832,66,26,58,40
PA4833,209,64,102,79
PA4834,86,20,54,34
PA4835,75,27,74,40
PA4836,28,16,18,16
PA4837,70,42,85,63
PA4838,72,72,70,76
PA4839,1110,401,382,549
PA4840,75,93,21,117
PA4841,434,92,127,100
PA4842,2100,586,1110,774
PA4843,3493,1449,1953,1557
PA4844,135,65,175,86
PA4845,229,225,152,264
PA4846,462,421,189,586
PA4847,807,467,309,717
PA4848,3374,1834,1209,2556
PA4849,48,84,26,74
PA4850,520,630,234,814
PA4851,779,837,480,1179
PA4852,1075,3203,389,3639
PA4853,584,1184,178,1504
PA4854,1623,2156,332,2726
PA4855,1107,1482,203,1712
PA4856,1347,895,480,1199
PA4857,46,25,35,24
PA4858,64,55,61,84
PA4859,45,22,65,31
PA4860,31,17,63,20
PA4861,31,11,21,19
PA4862,40,12,45,14
PA4863,100,50,47,61
PA4864,90,44,66,47
PA4865,79,15,34,19
PA4866,188,23,48,50
PA4867,123,21,32,18
PA4868,1133,188,502,240
PA4869,228,100,121,167
PA4870,107,72,99,60
PA4871,161,45,75,71
PA4872,705,201,317,302
PA4873,198,209,110,263
PA4874,767,115,726,160
PA4876,308,58,3566,76
PA4877,55,23,250,23
PA4878,246,108,126,138
PA4879,459,162,464,219
PA4880,352,59,3842,98
PA4881,22,11,12,10
PA4882,24,23,26,20
PA4883,16,3,27,4
PA4884,27,12,22,11
PA4885,111,82,78,77
PA4886,119,81,74,102
PA4887,87,137,82,133
PA4888,66,51,57,52
PA4889,45,40,65,51
PA4890,107,117,68,145
PA4891,58,49,58,82
PA4892,43,35,71,39
PA4893,89,39,100,53
PA4894,79,23,79,22
PA4895,30,19,52,27
PA4896,11,6,9,10
PA4897,129,62,178,94
PA4898,24,17,23,21
PA4899,165,33,120,47
PA4900,45,19,84,27
PA4901,37,19,83,35
PA4902,60,41,51,51
PA4903,28,28,59,25
PA4904,48,17,62,21
PA4905,50,30,53,31
PA4906,420,180,134,241
PA4907,2277,329,517,418
PA4908,306,16,52,14
PA4909,614,13,36,16
PA4910,923,9,51,13
PA4911,751,13,24,16
PA4912,701,14,27,21
PA4913,3854,95,207,93
PA4914,470,43,68,45
PA4915,777,104,322,107
PA4916,323,93,85,89
PA4917,286,206,57,156
PA4918,389,530,73,294
PA4919,1629,918,278,548
PA4920,1246,397,410,402
PA4921,496,83,68,119
PA4922,15456,4808,8939,4819
PA4923,260,135,91,172
PA4924,234,172,112,235
PA4925,154,21,138,34
PA4926,148,59,118,89
PA4927,256,142,239,175
PA4928,530,1989,259,2472
PA4929,314,85,219,129
PA4930,337,246,171,333
PA4931,935,1415,432,1501
PA4932,3888,12680,415,15956
PA4933,3706,11965,271,13292
PA4934,3309,13231,377,15941
PA4935,5162,18970,526,22353
PA4936,1165,468,344,602
PA4937,6310,3363,2253,3909
PA4938,5798,7027,2597,8408
PA4939,848,1331,304,1589
PA4940,206,398,71,448
PA4941,4475,3145,2200,3652
PA4942,3734,3884,1834,4742
PA4943,3495,5395,1132,6324
PA4944,1956,2355,657,2864
PA4945,1419,2539,1005,3008
PA4946,1879,1126,925,1435
PA4947,1534,1230,984,1524
PA4948,200,108,132,138
PA4949,381,297,224,413
PA4950,395,364,186,438
PA4951,643,448,332,540
PA4952,576,577,364,775
PA4953,853,538,335,761
PA4954,727,509,248,642
PA4955,512,208,207,257
PA4956,539,341,242,423
PA4957,743,495,281,611
PA4958,1269,588,677,680
PA4959,2212,2033,1037,2482
PA4960,838,1110,383,1366
PA4961,1057,1145,769,1489
PA4962,104,113,49,103
PA4963,578,690,342,860
PA4964,2997,1478,1154,1831
PA4965,367,200,113,241
PA4966,628,285,258,392
PA4967,2438,1391,989,1942
PA4968,489,374,238,536
PA4969,256,177,166,200
PA4970,388,184,211,199
PA4971,954,423,560,521
PA4972,841,643,481,597
PA4973,2406,1993,2429,1435
PA4974,2601,1320,988,1691
PA4975,194,59,73,82
PA4976,215,49,108,43
PA4977,172,27,80,43
PA4978,122,29,94,31
PA4979,144,22,34,30
PA4980,45,13,37,15
PA4981,134,42,79,48
PA4982,195,25,108,39
PA4983,144,74,90,101
PA4984,184,69,107,95
PA4985,88,13,55,19
PA4986,255,84,106,112
PA4987,126,103,87,116
PA4988,230,201,173,292
PA4989,60,27,43,31
PA4990,44,29,72,67
PA4991,408,254,296,455
PA4992,559,350,342,421
PA4993,280,139,244,177
PA4994,254,108,119,103
PA4995,386,177,102,177
PA4996,2112,1717,732,2102
PA4997,1499,1764,792,2368
PA4998,322,351,146,478
PA4999,797,903,390,1098
PA5000,1537,1132,818,1533
PA5001,1094,1213,424,1545
PA5002,826,1337,292,1668
PA5003,721,658,209,821
PA5004,1385,1280,318,1747
PA5005,3256,3558,1241,4677
PA5006,710,572,318,785
PA5007,482,424,131,476
PA5008,714,482,209,592
PA5009,442,351,125,460
PA5010,852,668,198,836
PA5011,541,442,163,553
PA5012,618,465,148,589
PA5013,5005,2224,1688,2904
PA5014,1756,681,499,822
PA5015,11721,5734,41435,52978
PA5016,4178,1358,11640,16003
PA5017,1831,1267,907,1562
PA5018,1142,359,595,450
PA5019,516,369,201,397
PA5020,2064,910,213,1454
PA5021,377,287,139,391
PA5022,1565,992,561,1299
PA5023,169,208,151,277
PA5024,91,141,70,193
PA5025,1287,354,260,321
PA5026,278,123,57,135
PA5027,3398,1368,300,1148
PA5028,1093,508,694,605
PA5029,93,59,69,87
PA5030,89,83,2172,154
PA5031,32,18,91,20
PA5032,104,28,49,23
PA5033,183,93,59,86
PA5034,381,825,161,817
PA5035,5850,1323,801,1573
PA5036,12862,3513,1754,4117
PA5037,2460,1194,1457,1443
PA5038,1025,732,588,906
PA5039,1061,773,409,887
PA5040,9089,6129,3463,7515
PA5041,1343,901,568,1085
PA5042,1457,1068,582,1249
PA5043,1807,1465,704,1523
PA5044,2907,2198,1278,2399
PA5045,1931,1989,738,2343
PA5046,5959,4506,1667,5130
PA5047,504,612,212,788
PA5048,230,411,98,482
PA5049,931,3116,198,4371
PA5050,557,322,227,432
PA5051,1945,1548,298,1886
PA5052,481,459,127,506
PA5053,261,132,78,155
PA5054,1084,283,246,359
PA5055,180,113,77,131
PA5056,1794,201,442,242
PA5057,510,53,169,108
PA5058,562,69,244,88
PA5059,165,44,83,40
PA5060,7627,1357,3951,1740
PA5061,597,239,743,296
PA5062,249,115,120,152
PA5063,777,746,465,1052
PA5064,307,251,178,341
PA5065,838,548,446,667
PA5066,715,433,287,493
PA5067,653,469,305,561
PA5068,691,523,501,639
PA5069,672,419,225,646
PA5070,596,431,215,547
PA5071,282,179,85,230
PA5072,388,322,116,435
PA5073,281,161,211,230
PA5074,852,253,155,305
PA5075,1446,311,163,407
PA5076,3973,658,433,911
PA5077,2705,1559,907,1853
PA5078,2829,1885,1234,2395
PA5079,278,87,144,92
PA5080,799,410,459,509
PA5081,75,24,34,35
PA5082,339,86,92,125
PA5083,26,4,16,11
PA5084,41,36,71,27
PA5085,214,134,91,184
PA5087,292,138,183,171
PA5088,252,84,122,120
PA5089,571,273,327,268
PA5090,247,83,94,102
PA5091,289,42,151,70
PA5092,298,42,103,48
PA5093,259,47,130,65
PA5094,190,57,70,61
PA5095,137,24,54,42
PA5096,89,15,56,31
PA5097,95,24,67,54
PA5098,118,24,50,30
PA5099,109,24,84,56
PA5100,358,61,107,58
PA5101,72,20,81,19
PA5102,26,37,29,36
PA5103,242,258,118,439
PA5104,94,27,36,35
PA5105,193,102,67,100
PA5106,94,79,77,59
PA5107,405,129,156,166
PA5108,271,103,121,133
PA5109,529,358,201,474
PA5110,2900,2621,1397,3222
PA5111,848,299,386,353
PA5112,7648,762,793,929
PA5113,913,263,211,316
PA5114,852,435,367,551
PA5115,34,16,43,18
PA5116,50,47,44,50
PA5117,1353,7405,499,8626
PA5118,428,2388,127,2795
PA5119,14364,14011,9225,20238
PA5120,79,79,53,102
PA5121,325,212,233,308
PA5122,312,276,163,304
PA5123,246,133,117,145
PA5124,541,463,181,725
PA5125,575,532,383,911
PA5126,75,68,46,76
PA5127,95,140,73,174
PA5128,3477,2261,648,3181
PA5129,206,235,53,286
PA5130,166,276,73,405
PA5131,1431,933,806,1312
PA5132,52,48,67,57
PA5133,916,866,609,1061
PA5134,3189,1433,1527,1808
PA5135,464,220,181,250
PA5136,1179,423,297,540
PA5137,1500,303,374,270
PA5138,853,481,209,637
PA5139,237,455,67,528
PA5140,888,592,238,735
PA5141,672,453,171,609
PA5142,576,440,197,644
PA5143,764,887,348,1178
PA5144,13,12,21,9
PA5145,170,101,134,91
PA5146,2056,1009,820,1282
PA5147,821,286,259,460
PA5148,553,264,250,377
PA5149,654,286,267,355
PA5150,290,141,183,227
PA5151,61,59,53,82
PA5152,937,1077,564,1240
