,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA0892,314,365,180,482
PA0893,490,478,350,624
PA0894,64,62,56,108
PA0895,1436,1760,2297,2060
PA0896,542,864,1045,1067
PA0897,436,615,996,726
PA0898,447,482,779,625
PA0899,854,800,1543,1104
PA0900,421,435,583,474
PA0901,1063,783,1146,972
PA0902,500,242,248,282
PA0903,4937,3419,1158,4461
PA0904,5443,2957,1063,3447
PA0905,2047,1940,1370,2380
PA0906,220,120,110,147
PA0907,71,21,44,27
PA0908,17,11,34,8
PA0909,15,9,12,10
PA0910,46,14,28,28
PA0911,64,20,58,42
PA0912,62,22,59,38
PA0913,750,584,259,794
PA0914,34,92,18,107
PA0915,39,113,10,134
PA0916,301,802,73,1011
PA0917,625,333,271,427
PA0918,673,152,376,179
PA0919,586,298,435,358
PA0920,478,334,409,395
PA0921,205,171,211,248
PA0922,129,123,92,160
PA0923,133,124,98,164
PA0924,112,86,84,132
PA0925,183,248,91,280
PA0926,190,168,91,253
PA0927,442,151,257,220
PA0928,1130,607,641,774
PA0929,24,15,33,25
PA0930,63,20,58,36
PA0931,119,73,126,74
PA0932,920,1027,541,1321
PA0933,1389,1035,720,1267
PA0934,4339,1671,1896,2228
PA0935,639,296,419,441
PA0936,892,840,454,1073
PA0937,804,609,437,817
PA0938,1588,1274,523,2100
PA0939,34,22,11,31
PA0940,51,15,38,15
PA0941,15,3,11,5
PA0942,125,97,46,126
PA0943,1617,1303,1152,1651
PA0944,580,657,201,811
PA0945,766,1257,342,1568
PA0946,737,390,539,506
PA0947,495,451,210,641
PA0948,137,132,54,191
PA0949,416,317,216,451
PA0950,236,143,120,196
PA0951,409,223,205,240
PA0951a,321,117,41,128
PA0952,1489,901,259,955
PA0953,242,134,181,145
PA0954,349,175,276,250
PA0955,1299,1022,395,1276
PA0956,3610,3988,1530,4959
PA0957,216,126,86,181
PA0958,65928,16598,20254,18970
PA0959,403,135,208,156
PA0960,117,47,68,60
PA0961,314,845,118,1063
PA0962,6141,2075,5440,2393
PA0963,2716,3764,960,5111
PA0964,2366,2665,834,3502
PA0965,507,701,213,826
PA0966,562,682,254,811
PA0967,1209,1248,495,1408
PA0968,683,564,359,675
PA0969,1080,1001,432,1335
PA0970,836,867,512,1127
PA0971,1479,1383,971,1880
PA0972,2577,1612,1136,2194
PA0973,12658,8170,3633,10316
PA0974,2967,2313,790,2958
PA0975,461,709,172,816
PA0976,882,624,417,815
PA0978,109,38,41,34
PA0979,24,13,21,13
PA0981,138,94,174,128
PA0982,207,98,136,100
PA0983,157,56,146,91
PA0984,94,52,66,48
PA0985,411,149,384,172
PA0986,19,22,10,15
PA0987,49,36,39,37
PA0988,324,153,207,145
PA0989,274,186,155,219
PA0990,366,220,290,237
PA0992,280,98,126,126
PA0993,12,6,23,8
PA0994,454,316,330,327
PA0995,431,238,334,291
PA0996,107,37,53,27
PA0997,78,17,17,23
PA0998,71,13,34,22
PA0999,141,31,41,44
PA1000,145,31,55,57
PA1001,208,41,74,58
PA1002,281,71,106,124
PA1003,861,254,318,394
PA1004,801,738,338,1041
PA1005,1375,472,646,593
PA1006,57,51,21,74
PA1007,192,201,82,282
PA1008,832,475,490,676
PA1009,684,808,446,1020
PA1010,2133,2111,1056,2802
PA1011,3936,2571,1274,3401
PA1012,1033,655,311,941
PA1013,1706,1223,815,1870
PA1014,632,451,387,548
PA1015,475,211,133,228
PA1016,173,57,79,66
PA1017,201,30,121,39
PA1018,88,15,48,22
PA1019,110,33,69,34
PA1019a,35,3,10,3
PA1020,199,24,77,31
PA1021,145,18,45,25
PA1022,359,34,101,48
PA1023,401,31,101,38
PA1024,285,16,78,22
PA1025,158,26,27,23
PA1026,69,92,51,121
PA1027,245,53,146,60
PA1028,146,58,106,80
