,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS01135,210,12,10,10,8,13,33,74,38,177,10,21,33,22,16,26,0,43,39,32,17,57,15,48
pcaD,97,21,6,96,13,15,42,52,120,232,36,7,46,39,20,40,0,34,32,33,16,38,21,15
pcaC,54,13,3,34,12,18,14,20,30,76,12,5,31,16,9,17,0,36,9,22,33,23,39,6
PA14_RS01150,100,20,18,46,32,37,31,69,74,244,13,7,82,34,29,21,4,37,32,56,50,129,26,43
PA14_RS01155,18,13,1,19,4,11,18,38,7,47,0,8,36,32,26,12,0,18,33,29,16,44,1,3
PA14_RS01160,21,23,0,12,10,3,5,55,15,64,16,5,44,29,12,9,0,6,46,11,7,25,8,5
PA14_RS01165,62,2,2,6,3,3,11,21,8,93,5,14,9,3,4,7,0,3,3,2,0,19,4,11
PA14_RS01170,23,16,0,6,3,8,8,35,7,37,3,11,20,5,16,7,0,8,7,68,1,3,6,10
PA14_RS01175,19,1,1,6,4,2,6,13,5,46,4,1,8,11,3,3,1,7,19,19,1,10,1,3
PA14_RS01180,57,12,0,13,4,19,9,9,3,71,7,1,24,18,8,16,0,2,78,16,13,23,2,22
PA14_RS01185,40,26,14,31,15,10,21,28,26,104,11,13,56,64,15,17,1,22,78,37,17,119,22,12
PA14_RS01190,24,18,1,13,10,14,3,54,30,71,4,4,51,20,17,8,0,12,37,8,9,42,8,13
PA14_RS01195,52,29,8,17,7,20,12,33,27,85,4,2,36,29,9,13,1,14,40,58,29,45,10,13
PA14_RS01200,158,82,38,95,22,154,53,58,123,254,16,11,65,180,57,53,7,95,174,155,102,55,109,101
PA14_RS01205,42,6,1,7,3,6,3,5,9,67,1,2,7,8,2,7,1,3,7,11,2,10,5,2
aroQ,239,50,7,36,21,54,81,43,44,443,18,7,59,32,42,76,6,31,60,52,69,57,19,37
PA14_RS01215,124,19,3,6,21,20,22,76,24,213,13,5,82,19,55,26,0,12,18,78,19,56,5,43
pobA,19,16,0,9,15,12,16,37,20,38,12,6,39,19,19,11,3,12,23,31,25,24,7,21
PA14_RS01225,103,38,0,41,21,34,50,62,44,216,12,9,76,39,33,55,2,32,50,59,31,68,14,24
PA14_RS01230,55,2,8,263,14,18,14,32,126,133,2,5,54,35,12,16,1,31,135,18,6,71,10,17
PA14_RS01235,321,62,52,2649,29,111,87,429,1761,609,30,103,640,788,121,77,124,395,1524,192,126,215,217,71
PA14_RS01240,20,0,0,15,4,17,14,0,28,19,3,11,2,5,2,12,0,24,0,0,1,4,6,7
PA14_RS01245,14,4,0,3,2,1,1,9,10,27,2,3,14,3,5,6,0,1,9,11,4,3,0,4
PA14_RS01250,36,15,1,29,19,9,12,47,25,95,11,4,71,34,22,31,1,10,64,23,21,42,12,20
PA14_RS01255,161,163,16,94,51,73,30,184,191,503,45,15,305,158,88,157,1,32,299,173,178,213,24,43
PA14_RS01260,65,21,18,28,11,18,32,142,49,229,14,5,84,38,30,20,2,20,70,53,28,43,1,40
PA14_RS01265,759,71,2,608,43,341,251,165,589,402,49,114,209,454,61,104,4,430,657,37,57,117,206,183
PA14_RS01270,3,1,0,3282,0,4,3,3,2021,136,202,2,2,2,5,614,0,5,4,1,0,5,5,0
PA14_RS01275,3,1,0,126,0,1,2,1,112,16,24,0,2,2,1,57,0,2,5,1,0,1,0,3
PA14_RS01280,109,3,3,308,49,29,88,0,350,191,33,24,0,4,2,191,9,36,11,1,4,102,14,81
PA14_RS29980,5,2,31,335,39,1,1,94,302,338,46,2,153,11,41,126,0,5,6,164,4,101,2,1
PA14_RS01295,6,9,76,257,115,4,8,249,284,596,50,13,325,2,81,168,0,19,6,178,7,586,5,10
PA14_RS01300,1,0,8,42,18,0,0,22,47,107,6,0,55,2,13,9,0,1,1,11,2,148,0,1
PA14_RS01305,29,24,48,94,31,7,19,107,77,260,13,7,106,32,50,79,2,14,29,80,16,151,15,16
PA14_RS01310,0,0,8,9,2,0,0,1,1,5,0,0,3,0,0,2,0,0,0,0,0,21,0,0
PA14_RS01315,0,0,0,119,5,1,0,1,129,5,29,2,1,0,0,50,0,2,0,0,2,0,1,0
PA14_RS01320,6,9,0,432,3,34,7,6,423,66,94,4,9,7,8,286,0,12,5,24,7,12,19,8
PA14_RS01325,0,2,0,206,1,1,2,0,245,22,38,1,3,3,0,89,0,2,0,1,4,2,2,3
PA14_RS01330,10,5,0,1435,10,7,4,4,1502,141,148,6,12,11,5,587,0,20,9,11,3,10,10,7
PA14_RS01335,3,4,0,325,7,1,5,4,290,26,31,7,4,3,5,97,0,14,5,3,3,9,4,4
PA14_RS01345,33,0,22,131,94,15,65,381,85,379,14,35,542,0,286,91,8,41,0,367,1,528,18,59
PA14_RS01350,3,0,0,108,2,0,1,0,50,6,11,1,3,1,2,32,0,2,1,1,1,2,0,1
PA14_RS01355,2,2,0,291,0,2,4,4,246,21,35,0,8,6,0,80,0,5,7,1,3,3,7,10
PA14_RS29985,2,2,0,96,1,1,1,2,93,8,18,0,2,2,1,73,0,4,4,1,1,3,0,3
PA14_RS01360,3,4,0,355,8,2,5,10,406,35,44,5,10,3,4,172,0,13,5,2,5,6,6,2
PA14_RS01365,2,3,0,70,0,3,0,2,66,31,13,2,2,1,1,85,0,7,0,1,2,6,3,4
PA14_RS01370,28,77,0,561,34,100,34,81,228,54,38,33,86,53,309,179,0,424,74,131,75,231,161,27
PA14_RS01375,4,0,0,612,0,2,0,0,615,40,68,0,2,2,0,222,0,2,1,0,0,1,3,5
PA14_RS01380,2,11,0,1208,6,2,2,1,977,67,83,7,5,1,5,335,0,8,1,3,2,4,4,3
PA14_RS01385,3,2,0,207,3,3,2,3,249,47,43,1,6,2,3,107,0,2,3,4,0,2,2,3
PA14_RS01390,2,1,0,152,1,2,0,1,170,28,27,0,1,4,1,127,0,4,2,0,0,6,3,0
PA14_RS01395,5,2,0,430,2,2,1,5,433,54,86,4,5,5,3,289,0,16,5,2,6,6,8,6
PA14_RS01400,1,2,0,48,4,2,2,0,64,10,12,1,6,2,4,37,0,9,2,2,3,8,9,8
PA14_RS01405,1,7,0,5,3,1,0,1,5,5,3,3,2,1,2,11,0,6,1,0,3,3,3,1
PA14_RS01410,1,2,0,143,5,1,0,1,83,49,20,0,0,1,1,151,0,4,0,1,1,1,4,0
PA14_RS01420,98,35,10,87,16,50,48,301,90,291,14,28,211,422,54,39,2,66,531,68,66,101,38,23
PA14_RS01425,1660,367,141,1051,289,834,419,3533,1482,2839,106,219,3830,2849,913,640,29,1106,5439,1498,538,2479,972,388
PA14_RS29990,257,28,5,89,20,54,36,295,142,363,15,44,209,191,44,54,0,135,242,102,34,74,102,47
PA14_RS01430,3549,495,132,2398,347,1507,909,4723,2639,3876,151,583,4080,3120,884,847,255,2593,2705,1315,600,2173,2133,793
PA14_RS29995,13,1,2,5,1,4,9,0,4,30,4,1,1,0,4,4,0,1,0,1,3,15,2,20
PA14_RS01435,278,30,13,28,20,14,65,30,48,327,28,31,30,19,15,37,10,21,8,41,9,74,9,253
PA14_RS01440,171,43,3,52,13,30,42,73,52,171,8,19,99,48,34,29,3,46,54,40,18,40,23,64
PA14_RS01445,65,17,0,182,17,8,20,23,233,113,14,12,40,16,9,26,7,49,8,11,15,19,12,32
PA14_RS01450,141,19,0,290,23,48,91,82,464,352,15,80,96,37,14,45,2,573,19,26,30,62,56,24
PA14_RS01455,23,4,0,60,7,13,12,27,65,70,8,30,15,17,10,11,0,37,27,19,7,15,19,12
PA14_RS01460,102,23,0,116,20,31,28,20,172,98,7,28,25,50,17,18,17,78,64,34,19,28,33,14
PA14_RS01465,4,0,0,2,2,1,0,7,5,32,1,0,2,3,2,3,0,1,7,2,2,6,1,3
PA14_RS01470,18,2,0,4,4,3,4,18,8,20,6,2,6,3,1,1,0,7,11,5,4,4,3,3
PA14_RS01475,111,11,0,25,8,24,22,43,29,106,9,9,69,31,15,19,1,28,32,35,13,21,4,29
PA14_RS01480,23,5,18,80,6,7,2,27,44,68,5,3,28,25,11,5,0,55,32,33,7,36,10,16
PA14_RS01485,79,27,20,131,15,25,43,24,154,120,0,4,37,59,9,13,26,43,34,30,51,41,11,36
PA14_RS01490,15,3,6,5,5,9,1,14,4,80,2,0,17,11,2,0,0,3,3,18,17,42,1,11
PA14_RS01495,18,12,4,7,3,1,9,45,29,59,12,2,12,8,6,3,0,2,17,11,11,2,1,11
PA14_RS01500,319,774,51,80,69,113,190,140,108,618,31,17,105,60,180,118,3,44,57,264,2075,282,20,243
cysW,287,571,27,38,37,86,70,31,54,357,21,23,38,46,70,67,2,35,69,119,1094,283,26,99
cysT,63,99,2,24,11,19,40,31,21,154,3,3,29,18,16,27,2,22,33,39,388,64,8,35
PA14_RS01515,198,269,13,72,37,49,85,82,79,286,8,27,76,92,147,74,3,45,169,141,569,358,19,82
PA14_RS01520,70,30,4,29,16,37,22,22,38,62,4,4,33,37,15,45,0,24,24,36,86,72,10,2
PA14_RS01525,400,46,58,116,45,104,106,64,152,512,30,33,76,71,69,152,11,72,85,120,67,134,30,100
PA14_RS01530,1010,202,63,480,162,310,399,543,644,1917,72,101,649,389,245,372,7,240,586,312,265,645,146,401
PA14_RS01535,48,14,3,24,3,14,14,33,44,41,4,3,56,30,6,14,1,32,25,22,32,36,6,10
speB,283,33,3,35,23,80,43,9012,31,4429,28,23,10494,60,2121,62,0,19,75,2392,37,50,12,18
PA14_RS01545,179,37,24,152,17,64,78,159,192,323,30,32,127,93,28,110,19,53,158,64,87,108,43,107
PA14_RS30000,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,2,1,0,0,0,1,0
PA14_RS01550,144,40,6,242,52,37,22,76,283,285,8,24,91,136,38,31,23,127,161,40,64,151,84,31
PA14_RS01555,2642,566,50,1183,109,879,1001,173,1341,1961,264,49,288,700,68,1452,11,922,934,101,1593,490,405,358
aguA,961,100,8,172,67,203,213,125,308,777,76,48,194,127,119,426,7,64,239,227,116,268,53,364
aguB,576,40,1,83,32,172,132,95,80,372,46,23,88,39,52,152,1,71,89,76,50,59,22,155
PA14_RS01570,98,14,0,13,16,23,29,4,32,100,17,20,11,25,7,27,3,11,34,20,9,23,13,29
PA14_RS01575,348,34,10,51,42,98,94,43,39,350,19,52,50,31,23,57,9,61,70,60,48,42,20,87
PA14_RS01580,1090,369,367,888,245,947,409,1640,739,2412,86,66,1382,1710,485,386,20,469,2785,813,591,1497,428,669
PA14_RS01585,785,123,41,426,59,369,396,993,295,1401,43,43,1784,795,271,161,1,396,2533,355,251,918,304,199
PA14_RS01590,1258,620,119,1235,324,583,475,4765,966,2663,130,122,4809,3079,1443,625,8,2098,3412,1169,984,1420,1331,300
PA14_RS01595,2829,1569,261,2851,824,1127,1321,9077,3182,5739,263,479,7982,7356,2999,1258,25,5309,15869,3196,2015,5478,4811,1700
PA14_RS01600,1795,519,76,2740,541,902,1536,4863,2295,4989,154,225,5080,2257,921,1508,104,4054,2386,992,1413,1832,3638,333
PA14_RS01605,930,228,566,509,178,370,439,1038,535,1728,45,140,1124,961,362,343,328,699,1676,547,477,844,624,300
PA14_RS01610,793,346,90,644,266,406,568,1858,758,1890,50,118,1914,1049,572,544,10,940,1504,475,545,1075,890,397
PA14_RS01615,687,260,9,431,183,318,436,1046,505,1611,47,91,865,559,389,295,11,622,715,437,425,905,619,256
PA14_RS01620,909,577,333,634,292,359,425,1504,958,2546,77,269,1502,1048,727,531,70,936,2808,1171,614,2254,750,935
PA14_RS01625,277,59,10,116,45,99,83,204,124,362,28,26,229,78,56,79,3,130,73,99,47,100,41,81
PA14_RS30005,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0
PA14_RS01630,95,16,2,47,19,15,29,29,75,174,17,15,50,35,19,33,0,34,57,41,22,32,22,42
PA14_RS01635,105,30,1,223,32,34,91,90,234,267,14,24,85,103,23,57,5,109,105,23,60,68,58,52
PA14_RS01640,49,8,5,19,8,16,29,15,18,94,6,6,32,8,20,11,1,6,15,26,10,19,5,57
PA14_RS01645,117,25,13,19,14,15,30,65,29,236,16,6,52,41,29,15,1,8,40,50,22,95,10,48
PA14_RS01650,116,25,11,27,8,22,21,53,69,195,17,12,47,31,28,23,2,22,33,28,28,34,9,48
PA14_RS01655,378,138,3,140,17,155,102,22,70,369,39,15,33,74,30,108,2,56,151,63,158,69,58,127
PA14_RS01660,25,1,0,2,1,4,4,4,1,12,6,2,1,0,1,0,0,4,0,0,1,3,1,7
PA14_RS01665,229,51,22,61,46,34,41,84,138,381,34,50,121,226,86,50,0,74,171,136,53,107,66,91
PA14_RS01670,315,69,2,240,26,113,151,222,443,528,32,58,203,261,67,142,4,125,452,127,80,180,96,169
PA14_RS01675,325,32,26,132,19,118,150,44,223,265,33,51,48,90,12,135,12,131,102,58,66,23,51,92
PA14_RS01680,728,326,4,598,270,311,226,405,726,1659,84,223,459,526,350,246,8,635,575,525,571,409,625,105
PA14_RS01685,3127,388,21,763,379,1116,1099,1482,1046,3496,187,141,1751,333,1253,1380,28,415,631,1530,708,1093,334,1290
PA14_RS01690,1181,215,110,387,181,442,480,239,451,1603,74,34,318,171,259,637,16,234,223,324,304,590,143,392
PA14_RS01695,965,168,115,683,252,294,484,306,833,1365,131,129,414,250,208,437,5,712,245,520,429,537,292,622
PA14_RS01700,460,115,32,155,44,134,157,167,333,600,41,55,126,91,99,194,42,103,123,207,184,174,40,211
PA14_RS01705,69,52,52,17,82,36,30,86,33,360,6,2,134,176,21,22,4,23,263,45,21,541,7,30
PA14_RS01710,35,14,6,21,23,13,18,70,17,156,9,7,68,47,57,17,3,19,85,41,21,57,23,27
PA14_RS01715,39,16,4,34,17,23,21,79,60,99,12,10,81,39,40,10,1,46,48,52,12,55,27,22
PA14_RS01720,44,18,0,80,22,28,19,59,52,119,18,8,50,59,35,13,3,71,99,29,37,36,15,28
PA14_RS01725,28,10,4,61,4,15,38,17,30,59,5,2,20,17,10,11,3,19,15,12,15,14,17,33
PA14_RS01730,67,8,4,61,4,31,23,36,37,103,12,1,44,19,9,31,15,62,28,15,18,22,12,20
PA14_RS01735,18,3,0,6,0,6,4,5,9,12,6,1,5,5,4,5,0,6,7,4,2,11,7,1
PA14_RS30010,26,14,2,21,1,21,17,25,22,43,4,8,22,21,10,9,2,29,40,21,15,26,8,29
PA14_RS01740,122,41,4,117,16,41,43,86,77,178,11,23,86,88,37,52,1,103,140,103,35,74,58,59
PA14_RS01745,312,71,31,68,21,64,61,183,71,344,23,26,165,51,43,82,5,128,103,49,66,62,149,136
PA14_RS01750,110,32,5,472,34,58,100,168,439,389,10,106,219,207,30,70,49,542,174,25,107,78,529,41
PA14_RS01755,360,78,9,73,37,153,127,120,91,397,37,24,164,82,155,143,3,81,151,222,153,168,46,143
ilvA,777,174,53,150,140,188,223,985,313,1287,62,48,1005,194,313,348,6,111,289,522,202,383,76,339
PA14_RS01765,117,36,3,36,17,82,61,59,44,170,11,18,135,40,15,47,0,48,42,23,33,18,20,47
PA14_RS01770,111,35,11,90,15,14,24,29,129,242,5,31,51,90,27,26,5,53,87,44,28,40,23,104
PA14_RS01775,44,7,7,33,4,13,20,17,58,98,11,12,11,19,9,22,3,16,12,18,8,26,27,33
PA14_RS01780,48,6,1,13,7,8,29,25,34,151,17,5,16,9,3,18,0,11,8,21,16,22,10,29
PA14_RS01785,280,32,3,32,28,103,35,42,35,229,16,6,35,24,51,49,0,31,47,80,29,84,16,121
PA14_RS01790,1747,724,67,540,341,776,805,2393,743,4053,174,177,3410,908,867,584,56,762,1195,1415,875,912,482,864
PA14_RS01795,4045,1310,588,1897,1058,1673,1592,3854,2226,8930,285,502,5183,1469,2052,1276,116,2088,2095,2928,1761,4656,1153,1790
PA14_RS01800,308,204,12,404,70,184,201,327,443,744,36,63,464,327,164,133,18,387,825,181,266,980,138,159
PA14_RS01805,75,16,8,10,5,8,28,26,25,127,7,5,28,18,3,7,4,13,25,68,5,31,5,31
PA14_RS01810,110,20,0,39,16,64,30,47,60,170,13,23,74,63,93,47,0,30,125,69,46,263,4,59
PA14_RS01815,355,237,14,92,85,129,178,149,148,725,47,52,115,103,109,195,1,68,172,155,192,307,33,316
PA14_RS01820,612,180,2,186,81,311,166,305,231,652,47,59,393,194,201,264,1,182,260,305,177,294,68,220
PA14_RS01825,236,42,7,67,26,40,81,90,81,338,24,5,72,69,65,66,1,95,52,123,52,94,50,103
PA14_RS01830,91,9,43,41,17,12,30,45,66,290,20,14,39,24,36,18,2,25,32,33,12,58,29,56
PA14_RS01835,116,22,9,19,26,9,24,42,36,284,18,8,64,24,6,18,0,35,65,20,13,60,18,39
PA14_RS01840,241,52,11,25,82,113,40,68,107,297,17,38,66,102,16,44,0,76,114,24,38,128,32,48
PA14_RS01845,75,24,0,35,15,18,28,73,40,233,13,8,39,21,23,15,1,39,32,74,61,45,24,50
PA14_RS01850,56,24,0,42,8,19,21,61,56,136,13,9,55,30,14,19,0,26,46,33,42,49,15,32
PA14_RS01855,31,6,1,15,6,9,24,22,63,83,9,2,36,18,3,16,1,14,18,21,3,25,5,23
PA14_RS01860,72,3,41,16,6,8,13,21,11,191,3,4,15,10,21,8,2,5,6,17,6,9,0,28
PA14_RS01865,114,21,2,18,13,38,30,25,34,187,12,10,30,31,29,35,1,17,27,59,21,35,21,74
PA14_RS01870,471,82,21,45,39,189,133,70,65,589,26,15,110,62,112,157,0,52,481,158,128,270,25,184
PA14_RS01875,1625,454,87,465,345,544,483,734,520,2433,143,66,1286,384,428,489,15,695,414,837,654,797,258,540
PA14_RS01880,712,40,7,77,64,155,109,60,87,545,17,55,91,58,76,72,1,109,101,214,62,150,104,334
PA14_RS01885,39,18,14,181,22,9,29,18,267,249,8,80,44,134,12,17,14,175,349,34,28,224,405,49
PA14_RS01890,364,6,0,74,7,133,120,17,73,142,28,9,22,23,10,143,3,44,15,19,7,14,23,123
PA14_RS01895,289,33,13,24,36,44,45,151,64,331,17,13,95,110,68,49,3,27,124,85,25,103,12,175
PA14_RS01900,151,45,6,49,43,40,54,135,59,292,13,5,134,47,53,58,0,29,73,112,63,150,12,45
PA14_RS01905,147,42,8,19,29,52,64,55,24,341,23,12,76,68,32,48,0,14,18,112,62,114,6,92
PA14_RS01910,470,77,35,145,52,148,102,184,226,541,49,40,265,146,88,162,6,140,265,141,92,159,104,169
PA14_RS01915,71,3,0,34,0,48,143,0,27,50,17,21,2,1,0,84,1,53,2,0,1,0,21,148
ggt,1035,1078,104,604,205,308,564,418,750,2139,107,118,1200,321,522,375,54,729,600,887,1001,1181,571,684
PA14_RS01925,233,53,8,97,36,126,145,198,104,518,18,11,320,98,86,69,4,63,190,202,127,123,49,75
PA14_RS01930,346,61,4,98,50,235,146,141,139,545,25,35,145,95,128,135,0,90,165,217,148,133,44,172
PA14_RS01935,279,136,31,81,143,51,96,61,134,1020,24,54,65,103,63,24,3,65,132,90,169,179,54,69
PA14_RS01940,330,241,15,74,166,94,59,98,153,1474,12,76,103,122,84,40,10,174,164,241,371,350,158,129
PA14_RS01945,981,422,103,440,325,293,157,194,545,1842,29,173,247,303,117,111,53,397,348,416,526,718,302,201
PA14_RS01950,360,168,130,116,69,88,80,88,172,682,29,61,97,153,59,63,182,120,127,167,190,223,42,239
PA14_RS01955,111,33,8,36,18,18,14,76,49,235,15,17,55,53,22,18,1,28,73,66,33,41,19,63
PA14_RS01960,127,14,2,16,17,18,35,35,35,184,22,9,49,18,21,24,1,17,40,42,16,42,19,63
PA14_RS01965,192,20,17,21,18,43,46,22,32,272,8,13,46,27,15,16,6,48,25,39,36,46,19,110
rsmD,222,61,32,68,47,55,91,77,65,795,25,38,90,38,68,49,8,56,81,141,65,191,32,167
PA14_RS01975,660,180,26,201,141,208,234,182,228,946,50,58,305,118,106,277,3,192,101,194,200,317,133,267
PA14_RS01980,316,71,6,80,58,107,126,82,124,515,31,23,135,78,81,152,3,44,91,102,99,174,18,104
PA14_RS01985,1772,214,155,85,151,350,293,251,220,1574,71,58,352,200,139,212,37,117,226,420,208,541,71,575
ftsE,1070,111,27,71,77,301,232,143,110,1067,31,33,254,101,147,136,10,99,186,348,150,437,54,366
PA14_RS01995,823,429,331,406,252,392,382,384,404,1433,70,120,743,367,373,439,9,366,757,448,435,1136,264,570
PA14_RS02000,3280,1318,173,2429,838,1443,1497,3749,1970,6314,309,386,4218,1899,1381,1588,76,1255,2012,1927,2608,3064,1151,967
PA14_RS02005,60,31,1,22,5,8,20,7,29,108,21,9,9,17,12,35,2,15,27,38,41,20,8,42
mtgA,75,41,2,35,18,12,14,37,46,163,6,4,34,12,20,15,0,9,39,73,28,28,4,33
PA14_RS02015,27,13,0,8,10,14,11,14,17,73,7,3,18,20,8,8,1,2,20,24,15,11,0,14
PA14_RS02020,80,4,0,4,7,4,12,18,1,106,0,1,23,3,19,9,0,2,9,47,8,8,0,41
PA14_RS02025,754,69,3,36,93,241,198,128,63,669,32,60,130,95,120,175,1,56,36,242,105,145,22,319
PA14_RS02030,568,46,9,52,82,156,183,112,48,649,28,27,78,32,178,150,9,21,63,303,80,194,8,673
PA14_RS02035,131,27,5,166,29,59,46,74,202,203,19,29,80,76,67,52,14,104,183,72,64,131,78,66
PA14_RS02040,36,2,0,13,0,7,6,6,11,11,0,1,0,5,1,10,0,10,4,1,5,2,8,6
PA14_RS02045,45,13,0,6,10,13,10,6,15,66,1,1,9,6,13,8,0,8,15,20,16,17,3,10
PA14_RS02050,121,18,6,11,11,18,11,11,15,138,5,1,10,20,4,15,2,10,13,16,16,19,3,21
rdgB,372,94,108,138,45,69,149,55,173,771,39,31,65,112,62,53,16,144,143,91,105,119,41,197
PA14_RS02060,352,92,16,327,77,145,76,52,197,429,41,28,69,60,31,125,21,274,43,25,144,116,77,63
metW,572,90,0,62,84,209,223,118,119,555,12,12,130,63,132,194,1,92,81,221,131,368,59,178
PA14_RS02070,703,124,4,58,64,216,200,136,83,625,25,43,145,60,137,134,13,46,80,243,175,164,39,396
PA14_RS02075,1153,90,35,115,40,314,297,4200,170,3119,36,43,5879,151,1747,180,8,143,197,3219,100,194,167,315
PA14_RS02080,424,135,62,28,38,84,79,105,74,553,5,31,117,93,94,51,3,43,185,507,56,226,30,418
PA14_RS02085,369,267,3,144,90,199,158,209,217,634,27,49,347,146,191,114,3,107,212,457,271,341,119,176
PA14_RS02090,932,135,62,57,109,127,206,385,111,1038,41,37,380,173,76,60,8,56,165,303,180,249,20,295
PA14_RS02095,594,108,12,220,39,244,138,263,216,789,31,22,428,182,136,172,1,99,355,214,211,201,45,107
PA14_RS02100,1138,435,30,979,219,522,479,717,1080,1455,75,227,890,994,602,484,15,664,2054,892,542,961,441,816
PA14_RS02105,1660,214,1,966,55,617,427,330,912,872,58,206,647,586,191,487,26,716,755,338,294,317,436,361
PA14_RS02110,172,55,3,189,29,48,64,98,193,200,22,51,102,166,51,62,12,171,323,129,64,102,57,60
PA14_RS02115,104,54,1,89,41,38,72,110,93,283,39,6,142,81,43,78,1,48,104,121,147,90,37,26
PA14_RS02120,967,258,21,583,207,349,404,300,920,1428,60,81,293,252,182,412,38,419,239,318,502,532,196,495
PA14_RS02125,547,129,67,215,108,125,319,220,328,1268,58,69,327,176,160,202,22,173,159,327,222,461,94,421
PA14_RS02130,886,113,16,124,105,157,285,222,197,1364,63,30,246,86,118,168,51,135,180,225,129,257,41,399
PA14_RS02135,676,246,79,180,185,347,338,281,236,939,77,56,347,178,246,283,3,247,187,407,326,270,114,417
PA14_RS02140,323,106,5,44,98,198,184,101,83,634,32,29,201,64,82,138,0,124,130,169,130,143,41,275
PA14_RS02145,223,25,19,18,27,55,78,73,47,219,5,11,105,66,39,45,23,40,67,67,22,53,9,78
PA14_RS02150,273,19,3,15,16,50,67,92,24,301,13,10,128,51,33,17,1,69,75,71,35,40,19,74
PA14_RS02155,278,77,15,85,56,79,99,108,79,397,11,12,170,88,48,83,3,58,132,101,84,138,13,136
PA14_RS02160,670,207,6,588,123,401,284,473,503,820,87,160,610,316,309,341,6,474,383,365,401,338,241,282
PA14_RS02165,2369,769,18,1282,325,1564,879,1257,1026,2314,84,47,2768,692,1231,710,21,803,734,1029,993,1092,384,280
PA14_RS02170,1005,292,33,275,116,537,608,261,346,969,123,111,347,255,273,437,38,429,137,521,649,249,126,529
PA14_RS02175,1115,114,14,297,72,829,399,73,243,1158,73,26,146,109,242,262,4,294,286,371,245,326,83,326
PA14_RS02180,4497,723,26,1059,306,1660,1983,339,1195,2695,308,268,539,506,464,1405,19,884,623,736,1095,679,570,1853
PA14_RS02185,2353,466,4,246,23,611,961,58,436,736,108,194,138,347,37,328,7,653,524,91,525,128,223,1849
PA14_RS02190,9855,1937,58,3320,131,3134,3086,641,3695,4230,656,644,790,1481,228,2266,160,4780,2217,460,2072,555,1435,4392
PA14_RS02195,556,87,1,217,21,132,158,27,209,219,56,37,19,66,2,92,0,154,155,16,116,14,24,284
PA14_RS02200,122,19,1,17,1,7,27,8,26,56,10,9,3,16,2,13,0,28,37,1,14,5,4,35
PA14_RS02205,123,18,1,28,1,28,13,6,32,53,9,1,5,8,5,15,1,42,22,2,4,15,5,48
PA14_RS02210,112,20,14,14,19,26,29,14,15,136,10,1,10,11,11,21,2,12,23,10,20,52,4,45
PA14_RS02215,130,36,15,47,20,38,28,91,63,311,13,10,65,21,36,57,1,17,54,72,31,117,28,78
PA14_RS02220,102,25,2,9,18,14,17,20,19,174,21,10,22,14,12,13,0,4,20,20,12,40,5,85
PA14_RS02225,975,222,90,159,201,362,333,192,191,1417,40,73,182,168,140,364,16,143,311,198,255,519,123,423
PA14_RS30015,2,1,0,1,0,0,1,0,2,5,1,0,1,1,0,0,0,2,1,1,0,6,0,2
PA14_RS02230,1566,145,10,189,131,500,460,798,419,1672,45,95,959,215,202,289,22,294,551,307,181,739,293,818
PA14_RS02235,208,105,4,65,40,40,96,215,68,1218,15,13,231,73,78,65,0,16,98,152,180,101,15,89
PA14_RS02240,2186,1228,506,1431,435,1525,1222,1008,1728,5792,121,189,1174,2304,541,757,205,1335,1491,872,3088,1928,759,803
PA14_RS02245,265,119,6,531,41,124,69,202,539,401,15,133,192,255,105,86,2,564,301,119,380,170,268,68
PA14_RS02250,3057,3033,97,1030,817,657,620,296,1310,5871,158,349,385,1457,273,777,42,599,1358,534,2896,1728,356,794
PA14_RS02255,6484,14461,747,5158,5027,2317,1982,617,4837,19457,560,1171,922,3628,1203,2734,233,3090,4191,1697,15910,11287,1840,3068
PA14_RS02260,2340,1949,79,1873,987,739,760,235,1922,8670,322,274,471,456,296,1142,79,1356,546,500,2013,1284,747,848
