,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS03820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_RS03825,23,5,0,577,0,15,114,4,1026,152,15,573,5,29,1,24,116,2064,90,4,5,14,1131,174
PA14_RS03830,8,0,0,34,0,0,26,1,79,38,0,9,1,1,0,1,2,74,11,0,0,0,25,4
PA14_RS03835,16,1,1,200,0,1,53,0,417,86,13,180,0,14,1,18,68,815,16,0,1,7,223,107
PA14_RS03840,21,3,0,764,5,21,139,2,805,79,13,92,12,26,1,102,9,2323,35,1,0,20,1149,33
PA14_RS03845,10,0,0,70,0,4,50,1,106,23,9,62,2,27,0,37,3,84,28,1,3,7,36,36
PA14_RS30085,36,1,1,174,2,4,74,5,220,52,8,36,3,24,2,13,4,186,48,0,2,5,199,51
PA14_RS03850,71,11,14,1226,20,35,155,48,1726,303,56,529,56,120,18,208,75,2052,176,40,16,146,873,349
PA14_RS03855,201,17,12,657,12,32,112,23,981,209,32,287,51,50,9,32,120,1081,77,35,9,45,236,145
PA14_RS03860,736,261,32,6715,53,472,179,155,7961,524,36,1362,235,174,86,106,223,1496,288,164,162,274,1379,403
PA14_RS03865,156,14,11,748,7,37,23,42,1074,116,16,363,33,42,11,25,133,128,50,13,22,33,164,105
PA14_RS03870,129,20,10,592,5,55,36,20,761,86,4,357,31,53,14,22,34,95,163,18,27,61,297,65
PA14_RS03875,99,48,5,117,22,29,55,61,175,275,14,25,69,102,19,33,2,154,98,58,42,157,160,53
PA14_RS03880,49,10,1,16,11,20,10,20,11,67,6,0,31,12,32,7,0,9,32,17,10,28,7,12
PA14_RS03885,61,11,11,11,10,12,24,26,28,117,9,7,24,13,5,14,0,15,8,27,11,22,8,33
PA14_RS03890,523,90,38,146,81,74,171,367,269,1117,51,63,286,110,74,66,8,131,141,174,72,178,91,246
PA14_RS03895,458,21,3,52,111,102,33,36,60,840,30,11,29,39,16,29,2,84,40,48,26,66,14,93
PA14_RS03900,3176,77,40,186,436,876,90,411,245,3490,58,79,594,195,311,146,22,337,276,743,79,318,250,155
PA14_RS03905,1544,36,23,54,654,338,51,533,81,4962,47,9,711,127,175,115,6,117,197,371,53,151,65,60
PA14_RS03910,359,42,10,13,53,46,29,59,22,669,25,11,81,39,22,26,0,39,63,151,31,43,8,29
PA14_RS03915,118,18,3,24,13,57,35,27,45,220,8,5,25,21,12,19,4,22,33,33,32,33,10,25
PA14_RS03920,166,14,28,52,36,34,78,42,86,384,29,10,28,21,1,39,3,45,27,10,38,122,33,94
