,FPKM of control,FPKM of Ag NP-1ppm,FPKM of Ag NP-20ppm,FPKM of Ag NP-25ppm-1,FPKM of Ag NP-25ppm-2,FPKM of Ag NR-1ppm,FPKM of Ag NR-30ppm,FPKM of Ag NR-300ppm
PA4908,49.5456,35.73052278,6.341521078,63.3143,55.1041,45.66551873,49.37031634,50.41397265
PA4909,32.7416,36.95812387,16.70775862,36.0473,40.6132,31.90309782,27.43099113,28.5363672
PA4910,29.2463,33.52770356,13.03006025,31.2981,47.8678,29.87980073,28.57619219,22.96858675
PA4911,32.3904,34.47685381,9.66712132,37.5579,50.5221,35.0875762,27.67822984,26.32878331
PA4912,26.6159,31.48699375,11.61280059,34.6934,43.9686,30.43167852,22.43306626,21.93238479
PA4913,42.7116,66.21742663,42.37543574,48.0263,70.0419,44.43432773,31.44855661,31.6790879
PA4914,32.0135,43.59300615,23.89126152,39.1238,46.27,34.62736197,30.00496315,22.22482258
PA4915,41.0332,46.97613544,70.15674105,40.4855,45.3668,39.20685183,30.51796753,30.34565827
PA4916,60.3977,111.5107535,273.2957099,101.259,82.4795,61.17155636,62.57276084,61.38797193
PA0499,46.1689,41.59091664,44.66439538,67.0848,73.7795,37.47109799,35.88812895,42.5725523
PA4917,40.4672,73.85568705,169.6956935,62.1835,52.0825,38.49643016,39.0508208,41.43255324
PA4918,58.5287,156.0830656,486.5471641,104.655,113.134,69.91219263,57.38119511,58.55553716
pncB1,71.4657,128.7622689,333.5713342,107.845,115.442,85.60823451,75.59191871,79.58332089
nadE,81.941,199.9831964,484.1833964,147.75,142.796,100.4940951,94.77885233,85.61097798
PA4921,36.665,54.50925469,75.45800495,47.1439,46.1185,36.06148758,31.98504176,32.32504344
azu,693.445,4021.251141,13512.43468,2015.29,1823.85,1294.659753,948.8695273,1302.037547
PA4923,37.4929,57.8431125,57.6257361,49.0769,46.5848,45.55753319,39.40308198,38.48961917
PA4924,37.1391,60.4810449,66.56032439,47.9609,39.8177,40.13073167,41.4305699,43.39398066
PA4925,33.8534,29.88387553,13.13475578,43.8723,48.7148,30.02076351,29.28998643,29.33961914
PA4926,44.0504,40.37374792,26.78304296,50.737,39.3559,35.47548478,39.49362329,45.10968338
bioB,60.4307,92.70866561,339.5120641,145.474,141.26,70.23198514,74.29953094,77.01178181
PA4927,41.2035,39.60828065,15.12150251,53.0475,44.4783,38.57425432,36.6867647,36.53558586
