,PA_1,PA_2,PA_3,CC_1,CC_2,CC_3
PA14_10110,41,45,43,29,40,46
PA14_10120,153,179,171,137,115,150
PA14_10130,56,74,66,42,25,55
PA14_10190,132,179,188,115,117,194
PA14_10200,50,49,65,45,46,44
PA14_10210,31,44,36,30,16,20
PA14_10220,132,147,143,103,108,141
PA14_10240,29,27,26,10,19,17
PA14_10260,6,6,6,4,3,2
PA14_10270,1,2,0,2,0,0
PA14_10280,5,4,6,3,2,5
PA14_10300,17,26,24,20,18,15
PA14_10320,239,282,261,156,132,181
PA14_10330,75,112,100,39,38,45
PA14_10340,302,271,363,184,146,184
PA14_10350,477,532,562,209,161,235
PA14_10360,4380,4848,4843,1579,1290,1716
PA14_10370,142,122,134,89,77,115
PA14_10380,569,578,621,285,273,316
PA14_10400,0,0,4,1,0,2
PA14_10410,0,1,0,0,0,4
PA14_10440,89,93,105,78,68,68
PA14_10470,69,57,79,56,55,61
PA14_10480,146,177,140,146,139,178
PA14_10490,2230,2615,2420,1535,1416,1974
PA14_10500,28546,28638,30579,24358,20493,27016
PA14_10530,7056,7243,7036,6356,5338,7602
PA14_10540,7358,7448,7540,8334,7210,9993
PA14_10550,10802,11844,11567,9446,8119,10334
PA14_10560,1527,1808,1549,839,819,1132
PA14_10570,18,12,11,6,9,11
PA14_10600,54,51,46,62,40,60
PA14_10640,41,30,35,34,31,16
PA14_10650,15,18,13,10,9,12
PA14_10660,50,41,48,27,26,40
PA14_10680,234,242,263,217,202,287
PA14_10700,2778,2838,3072,2641,2075,3043
PA14_10710,421,445,375,327,282,320
PA14_10730,3688,3836,4023,1998,1740,1762
PA14_10740,380,426,452,247,242,282
PA14_10750,170,207,197,237,173,309
PA14_10770,506,593,543,296,228,329
PA14_10780,102,114,105,54,49,36
PA14_10820,609,665,623,312,205,209
PA14_10830,483,496,487,384,300,352
PA14_10840,161,176,179,139,111,163
PA14_10850,100,77,89,34,31,51
PA14_10870,22,20,16,7,13,8
PA14_10890,1,2,1,2,3,2
PA14_10900,2,3,3,2,1,0
PA14_10910,19,18,23,12,9,13
PA14_10920,13,5,6,1,5,5
PA14_10940,311,353,321,220,176,207
PA14_10950,49,61,46,20,19,21
PA14_10960,83,89,70,34,27,44
PA14_10970,44,48,56,13,12,10
PA14_10980,134,150,151,111,103,94
PA14_11010,134,122,164,113,99,114
PA14_11020,4,5,4,2,3,0
PA14_11030,15,27,23,11,7,7
PA14_11050,22,25,31,19,12,22
PA14_11120,266,243,288,157,152,173
PA14_11130,318,394,345,275,223,302
PA14_11140,480,534,537,251,173,246
PA14_11150,29,31,27,25,15,27
PA14_11160,62,51,62,40,37,44
PA14_11170,264,304,257,174,156,232
PA14_11180,28,58,54,19,20,21
PA14_11190,49,36,43,32,19,44
PA14_11210,26,30,23,16,13,14
PA14_11230,2,2,6,0,0,2
PA14_11240,93,141,124,61,53,50
PA14_11250,1283,1227,1342,1156,946,1363
PA14_11260,1029,989,1040,818,679,883
PA14_11280,155,167,166,139,146,194
PA14_11290,302,275,304,248,211,294
PA14_11310,179,172,185,127,130,183
PA14_11320,220,209,264,136,146,189
PA14_11330,24,26,23,19,8,28
PA14_11340,4644,5016,4964,2399,2146,2597
PA14_11350,87,85,97,71,74,88
PA14_11370,101,84,117,65,68,103
PA14_11480,294,308,316,284,282,458
PA14_11490,342,374,394,338,236,358
PA14_11520,328,314,338,289,242,437
PA14_11530,271,308,304,252,270,377
PA14_11580,149,146,154,51,46,49
PA14_11590,31,30,42,19,17,17
PA14_11600,31,48,39,29,23,29
PA14_11610,8,12,10,6,7,11
PA14_11620,25,32,32,14,18,21
PA14_11630,288,342,298,204,203,274
PA14_11650,358,318,403,253,200,289
PA14_11670,30,32,33,27,25,18
PA14_11680,627,711,632,529,381,525
PA14_11700,264,266,260,250,217,355
PA14_11720,353,384,440,378,322,531
PA14_11730,58,53,49,28,23,32
PA14_11740,368,370,344,169,161,179
PA14_11750,1074,1080,1137,690,487,544
PA14_11760,151,158,167,54,34,52
PA14_11790,176,202,186,33,26,41
PA14_11810,993,928,982,250,123,206
PA14_11830,701,791,809,391,326,406
PA14_11860,571,592,578,468,397,511
PA14_11880,62,88,65,45,41,70
PA14_11890,708,799,792,360,283,371
PA14_11900,474,538,557,363,357,456
PA14_11910,400,431,444,266,201,249
PA14_11920,92,109,107,84,77,118
PA14_11930,279,269,281,249,199,303
PA14_11940,415,430,439,301,225,268
PA14_11960,690,758,751,607,498,742
PA14_11970,480,425,525,387,368,551
PA14_11980,119,148,127,95,68,72
PA14_11990,56,53,57,35,25,34
PA14_12030,1006,1152,1097,873,731,984
PA14_12050,407,441,427,335,287,398
PA14_12090,2248,2355,2372,1822,1536,2002
PA14_12110,1170,1249,1237,914,811,1087
PA14_12140,230,250,236,135,114,141
PA14_12150,36,43,32,16,18,27
PA14_12160,1273,1439,1452,1234,1058,1521
PA14_12170,0,0,1,1,0,0
PA14_12180,76,102,103,115,92,188
PA14_12210,1719,1690,1703,1531,1256,1694
PA14_12260,211,175,174,105,58,58
PA14_12270,130,152,142,81,87,125
PA14_12300,2651,2679,2820,2684,2206,3252
PA14_12310,1059,1124,1165,1047,838,1245
PA14_12330,4764,4793,5065,4470,3784,4873
PA14_12350,1856,1842,1998,1983,1774,2665
PA14_12360,187,184,188,197,134,273
PA14_12370,2187,2241,2253,1680,1372,1416
PA14_12420,538,551,579,516,434,523
PA14_12430,284,303,300,208,144,229
PA14_12440,250,279,201,45,30,43
PA14_12450,2743,2976,2918,869,670,787
PA14_12470,316,377,310,118,105,115
