,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_02855,45,38,62,51,48,46
D3C65_02860,731,883,778,806,838,728
D3C65_02865,1526,1691,1697,1496,1603,1359
D3C65_02870,85,85,73,58,63,66
D3C65_02875,205,243,212,249,274,221
D3C65_02880,948,983,1005,628,773,554
D3C65_02885,10224,10126,7672,9782,10172,8506
D3C65_02890,2170,2096,1416,2120,2244,1933
D3C65_02895,10472,11621,9979,13166,13672,11898
D3C65_02900,896,846,687,989,1082,977
D3C65_02905,63,63,70,70,77,76
D3C65_02910,1084,1180,1044,1565,1513,1137
D3C65_02915,3706,3786,4030,4027,3958,3306
D3C65_02920,440,360,442,511,517,434
D3C65_02925,1026,1189,910,1052,1106,883
D3C65_02930,5717,6206,6244,6905,6872,5647
D3C65_02935,293,253,236,300,286,254
D3C65_02940,17,24,20,23,19,14
D3C65_02945,148,168,194,145,125,126
D3C65_02950,485,490,463,458,539,429
D3C65_02955,238,186,212,219,280,226
D3C65_02960,253,320,299,423,449,355
D3C65_02965,369,379,317,431,417,397
D3C65_02970,1851,2323,1921,3545,2924,2370
D3C65_02975,85,109,91,104,100,102
D3C65_02980,41,58,63,52,55,53
D3C65_02985,167,181,166,187,212,160
D3C65_02990,37,44,49,49,53,53
D3C65_02995,207,239,231,366,355,276
D3C65_03000,224,194,164,301,261,259
D3C65_03005,144,152,109,184,199,162
D3C65_03010,302,311,342,336,387,328
D3C65_03015,2155,1970,2183,1019,1138,848
D3C65_03020,30,42,35,44,37,33
D3C65_03025,308,364,342,436,442,354
D3C65_03030,112,172,107,159,185,153
D3C65_03035,29,27,11,28,41,24
D3C65_03040,127,166,134,227,237,182
D3C65_03045,22318,25086,21438,27123,30740,24475
D3C65_03050,2773,2736,2219,4013,4222,3433
D3C65_03055,3524,3725,2730,4782,4907,4310
D3C65_03060,9132,10555,8873,16036,19072,15143
D3C65_03065,1062,1001,839,1136,1272,1177
D3C65_03070,229,237,256,250,338,224
D3C65_03075,304,284,220,301,381,281
D3C65_03080,203,205,180,288,289,243
D3C65_03085,586,562,539,502,578,493
D3C65_03090,47,45,32,33,44,29
D3C65_03095,183,198,223,187,180,171
D3C65_03100,295,376,417,276,344,341
D3C65_03105,2285,2561,2780,2027,2032,1522
