,High-Mg-Rep1,High-Mg-Rep2,High-Mg-Rep3,0point75percent-DNA-Rep1,0point75percent-DNA-Rep2,0point75percent-DNA-Rep3
cobA,109.4942011,81.1606486,109.0916341,102.215493,52.5484197,113.2291761
cobB,38.6117739,18.3169904,56.4223933,25.37569946,49.4147983,55.6428076
cobC,16.9023428,33.0754089,23.5762793,33.32471374,44.1280103,32.4769265
cobD,7.1713454,28.7044211,3.5724896,16.06709986,24.7800216,28.7069745
cobH,64.439171,38.2115207,37.4513146,125.1235011,74.2215,94.5819264
cobI,71.5420278,27.8403659,22.2746862,88.15780847,96.1363917,75.1756745
cobJ,22.0454842,16.0437211,27.9547312,26.94108351,46.1675402,40.1128706
cobL,24.2808655,19.1976149,24.1915943,21.76010592,20.7162039,23.7591618
cobM,17.885507,3.9771951,17.819749,56.10042357,37.7678682,21.4787642
cobN,25.1599966,15.9852038,28.6485636,33.82195272,47.6091207,28.7759264
cobO,66.0185624,53.8286066,38.3692389,69.02552116,139.4078664,74.8773584
cobP,77.4010732,45.8977461,109.2483749,63.585086,108.9624703,77.4593362
cobQ,25.1435258,26.4309322,54.6569083,36.87252163,50.9002615,60.3898858
cobU,12.7535859,19.8520791,25.413392,20.00171352,34.275901,30.6316466
cobV,22.8112919,28.406227,22.7274238,53.15205636,80.5742435,62.0934191
codA,89.9970026,89.46813,84.3916414,75.90946802,107.7242604,105.958526
codB,18.8398296,28.7273663,21.4520719,21.70792341,26.8664822,32.3211619
coIII,87.2069524,219.2160085,128.440657,67.95948995,81.5210619,88.0314889
comL,167.3628469,131.3521023,183.0953156,226.4521484,226.7879166,178.6547498
copR,74.1618212,48.3746068,54.1853821,35.44671194,34.1680473,55.4158423
copS,17.6941643,20.2353239,25.1844425,20.38784698,17.468799,28.3319734
corA,199.0651455,152.6415868,150.4597155,252.2190734,224.0137524,164.8675781
coxA,48.6125384,77.0796894,52.6454449,39.77741897,50.3118956,57.5328855
coxB,113.7279769,138.4276022,104.3643299,93.87470878,149.377641,69.4861886
cpdA,69.8877822,51.1936399,73.7267637,81.05351621,82.0756269,98.7393737
cpg2,67.9367773,140.1937208,86.6393607,34.09493055,29.2133587,47.863493
cpo,44.568488,64.8699191,40.3678429,21.78629136,37.3340397,25.9502758
crc,1035.983595,1228.647357,1014.97178,974.852745,1461.735348,1216.469084
crcZ,3871.575057,5172.88461,4590.894927,4033.086822,4236.977789,3675.797593
creB,24.3981644,13.020991,43.7552315,39.35740896,29.9754464,62.5063166
creC,54.3437009,69.35391,37.6653221,63.52423902,36.2860666,75.6655411
creD,24.775178,50.6850938,64.1786324,64.38899136,58.974871,27.7690865
crfX,316.8890997,340.5882746,157.8620116,201.1600902,354.8563871,285.4148719
csaA,20.0413493,44.5658918,19.9676652,17.96072234,15.3891801,32.0902964
cspD,579.6574878,537.5332186,356.3460244,574.743115,473.5132324,276.4702463
cti,141.2087731,115.1353683,142.1551208,119.957852,159.2568358,136.6045647
cttP,66.0185624,130.2099101,100.0936668,82.31614946,83.7549237,73.536843
cueR,227.8384974,225.1750325,227.000825,332.7460139,272.1454999,317.5250385
cupA1,60.9954109,27.1270646,30.3855774,27.331534,23.4183175,43.9497538
cupA2,13.5218742,12.0274214,4.4907199,4.039359242,10.3830612,18.042737
cupA3,15.427018,17.1525082,12.8085825,11.52119646,9.871639,21.6140828
cupA4,2.4720607,8.7953831,0,8.861677984,5.6946746,13.8539606
cupA5,4.7156116,12.5833106,0,0,7.2419671,11.325987
cupB1,53.1623161,36.7785886,82.392892,63.52423902,36.2860666,42.5618669
cupB2,49.5802055,32.0731238,53.8886385,32.31487393,31.1491837,28.8683791
cupB3,35.8609706,37.8045341,30.4359204,36.89918815,24.4769917,31.900413
cupB4,4.5437877,16.1664126,27.1624919,20.36033302,6.9780897,18.188832
cupB5,23.1291725,16.6542607,26.336155,18.75388476,17.7602313,25.5714629
cupB6,26.4419897,54.8790459,32.1991669,57.92568044,45.1201091,44.6911982
cupC1,179.7884152,232.6079947,206.2679197,141.5932674,171.5221233,91.5975452
cupC2,37.7248928,29.3610582,32.8879191,33.80841853,43.4518025,30.2026319
cupC3,69.4766776,84.3780886,95.8447928,85.01408576,106.698315,64.1805929
cyaA,49.5659869,83.9769487,110.5255409,62.39981769,71.5896241,80.3101005
cyaB,82.2386403,75.3009897,77.1164999,93.20995561,57.5767599,63.9039524
cycB,311.2992068,167.5937772,318.3166475,308.3475836,232.7473071,314.8128352
cycH,107.280164,159.039065,178.1428951,157.7726198,147.856828,169.575194
cynR,22.7496398,23.6078778,41.5543302,33.97974497,26.2031985,36.426823
cynS,35.7425338,25.4337829,42.7333471,6.406372301,16.4674029,40.0617714
cynT,10.1567019,9.0341717,10.1193597,13.65339979,7.7990415,16.2629557
cyoA,138.5992109,90.2056606,104.4092371,836.147363,438.6843374,790.2718788
cyoB,86.8559843,99.9790812,67.8718816,500.6108467,287.7006043,407.6782426
cyoC,96.1984767,33.2758659,37.272975,402.3201805,266.7457876,329.4603768
cyoD,300.6202397,169.350389,179.7089865,1266.230925,784.8481827,1179.318394
cyoE,22.6730416,10.0835957,33.8845227,216.7381444,136.3781882,242.027825
cysA,173.4487686,235.9561401,254.1339202,161.5376482,159.3013305,174.260034
