,HLR1 raw counts,HLR2 raw counts,HLR3 raw counts,HLR4 raw counts,HLR5 raw counts,HLR6 raw counts,HLR11 raw counts (GSM2991338),HLR12 raw counts(GSM2991339),HLR15 raw counts,HLR16 raw counts
PA1260,2,1,2,1,0,0,4,2,7,2
PA4290,24,6,12,15,8,4,2,2,6,3
PA0021,1,0,0,0,2,1,29,41,61,52
PA1430,114,67,80,81,0,0,4,13,22,8
PA4757,27,8,15,15,3,9,6,9,11,12
PA1369,22,5,15,9,1,4,27,41,63,47
PA4434,43,25,30,31,1,0,1,3,4,2
PA0684,0,0,0,0,0,1,2,7,10,7
PA3775,1,0,0,0,112,119,8,10,15,16
PA3281,1,3,3,0,24,32,4,12,12,16
PA2676,0,0,0,0,3,3,4,2,6,3
PA2406,1,0,0,0,0,4,21,22,28,42
PA0773,14,3,10,5,2,0,2,2,6,0
PA0321,3,2,0,4,31,29,2,2,7,2
PA4832,3,0,2,1,2,2,2,2,7,2
PA0930,3,3,3,2,251,278,7,13,21,10
PA1393,7,2,4,4,0,0,21,26,47,26
PA2848,0,0,0,0,0,0,45,39,88,42
PA5399,7,2,5,2,0,0,1,3,5,4
PA5116,0,0,0,0,0,4,1,3,5,4
PA1686,3,1,3,1,1,1,116,248,297,282
PA2311,0,0,0,0,0,0,25,36,63,36
