,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
rpsH,8917,8853,11911,10566,8535,10206
rplF,9674,9584,12198,10919,8780,10076
rplR,7320,7091,9722,8518,6314,7989
rpsE,12094,11560,16390,13527,10102,12334
rpmD,4029,3666,5446,4785,2563,4524
rplO,7161,7182,9565,7566,5997,6983
secY,15901,15835,20691,17114,12061,14272
rpmJ_1,471,424,631,520,391,412
rpsM,4622,4333,5847,5220,3670,4655
rpsK,5804,5254,7227,7033,4852,6326
rpsD,7473,7096,9316,8986,7148,7763
rpoA,10868,10324,14279,14338,11872,11631
rplQ,3793,3544,4835,5521,3714,4609
katA,7052,24659,10215,4200,5014,4350
bfrA,295,847,429,283,344,290
uvrA,654,804,830,734,738,859
PA14_09195,242,264,247,358,479,450
ssb,1130,1228,1438,1282,1187,1119
pchA,925,1092,873,1964,4225,3482
pchB,124,196,133,348,724,678
pchC,55,106,42,94,237,205
pchD,187,451,201,202,662,607
pchR,139,227,150,214,324,313
pchE,1037,1659,1078,1610,3983,3094
pchF,4355,4153,3833,6784,11154,9810
pchG,1345,1131,1046,2002,2583,2046
PA14_09300,1544,1369,1187,2394,2738,2243
PA14_09320,966,820,826,1430,1774,1244
fptA,2126,2523,2032,3938,3696,3444
PA14_09350,66,111,74,135,147,119
PA14_09370,188,233,191,549,518,378
PA14_09380,2047,2425,2480,4658,4330,3867
phzS,14783,16749,18530,21010,22396,21204
phzG1,6174,6744,7241,9408,10505,9586
phzF1,3433,3878,4322,3662,4343,3961
phzE1,23558,26912,30049,24573,29704,25687
phzD1,4081,4666,4691,3554,4158,3828
phzC1,9798,10664,11059,11238,13570,12090
phzB1,15105,15879,20298,20553,19604,23010
phzA1,3935,4705,5167,5975,6831,5084
phzM,4622,4926,5567,5110,5957,5261
opmD,1691,1980,1898,1714,2618,2024
mexI,1107,1484,1237,875,1668,1381
mexH,603,1020,753,337,535,459
mexG,345,635,527,189,248,260
PA14_09550,207,293,223,159,172,154
PA14_09570,48,55,71,42,59,45
PA14_09580,339,516,436,288,384,261
ddlA,508,650,556,430,507,459
PA14_09610,156,171,143,204,210,177
PA14_09630,348,400,447,445,433,446
PA14_09660,301,356,334,301,269,257
PA14_09680,188,232,204,234,266,163
PA14_09690,76,94,103,108,119,98
PA14_09700,177,239,255,242,269,223
PA14_09710,21,21,28,40,39,29
PA14_09730,6,17,17,9,18,17
PA14_09740,26,31,18,42,43,30
PA14_09750,119,122,146,149,139,117
PA14_09760,73,68,89,102,78,74
PA14_09770,101,109,123,122,110,98
PA14_09780,74,76,71,117,121,127
PA14_09790,138,154,123,176,198,208
PA14_09810,39,33,39,54,71,73
PA14_09820,823,963,1044,749,873,654
PA14_09850,137,133,158,149,143,108
PA14_09870,35,42,31,63,51,66
PA14_09880,8,6,7,11,9,6
ppiC2,355,419,382,694,546,625
prpL,373,393,416,805,830,648
PA14_09910,37,53,52,42,60,33
PA14_09920,2,4,1,3,14,5
PA14_09930,48,43,69,52,46,40
PA14_09940,67,43,80,61,64,61
PA14_09950,20,16,16,43,28,34
PA14_09960,23,14,34,26,28,24
fpvB,179,184,162,219,220,182
dkgB,23,24,23,18,29,18
PA14_09990,41,39,33,15,17,22
PA14_10010,44,78,48,59,73,67
PA14_10020,48,64,74,55,85,65
PA14_10040,254,310,275,257,289,197
PA14_10050,9,2,2,4,10,7
PA14_10070,13,15,16,27,20,18
PA14_10080,17,13,22,23,18,12
PA14_10090,46,66,36,44,64,51
PA14_10110,29,21,35,43,42,40
PA14_10120,60,50,54,64,51,41
PA14_10130,29,24,33,27,29,20
fepG,29,34,21,23,45,16
fepD,5,8,9,13,13,10
fepB,21,65,37,15,27,24
fepC,28,31,31,33,28,32
PA14_10190,68,91,86,79,101,64
PA14_10200,213,298,241,135,94,119
PA14_10210,59,54,33,39,33,27
PA14_10220,62,65,57,43,43,34
adh,254,170,228,83,93,79
PA14_10240,169,130,161,32,56,41
acoB,142,100,120,67,63,54
PA14_10260,182,119,180,158,178,123
PA14_10270,67,60,61,67,72,45
PA14_10280,118,91,110,42,35,30
acoR,1182,1106,1229,717,994,737
PA14_10300,30,36,51,77,61,63
PA14_10320,103,104,107,109,149,128
PA14_10330,20,27,32,54,102,61
PA14_10340,35,36,25,45,91,58
PA14_10350,86,100,95,159,145,120
PA14_10360,3496,4266,5049,8423,6069,8355
PA14_10370,40,29,40,37,44,36
PA14_10380,12,10,19,11,8,15
PA14_10400,1,0,5,4,1,5
PA14_10410,1,2,4,2,3,5
tyrS,23,45,33,60,67,64
PA14_10440,15,38,29,59,25,36
PA14_10470,124,117,109,158,139,151
PA14_10480,166,168,176,232,166,165
PA14_10490,239,259,231,231,223,206
PA14_10500,2192,2581,2256,2058,1476,1602
PA14_10530,631,921,803,461,511,467
PA14_10540,409,627,586,337,331,391
PA14_10550,1446,1961,1743,1317,1220,1045
PA14_10560,210,303,257,196,201,147
PA14_10570,198,237,184,200,240,162
hpcG,94,104,103,115,155,136
PA14_10600,75,103,90,150,143,148
hpcD,25,27,25,38,42,42
hpcB,79,82,79,82,135,103
hpcC,54,61,56,90,151,101
PA14_10640,27,36,30,42,45,35
PA14_10650,10,13,23,16,25,19
PA14_10660,16,19,22,31,41,30
aph,80,102,117,139,143,121
PA14_10680,85,77,79,191,164,141
PA14_10700,835,844,908,2273,2019,1602
PA14_10710,243,233,266,503,507,311
PA14_10730,970,1021,1054,1489,1333,1005
PA14_10740,200,234,244,252,220,201
PA14_10750,72,59,75,112,92,92
PA14_10770,904,835,814,2262,2300,1583
PA14_10780,58,49,37,124,89,69
ampC,82,94,80,145,129,135
ampR,65,89,70,165,135,113
PA14_10820,262,241,255,474,584,331
PA14_10830,108,100,113,108,137,87
PA14_10840,77,84,100,83,84,70
PA14_10850,118,90,105,150,148,109
PA14_10870,20,20,28,55,46,30
PA14_10890,8,15,13,15,10,11
PA14_10900,4,13,5,5,3,7
PA14_10910,20,16,15,30,26,27
PA14_10920,1,2,3,4,7,6
PA14_10940,84,93,109,167,134,101
PA14_10950,15,19,18,26,26,29
PA14_10960,51,47,59,89,84,62
PA14_10970,13,16,19,23,24,16
PA14_10980,44,52,60,86,63,70
hpaC,14,13,13,25,35,18
hpaA,52,62,60,94,104,106
PA14_11010,49,52,46,73,134,153
PA14_11020,11,14,17,16,17,15
PA14_11030,17,17,18,13,29,15
PA14_11050,6,9,12,10,12,10
cupB1,9,22,28,24,33,23
cupB2,9,14,14,54,46,40
cupB3,112,121,110,270,280,189
cupB4,4,5,6,10,7,14
cupB5,59,63,72,110,73,77
cupB6,40,39,42,55,62,41
PA14_11120,43,62,70,84,118,113
PA14_11130,186,265,230,117,261,188
PA14_11140,737,1176,1389,345,563,411
PA14_11150,10,10,13,12,8,12
PA14_11160,21,25,31,28,17,16
PA14_11170,157,204,222,175,192,182
PA14_11180,35,54,35,33,58,39
PA14_11190,24,25,28,47,57,49
PA14_11210,19,27,17,31,26,19
PA14_11230,1,4,4,17,14,13
PA14_11240,37,38,35,47,52,33
PA14_11250,418,471,463,496,504,437
PA14_11260,278,271,317,472,390,371
oprG,1778,3116,3175,2091,2292,2543
PA14_11280,82,82,89,88,96,79
PA14_11290,166,143,158,211,211,166
PA14_11310,64,68,80,82,87,80
PA14_11320,29,46,35,83,87,75
PA14_11330,35,44,43,46,41,40
PA14_11340,560,587,574,693,708,691
PA14_11350,63,88,93,106,117,87
PA14_11370,29,27,29,29,52,30
nrdR,161,180,198,182,213,146
ribD,307,332,368,319,385,280
ribC,548,536,662,703,769,581
ribB,924,943,1154,1219,1043,1042
ribH,547,655,744,703,685,632
nusB,703,747,844,854,808,840
thiL,359,361,374,462,415,385
pgpA,137,151,160,201,183,176
PA14_11480,121,131,136,246,286,191
PA14_11490,103,101,103,203,178,137
ribA,377,407,371,452,393,361
PA14_11520,112,105,115,127,121,113
PA14_11530,88,90,103,130,120,96
dxs,912,1038,1041,1165,1098,1000
ispA,260,280,277,323,279,258
xseB,88,111,104,142,107,132
PA14_11580,422,419,420,807,753,603
PA14_11590,60,55,45,115,125,90
PA14_11600,123,138,160,197,172,157
PA14_11610,18,22,19,53,21,22
PA14_11620,11,19,10,39,25,27
PA14_11630,146,230,179,194,198,159
PA14_11650,217,479,367,138,186,169
aqpZ,573,1736,1087,208,403,334
PA14_11670,113,362,256,42,57,70
PA14_11680,212,181,184,195,197,178
ppa,479,591,661,585,611,768
PA14_11700,132,172,130,225,220,214
PA14_11720,181,197,208,216,278,228
PA14_11730,22,36,35,42,39,33
PA14_11740,124,165,166,170,193,148
PA14_11750,254,299,309,259,271,222
PA14_11760,114,118,131,276,216,174
eutB,245,209,247,597,429,332
PA14_11790,298,315,336,802,429,410
PA14_11810,2616,3137,3265,4333,3201,2898
PA14_11830,150,147,157,143,141,109
mpl,465,542,492,529,649,509
PA14_11860,221,290,250,467,408,325
PA14_11880,74,77,77,120,150,87
PA14_11890,358,375,386,714,636,495
PA14_11900,369,368,393,616,595,467
PA14_11910,856,947,1158,992,1105,803
PA14_11920,38,39,60,35,34,30
PA14_11930,109,112,107,136,118,86
PA14_11940,293,275,314,416,487,344
PA14_11960,444,414,401,586,573,399
PA14_11970,495,539,577,565,465,477
PA14_11980,17,24,33,36,30,31
PA14_11990,44,35,60,85,71,63
proA,357,349,374,339,404,358
nadD,298,309,318,363,402,320
PA14_12030,433,411,585,657,575,618
PA14_12050,182,187,221,259,249,231
pbpA,539,489,557,902,782,703
rodA,284,257,320,428,304,277
sltB1,528,542,642,847,636,693
PA14_12090,487,501,550,768,639,580
dacC,859,854,1023,1497,1246,1194
PA14_12110,339,276,338,540,496,505
lipB,386,414,452,689,599,579
lis,1171,1288,1360,1828,1879,1456
PA14_12140,116,118,125,236,255,203
PA14_12150,22,19,14,30,39,20
PA14_12160,708,718,774,825,811,678
PA14_12170,6,9,12,22,16,33
PA14_12180,15,13,10,24,8,22
holA,133,155,179,137,149,148
PA14_12210,502,575,633,498,492,473
leuS,3434,3613,3967,3647,3349,3174
PA14_12260,96,76,88,258,145,177
PA14_12270,84,129,112,191,188,138
lnt,253,239,303,416,354,294
PA14_12300,521,545,574,1277,944,856
PA14_12310,247,248,265,530,469,376
PA14_12330,772,738,849,1449,1258,1192
PA14_12350,646,733,808,938,846,939
PA14_12360,139,172,175,247,246,225
PA14_12370,377,433,441,635,528,528
hemL,429,499,557,717,621,618
thiE,69,79,60,98,85,89
thiD,125,130,129,126,121,107
PA14_12420,677,715,724,1018,857,772
PA14_12430,768,871,839,1072,1431,945
PA14_12440,274,261,248,439,511,335
PA14_12450,2329,2145,2196,2870,3393,2396
PA14_12470,260,235,220,294,340,245
PA14_12490,655,676,700,819,832,718
PA14_12530,297,348,280,303,308,256
PA14_12540,52,52,68,81,89,80
PA14_12550,40,45,43,77,68,71
PA14_12560,108,116,129,165,152,166
PA14_12570,61,86,74,86,61,96
PA14_12590,32,31,39,52,45,32
PA14_12610,36,45,50,67,58,47
PA14_12620,142,135,151,134,128,140
PA14_12630,196,241,257,240,306,236
PA14_12640,23,33,28,47,44,44
PA14_12650,32,32,38,58,52,64
PA14_12670,160,200,194,253,297,227
PA14_12680,132,141,130,285,346,233
PA14_12690,64,92,98,174,172,144
PA14_12700,43,51,76,85,65,68
PA14_12710,68,56,62,98,84,69
PA14_12730,30,43,35,44,34,30
PA14_12740,99,152,158,165,152,151
PA14_12750,75,84,84,114,128,130
PA14_12760,244,260,265,304,350,294
PA14_12770,175,222,215,226,244,192
PA14_12780,295,405,425,454,469,463
PA14_12810,73,87,80,101,92,84
PA14_12820,62,113,103,130,120,77
PA14_12840,283,323,299,485,603,402
PA14_12850,117,117,133,190,207,127
PA14_12860,121,173,141,203,220,151
tesB,188,228,262,321,253,246
PA14_12890,89,96,99,106,118,104
PA14_12900,425,543,574,394,462,462
PA14_12910,6,3,4,8,8,3
PA14_12920,57,70,77,128,110,94
PA14_12940,15,8,12,28,22,16
PA14_12960,9,7,12,15,15,9
tauD,19,19,16,50,34,27
PA14_12980,320,385,510,299,327,267
PA14_12990,154,180,207,250,225,190
PA14_13000,94,77,113,198,187,138
PA14_13010,132,121,207,401,323,276
cioA,2037,2545,2493,1921,1617,1461
cioB,1246,1359,1285,877,798,678
PA14_13050,85,77,70,46,37,38
PA14_13060,45,62,46,55,43,50
PA14_13070,220,204,253,316,287,280
PA14_13090,1186,1322,1382,1214,1243,1275
PA14_13110,1619,1555,2212,411,316,248
PA14_13130,6348,6140,8852,1863,1262,1094
PA14_13140,2077,1844,2663,1917,2090,1292
PA14_13150,839,982,854,1814,2147,1632
PA14_13170,1301,2172,1765,1172,1197,820
PA14_13190,894,984,1055,1403,1209,983
PA14_13200,95,114,114,332,354,275
PA14_13210,14,28,23,57,55,46
PA14_13220,27,17,23,47,53,37
moaC,151,143,158,212,274,224
moaD,48,63,86,108,97,97
moaE,84,88,100,143,139,137
moaB1,33,43,61,103,95,98
moeA1,48,53,61,90,92,65
PA14_13290,42,78,77,121,84,91
PA14_13300,41,79,79,105,131,107
PA14_13320,37,65,59,93,100,95
PA14_13330,42,49,50,82,82,66
PA14_13340,105,132,133,144,125,131
PA14_13350,12,26,29,33,33,29
PA14_13360,4,4,5,13,11,7
PA14_13370,7,5,8,5,5,0
PA14_13380,6,8,2,9,4,12
PA14_13390,8,3,8,6,6,8
prfC,396,394,482,581,514,652
PA14_13420,134,141,96,95,77,68
fecA,89,99,114,175,159,150
PA14_13450,11,15,13,11,19,11
PA14_13460,14,24,16,11,8,8
PA14_13470,102,90,111,82,87,58
PA14_13490,83,78,87,65,57,68
PA14_13500,169,188,205,211,210,170
PA14_13510,146,164,171,190,136,148
PA14_13520,33,37,34,58,46,41
PA14_13530,38,25,33,56,50,39
PA14_13560,24,23,30,57,42,39
PA14_13580,246,237,204,291,281,212
PA14_13590,81,96,63,104,98,81
PA14_13600,210,201,143,215,243,154
PA14_13610,106,136,107,105,109,98
nhaP,259,284,300,248,260,208
PA14_13630,30,39,29,22,22,24
PA14_13650,82,84,79,78,75,60
PA14_13660,10,9,12,14,22,13
PA14_13670,6,7,11,17,20,9
PA14_13680,76,77,65,110,122,98
PA14_13690,101,139,145,146,148,166
PA14_13710,140,143,175,194,198,182
PA14_13720,10,11,7,18,21,15
narL,103,172,156,157,175,125
narX,168,176,213,280,288,215
narK1,157,355,351,255,262,216
narK2,197,522,479,218,278,238
narG,2988,5342,6047,3801,3518,4117
narH,1934,3312,3769,2845,2499,2727
narJ,296,617,614,467,401,408
narI,366,616,668,556,456,487
PA14_13840,345,612,591,530,408,452
moaA,222,393,382,364,282,292
PA14_13860,18,25,28,33,36,24
PA14_13870,37,45,50,81,46,66
PA14_13880,0,0,0,2,0,4
PA14_13890,45,50,66,126,75,102
PA14_13900,70,65,85,113,102,96
PA14_13910,3,0,2,9,1,6
PA14_13920,4,5,6,11,8,8
PA14_13940,564,575,566,970,582,676
PA14_13950,241,237,260,335,189,239
PA14_13960,14,10,16,20,22,20
PA14_13970,32,38,33,62,59,39
PA14_13990,309,353,356,308,298,256
PA14_14000,118,155,142,148,145,116
PA14_14010,39,53,48,51,44,38
PA14_14020,37,46,46,64,46,44
rhl,1943,2004,2272,2674,2184,2486
PA14_14060,1489,1360,1623,1835,1902,1592
PA14_14080,218,197,252,299,307,236
PA14_14100,494,499,578,812,825,595
pcs,463,523,593,785,631,609
PA14_14130,191,214,209,296,284,206
PA14_14140,181,212,223,384,366,288
PA14_14150,63,58,69,98,96,86
PA14_14160,139,136,154,272,261,206
PA14_14170,303,358,412,404,436,324
PA14_14200,173,196,202,221,287,194
PA14_14210,248,313,329,338,342,306
PA14_14220,813,860,934,1183,1148,1060
PA14_14230,303,311,325,522,575,434
PA14_14250,69,69,76,78,127,87
PA14_14270,313,395,378,419,523,336
PA14_14280,175,192,216,274,351,220
PA14_14290,99,136,142,140,163,112
PA14_14300,56,63,89,87,90,64
PA14_14310,18,22,25,17,17,22
PA14_14320,8,14,18,24,22,15
PA14_14330,15,15,15,28,19,20
PA14_14340,31,38,48,72,72,76
PA14_14360,125,151,144,245,230,212
PA14_14370,123,101,124,148,109,118
PA14_14380,162,121,147,165,149,133
PA14_14390,746,786,904,747,701,749
PA14_14400,1,0,1,3,3,1
PA14_14420,51,41,57,32,30,27
PA14_14430,72,63,75,108,114,110
valS,2251,2358,2607,4310,3806,3771
PA14_14450,176,180,173,324,210,259
holC,141,167,192,170,184,171
pepA,1416,1567,1613,1582,1570,1593
PA14_14480,52,42,54,72,83,67
PA14_14490,30,41,31,62,57,40
PA14_14500,554,601,653,622,548,550
PA14_14510,438,393,428,446,383,372
PA14_14520,70,70,88,101,102,102
PA14_14530,276,327,370,625,653,508
PA14_14540,43,41,66,154,104,177
PA14_14550,256,270,308,502,391,448
PA14_14560,49,51,36,105,72,79
PA14_14570,10,5,4,12,4,5
queA,207,184,232,332,287,244
tgt,348,420,422,556,454,487
yajC,708,809,976,781,759,857
secD,2740,2741,3020,2982,2582,2968
secF,1196,1246,1352,1307,1210,1219
PA14_14660,1007,1202,935,604,464,456
PA14_14680,676,715,737,851,753,795
PA14_14690,348,383,403,438,369,349
cysE,480,510,494,558,509,503
PA14_14710,1463,1802,1414,941,743,795
iscS,5109,5908,5540,2775,2588,2604
PA14_14740,1349,1449,1461,834,785,843
PA14_14750,1190,1223,1392,820,868,842
hscB,707,797,788,578,656,608
hscA,1452,1619,1526,1733,2075,1771
fdx2,286,294,317,462,454,438
PA14_14810,165,198,211,327,326,279
ndk,1609,1815,2115,2013,1900,2042
PA14_14830,2311,2634,2926,3061,2923,3100
pilF,872,899,1030,1436,1313,1300
PA14_14860,692,695,739,1046,902,879
ispG,710,787,940,1280,934,1099
hisS,803,744,970,1205,1011,930
PA14_14900,623,602,693,911,561,602
PA14_14910,1377,1278,1528,1987,1436,1251
engA,1672,1595,1906,2977,2605,2294
PA14_14940,306,330,352,432,432,395
PA14_14960,300,334,335,380,378,332
PA14_14975,117,106,96,161,144,128
PA14_14990,459,540,573,537,523,490
PA14_15000,64,64,70,94,78,66
PA14_15020,61,85,78,86,79,82
leuA,2333,2307,2890,2764,2844,2604
PA14_15050,149,161,201,100,116,122
oprC,1595,1403,2256,676,897,1093
PA14_15080,599,615,696,295,358,347
PA14_15090,142,173,197,231,217,195
PA14_15100,245,284,298,364,375,312
PA14_15110,124,130,143,202,297,195
PA14_15120,132,164,137,264,332,291
PA14_15130,125,179,169,266,360,335
PA14_15140,61,87,63,153,252,140
PA14_15150,48,49,58,74,112,72
PA14_15160,16,19,16,28,38,33
PA14_15180,27,43,38,62,71,66
PA14_15190,6,6,13,8,8,5
PA14_15200,57,82,84,85,77,89
PA14_15210,70,68,87,122,98,76
xseA,175,182,184,200,197,182
PA14_15240,11,26,13,19,22,17
PA14_15250,10,5,6,13,7,10
PA14_15260,8,4,8,10,4,6
PA14_15270,10,13,13,21,16,14
PA14_15280,16,14,17,23,29,25
PA14_15290,30,26,22,34,26,24
guaB,1019,959,1089,1663,1340,1644
guaA,1240,1142,1682,1606,1577,2075
PA14_15350,397,426,504,596,489,546
PA14_15360,649,666,574,525,402,390
PA14_15370,31,27,37,60,46,51
repA,27,34,31,75,46,55
PA14_15400,40,56,60,123,81,76
PA14_15410,13,4,9,14,15,8
PA14_15420,9,18,13,32,31,29
PA14_15430,62,61,56,87,65,81
PA14_15435,85,78,101,135,136,138
merE,11,14,14,25,10,8
merD,39,20,38,38,28,30
merA,339,382,358,525,533,404
merP,68,66,88,107,91,82
merT,70,67,72,120,106,126
merR,170,158,184,226,176,195
PA14_15490,17,22,13,29,26,18
PA14_15500,44,38,26,86,65,69
traJ,59,36,72,109,82,77
trbJ,81,93,97,168,106,129
PA14_15530,12,10,11,14,23,18
PA14_15540,90,91,101,152,142,104
PA14_15560,158,172,192,219,183,189
PA14_15570,86,88,81,63,77,75
PA14_15580,1038,1089,1306,1423,1074,1169
PA14_15590,1243,1192,1410,1982,1675,1698
PA14_15600,478,443,530,798,717,645
PA14_15610,798,783,930,1244,1093,891
PA14_15620,30,48,44,91,80,57
PA14_15630,85,64,85,154,142,136
PA14_15650,86,90,84,111,128,85
PA14_15660,43,55,49,99,84,64
PA14_15670,152,163,133,117,156,160
PA14_15680,51,52,61,86,81,77
PA14_15700,100,146,130,153,125,117
PA14_15710,49,66,42,36,39,21
PA14_15720,253,305,299,337,363,299
purL,1937,2009,2283,2055,2037,2134
PA14_15750,35,60,60,51,66,61
PA14_15770,49,59,50,52,25,44
PA14_15780,71,59,56,136,141,83
PA14_15790,165,185,206,277,296,281
PA14_15810,40,39,45,63,68,60
PA14_15820,51,50,46,81,68,64
PA14_15830,26,34,34,48,45,36
PA14_15840,335,364,418,608,522,512
PA14_15850,104,112,120,120,131,116
PA14_15860,361,451,440,422,481,353
PA14_15870,257,293,295,294,322,214
PA14_15880,53,46,51,49,51,41
purT,336,421,374,422,507,323
PA14_15910,65,70,51,98,114,72
PA14_15920,46,55,58,134,118,86
PA14_15930,91,85,78,120,107,100
PA14_15940,132,140,138,181,137,158
ffh,1009,1155,1255,1199,1170,1185
rpsP,350,425,422,388,435,477
rimM,3122,3040,3902,4159,3745,4666
trmD,3104,3276,3978,4499,3708,4754
rplS,1599,1812,2308,2030,1925,2516
PA14_16010,169,187,233,416,337,355
PA14_16020,491,454,563,839,842,666
PA14_16030,247,234,275,386,419,371
xerD,154,139,145,193,191,145
dsbC,1144,1326,1269,1225,1103,1071
hom,1042,1226,1344,1335,1252,1223
thrC,929,1000,1074,1056,986,999
PA14_16100,136,155,206,207,176,143
PA14_16110,63,76,61,94,74,72
PA14_16130,347,389,405,517,589,493
PA14_16140,602,789,711,449,360,330
PA14_16150,1152,1280,1318,729,623,598
PA14_16160,227,279,237,204,127,190
PA14_16180,1542,1575,1803,1832,1220,1332
PA14_16190,916,870,960,1324,1366,1102
PA14_16200,58,67,60,116,90,72
PA14_16210,85,89,121,125,117,117
recJ,368,377,371,488,436,374
lasB,10622,11701,15467,19854,27669,25037
PA14_16260,829,927,889,1478,2023,1343
PA14_16270,341,476,444,619,443,451
PA14_16280,317,480,425,664,534,419
PA14_16290,106,295,139,118,125,116
PA14_16300,5,20,8,12,3,8
PA14_16310,66,103,71,101,100,86
PA14_16320,42,53,43,52,53,59
PA14_16330,720,834,883,1043,937,1013
PA14_16340,122,149,148,241,267,178
PA14_16350,31,29,32,55,63,48
PA14_16360,106,98,116,154,159,108
PA14_16370,624,829,645,497,709,592
PA14_16380,241,281,226,261,343,315
PA14_16390,162,194,191,480,509,394
PA14_16410,102,124,130,244,214,194
wspA,288,295,352,730,747,596
PA14_16440,38,43,52,108,145,99
wspC,117,139,151,303,379,308
wspD,73,74,71,181,151,147
PA14_16470,355,363,363,742,736,510
wspF,451,442,418,868,820,633
wspR,344,375,381,611,532,342
PA14_16510,1193,1353,1445,1769,1456,1566
lysS,1304,1344,1676,1928,1291,1897
PA14_16550,159,177,198,217,176,197
PA14_16560,221,232,320,373,333,280
PA14_16580,551,534,578,1005,775,773
PA14_16590,242,269,265,455,439,394
PA14_16600,270,262,267,477,503,328
PA14_16610,70,90,94,191,129,101
PA14_16620,130,125,101,140,191,110
PA14_16630,3246,3617,3189,2899,3432,2417
PA14_16640,2850,3216,2894,2464,2638,1959
PA14_16660,5223,6119,5285,2388,1967,1664
PA14_16670,344,420,411,329,361,272
PA14_16680,568,705,679,780,792,548
ppc,643,696,719,528,737,523
adk,1759,2059,2222,1653,1799,1729
PA14_16710,159,181,174,167,166,177
PA14_16720,48,62,55,78,72,64
PA14_16730,159,156,206,333,343,261
PA14_16740,87,80,85,113,154,111
PA14_16750,27,24,36,46,46,55
PA14_16770,106,137,138,143,152,127
PA14_16780,174,169,177,273,284,231
PA14_16790,186,234,197,372,414,345
PA14_16800,160,215,218,446,600,491
PA14_16820,816,833,851,1385,1551,1561
PA14_16830,259,240,272,376,363,350
PA14_16840,127,132,144,146,131,158
plsB,478,533,585,630,546,559
PA14_16870,78,84,73,91,92,106
PA14_16880,37,61,59,62,48,59
PA14_16890,72,72,73,88,83,73
PA14_16910,54,71,69,132,152,107
PA14_16920,50,55,41,96,109,84
PA14_16930,208,206,184,401,438,334
dapD,405,396,458,431,364,383
PA14_16960,105,122,124,88,103,82
PA14_16970,159,143,178,146,138,130
PA14_16980,93,117,131,131,100,92
PA14_16990,245,191,245,151,172,122
PA14_17000,8,9,12,29,14,15
PA14_17010,187,229,216,231,203,186
PA14_17030,280,246,320,447,379,387
glnD,888,951,1018,1409,1238,1405
map,995,1080,1127,1582,1095,1350
