,Rev_MHH8607,Rev_MHH9536,Rev_MHH9604
"PA14_30960,traG",0,0,0
"PA14_30970,bphR",0,0,0
"PA14_30980,",0,0,0
"PA14_30990,",0,0,0
"PA14_31000,",0,0,0
"PA14_31010,",0,0,1
"PA14_31030,",0,1,0
"PA14_31040,",0,0,0
"PA14_31050,",0,0,0
"PA14_31060,",0,0,0
"PA14_31070,",0,0,1
"PA14_31080,",0,0,0
"PA14_31090,",0,0,0
"PA14_31100,",0,0,0
"PA14_31110,",0,0,0
"PA14_31130,",0,0,0
"PA14_31150,",0,0,0
"PA14_31160,",0,0,0
"PA14_31170,",0,0,0
"PA14_31180,",0,0,0
"PA14_31190,",2,0,0
"PA14_31200,",0,1,1
"PA14_31220,",0,0,0
"PA14_31230,",0,0,0
"PA14_31240,",0,0,0
"PA14_31250,",0,0,0
"PA14_31260,",0,0,0
"PA14_31270,",0,0,0
"PA14_31280,",0,0,1
"PA14_31290,pa1L",0,3,4
"PA14_31300,",60,24,20
"PA14_31310,",53,29,24
"PA14_31330,",134,291,275
"PA14_31340,",6,2,6
"PA14_31350,",45,17,23
"PA14_31360,",10,13,18
"PA14_31370,tam",28,32,23
"PA14_31380,sfpA",8,11,5
"PA14_31390,",146,24,53
"PA14_31400,ctpH",18,22,12
"PA14_31420,",51,23,116
"PA14_31430,",50,0,5
"PA14_31440,",123,109,177
"PA14_31450,",4,3,2
"PA14_31460,",33,27,26
"PA14_31470,",359,631,908
"PA14_31480,",107,119,142
"PA14_31500,",588,867,1003
"PA14_31510,",659,565,820
"PA14_31530,",943,1049,1296
"PA14_31540,acdA",1020,1042,1434
"PA14_31560,",70,116,99
"PA14_31580,",49,77,45
"PA14_31610,",46,337,257
"PA14_31620,",12,13,14
"PA14_31630,",16,13,18
"PA14_31640,",4,6,6
"PA14_31650,xthA",362,313,146
"PA14_31660,",96,43,45
"PA14_31680,",258,289,283
"PA14_31690,",259,356,336
"PA14_31700,pgsA",60,56,168
"PA14_31720,",222,56,800
"PA14_31730,",70,25,227
"PA14_31740,",33,13,171
"PA14_31750,",96,43,342
"PA14_31760,cdsA",191,73,574
"PA14_31770,",16,14,7
"PA14_31780,",23,21,17
"PA14_31800,",151,231,190
"PA14_31810,tpx",172,218,190
"PA14_31820,hisC",9,5,0
"PA14_31840,",160,140,111
"PA14_31850,",203,251,171
"PA14_31870,",141,106,70
"PA14_31890,",191,206,158
"PA14_31900,",152,147,117
"PA14_31920,opmB",87,57,65
"PA14_31930,",5,7,8
"PA14_31950,cztS",9,117,50
"PA14_31960,czrR",13,212,100
"PA14_31970,czcC",1,49,16
"PA14_31990,czcB",0,62,18
"PA14_32060,xylS",14,16,26
"PA14_32080,xylX",4,7,9
"PA14_32100,xylY",6,2,3
"PA14_32110,xylZ",3,2,6
"PA14_32130,benD",0,5,4
"PA14_32140,antC",0,1,2
"PA14_32150,antB",2,5,4
"PA14_32160,antA",5,8,6
"PA14_32190,",19,11,7
"PA14_32200,catR",11,12,8
"PA14_32220,catB",0,1,5
"PA14_32230,catC",3,6,7
"PA14_32240,catA",5,9,11
"PA14_32250,",2,156,66
"PA14_32270,oprD3",9,592,235
"PA14_32280,",37,46,51
"PA14_32290,",27,18,24
"PA14_32300,",31,25,12
"PA14_32310,",14,26,22
"PA14_32330,",15,3,17
"PA14_32340,",7,5,6
"PA14_32350,",10,13,8
"PA14_32360,",12,17,18
"PA14_32370,",10,12,8
"PA14_32380,oprN",18,27,19
"PA14_32390,mexF",61,86,104
"PA14_32400,mexE",41,56,67
"PA14_32410,mexT",177,166,121
"PA14_32420,",523,732,610
"PA14_32440,",3,9,3
"PA14_32450,",17,12,13
"PA14_32460,",12,7,13
"PA14_32470,",0,3,0
"PA14_32480,",65,19,31
"PA14_32490,",123,27,66
"PA14_32500,",55,57,51
"PA14_32520,",35,33,22
"PA14_32530,",77,189,184
"PA14_32540,",47,139,150
"PA14_32570,",30,28,13
"PA14_32580,",11,6,10
"PA14_32590,dipZ2",23,30,31
"PA14_32600,",16,20,27
"PA14_32610,dsbG",17,24,30
"PA14_32630,",15,10,21
"PA14_32640,",1,5,5
"PA14_32650,",1,1,2
"PA14_32660,",2,0,4
"PA14_32670,",2,1,2
"PA14_32690,gtdA",14,14,17
"PA14_32700,",12,12,9
"PA14_32710,",67,22,28
"PA14_32720,",43,13,19
"PA14_32740,optS",45,26,29
"PA14_32750,",4,7,4
"PA14_32770,",65,30,173
"PA14_32780,",41,67,112
"PA14_32790,",598,849,3358
"PA14_32810,",29,53,57
"PA14_32820,",62,55,57
"PA14_32830,",8,6,15
"PA14_32840,",6,4,11
"PA14_32850,",0,0,0
"PA14_32860,",6,9,12
"PA14_32880,",16,11,24
"PA14_32890,",36,58,17
"PA14_32905,",12,7,10
"PA14_32930,",28,14,32
"PA14_32940,",118,125,93
"PA14_32950,",15,11,19
"PA14_32970,",26,23,24
"PA14_32985,gcvH2",304,29,187
"PA14_33000,gcvP2",3059,598,1932
"PA14_33010,glyA2",503,137,258
"PA14_33030,sdaA",430,172,226
"PA14_33040,gcvT2",183,85,68
"PA14_33050,",65,29,102
"PA14_33060,",31,16,41
"PA14_33070,",25,4,5
"PA14_33080,",16,3,4
"PA14_33110,",6,3,1
"PA14_33120,",58,57,19
"PA14_33130,",46,26,14
"PA14_33150,",8,9,5
"PA14_33160,",59,33,39
"PA14_33170,",214,122,129
"PA14_33190,",64,40,61
"PA14_33200,",11,7,11
"PA14_33220,",43,17,41
"PA14_33230,",2,0,2
"PA14_33240,",12,9,8
"PA14_33250,",0,0,0
"PA14_33260,pvdS",65,2,5
"PA14_33270,pvdG",3,0,0
"PA14_33280,pvdL",55,30,44
"PA14_33290,",13,12,11
"PA14_33300,",0,0,0
"PA14_33310,",1,0,0
"PA14_33320,",0,0,0
"PA14_33330,",0,2,1
"PA14_33340,",0,0,1
"PA14_33350,",0,0,0
"PA14_33360,",6,24,8
"PA14_33370,",22,23,30
"PA14_33380,",0,1,2
"PA14_33410,opdJ",6,7,7
"PA14_33420,",7,23,8
"PA14_33430,",5,3,8
"PA14_33440,",45,51,20
"PA14_33450,treA",9,3,2
"PA14_33460,",1,5,0
"PA14_33480,sndH",21,4,3
"PA14_33500,pvdH",34,0,4
"PA14_33510,",17,0,3
"PA14_33520,",17,0,1
"PA14_33530,",9,45,25
"PA14_33540,",6,41,27
"PA14_33550,",8,10,6
"PA14_33560,",4,55,17
"PA14_33570,",1,9,10
"PA14_33580,",0,16,13
"PA14_33590,",7,27,25
"PA14_33600,",26,81,52
"PA14_33610,",97,44,59
"PA14_33630,pvdJ",2,2,2
"PA14_33650,pvdD",7,11,6
"PA14_33680,fpvA",0,0,0
"PA14_33690,pvdE",7,1,8
"PA14_33700,pvdF",51,20,18
"PA14_33710,pvdO",7,3,0
"PA14_33720,pvdN",11,2,4
"PA14_33730,",23,16,1
"PA14_33740,pvdP",28,8,12
"PA14_33750,opmQ",16,15,22
"PA14_33760,",51,45,19
"PA14_33770,",41,27,19
"PA14_33780,",341,349,243
"PA14_33800,",84,41,53
"PA14_33810,pvdA",131,17,23
"PA14_33820,pvdQ",18,8,4
"PA14_33830,",5,3,2
"PA14_33840,",36,33,29
"PA14_33860,lldA",119,82,68
"PA14_33870,",172,117,216
"PA14_33880,",61,18,8
"PA14_33890,aldG",76,105,138
"PA14_33900,",197,274,443
"PA14_33910,",10,4,9
"PA14_33920,",7,2,8
"PA14_33930,",4,0,3
"PA14_33940,",4,2,12
"PA14_33960,",11,17,46
"PA14_33970,",0,0,0
"PA14_33980,",0,0,0
"PA14_33990,",10,29,98
"PA14_34000,",7,2,24
"PA14_34010,",21,23,147
"PA14_34020,",0,2,28
"PA14_34030,",31,25,274
"PA14_34050,",127,179,1949
"PA14_34070,",10,26,220
"PA14_34080,",8,24,30
"PA14_34100,",36,28,110
"PA14_34110,",2,4,35
"PA14_34130,",32,48,222
"PA14_34140,",4,26,39
"PA14_34150,sfnR",15,21,15
"PA14_34170,",4,9,7
"PA14_34180,msuE",4,5,5
"PA14_34190,msuD",2,2,3
"PA14_34200,msuC",1,3,11
"PA14_34210,sfnR",4,4,4
"PA14_34230,",60,69,39
"PA14_34250,",22,24,8
"PA14_34260,metI-1",3,1,9
"PA14_34270,metN-1",2,2,7
"PA14_34280,metQ-l",1,2,3
"PA14_34290,",1,5,5
"PA14_34300,",2,1,4
"PA14_34320,",2,3,3
"PA14_34330,",18,30,39
"PA14_34340,mtlZ",11,3,8
"PA14_34350,mtlY",9,2,9
"PA14_34360,mtlD",1,3,22
"PA14_34370,mtlk",6,7,18
"PA14_34390,mtlG",18,32,51
"PA14_34410,mtlF",7,20,30
"PA14_34420,mtlE",6,20,49
"PA14_34440,mtlR",48,48,42
"PA14_34450,",28,26,22
"PA14_34460,",28,35,21
"PA14_34490,",26,37,16
"PA14_34500,",26,29,7
"PA14_34510,srpL",10,18,11
"PA14_34520,srpM",12,8,6
"PA14_34540,",12,7,7
"PA14_34550,",2,3,3
"PA14_34580,",2,9,5
"PA14_34600,gapB",551,820,463
"PA14_34610,",2,12,8
"PA14_34630,gnuT",33,170,78
"PA14_34640,gntK",21,32,20
"PA14_34660,gntR",70,145,73
"PA14_34670,",15,12,8
"PA14_34680,",27,39,44
"PA14_34690,",15,17,23
"PA14_34700,",1,5,2
"PA14_34710,",1,1,2
"PA14_34720,",11,4,5
"PA14_34730,",3,4,3
"PA14_34740,",2,1,0
"PA14_34750,tauD",1,0,1
"PA14_34770,",4,3,3
"PA14_34780,",1,1,3
"PA14_34790,",8,7,2
"PA14_34800,",100,26,45
"PA14_34810,mxaA",18,14,11
"PA14_34820,",1,3,2
"PA14_34830,",1,5,1
"PA14_34840,",12,17,16
"PA14_34850,",13,11,8
"PA14_34870,chiC",4,3,6
"PA14_34880,",11,16,12
"PA14_34900,",22,34,30
"PA14_34920,",1,1,3
"PA14_34930,",0,1,1
"PA14_34940,",0,0,2
"PA14_34960,opbA",847,1285,176
"PA14_34970,gcd",290,82,133
"PA14_34990,",92,24,40
"PA14_35000,",9,5,3
"PA14_35010,",0,1,2
"PA14_35020,",0,4,2
"PA14_35030,",4,9,4
"PA14_35040,",6,6,6
"PA14_35050,",2,6,7
"PA14_35060,",9,14,13
"PA14_35070,",59,46,26
"PA14_35080,arsH",18,23,17
"PA14_35100,arsC",23,12,19
"PA14_35110,arsB",38,36,36
"PA14_35130,arsR",4,6,5
"PA14_35140,",34,24,11
"PA14_35150,",4,6,1
"PA14_35160,",2,5,2
"PA14_35170,soxR",15,8,9
"PA14_35190,pbpC",461,56,45
"PA14_35200,",21,19,24
"PA14_35210,",34,44,37
"PA14_35230,",11,19,12
"PA14_35240,",4,5,11
"PA14_35250,",64,53,48
"PA14_35270,",26,23,26
"PA14_35290,gnd",190,157,109
"PA14_35300,",51,35,39
"PA14_35320,kguD",6,11,4
"PA14_35330,kguT",10,14,14
"PA14_35340,kguK",4,11,3
"PA14_35360,kguE",4,9,5
"PA14_35370,ptxS",71,98,71
"PA14_35380,ptxR",6,2,0
"PA14_35390,pvcD",1,0,0
"PA14_35400,pvcC",2,1,1
"PA14_35420,pvcB",0,1,3
"PA14_35430,pvcA",1,2,4
"PA14_35440,ansA",15,26,20
"PA14_35460,",20,4,2
"PA14_35470,",55,85,56
"PA14_35490,lpdV",1321,1165,1603
"PA14_35500,bkdB",3385,2591,3033
"PA14_35520,bkdA2",1344,1266,1935
"PA14_35530,bkdA1",1682,2250,3077
"PA14_35540,bkdR",46,48,51
"PA14_35550,pslO",0,0,1
"PA14_35570,pslN",7,1,1
"PA14_35590,pslM",2,3,8
"PA14_35600,pslL",144,204,322
"PA14_35620,pslK",40,109,103
"PA14_35630,pslJ",89,134,170
"PA14_35640,pslI",84,155,194
"PA14_35650,pslH",74,114,122
"PA14_35670,pslG",185,240,319
"PA14_35680,pslF",79,143,230
"PA14_35690,pslE",531,928,1509
"PA14_35700,",0,0,0
"PA14_35710,",0,0,0
"PA14_35720,",0,0,1
"PA14_35730,",0,0,0
"PA14_35740,tpnA",0,0,0
"PA14_35750,tpnC",0,0,0
"PA14_35760,",0,0,0
"PA14_35770,",0,0,0
"PA14_35780,",0,0,0
"PA14_35790,",0,0,0
"PA14_35800,",0,0,0
"PA14_35810,",0,0,0
"PA14_35820,tnpS",0,0,0
"PA14_35830,tnpT",0,1,0
"PA14_35840,",0,0,0
"PA14_35850,",0,0,0
"PA14_35860,",15,21,26
"PA14_35880,",23,35,30
"PA14_35890,",26,35,23
"PA14_35900,",8,23,10
"PA14_35920,",12,23,10
"PA14_35930,",0,1,0
"PA14_35940,",3,9,9
"PA14_35950,",1,2,2
"PA14_35970,",12,10,14
"PA14_35980,",3,1,3
"PA14_35990,",4,5,3
"PA14_36000,prpR",67,78,68
"PA14_36010,",201,186,202
"PA14_36020,",295,280,201
"PA14_36030,",25,25,20
"PA14_36050,",8,4,11
"PA14_36060,",7,5,8
"PA14_36070,",22,20,21
"PA14_36080,yfaV",4,7,5
"PA14_36090,opdG",1,2,2
"PA14_36100,pdxA",9,5,21
"PA14_36110,",7,14,17
"PA14_36120,",5,8,17
"PA14_36130,",5,9,21
"PA14_36150,",0,6,1
"PA14_36170,",5,15,10
"PA14_36180,",28,26,21
"PA14_36190,",20,9,19
"PA14_36200,",133,172,331
"PA14_36220,gltJ",3,11,12
"PA14_36230,glnP",6,10,18
"PA14_36250,",87,66,53
"PA14_36260,",19,20,30
"PA14_36270,",86,104,81
"PA14_36280,",5,12,15
"PA14_36290,yncB",26,38,32
"PA14_36300,",43,30,28
"PA14_36310,hcnC",7,15,24
"PA14_36320,hcnB",9,9,16
"PA14_36330,hcnA",0,2,5
"PA14_36345,exoY",25,30,11
"PA14_36350,",4,6,4
"PA14_36360,",5,0,1
"PA14_36370,",0,1,0
"PA14_36375,",8,1,5
"PA14_36390,",2,1,2
"PA14_36400,",0,0,0
"PA14_36410,",3,0,0
"PA14_36420,",68,28,46
"PA14_36450,",9,4,1
"PA14_36460,",27,0,6
"PA14_36470,",19,9,10
"PA14_36480,",6,1,6
"PA14_36490,",5,2,1
"PA14_36500,",18,4,9
"PA14_36520,",40,14,7
"PA14_36530,",4,1,0
"PA14_36540,",11,1,5
"PA14_36550,",19,1,4
"PA14_36560,",8,6,8
"PA14_36570,glgA",18,7,13
"PA14_36580,glgB",8,4,2
"PA14_36590,malQ",7,3,1
"PA14_36605,",3,5,5
"PA14_36620,",0,0,0
"PA14_36630,glgX",9,13,8
"PA14_36650,",14,3,2
"PA14_36660,",16,11,6
"PA14_36670,",5,2,6
"PA14_36680,",1,1,0
"PA14_36690,ybhO",3,0,3
"PA14_36700,",4,1,3
"PA14_36710,glgB",17,8,14
"PA14_36730,",32,13,17
"PA14_36740,",13,1,13
"PA14_36760,",9,6,7
"PA14_36770,",2,0,1
"PA14_36780,",5,1,4
"PA14_36790,",1,1,2
"PA14_36810,katE",22,24,10
"PA14_36820,",18,1,1
"PA14_36830,",7,5,2
"PA14_36840,glgP",13,8,9
"PA14_36850,",4,1,1
"PA14_36860,",4,1,3
"PA14_36870,",5,2,5
"PA14_36880,",2,3,2
"PA14_36890,",0,1,0
"PA14_36900,",0,0,2
"PA14_36910,ligD",21,7,19
"PA14_36920,",6,4,6
"PA14_36930,",3,1,1
"PA14_36940,",0,4,2
"PA14_36960,",5,2,9
"PA14_36980,",5,7,10
"PA14_36990,",4,2,1
"PA14_37000,cupA5",1,3,4
"PA14_37010,cupA4",6,7,4
"PA14_37030,cupA3",18,27,8
"PA14_37040,cupA2",18,11,10
"PA14_37060,cupA1",46,55,49
"PA14_37070,",233,254,253
"PA14_37080,",76,74,83
"PA14_37090,gbsA",4,2,4
"PA14_37100,",5,20,13
"PA14_37120,",61,103,209
"PA14_37130,",116,339,843
"PA14_37140,",10,19,13
"PA14_37150,",2,11,7
"PA14_37170,",19,42,42
"PA14_37190,ada",187,127,99
"PA14_37200,",40,60,36
"PA14_37210,",1512,718,878
"PA14_37220,",89,77,36
"PA14_37250,",3787,4219,5251
"PA14_37260,opdO",1716,2554,2622
"PA14_37270,",649,745,735
"PA14_37290,",775,645,626
"PA14_37310,",407,334,384
"PA14_37320,",229,235,204
"PA14_37340,",15,5,4
"PA14_37350,",4,0,0
"PA14_37360,",2,14,17
"PA14_37370,",1,8,11
"PA14_37380,",11,41,44
"PA14_37400,",14,23,7
"PA14_37410,",7,10,18
"PA14_37420,",0,6,1
"PA14_37430,",17,25,12
"PA14_37440,",1,1,2
"PA14_37460,",0,6,2
"PA14_37470,",2,1,7
"PA14_37490,",7,9,13
"PA14_37510,",0,6,5
"PA14_37520,",1,0,3
"PA14_37530,",6,3,0
"PA14_37550,",0,0,1
"PA14_37560,asnB",3,4,12
"PA14_37570,",38,34,31
"PA14_37580,lrp",38,44,26
"PA14_37590,kynB",26,39,21
"PA14_37610,",43,69,79
"PA14_37630,",29,64,41
"PA14_37640,",2,3,3
"PA14_37650,",1,12,14
"PA14_37660,",9,24,14
"PA14_37670,",15,18,9
"PA14_37680,",53,66,21
"PA14_37690,",75,62,154
"PA14_37710,fusA2",333,148,210
"PA14_37730,",2,11,5
"PA14_37745,",6,8,3
"PA14_37760,",6,8,8
"PA14_37770,",7,9,5
"PA14_37780,",2,2,7
"PA14_37790,pcoA",6,7,10
"PA14_37810,pcoB",1,0,1
"PA14_37820,",81,76,27
"PA14_37830,iscS",24,18,23
"PA14_37840,",6,9,11
"PA14_37850,yejE",0,11,6
"PA14_37870,",0,6,4
"PA14_37880,",5,2,4
"PA14_37900,",4,6,5
"PA14_37910,",99,83,69
"PA14_37915,",2,4,2
"PA14_37940,cynR",11,8,13
"PA14_37950,cynT",3,7,9
"PA14_37965,cynS",14,19,21
"PA14_37980,",1,3,0
"PA14_37990,",2,3,0
"PA14_38000,",12,39,17
"PA14_38010,",43,231,118
"PA14_38020,",10,6,6
"PA14_38040,",27,20,27
"PA14_38050,",8,0,3
"PA14_38060,",22,14,6
"PA14_38080,",452,394,204
"PA14_38090,",48,34,28
"PA14_38110,ygjU",521,574,296
"PA14_38130,ycjJ",155,914,1060
"PA14_38140,",372,1352,1717
"PA14_38160,azlC",99,81,56
"PA14_38170,",51,29,25
"PA14_38180,",0,1,0
"PA14_38190,",0,0,0
"PA14_38200,ilvG",50,58,32
"PA14_38210,",7,8,4
"PA14_38220,",29,9,10
"PA14_38250,yjiR",102,86,69
"PA14_38260,",4,6,1
"PA14_38270,",3,2,4
"PA14_38290,",11,10,5
"PA14_38300,grp",28,34,42
"PA14_38310,",2,4,7
"PA14_38320,yfeH",18,18,13
"PA14_38330,gor",380,352,346
"PA14_38340,",6,7,20
"PA14_38350,galU",2066,1502,787
"PA14_38360,ugd",300,128,95
"PA14_38370,",0,0,0
"PA14_38380,amrR",387,194,173
"PA14_38395,",774,970,684
"PA14_38410,amrB",2718,4189,2778
"PA14_38420,",15,16,12
"PA14_38430,gnyR",703,799,841
"PA14_38440,gnyD",1367,1750,2238
"PA14_38460,gnyB",1062,1109,1177
"PA14_38470,gnyH",333,521,454
"PA14_38480,gnyA",1003,1464,1209
"PA14_38490,gnyL",350,571,419
"PA14_38500,",58,46,60
"PA14_38510,hmgA",1683,2389,2974
"PA14_38530,fahA",995,978,1552
"PA14_38550,maiA",498,440,795
"PA14_38560,pcaK",199,155,262
"PA14_38570,",90,81,67
"PA14_38580,",129,198,151
"PA14_38590,bdhA",94,106,93
"PA14_38610,",299,1073,612
"PA14_38630,atoB",880,1519,1747
"PA14_38640,scoB",746,1119,2121
"PA14_38660,scoA",1392,2010,3378
"PA14_38680,",37,33,28
"PA14_38690,acsA",147,169,181
"PA14_38700,ppiC1",64,82,45
"PA14_38710,",24,22,26
"PA14_38720,",58,73,65
"PA14_38730,yhhS",11,3,8
"PA14_38740,",59,133,131
"PA14_38750,",72,164,127
"PA14_38770,",20,90,38
"PA14_38780,pqqE",54,190,103
"PA14_38790,pqqD",28,66,49
"PA14_38800,pqqC",38,92,114
"PA14_38820,pqqB",62,135,136
"PA14_38825,pqqA",94,109,168
"PA14_38840,exaC",860,1342,1635
"PA14_38850,exaB",0,1,4
"PA14_38860,exaA",13,8,10
"PA14_38880,",0,0,0
"PA14_38900,exaE",0,4,6
"PA14_38910,exaD",0,2,4
"PA14_38920,",4,6,6
"PA14_38930,glpR",19,55,61
"PA14_38950,",2,9,9
"PA14_38970,",11,30,32
"PA14_38990,",7,10,15
"PA14_39000,",3,5,9
"PA14_39010,pqqF",32,46,37
"PA14_39020,",3,15,7
"PA14_39050,braZ",23,27,7
"PA14_39060,",11,15,14
"PA14_39070,",190,442,278
"PA14_39080,",363,215,185
"PA14_39090,",55,68,102
"PA14_39100,",6,2,1
"PA14_39110,",31,14,7
"PA14_39130,ybiT",124,119,74
"PA14_39140,",27,21,22
"PA14_39150,acpD",13,5,8
"PA14_39160,",16,14,18
"PA14_39180,",10,7,5
"PA14_39190,bacA",172,43,36
"PA14_39200,",33,17,25
"PA14_39210,nadR",17,25,14
"PA14_39220,",1,2,2
"PA14_39230,",0,1,2
"PA14_39240,",3,9,7
"PA14_39250,",2,1,5
"PA14_39260,",0,0,2
"PA14_39270,",13,23,87
"PA14_39280,rbsK",59,121,172
"PA14_39300,rbsR",150,245,267
"PA14_39320,rbsC",99,237,307
"PA14_39330,rbsA",93,296,406
"PA14_39350,rbsB",211,528,716
"PA14_39360,",38,24,43
"PA14_39390,",261,154,302
"PA14_39410,",68,63,107
"PA14_39420,",81,101,162
"PA14_39440,",105,173,368
"PA14_39460,",44,95,211
"PA14_39470,",1,0,1
"PA14_39480,",0,0,3
"PA14_39500,",14,13,7
"PA14_39520,",0,0,0
"PA14_39530,",0,0,0
"PA14_39540,",0,0,0
"PA14_39560,",37,24,80
"PA14_39570,",8,13,5
"PA14_39580,rimJ",28,17,15
"PA14_39590,metE",16,13,8
"PA14_39610,",168,164,78
"PA14_39620,",0,1,0
"PA14_39630,",0,0,5
"PA14_39640,cobN",3,12,9
"PA14_39650,cirA",0,1,4
"PA14_39660,",3,0,2
"PA14_39670,",0,0,0
"PA14_39690,nrdD",77,61,74
"PA14_39700,",14,17,9
"PA14_39710,nrdG",11,16,4
"PA14_39720,",5,5,3
"PA14_39730,",2,5,2
"PA14_39750,",5,6,3
"PA14_39770,",89,84,79
"PA14_39780,hvn",4,6,4
"PA14_39790,",6,30,29
"PA14_39800,",52,12,15
"PA14_39810,",24,7,12
"PA14_39820,ufrA",33,36,23
"PA14_39830,",22,19,20
"PA14_39850,",9,8,7
"PA14_39860,",12,6,9
"PA14_39870,apaH",15,24,4
"PA14_39880,phzG2",5,6,2
"PA14_39890,phzF2",3,4,9
"PA14_39910,phzE2",9,7,7
"PA14_39925,phzD2",3,2,3
"PA14_39945,phzC2",6,7,4
"PA14_39960,phzB2",3,16,7
"PA14_39970,phzA2",0,3,5
"PA14_39980,qscR",11,10,23
"PA14_39990,",2,2,5
"PA14_40010,",3,4,7
"PA14_40020,",7,3,7
"PA14_40030,",4,6,7
"PA14_40040,",2,5,4
"PA14_40050,",2,5,3
"PA14_40060,",0,1,0
"PA14_40070,",39,32,26
"PA14_40080,",133,2,19
"PA14_40100,",0,0,0
"PA14_40110,",2,0,0
"PA14_40120,polB",65,63,56
"PA14_40130,",6,9,10
"PA14_40150,",7,7,2
"PA14_40160,nuoA",4,8,4
"PA14_40170,sugE",0,16,9
"PA14_40180,",65,52,95
"PA14_40200,",92,94,117
"PA14_40210,",5,5,3
"PA14_40220,",8,15,10
"PA14_40230,",6,20,8
"PA14_40240,",10,15,5
"PA14_40250,opmL",23,10,9
"PA14_40260,",19,31,42
"PA14_40270,",0,2,6
"PA14_40280,",46,53,41
"PA14_40290,lasA",9,21,13
"PA14_40300,",0,0,1
"PA14_40310,",6,9,16
"PA14_40320,xqhA",1,9,7
"PA14_40330,",1,0,1
"PA14_40340,",11,12,7
"PA14_40350,",49,36,27
"PA14_40370,",113,72,79
"PA14_40380,",2,2,0
"PA14_40390,modA",57,50,39
"PA14_40410,modB",44,53,30
"PA14_40420,modC",61,62,35
"PA14_40430,",36,31,37
"PA14_40440,",40,35,32
"PA14_40450,str",21,21,11
"PA14_40470,",0,2,1
"PA14_40490,yedI",83,61,44
"PA14_40510,ccoN-2",33,17,29
"PA14_40520,",1,1,3
"PA14_40540,",1,4,2
"PA14_40550,",59,64,41
"PA14_40560,",1012,1001,1465
"PA14_40570,",14,35,46
"PA14_40600,",40,29,24
"PA14_40610,",1,8,5
"PA14_40620,",12,21,22
"PA14_40630,yhgI",339,290,256
"PA14_40640,cti",277,320,142
"PA14_40650,",57,1,32
"PA14_40660,",10,2,15
"PA14_40670,metH",912,854,612
"PA14_40690,",92,59,58
"PA14_40700,",105,72,37
"PA14_40710,",144,117,66
"PA14_40730,",55,20,8
"PA14_40740,",27,17,23
"PA14_40750,",7,6,18
"PA14_40770,cysI",663,499,248
"PA14_40780,",59,32,24
"PA14_40790,",28,35,32
"PA14_40800,",11,4,6
"PA14_40820,",16,7,5
"PA14_40830,yhfP",467,412,338
"PA14_40840,sohB",372,528,338
"PA14_40850,gpmA",872,915,1121
"PA14_40860,",522,532,579
"PA14_40880,",218,262,199
"PA14_40890,",244,211,233
"PA14_40900,",5,8,1
"PA14_40910,",10,12,17
"PA14_40930,",41,34,18
"PA14_40940,",2,9,1
"PA14_40950,nudC",313,223,174
"PA14_40960,fimL",874,850,555
"PA14_40980,",670,601,395
"PA14_41000,nhaB",85,84,62
"PA14_41010,",216,453,358
"PA14_41020,adi",1188,3349,3468
"PA14_41030,",28,44,53
"PA14_41050,dnaQ",243,358,249
"PA14_41060,rnhA",176,295,211
"PA14_41070,",100,337,279
"PA14_41080,",115,105,105
"PA14_41090,mltD",1136,1532,989
"PA14_41110,",368,378,284
"PA14_41130,",735,804,554
"PA14_41140,",393,497,307
"PA14_41150,",233,253,195
"PA14_41160,",302,450,309
"PA14_41170,fabI",164,193,153
"PA14_41190,ppiD",3741,4470,2986
"PA14_41200,",420,316,217
"PA14_41210,hupB",7667,8629,6746
"PA14_41220,lon",3417,4351,3845
"PA14_41230,clpX",7344,10897,8306
"PA14_41240,clpP",2272,2434,1717
"PA14_41250,tig",10162,11442,6571
"PA14_41260,",135,102,99
"PA14_41270,",105,121,98
"PA14_41280,",12,28,19
"PA14_41290,",7,20,17
"PA14_41300,",43,7,9
"PA14_41320,",56,23,24
"PA14_41330,",102,43,18
"PA14_41340,",127,74,49
"PA14_41350,folD",150,107,102
"PA14_41360,cysS",1099,1113,680
"PA14_41380,glnS",2097,1905,1185
"PA14_41390,ppiB",2676,2522,1994
"PA14_41400,",91,95,39
"PA14_41420,",172,61,153
"PA14_41430,miaE",33,35,14
"PA14_41440,uspA",614,525,841
"PA14_41450,",99,66,48
"PA14_41470,acnB",5017,5156,3433
"PA14_41480,nasS",7,12,8
"PA14_41490,nasT",2,3,1
"PA14_41500,",127,13,11
"PA14_41510,nasA",1,5,3
"PA14_41520,ppkB",3,8,2
"PA14_41530,nirB",5,8,4
"PA14_41540,nirD",0,1,1
"PA14_41560,nasA",13,10,4
"PA14_41563,cobA",4,3,3
"PA14_41570,oprF",47061,35808,34836
"PA14_41575,sigX",7117,9795,4289
"PA14_41590,cmpX",2041,1874,1550
"PA14_41610,crfX",763,746,449
"PA14_41630,cmaX",228,200,119
"PA14_41640,menG",312,228,254
"PA14_41650,estX",26,31,19
"PA14_41670,ppsA",4530,4041,2674
"PA14_41680,ydiA",611,586,595
"PA14_41690,",662,727,415
"PA14_41710,",2090,1749,1285
"PA14_41730,",1511,1141,842
"PA14_41740,",42,58,78
"PA14_41750,",28,79,112
"PA14_41760,",113,199,286
"PA14_41780,",253,276,399
"PA14_41790,",238,277,377
"PA14_41800,",1593,2612,2617
"PA14_41810,",1529,2991,2803
