,Z2_1A-Expression,C1_1A-Expression,C3_1A-Expression,C5_1A-Expression
PA1383,415,357,111,110
PA4082,304,237,228,179
PA4083,31,16,23,25
PA1382,322,514,254,133
PA4085,61,44,33,38
PA4086,151,83,70,88
PA1381,24,36,24,16
PA4088,31,22,48,44
PA4089,48,25,29,50
PA1380,84,74,198,174
PA4091,309,109,113,104
PA4092,67,4,21,32
PA4093,65,31,30,29
PA4094,189,146,155,165
PA4095,22,4,24,2
PA4096,52,37,32,29
PA4097,70,36,30,20
PA4098,53,32,25,27
PA1372,3112,7270,48,34
PA1371,700,1299,70,57
PA4101,103,55,85,83
PA4102,181,90,85,89
PA1368,104,165,55,37
PA1366,488,439,24,16
PA4105,24,13,19,13
PA1363,82,94,46,26
PA1348,129,121,16,13
PA4108,613,431,404,194
PA4109,206,150,106,98
PA4110,362,156,159,157
PA4111,258,177,128,103
PA4112,3453,1274,1229,792
PA4113,140,107,191,160
PA1347,28,58,703,745
PA1343,80,260,1137,996
PA4116,516,346,266,139
PA1333,34,128,1764,1107
PA1332,177,168,165,120
PA4119,223,105,84,122
PA4120,150,54,54,65
PA1331,68,147,21,19
PA4122,73,44,44,65
PA4123,115,89,99,97
PA4124,100,52,61,72
PA4125,52,17,17,25
PA4126,150,89,58,98
PA4127,152,54,44,58
PA4128,534,228,28,109
PA4129,1231,499,50,159
PA4130,5841,2647,392,975
PA4131,3662,1094,153,348
PA4132,2874,1029,195,391
PA4133,4853,2004,284,607
PA4134,296,116,11,46
PA4135,300,147,89,63
PA4136,149,107,82,95
PA1326,164,207,54,64
PA4138,197,98,149,146
PA4139,3355,131,78,96
PA4140,2169,214,139,231
PA4141,1575,101,92,133
PA4142,440,84,99,89
PA4143,411,105,85,113
PA4144,216,58,51,67
PA1325,90,77,183,220
PA4146,91,33,33,57
PA4147,6083,1908,1404,950
PA4148,2124,443,201,138
PA4149,2270,458,161,178
PA4150,4660,612,241,368
PA4151,5816,641,227,370
PA4152,5650,620,245,416
PA4153,5908,784,322,478
PA4154,926,390,396,297
PA4155,85,50,46,36
PA1324,1151,940,120,107
PA4157,436,190,177,263
PA4158,86,51,76,113
PA1323,910,948,25,30
PA1322,68,106,40,38
PA1321,30,28,88,105
PA4162,190,107,98,107
PA4163,1715,808,575,905
PA4164,240,94,73,90
PA4165,244,133,123,134
PA4166,145,38,26,29
PA4167,92,50,57,51
PA1319,24,40,454,354
PA4169,85,33,39,42
PA4170,154,77,79,97
PA1318,149,309,695,234
PA1313,34,36,283,109
PA4173,14,11,13,18
PA4174,169,97,83,142
PA4175,1540,613,535,508
PA4176,996,476,254,258
PA1305,446,493,20,23
PA4178,95,51,58,44
PA4179,362,239,174,297
PA4180,2772,1717,995,1377
PA1302,141,164,70,88
PA4182,251,142,153,206
PA4183,211,118,77,83
PA4184,410,201,118,262
PA4185,235,125,81,114
PA4186,324,220,189,236
PA4187,104,77,80,82
PA4188,72,28,37,38
PA4189,159,48,65,65
PA4190,969,315,251,509
PA4191,181,97,93,119
PA1301,22,23,48,92
PA1300,25,24,53,91
PA1299,80,263,94,144
PA1298,32,46,130,979
PA4196,109,41,44,41
PA4197,410,222,193,211
PA1297,94,149,201,257
PA4199,1219,371,310,500
PA4200,405,150,109,182
PA4201,1004,462,309,629
PA4202,911,465,252,726
PA4203,230,160,108,234
PA4204,1432,818,1438,1272
PA4205,199,120,160,300
PA4206,475,205,191,300
PA4207,992,458,308,398
PA4208,606,280,181,204
PA1296,377,378,149,310
PA1287,358,290,12,14
PA4211,82,54,30,28
PA4212,22,14,0,14
PA4217,262,148,118,120
PA4218,75,44,52,52
PA4219,66,38,54,37
PA4220,12,4,11,9
PA1241,81,82,147,119
PA4222,171,80,69,73
PA4223,135,106,74,65
PA4224,102,60,52,46
PA4225,662,339,279,252
PA4226,479,301,232,263
PA1238,31,27,50,49
PA4228,186,126,87,85
PA4229,56,38,47,48
PA4230,22,9,11,10
PA4231,322,127,150,230
PA4232,3642,1642,1754,3868
PA4233,2202,942,560,671
PA4234,3596,1999,1514,2081
PA4235,8167,3753,4802,2721
PA4236,75645,20219,18922,11429
PA4237,4987,2847,1337,2547
PA4238,18868,10140,4654,7946
PA4239,11820,6616,3637,5220
PA4240,5806,2702,1309,1815
PA4241,6551,3077,1579,2363
PA4242,413,193,107,105
PA4243,27884,14113,8534,10210
PA4244,9801,4910,3333,4756
PA4245,2422,1174,850,1333
PA4246,10190,5148,3504,6083
PA4247,5796,3272,2366,3213
PA4248,13605,7684,5221,8038
PA4249,10263,5205,3043,4969
PA4250,1529,741,547,706
PA4251,12888,6239,4277,6960
PA4252,5246,2607,1707,2597
PA4253,8856,3998,2644,4149
PA4254,4122,1922,1178,1620
PA4255,2507,1176,748,1161
PA4256,10197,4788,2996,4758
PA4257,16936,8741,5834,7500
PA4258,6267,3160,2030,3065
PA4259,5739,2776,1791,2432
PA4260,18526,13093,10667,9512
PA4261,4645,2146,1634,2157
PA4262,16363,8209,5670,8482
PA4263,11692,5783,4383,7115
PA4264,8859,4824,3489,4743
PA4265,25392,10534,8108,13069
PA4266,64409,30000,25824,31141
PA4267,10315,5360,5120,7037
PA4268,8431,4061,4466,5982
PA4269,40889,18606,12098,14340
PA4270,36790,18476,12105,15512
PA4271,8453,4976,3836,4879
PA4272,12881,7448,5256,6743
PA4273,12824,5903,5520,7201
PA4274,8440,4023,4128,4777
PA4275,3512,2013,2188,2850
PA4276,2476,1742,1688,866
PA4277,5475,2915,2230,4665
PA4278,388,225,157,145
PA4279,392,232,125,153
PA4280,559,260,218,209
PA4281,570,304,250,289
PA4282,2309,1077,627,855
PA4283,1092,566,378,380
PA4284,2065,1084,829,760
PA4285,2207,1211,1008,1057
PA4286,383,290,337,443
PA1221,118,106,96,111
PA1208,137,158,98,90
PA1196,189,165,406,694
PA1194,88,89,941,1378
PA4291,297,203,237,118
PA1193,281,229,900,838
PA4293,334,170,326,166
PA4294,86,48,99,66
PA1192,423,473,32,21
PA4296,1338,677,886,305
PA4297,390,217,287,136
PA4298,25,4,11,13
PA4299,140,40,36,14
PA4300,190,83,98,42
PA4301,195,60,88,42
PA4302,238,80,97,65
PA4303,287,87,89,67
PA4304,401,132,139,118
PA4305,299,142,186,84
PA4306,213,21,40,16
PA1190,582,585,527,624
PA4308,1339,694,912,723
PA1189,108,89,1032,533
PA4310,1847,1446,1055,590
PA1187,82,88,2660,1135
PA4312,624,321,528,247
PA1181,675,700,698,526
PA4314,1236,783,677,969
PA1180,1389,4458,4900,3838
PA4316,1660,1301,1103,1079
PA4317,597,227,191,331
PA4318,430,233,138,125
PA4319,358,216,122,124
PA4320,672,396,305,325
PA4321,409,242,206,228
PA4322,686,347,253,501
PA4323,1549,861,642,1113
PA1179,1394,5768,900,681
PA4325,754,410,246,280
PA4326,258,186,155,80
PA1178,4713,41629,541,386
PA1152,42,57,1225,445
PA4329,6532,3685,1651,1997
PA4330,576,312,236,375
PA4331,337,117,92,95
PA4332,640,266,195,212
PA4333,3634,1474,1271,2426
PA4334,308,232,170,149
PA1151,1598,1663,182,107
PA1149,16,17,814,476
PA1144,74,63,86,145
PA1134,36,38,796,451
PA4339,545,202,141,124
PA4340,450,214,165,148
PA4341,879,203,116,85
PA4342,181,107,113,112
PA1133,49,49,71,54
PA1115,1047,954,680,541
PA1114,103,109,1026,824
PA4346,169,129,137,96
PA4347,597,446,275,165
PA1112,423,556,2443,974
PA4349,430,221,231,164
PA4350,924,308,373,151
PA4351,3462,1215,1085,294
PA4352,5764,2477,2255,648
PA4353,248,191,184,139
PA1111,120,141,19,31
PA1108,89,76,89,73
PA1107,254,358,430,297
PA1106,482,652,85,43
PA1102,2795,2461,1070,687
PA1100,333,292,96,33
PA1098,1866,1514,463,492
PA4361,307,200,127,193
PA4362,615,254,318,145
PA4363,219,75,82,73
PA4364,17,13,8,17
PA4365,46,26,23,20
PA4366,12699,7426,9013,8529
PA4367,1093,621,528,467
PA1097,3287,3167,260,204
PA4369,241,155,200,177
PA4370,929,668,650,1588
PA4371,174,107,120,162
PA1096,1162,2470,191,431
PA4373,376,216,144,219
PA4374,330,196,217,182
PA4375,612,264,230,234
PA1095,2003,1806,1007,906
PA4377,1786,552,599,185
PA1094,9061,8665,475,488
PA4379,796,602,527,314
PA4380,482,198,111,107
PA4381,397,231,136,125
PA4382,247,123,134,113
PA1092,39052,39674,126,92
PA4384,121,60,55,58
PA1087,1974,1677,30592,24073
PA4386,1961,1208,1281,1084
PA1085,1286,1140,298,191
PA4388,597,310,242,412
PA4389,1653,904,810,1343
PA1084,929,793,1542,838
PA1083,769,654,105,120
PA4392,178,77,69,112
PA4393,1100,670,482,423
PA4394,1271,896,1902,1805
PA1079,689,576,3494,3667
PA4396,237,118,109,85
PA4397,350,267,220,149
PA4398,965,467,362,329
PA4399,441,183,148,160
PA4400,672,528,351,806
PA4401,320,181,153,151
PA4402,920,516,334,460
PA1078,280,381,11023,11976
PA4404,686,278,215,329
PA4405,333,161,134,139
PA4406,11252,7508,5836,8251
PA4407,14299,7115,5348,5677
PA4408,5659,3101,2036,1972
PA4409,3058,1897,1154,719
PA4410,3331,1776,1145,840
PA4411,7026,3687,2655,2098
PA4412,3057,1546,1091,880
PA4413,2034,1140,740,455
PA4414,4961,2787,1868,1190
PA4415,2767,1557,937,578
PA4416,5772,3355,2142,941
PA4417,6783,3663,2804,1977
PA4418,7053,5334,5715,3769
PA4419,647,452,515,225
PA4420,3668,2402,3368,2806
PA4421,1690,1307,1790,1515
PA4422,542,267,227,343
PA4423,3407,1935,2017,2832
PA4424,421,248,135,97
PA4425,1114,836,669,637
PA4426,1274,723,588,804
PA4427,616,283,209,260
PA4428,687,237,149,223
PA4429,5535,1690,1039,1870
PA4430,9631,3027,1889,3215
PA4431,3985,1559,1309,2369
PA4432,5131,2792,4966,3213
PA4433,4811,2630,4874,4633
PA4434,1218,674,668,760
PA4435,503,277,268,305
PA4436,307,126,80,81
PA4437,126,75,108,75
PA1077,226,1416,260,295
PA4439,1719,907,572,1118
PA4440,577,334,194,264
PA1060,149,126,744,692
PA1059,82,103,2676,7793
PA1057,214,177,2945,7227
PA4444,1318,784,530,578
PA4445,589,277,154,249
PA4446,822,544,618,1109
PA4447,1773,561,496,559
PA4448,2371,940,735,1244
PA4449,2176,1096,638,1015
PA4450,7658,3901,2341,3974
PA1054,795,780,2068,1787
PA1053,2065,2299,231,394
PA1047,553,488,1256,2397
PA1035,164,141,384,699
PA1033,470,472,572,842
PA1030,597,640,1248,2026
PA4457,3865,3099,2250,2111
PA4458,1431,759,437,571
PA4459,914,650,400,238
PA4460,2637,1778,1380,1670
PA4461,2455,1479,837,1008
PA1029,213,243,1459,1503
PA4463,6526,2115,3087,2865
PA4464,3254,1943,1301,709
PA4465,3404,2165,1267,910
PA4466,584,380,221,202
PA1026,65,88,96,65
PA4468,136,80,83,74
PA1008,916,926,29,33
PA1007,312,274,132,133
PA4471,26,15,27,21
PA4472,1513,816,941,924
PA4473,1112,639,480,459
PA4474,3080,1720,1315,1300
PA4475,1391,883,648,468
PA4476,3039,1482,1266,1347
PA4477,2112,1382,1079,1161
PA4478,397,250,192,156
PA4479,323,184,151,122
PA4480,719,489,492,453
PA4481,2253,1353,1704,1784
PA1005,1841,2642,333,418
PA4483,2823,1343,1522,1967
PA4484,3231,2351,2327,2151
PA4485,152,65,66,47
PA4486,187,141,125,138
PA4487,371,172,89,140
PA4488,666,200,182,236
PA4489,2567,760,500,961
PA4490,321,97,56,115
PA4491,1226,344,251,611
PA4492,767,429,356,236
PA4493,1020,790,519,341
PA4494,1326,935,658,238
PA4495,3334,1190,2244,1400
PA4496,3862,1188,780,847
PA4497,1366,410,198,273
PA4498,284,135,75,105
PA4499,173,115,141,128
PA1004,895,734,156,151
PA1000,41,39,142,95
PA0996,53,45,816,536
PA0994,214,270,653,462
PA4504,275,180,129,100
PA4505,350,243,184,131
PA4506,326,174,231,160
PA4507,353,110,171,191
PA4508,57,42,59,57
PA4509,336,123,110,109
PA4510,402,195,138,128
PA4511,465,331,272,282
PA0993,16,17,1081,986
PA0992,143,132,1108,748
PA0990,134,193,323,294
PA4515,206,99,195,163
PA4516,196,111,149,148
PA4517,280,219,250,203
PA4518,79,23,32,50
PA4519,1326,800,696,869
PA4520,2304,1159,800,748
PA4521,501,372,259,346
PA4522,315,190,120,177
PA4523,4452,3403,3649,2548
PA4524,542,223,199,400
PA0989,37,52,2626,4904
PA0988,227,255,1597,1339
PA0987,61,64,2629,1879
PA4528,783,447,316,240
PA4529,737,323,245,320
PA4530,182,81,49,36
PA4531,144,50,39,40
PA4532,785,332,265,208
PA4533,471,249,243,242
PA4534,526,256,170,267
PA0986,20,27,1026,547
PA4536,278,220,104,99
PA0984,67,67,87,58
PA4538,1080,489,527,689
PA0983,75,83,492,399
PA0982,202,218,79,94
PA0981,120,109,1127,1109
PA0980,14,30,8463,4846
PA4543,629,384,197,283
PA4544,1565,1012,644,972
PA0978,35,42,2645,2900
PA4546,627,473,277,219
PA4547,747,430,284,271
PA4548,858,436,307,375
PA0976,1109,904,73,46
PA4550,228,154,124,96
PA4551,266,147,144,79
PA4552,443,193,194,178
PA4553,362,247,178,228
PA4554,2462,1844,1591,1317
PA4555,221,71,91,92
PA4556,255,105,86,75
PA4557,1005,737,506,585
PA4558,633,475,225,222
PA4559,804,458,327,336
PA4560,6621,4230,3559,3940
PA4561,1475,887,1140,995
PA4562,330,194,171,145
PA0972,2916,2743,2177,2106
PA4564,580,389,451,413
PA4565,2232,1180,1429,1650
PA4566,2848,1778,2792,3792
PA4567,4538,2720,3427,3965
PA4568,4482,3022,4036,3367
PA4569,1306,549,364,514
PA4570,31,12,26,20
PA4571,2086,693,449,262
PA4572,1390,734,955,976
PA4573,472,242,341,145
PA4574,184,144,210,134
PA0971,2010,13155,382,197
PA4576,4105,2834,2560,2628
PA0963,4885,4065,1096,293
PA4578,14378,2181,1405,2651
PA4579,2020,623,299,451
PA4580,210,126,121,125
PA4581,394,172,221,295
PA4582,215,146,145,108
PA4583,213,130,113,128
PA4584,144,103,92,99
PA4585,631,358,150,401
PA4586,380,213,67,163
PA4587,11230,2826,1135,1597
PA4588,6362,1895,748,2894
PA4589,264,129,125,97
PA4590,343,64,39,61
PA4591,240,92,63,72
PA4592,321,118,44,75
PA4593,202,75,57,57
PA4594,176,128,67,35
PA4595,5166,3225,3564,4919
PA4596,78,36,75,72
PA4597,162,115,102,120
PA0956,4554,4544,221,219
PA0952,89,118,58,63
PA4600,161,75,79,121
PA4601,3991,2451,1098,1440
PA0937,830,938,6598,6023
PA4603,171,107,53,88
PA4604,910,469,287,383
PA4605,398,135,116,189
PA4606,6905,2806,1755,2914
PA4607,10374,1721,2081,1389
PA4608,649,446,374,207
PA4609,1403,749,705,951
PA4610,1432,874,1747,510
PA0932,1689,2626,1363,698
PA0931,374,391,64,58
PA4613,226,128,126,167
PA4614,967,504,935,547
PA4615,448,328,379,244
PA0930,297,242,100,106
PA4617,545,325,279,357
PA0921,758,814,446,512
PA0920,1917,1746,232,277
PA0919,1219,1009,87,161
PA0913,2068,1904,611,1181
PA4622,248,122,63,60
PA4623,41,17,33,12
PA4624,379,179,175,154
PA4625,793,543,367,378
PA4626,442,273,231,281
PA4627,608,367,223,416
PA4628,614,461,321,371
PA0900,246,653,43,42
PA4630,225,116,128,117
PA4631,620,345,309,283
PA4632,840,267,145,291
PA4633,4389,3139,2044,1383
PA4634,608,338,239,265
PA0896,318,271,549,613
PA0887,2462,7824,643,648
PA4637,555,269,232,367
PA4638,8047,1562,1690,841
PA4639,1007,775,1425,1418
PA4640,1987,1369,1047,1648
PA0885,25,31,116,126
PA0884,77,75,457,532
PA4644,239,64,37,50
PA4645,400,249,218,167
PA4646,518,272,224,295
PA4647,1146,466,339,392
PA4648,54,40,81,25
PA4649,56,33,64,48
PA4650,55,41,46,47
PA4651,145,39,39,48
PA0880,6,19,115,99
PA0879,71,68,127,85
PA4654,177,115,71,89
PA0875,275,262,929,2091
PA0874,16,19,859,1832
PA0873,353,490,1326,1405
PA0868,198,178,681,1130
PA0856,3067,2976,379,875
PA0855,227,215,995,1771
PA4661,1991,995,2149,2031
PA4662,444,231,177,149
PA4663,620,373,195,115
PA4664,764,398,130,202
PA4665,1140,594,351,514
PA4666,1024,667,447,502
PA4667,3694,2959,1979,2183
PA4668,768,438,142,243
PA4669,1377,705,441,301
PA4670,3846,2391,1304,1763
PA4671,5312,2226,1576,2687
PA4672,434,193,83,89
PA4673,1007,546,434,445
PA0843,239,197,171,134
PA0826,485,428,256,351
PA4676,722,545,444,443
PA4677,879,537,417,462
PA0805,1638,3342,91,72
PA4679,838,379,199,298
PA4680,94,46,49,29
PA4681,458,164,107,99
PA0802,12,33,330,325
PA0801,149,151,274,199
PA4684,1270,620,323,404
PA4685,748,237,106,260
PA4686,3467,1495,813,1677
PA4687,811,528,1014,2031
PA4688,293,204,215,436
PA4689,1552,901,558,866
PA0800,26,29,607,364
PA4692,864,667,1272,649
PA4693,1505,856,527,638
PA4694,10804,7815,5231,15611
PA4695,2614,1829,915,2909
PA4696,9500,6477,3410,10049
PA0797,247,386,590,702
PA4698,449,259,212,326
PA4699,1350,623,515,996
PA4700,2462,1506,1003,1270
PA4701,2546,1513,1403,1886
PA4702,221,176,236,113
PA4703,50,36,29,27
PA4704,259,154,220,203
PA4705,225,144,93,168
PA4706,197,83,63,76
PA4707,270,120,94,62
PA4708,185,114,162,202
PA0796,769,822,122,105
PA0795,1701,1371,564,479
PA0792,474,430,130,135
PA0789,780,683,432,260
PA0788,582,714,494,335
PA0787,276,229,658,382
PA0786,11,10,513,2029
PA4716,602,358,349,427
PA4717,1629,1013,1326,1226
PA4718,410,236,225,235
PA4719,603,388,374,514
PA4720,834,360,241,270
PA4721,427,192,113,147
PA4722,1199,750,789,606
PA4723,928,698,721,854
PA4724,331,181,114,115
PA4724.1,41,25,32,31
PA4725,1301,701,447,423
PA4726,2287,1655,1589,2395
PA0782,1218,982,1781,1607
PA0781,129,110,150,165
PA0780,180,179,489,719
PA4730,617,425,215,411
PA0779,2462,2599,708,583
PA4732,3280,2051,1404,2498
PA4733,3128,1238,784,1207
PA4734,735,529,301,337
PA4735,6414,4573,4159,3198
PA4736,739,351,214,184
PA4737,653,261,171,169
PA0777,96,246,20654,8987
PA0776,48,49,49485,21791
PA4740,12465,6444,2981,9245
PA4741,5349,2975,2811,3108
PA4742,3139,1639,1073,1066
PA4743,447,235,208,218
PA4744,17382,11372,13136,12341
PA4745,8911,5039,8466,9036
PA4746,1526,975,1558,922
PA4747,4155,2258,4486,2017
PA4748,6686,4505,6790,5403
PA4749,2657,1531,987,1302
PA4750,1854,1043,603,464
PA4751,18857,11209,10200,13946
PA4752,1240,706,534,424
PA4753,727,477,800,471
PA4754,737,414,382,493
PA4755,1808,763,659,1390
PA4756,8628,4858,3646,4713
PA4757,792,446,459,386
PA4758,2892,1755,1769,1895
PA4759,1597,972,1129,987
PA4760,3256,1949,2363,2204
PA0765,705,623,19937,15064
PA0764,4131,3498,1008,792
PA4763,25778,13044,15836,23588
PA0763,6153,6753,2665,2518
PA0762,6597,6280,4215,3773
PA4766,221,154,162,219
PA4767,694,456,479,573
PA4768,710,396,257,319
PA4769,736,521,384,454
PA0761,1555,1266,494,451
PA4771,230,152,168,168
PA4772,566,282,279,287
PA0760,293,275,753,1790
PA0747,1006,1106,1370,2664
PA0742,21,21,867,1111
PA0741,83,74,288,487
PA0740,132,125,458,418
PA0738,16,36,2553,1348
PA0737,214,343,182,194
PA0734,93,344,458,469
PA4781,879,432,544,516
PA0733,196,191,238,327
PA4783,117,71,111,135
PA4784,119,62,65,47
PA4785,431,343,570,473
PA4786,1229,669,1349,814
PA4787,1940,634,322,425
PA4788,265,138,180,113
PA0732,418,339,268,264
PA4790,298,126,97,95
PA4791,289,194,257,198
PA4792,258,168,181,161
PA0731,337,640,555,533
PA4794,323,193,120,71
PA4795,370,155,122,63
PA4796,377,182,112,78
PA0729,218,2323,293,251
PA4799,93,72,49,50
PA4800,109,78,61,65
PA4801,97,48,25,29
PA0728,67,39712,98,48
PA0727,131,50755,1992,552
PA0726,184,93476,272,206
PA0725,21,10970,73,76
PA4806,173,83,84,70
PA4807,1690,857,635,649
PA4808,1364,746,685,737
PA4809,698,376,304,393
PA4810,1398,896,671,722
PA4811,2756,2008,1351,2123
PA4812,17651,9806,5666,7733
PA4813,370,75,67,97
PA0724,143,71083,58,61
PA0723,711,1007502,86,89
PA0722,233,360071,175,190
PA0720,154,210751,56,41
PA0719,64,80550,138,102
PA4819,37,29,57,32
PA0718,42,54455,124,84
PA0717,21,31564,270,136
PA4822,415,167,1188,217
PA4823,18,6,109,3
PA4824,159,62,1026,80
PA4825,1411,687,10532,1474
PA0716,843,840,1092,638
PA0715,793,893,205,130
PA4828,112,69,73,52
PA4829,374,243,252,170
PA4830,66,36,61,54
PA4831,153,76,132,169
PA4832,92,58,67,117
PA4833,391,286,357,365
PA0714,31,33,161,134
PA4835,112,89,90,56
PA0712,39,40,57,30
PA4837,144,116,250,100
PA4838,159,128,90,98
PA4839,2495,1078,1161,1125
PA4840,130,60,96,75
PA4841,722,486,486,365
PA4842,3182,1847,2802,2879
PA0710,13,13,5858,5287
PA4844,240,159,145,181
PA4845,1223,739,429,469
PA4846,736,499,388,407
PA4847,1667,800,765,1087
PA4848,5382,2881,1872,3234
PA4849,161,92,83,75
PA0709,10,24,338,514
PA4851,1581,905,384,531
PA4852,2566,1529,1890,2527
PA0702,48,54,798,772
PA4854,2731,1413,1177,1262
PA4855,1704,635,375,549
PA4856,2383,746,641,692
PA0701,43,39,53,42
PA0700,9,10,75,89
PA0696,69,62,44,28
PA4860,66,42,43,47
PA4861,51,25,39,20
PA4862,41,24,22,20
PA4863,304,76,57,101
PA4864,459,123,60,67
PA4865,185,56,18,36
PA4866,430,100,55,74
PA4867,224,45,43,27
PA4868,1665,532,284,454
PA4869,379,272,195,235
PA0695,20,17,142,99
PA4871,219,120,115,180
PA4872,457,356,229,380
PA4873,456,286,565,454
PA4874,842,380,822,672
PA0694,4,6,58,74
PA4876,1144,704,2847,1358
PA0692,39,59,2092,1193
PA0690,962,1073,5526,16957
PA0689,236,344,2287,3031
PA0688,116,115,11444,6703
PA0687,40,45,23,25
PA4882,84,57,78,63
PA0686,49,41,52,16
PA4884,45,36,115,15
PA0681,14,20,166,92
PA0678,14,15,396,218
PA0677,27,25,266,271
PA4888,125,100,85,69
PA4889,222,144,57,99
PA4890,253,195,87,101
PA4891,146,40,38,51
PA4892,177,37,30,55
PA4893,383,63,47,89
PA4894,337,47,53,64
PA4895,150,37,43,51
PA0675,17,24,29,21
PA0667,9207,11454,202,189
PA4898,71,55,54,52
PA4899,255,114,185,172
PA4900,135,100,78,93
PA4901,129,89,56,94
PA4902,128,59,74,57
PA0599,946,1044,57,50
PA0595,20526,26939,52,86
PA4905,92,71,61,69
PA4906,502,339,261,323
PA4907,642,254,230,454
PA4908,428,63,52,43
PA4909,695,75,71,85
PA4910,773,73,65,69
PA4911,681,84,50,55
PA4912,510,103,66,71
PA4913,2651,444,308,470
PA4914,495,169,129,217
PA0588,32680,27703,1074,561
PA0586,10955,10637,345,377
PA0585,137,199,251,314
PA0578,883,868,950,1251
PA0577,2363,1907,1711,1873
PA4920,2194,1333,1287,1863
PA4921,599,343,461,418
PA4922,36230,19781,24717,17104
PA4923,501,177,217,194
PA4924,612,312,239,280
PA4925,196,140,180,73
PA4926,554,342,210,186
PA4927,1252,694,383,398
PA0576,15131,14410,671,697
PA4929,1626,1045,1642,846
PA4930,929,396,423,416
PA4931,2208,1602,1019,1298
PA4932,5942,4256,4037,5519
PA4933,12631,8743,7781,10928
PA0575,1454,1366,2834,3326
PA4935,5634,4436,3777,5485
PA4936,2451,1825,1094,1875
PA4937,14737,10885,7909,10570
PA4938,6125,4129,3155,5349
PA0574,321,325,2494,4037
PA4940,302,203,269,397
PA0573,22,31,3654,3866
PA0567,211,390,4343,5319
PA0564,247,203,6374,6573
PA4944,3323,2055,2506,2597
PA4945,4280,2836,3429,4030
PA4946,5995,2948,1641,2014
PA4947,2989,2116,1572,1530
PA4948,433,239,196,195
PA4949,1516,845,1174,1495
PA4950,665,442,514,639
PA4951,940,512,516,668
PA4952,1348,992,656,781
PA0560,188,182,1036,929
PA4954,1609,1263,847,809
PA0548,8567,7194,619,508
PA4956,827,491,530,749
PA4957,1264,616,405,639
PA4958,2002,1385,1138,869
PA4959,2481,1434,921,931
PA4960,2170,1702,2177,2779
PA4961,1825,1168,849,1204
PA4962,199,110,69,102
PA4963,1881,1400,1225,1655
PA4964,3185,1827,984,1538
PA4965,540,250,86,168
PA4966,1271,608,256,570
PA4967,3801,2072,894,1995
PA0546,8046,6505,671,489
PA4969,427,224,160,166
PA4970,742,452,284,427
PA4971,1749,1127,931,1736
PA4972,2699,1162,1584,1214
PA4973,13050,1756,641,1525
PA4974,4011,1783,1188,1655
PA4975,354,117,83,133
PA4976,318,152,141,173
PA4977,153,114,118,101
PA4978,142,95,87,70
PA0545,1411,1270,39,39
PA4980,30,17,11,32
PA4981,149,118,124,114
PA4982,279,150,131,147
PA4983,147,67,42,82
PA4984,293,178,107,200
PA4985,121,74,44,65
PA4986,387,274,200,186
PA0544,382,321,131,127
PA4988,708,329,223,248
PA4989,188,104,79,166
PA0543,427,421,56,63
PA4991,1617,943,837,1190
PA4992,845,486,358,494
PA4993,932,608,475,426
PA4994,286,143,203,138
PA4995,182,99,132,210
PA4996,3407,1843,2163,3210
PA4997,3796,2235,847,899
PA0542,973,1424,334,352
PA0538,260,226,488,500
PA0532,330,316,875,831
PA5001,844,669,316,420
PA5002,1383,861,425,478
PA5003,1448,784,391,421
PA5004,3296,1634,903,1152
PA5005,5561,4268,4638,4940
PA5006,1714,946,658,616
PA5007,785,415,238,219
PA5008,844,487,263,206
PA5009,675,363,204,178
PA5010,1524,835,492,470
PA5011,1225,657,543,389
PA5012,1534,817,882,1105
PA5013,4566,2600,2856,4529
PA5014,4855,2496,2105,3054
PA5015,55866,14346,10230,30089
PA5016,23044,5754,3713,9589
PA5017,4475,3306,2595,1730
PA5018,1536,973,908,1542
PA5019,1184,598,575,788
PA5020,641,216,261,517
PA5021,540,335,334,580
PA5022,1492,1160,977,916
PA5023,1082,774,540,740
PA0531,3559,4689,107,121
PA5025,1516,1016,785,784
PA5026,168,94,71,72
PA0530,8516,11154,1592,498
PA5028,1928,1299,1162,887
PA5029,145,92,85,145
PA0529,3566,5675,169,159
PA0527,3027,2942,199,126
PA0505,789,1031,59,76
PA5033,145,83,85,92
PA5034,1439,817,703,1045
PA5035,6878,3210,1253,3429
PA5036,27304,13535,5070,13363
PA5037,6443,3987,4092,5062
PA0500,1120,1230,1223,1484
PA0499,113,150,496,712
PA5040,5834,2666,1615,2245
PA5041,843,358,193,306
PA5042,1314,523,261,358
PA5043,1416,578,307,419
PA5044,2797,1310,1093,1333
PA0498,203,300,2466,2075
PA5046,8985,3893,3210,4261
PA5047,1088,799,634,656
PA5048,592,405,343,426
PA0497,108,225,234,110
PA5050,969,580,350,397
PA5051,4903,2686,4558,2911
PA5052,1329,598,704,430
PA0490,221,246,528,256
PA0489,126,141,5074,3112
PA0487,390,376,312,249
PA5056,2729,1338,1199,1179
PA5057,1371,509,390,288
PA5058,1543,862,913,616
PA5059,515,283,426,451
PA5060,28016,17232,23170,26892
PA5061,2553,1659,2602,2095
PA0481,112,106,265,283
PA5063,2436,1593,1352,2340
PA5064,896,526,445,675
PA5065,1855,1066,606,796
PA0480,56,58,657,929
PA5067,653,454,598,1020
PA0470,436,416,761,1325
PA0466,12,15,889,1044
PA5070,1329,993,485,432
PA5071,646,351,200,221
PA0465,156,186,777,805
