,X3225B2.raw,X3225B3.raw,X3225B4.raw,WTB3.raw,WTB4.raw,WTB6.raw,X3225P4.raw,X3225P5.raw,X3225P6.raw,WTP4.raw,WTP5.raw,WTP6.raw
PA14_07770,2806,3431,1815,3683,2156,4220,235,397,527,354,297,382
PA14_10730,749,814,552,911,552,1203,954,1210,1245,1140,853,1001
PA14_11980,205,164,127,214,131,294,59,63,105,71,48,69
PA14_13170,267,178,98,206,116,83,27,26,38,30,15,23
PA14_13370,32,20,12,12,11,22,15,29,42,39,44,37
PA14_14770,2070,1723,1398,1996,1309,1276,53,59,88,62,46,56
PA14_15570,997,1053,807,1200,800,1722,431,617,960,722,492,596
PA14_16500,345,374,291,346,270,232,34,37,44,52,37,63
PA14_16530,185,243,169,190,145,176,112,189,212,180,124,140
PA14_18050,607,485,360,565,351,352,112,159,214,163,110,147
PA14_19090,470,530,342,596,375,722,37,35,58,32,33,37
PA14_22100,100,105,67,139,93,126,16,23,28,31,30,33
