,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA2461,249,209,262,258,205,188
PA1232,182,209,206,228,195,249
PA2590,410,419,408,365,368,365
PA0914,110,114,149,133,89,84
PA5549,543,462,486,550,365,493
PA2745,371,359,458,612,478,638
PA1405,415,382,455,475,415,400
PA3093,731,747,922,1076,811,840
PA4841,405,412,300,384,359,395
PA4039,238,200,196,192,260,221
PA0065,168,131,135,138,189,168
PA2814,563,461,321,1046,1241,1196
PA5214,867,805,777,871,906,765
PA3396,36,21,47,43,34,32
PA0354,525,532,463,496,412,401
PA1252,350,362,312,293,312,379
PA5019,1320,1400,1396,838,820,807
PA0444,389,371,307,390,366,436
PA0242,123,137,113,100,112,125
PA1496,123,135,131,155,145,130
PA1693,298,301,259,312,377,287
PA0231,102,99,89,108,122,120
PA5402,191,212,184,256,183,210
PA1265,56,61,61,43,49,61
PA4396,573,482,603,689,517,519
PA5457,365,386,355,372,343,363
PA0619,323,292,362,225,338,300
PA0238,122,112,118,156,123,147
PA0886,136,150,158,180,168,155
PA2248,2466,3197,3754,1638,2638,2618
PA4018,387,335,382,341,367,388
PA4835,112,94,71,61,72,91
PA4412,3941,3939,4419,3638,3824,4131
PA1928,57,53,43,73,86,88
PA4844,301,310,257,280,284,304
PA0765,897,937,1138,1048,854,787
PA4109,341,279,316,325,252,276
PA4651,130,134,143,114,95,131
PA3711,839,1045,905,964,899,1101
PA3966,461,416,461,389,334,275
PA4657,3958,3719,3393,1987,2092,2184
PA3433,165,154,152,145,140,152
PA4929,1541,1522,1297,1311,1557,1735
PA3130,244,204,203,320,325,375
PA3004,761,728,762,929,988,998
PA1947,1667,2186,2186,1796,2355,2892
PA2320,368,346,319,266,288,369
PA3318,46,35,36,30,33,31
PA3192,280,328,271,305,387,421
PA5027,5506,4845,3539,3575,3300,3339
PA3965,219,181,191,202,185,186
PA0372,354,342,334,471,404,370
PA4250,1486,1437,1321,1499,1551,1362
PA2291,156,171,181,154,151,130
PA1069,745,709,743,767,807,800
PA5524,460,479,568,594,499,569
PA1137,3943,4264,5315,5460,4384,5396
PA3136,167,117,181,175,137,132
PA5439,1732,1556,1526,1454,1404,1430
PA1872,2444,2534,1979,1763,1670,1743
PA4255,495,499,479,571,696,645
PA5426,209,201,254,217,178,172
PA0464,346,374,407,565,506,506
PA3707,632,488,537,484,556,445
PA3826,273,241,273,271,203,173
PA4330,818,780,590,1046,1159,1069
PA3543,104,146,115,103,114,108
PA4030,473,454,499,507,391,428
PA1891,51,45,35,32,28,27
PA3083,2799,2539,2473,3201,3275,3164
PA0543,956,1044,839,831,705,836
PA1570,384,429,429,492,409,404
PA3657,3633,3653,3808,3468,3334,2730
PA4319,206,262,237,327,347,320
PA3391,679,365,277,372,378,367
PA3057,13,8,12,19,19,15
PA3975,1192,1229,1386,1498,1187,1157
PA1149,24,38,34,26,41,34
PA1913,89,90,80,62,113,85
PA5513,175,182,209,200,164,191
PA3052,477,450,418,448,414,411
PA4995,222,189,195,141,164,194
PA4020,1238,1266,1391,1317,1427,1346
PA4509,221,248,238,213,221,309
PA5485,864,847,968,985,766,856
PA0294,386,340,352,461,364,325
PA2615,5298,4782,5589,5837,5015,4769
PA0112,104,84,75,88,93,95
PA2175,291,255,226,188,173,185
PA2152,630,728,566,546,599,611
PA0310,1739,1427,1119,2610,2295,2172
PA0367,482,437,435,2254,2192,2346
PA1990,1277,1297,1255,1542,1168,1608
PA5209,523,523,538,465,512,514
PA5287,562,603,581,540,529,541
PA4235,939,791,673,829,749,781
PA4135,724,744,490,521,654,602
PA0507,154,154,152,170,173,185
PA3877,130,130,139,87,107,117
PA3994,190,143,166,163,176,188
PA1757,297,347,350,292,237,219
PA5260,5460,5457,5395,4525,3854,3602
PA0702,120,137,113,117,112,105
PA2805,2551,2611,2651,3038,2902,2466
PA2678,126,108,129,116,112,98
PA2112,2349,621,2418,3512,1157,1280
PA4289,358,412,368,585,533,709
PA1473,244,160,130,149,137,152
PA4328,1446,1178,786,1142,1219,1230
PA1772,1520,1402,1061,1637,1507,1749
PA0046,49,33,53,37,30,24
PA4246,2442,2482,2748,2978,3148,2672
PA3196,329,326,304,341,336,297
PA2519,83,89,103,139,177,195
PA4805,84,75,72,71,108,127
PA1390,119,116,150,109,130,145
PA2750a,136,142,191,132,160,135
PA1898,516,490,464,424,396,372
PA3085,592,557,609,604,653,548
PA0438,197,216,263,219,186,177
PA5430,634,622,682,923,804,905
PA0861,2499,2609,2598,2406,2181,2161
PA3770,4469,3932,4353,4601,4488,4449
PA5112,2861,2525,2278,2307,2577,2716
PA0802,22,25,19,15,27,25
PA1000,1470,1416,1372,142,59,93
PA0008,1200,989,982,1475,1563,1561
PA2355,56,56,37,64,55,90
PA5476,230,221,229,238,370,303
PA3016,250,231,179,248,166,189
PA2824,1939,1681,1880,1549,1559,1386
PA0228,231,265,288,258,280,296
PA2484,1802,1818,1780,1662,1580,1730
PA2557,643,831,858,1351,1792,1886
PA1245,2778,2773,2290,2949,3681,3564
PA4553,612,494,437,667,606,526
PA0027,2266,2356,1355,1485,1461,1567
PA1704,144,102,116,141,100,95
PA1483,2877,2988,2856,2860,2602,2502
PA4129,4256,4641,3444,2876,3749,4377
PA5230,1296,1526,1656,1462,1062,970
PA2810,278,266,240,366,373,353
PA4744,8554,8192,9327,8174,8253,8399
PA4816,326,289,332,404,337,435
PA3963a,218,200,166,241,267,279
PA0678,26,12,14,13,20,6
PA0125,277,228,306,306,232,247
PA0387,2319,2263,1981,1637,1350,1550
PA4642,346,325,447,447,294,317
PA5240,7538,8612,10113,9583,8784,7313
PA1034,302,325,500,411,331,309
PA1445,792,852,793,910,762,949
PA4601,2748,2918,3263,2731,2787,2716
PA0537,1201,1035,917,1042,1024,964
PA5010,1340,1236,1258,1047,1107,1099
PA1351,218,192,213,146,166,256
PA0805,2367,2746,2792,2469,2378,2163
PA2775,83,68,75,82,49,69
PA3809,630,572,800,677,695,581
PA1886,1373,1359,1445,1325,1235,1471
PA2469,732,708,567,689,534,620
PA2352,189,190,185,210,162,207
PA4408,5101,5169,6093,5152,6389,6110
PA2104,517,452,468,395,417,319
PA2028,62,57,53,61,90,47
PA0129,500,401,456,472,481,462
PA3253,120,94,116,133,128,141
PA0530,833,742,871,396,280,309
PA2388,889,787,685,946,893,1004
PA2966,11129,11492,14717,11140,10126,8595
PA5293,118,98,93,98,142,99
PA5166,748,724,700,827,763,856
PA3386,228,291,226,159,196,185
PA0890,536,546,527,463,455,398
PA5349,1593,1628,1481,1441,1331,1487
PA0751,297,329,451,346,279,321
PA0987,144,137,108,134,142,110
PA0529,559,448,527,371,396,432
PA1429,8401,7936,5625,4546,3365,3869
PA3880,213,128,109,176,166,157
PA0156,1315,1314,1153,1097,1151,1224
PA1516,43,43,57,42,44,29
PA5114,1434,1290,1423,1275,1015,1157
PA3076,1148,1022,1131,977,774,988
PA0250,658,743,606,588,714,762
PA0783,811,687,658,676,734,778
PA4692,387,329,319,345,360,364
PA0176,1968,2070,1700,1271,1673,1930
PA4775,357,349,293,270,324,355
PA2304,973,1112,733,730,979,1037
PA0682,49,67,46,54,54,68
PA4536,393,398,366,346,332,385
PA4424,465,473,374,627,628,638
PA0810,337,271,336,305,327,282
PA0961,415,381,476,444,266,200
PA2236,514,450,435,473,401,493
PA2016,834,1391,1698,2060,2320,1971
PA3429,341,245,288,157,170,187
PA1939,2943,3074,2705,2466,2925,2585
PA4567,10339,10259,15609,10226,8375,7310
PA2369,197,192,188,121,221,151
PA0744,630,803,463,532,833,811
PA1177,1008,906,502,452,804,805
PA5530,258,150,163,89,85,102
PA4967,1423,1425,1303,1675,1949,1885
PA4882,165,139,122,117,99,110
PA3623,4339,5709,4227,4217,5143,4569
PA0517,57,49,34,40,40,49
PA0347,130,126,163,160,107,154
PA0661,244,250,297,325,323,294
PA3284,98,100,127,105,140,118
PA4120,116,117,94,126,150,145
PA3220,619,714,839,864,631,777
PA1380,404,465,385,522,489,482
PA2705,821,837,777,771,976,885
PA1130,2047,1949,1326,1538,2002,2228
PA0904,1801,1617,1689,1935,1912,1771
PA3184,442,443,428,496,539,407
PA1221,302,267,228,124,182,225
PA0315,855,922,711,853,908,859
PA3450,153,196,163,185,192,139
PA4001,1968,1847,2151,1918,1790,1719
PA3222,186,162,167,295,348,408
PA0479,311,261,229,267,256,265
PA0554,680,763,749,561,566,530
PA4558,1087,1156,1185,1035,1133,1225
PA2123,478,487,382,345,306,381
PA0771,933,900,1139,687,809,731
PA3538,745,717,692,890,879,767
PA0199,191,193,119,92,97,94
PA5510,340,347,266,405,318,308
PA3507,24,37,26,39,44,30
PA0168,303,350,314,360,472,549
PA5249,1113,1062,872,969,941,873
PA2091,28,19,23,26,15,32
PA1111,219,241,188,210,173,256
PA4374,302,377,317,374,378,343
PA4093,52,26,47,51,43,63
PA1011,2369,2359,2143,3624,3922,3962
PA1722,52,39,74,81,52,59
PA3246,63,62,78,77,66,54
PA4173,22,10,7,8,14,8
PA5022,1258,1191,1026,1063,1125,1076
PA1555.1,550,296,333,332,304,264
PA4404,1460,1582,1452,1810,1585,1519
PA2329,413,387,225,271,366,486
PA1540,77,90,80,144,95,87
PA0724,137,118,88,128,179,125
PA3954,97,88,78,87,81,63
PA1690,119,96,140,175,136,112
PA1908,45,42,48,55,38,52
PA0123,885,778,791,823,690,640
PA3376,53,49,76,63,59,52
PA5058,1135,1132,644,1035,1387,1314
PA3483,363,415,361,434,458,446
PA3328,515,599,473,428,464,551
PA5094,334,372,372,332,363,369
PA1102,1277,1233,1541,1378,1424,1279
PA3214,1138,1079,961,1183,1308,1424
PA1187,102,84,82,79,121,118
PA4071,49,36,28,27,60,45
PA3562,291,303,366,270,312,327
PA5089,320,337,302,313,317,271
PA0370,223,188,114,206,162,217
PA5565,5912,5319,5381,4667,4167,3770
PA1156,1190,1051,923,1031,1301,1167
PA2217,92,97,74,87,125,95
PA0452,174,200,189,146,174,223
PA1466,261,226,228,277,194,247
PA2199,968,927,834,894,845,850
PA5280,435,395,449,456,514,463
PA1387,907,787,635,812,957,908
PA2660,322,310,275,385,295,358
PA0119,208,199,179,176,197,138
PA5508,305,324,321,315,268,288
PA0275,473,434,350,445,433,497
PA1652,293,345,356,452,385,366
PA4449,1971,2020,2119,2686,2281,2363
PA0498,797,756,670,797,658,574
PA4218,39,51,61,42,41,38
PA1144,62,49,63,51,49,49
PA1552.1,129,162,134,157,121,166
PA3851,793,838,787,974,1138,1045
PA0286,2900,3154,3460,3860,3244,2905
PA5060,5752,5632,4782,5500,5152,5991
PA5537,301,327,353,362,365,381
PA0425,2634,2487,2527,2545,2666,2607
PA1091,5688,5207,5879,5701,5245,5420
PA1284,216,232,217,219,253,235
PA2975,7233,6685,7242,9110,6923,7750
PA4513,363,423,323,418,350,411
PA1196,1138,962,1095,945,662,862
PA4483,1528,1417,1829,2036,2175,1920
PA1810,884,962,897,1038,1053,1001
PA4665,796,736,746,1023,870,806
PA4862,55,71,75,46,36,52
PA2856,554,567,678,690,693,693
PA1945,429,352,329,317,342,369
PA4230,11,21,9,16,11,4
PA2599,108,95,79,103,91,133
PA0593,559,540,494,563,572,525
PA4312,1204,1091,1083,624,738,764
PA3764,571,548,583,777,706,684
PA2089,829,696,686,787,624,624
PA3937,46,65,40,67,32,52
PA0133,275,250,212,256,248,216
PA4919,492,374,323,398,387,374
PA1558,222,158,227,258,202,227
PA4337,269,252,214,236,238,276
PA2575,980,813,662,644,859,692
PA4308,1521,1479,1427,1397,1287,1248
PA0497,102,123,113,104,170,120
PA1374,41,63,68,46,54,44
PA0379,278,349,335,342,340,314
PA2263,56,44,62,58,41,70
PA0522,5,4,8,15,9,6
PA4500,604,508,464,592,866,807
PA2398,706,741,627,657,809,731
PA0734,85,61,74,69,56,49
PA1170,262,237,298,179,139,116
PA1638,118,129,150,160,103,140
PA4572,1636,1416,1612,1112,1133,1025
PA0391,2619,1994,1930,3459,2696,2438
PA2499,36,33,31,22,31,38
PA0472,34,36,20,13,20,40
PA3486,281,220,227,244,208,223
PA4690a,1270,1104,1062,1256,1377,1264
PA3909,204,203,171,242,175,154
PA3358,80,76,95,73,62,85
PA2955,373,356,325,442,345,344
PA4019,797,811,801,839,836,1030
PA2539,140,135,166,141,75,89
PA0209,605,893,695,844,1242,1667
PA5009,803,667,808,787,895,767
PA0934,4454,4028,4129,4630,5631,5216
PA4628,251,263,259,297,326,263
PA2516,51,36,61,62,70,77
PA1561,6840,6286,5327,3607,3616,4127
PA4979,92,70,83,96,117,93
PA1562,8352,8397,7156,7620,7543,7877
PA4474,3767,3672,3948,1894,1983,1946
PA5316,7446,7345,11507,8047,5418,5113
PA5486,398,401,354,437,327,343
PA2923,27,24,19,22,11,30
PA1603,255,304,272,202,219,195
PA4610,1549,1164,827,1668,1234,1389
PA1828,475,425,323,502,643,515
PA1476,1440,1404,1676,1242,1136,1083
PA3605,270,245,331,339,357,329
PA4133,5616,5418,3980,6129,11668,11048
PA2806,735,603,870,624,427,374
PA3886,265,269,265,279,388,382
PA1143,20,16,24,33,23,30
PA0736a,507,446,389,429,342,369
PA4932,2887,2768,3608,2856,2562,2574
PA4413,1896,1953,2342,1922,2193,1963
PA2988,1841,1597,2127,1973,1448,1476
PA4560,4914,4874,5196,5116,5786,5535
PA4678,174,157,183,254,185,169
PA0617,190,184,165,158,169,234
PA5164,2368,2476,1801,1933,3211,3090
PA1922,52,40,42,29,50,45
PA2629,1534,1413,1718,1678,1531,1219
PA4702,786,681,518,423,614,780
PA3955,196,222,254,188,181,201
PA0458,437,451,366,468,515,429
PA2035,220,270,161,196,226,268
PA0838,1605,1502,1124,1286,1211,1282
PA4152,32,56,43,52,49,50
PA3569,2371,3228,1785,1962,4062,3779
PA4450,4536,4660,6329,6254,5638,5119
PA3776,62,67,46,50,47,53
PA2766,113,124,117,159,123,137
PA1437,149,200,127,176,226,258
PA1714,1508,1345,1644,2041,1414,1531
PA5416,122,108,105,112,96,140
PA3599,383,441,387,561,524,486
PA0149,96,75,78,76,81,91
PA1302,541,408,402,343,473,462
PA3116,568,583,541,566,551,440
PA3123,442,504,466,388,536,467
PA0669,364,410,317,375,488,432
PA2235,912,889,792,899,1000,1039
PA1358,403,349,302,296,436,423
PA0602,902,837,877,1127,1052,968
PA2916,783,730,969,1136,539,725
PA2846,232,220,181,234,236,239
PA1109,459,388,378,508,523,528
PA3240,366,328,314,306,445,389
PA2789,103,93,107,139,84,86
PA1207,746,681,765,831,743,716
PA1047,1160,1253,1292,1309,1167,1113
PA0923,570,603,624,608,543,525
PA0542,466,455,390,520,378,397
PA4451,858,758,934,813,624,536
PA1736,215,194,145,210,251,288
PA3034,1247,1144,1106,1252,1060,975
PA1865,478,468,478,532,525,517
PA1342,1198,1279,1052,1458,1852,1799
PA0397,1032,945,910,741,772,710
PA3579,718,792,770,898,729,738
PA3796,488,483,530,419,413,344
PA4868,1636,1478,1146,1528,1750,1704
PA3910,213,192,121,124,165,178
PA3649,3367,3099,3847,3648,3541,3154
PA3518,24,16,27,28,34,10
PA4549,56,59,47,52,55,46
PA4027,552,469,210,249,356,380
PA2181,146,163,119,111,96,120
PA0488,165,168,129,173,179,172
PA1166,430,395,282,389,328,387
PA2928,197,222,168,220,231,210
PA3510,22,17,11,10,20,7
PA0386,134,154,152,183,119,116
PA2309,63,59,55,76,95,109
PA1575,338,320,233,290,331,433
PA2272,541,466,482,629,770,710
PA4815,125,119,137,112,165,104
PA2603,222,168,201,194,148,157
PA2666,249,182,193,215,130,124
PA1919,478,408,377,496,491,535
PA3285,321,310,357,411,442,373
PA4276,7393,6889,8752,7576,5794,5365
PA1940,286,307,347,343,339,267
PA4367,1433,1444,1533,1343,1402,1334
PA3167,2097,2001,1905,2124,2297,2177
PA4613,364,291,277,246,300,284
PA4321,197,229,197,204,234,292
PA2206,327,307,304,293,338,326
PA2282,92,88,91,81,68,89
PA1585,13167,10468,11056,17466,13848,13563
PA2448,407,349,285,321,375,418
PA3788,1000,904,868,977,772,974
PA1887,453,414,515,335,340,371
PA3595,237,240,189,287,265,237
PA1412,144,144,135,141,161,177
PA1705,171,189,199,257,222,256
PA2413,194,200,126,135,132,136
PA0052,381,289,132,139,165,188
PA3587,516,457,497,444,459,403
PA3801,1182,1129,1350,1510,1555,1394
PA2503,997,896,846,851,789,1026
PA5351,118,120,173,142,112,111
PA1015,430,382,336,455,364,382
PA2240,741,735,801,732,830,778
PA1294,484,461,486,536,478,525
PA1856,525,423,311,486,522,431
PA5312,1179,1228,1015,3495,3982,3490
PA1096,3490,3309,3525,2516,2233,2183
PA3400,180,169,139,168,220,254
PA1077,655,615,525,260,396,335
PA2717,194,191,162,166,206,192
PA2424,733,667,594,830,827,749
PA0776,107,98,65,80,126,97
PA1930,2217,1849,1039,947,1271,1360
PA2422,9,9,16,8,16,10
PA2865,2079,1794,2072,2077,1421,1489
PA2841,363,394,314,452,413,441
PA3861,1503,1500,2063,2369,2587,2113
PA0300,1362,1373,1329,2117,2879,2471
PA4077,26,40,38,30,34,45
PA3415,851,903,948,685,677,884
PA1848,92,76,105,112,127,94
PA2998,1351,1312,1315,1469,1450,1409
PA1670,110,102,132,112,99,80
PA5553,2763,2500,2353,2706,2402,2389
PA3336,1212,1126,1025,964,871,924
PA5297,401,363,335,356,415,404
PA2711,90,122,86,138,210,217
PA1128,178,180,163,208,198,194
PA0725,18,22,15,20,38,41
PA0270,79,105,67,55,92,87
PA3783,1071,969,823,928,1278,1303
PA4645,530,567,562,372,376,277
PA4881,672,534,318,613,579,576
PA5130,818,743,786,748,530,515
PA4681,558,682,612,238,314,419
PA4457,4326,3821,4756,4005,3274,2840
PA4621,2503,2094,3258,2849,1334,1464
PA2004,1005,902,489,1402,1486,1633
PA2338,54,51,42,54,96,63
PA2312,62,50,41,41,44,49
PA1512,2,-,-,2,-,8
PA4529,2049,1738,1919,2177,1491,1325
PA1912,12,9,10,6,12,29
PA3640,3677,3748,3822,4134,4893,4493
PA2068,623,672,368,199,378,456
PA1526,1231,1206,1222,1033,836,814
PA3949,901,730,1004,905,825,843
PA1535,166,135,169,1449,2540,2202
PA2650,143,142,162,131,164,129
PA2586,3552,3225,2840,3362,3375,3038
PA3901,329,308,288,364,310,279
PA1651,374,403,480,383,257,270
PA4006,1254,1239,1042,1325,1274,1496
PA2674,28,32,19,42,19,46
PA4142,1373,1278,920,599,464,567
PA1517,82,74,69,98,100,99
PA2438,276,275,211,193,219,256
PA3684,729,761,683,898,753,879
PA2160,234,169,156,137,194,231
PA4743,444,429,484,408,353,433
PA0640,222,197,230,155,214,188
PA4946,6327,6071,6887,7074,6321,6581
PA3612,162,152,162,190,173,180
PA3039,233,245,372,211,142,143
PA3556,154,150,117,107,122,137
PA3753,1734,1790,1652,1571,1954,1716
PA2647,3249,3039,2726,3665,3622,3521
PA5492,3388,2950,2577,2188,1998,1864
PA1640,344,338,339,381,501,416
PA1420,81,76,61,58,116,80
PA3658,1321,1095,1263,1374,1371,1181
PA2935,58,41,45,53,44,40
PA4798,163,174,150,184,198,162
PA2732,4422,4363,4520,4007,5095,4516
PA3660,761,808,726,1067,929,1013
PA4281,339,296,311,467,515,483
PA4114,679,637,524,836,842,793
PA5411,101,95,90,94,106,101
PA1906,178,182,154,107,107,130
PA0138,176,185,133,166,176,197
PA4713,814,818,749,782,870,744
PA4201,856,898,877,787,956,904
PA3892,57,85,76,63,63,42
PA2949,356,432,380,365,364,412
PA2141,15,10,12,20,13,23
PA4949,2180,1896,2138,2015,1571,1861
PA3274,358,281,226,279,359,337
PA3069,2119,1960,2298,1082,722,690
PA4787,1751,1677,1334,1790,2387,2710
PA4346,358,403,375,420,424,421
PA4340,515,505,477,522,486,508
PA3729,427,454,372,452,444,372
PA0656,708,579,526,577,735,674
PA4490,251,308,227,240,236,213
PA3919,906,832,703,691,988,871
PA1780,12,17,7,10,8,7
PA4084,324,255,162,180,217,248
PA0461,603,621,758,764,807,714
PA5200,1430,1540,1175,1449,1225,1293
PA5044,17093,16034,18515,13756,9856,9621
PA2561,1088,886,1061,1092,800,874
PA2568,575,617,633,674,716,705
PA3873,31,57,41,31,34,41
PA0964,3890,3944,3823,4354,4212,4238
PA0828,82,94,90,88,115,97
PA0097,42,39,49,39,34,37
PA2475,372,389,306,273,299,366
PA2737,7173,6646,4768,5436,5049,5282
PA2895,1064,1020,1097,981,768,1028
PA1833a,546,492,449,437,494,548
PA1151,2202,2131,2612,2387,2200,1745
PA0578,560,426,534,455,335,339
PA1188,229,251,232,240,326,355
PA0092,50,39,57,34,36,33
PA3927,96,89,74,93,106,91
PA4853,251,227,269,243,240,234
PA2406,47,39,41,40,73,73
PA2857,343,281,371,350,313,246
PA3681,857,848,707,696,854,866
PA5340,871,916,1058,946,931,943
PA1831,996,1082,1111,1075,1100,923
PA3475,862,848,809,1104,1182,1146
PA2270,251,224,255,373,281,311
PA1054,2092,2022,2192,1784,1369,1469
PA1811,542,491,580,631,554,478
PA0715,1679,1749,2214,2265,2238,2019
PA1335,752,786,969,737,734,746
PA1635,20,20,19,35,13,21
PA2754a,186,180,154,150,126,145
PA4351,6108,6116,4900,3900,2786,3460
PA3690,1027,1054,760,1051,1186,1289
PA2026,593,582,746,613,521,523
PA3712,2886,3418,2893,3174,3185,3455
PA0404,258,193,193,277,313,295
PA5227,1243,1232,975,1412,1109,1207
PA5462,266,259,317,292,245,258
PA1391,168,159,166,204,188,153
PA5516,603,549,550,445,468,499
PA1211,114,113,122,76,83,100
PA1277,272,295,289,277,313,302
PA3745,6007,5826,8205,5181,3910,3229
PA3631,1068,1170,995,838,731,702
PA1040,307,277,244,276,318,259
PA3075,835,677,835,841,744,773
PA5000,1334,1428,1193,1442,1516,1375
PA0105,1079,1031,867,754,796,822
PA3409,45,51,47,66,66,43
PA4055,690,582,663,825,658,655
PA1081,1555,1707,2225,837,911,927
PA5152,531,545,464,493,724,577
PA4074,126,190,132,149,203,189
PA1368,451,436,372,501,545,491
PA0580,2144,2058,2392,1898,1460,1379
PA1976,200,232,175,254,184,292
PA4908,64,73,94,74,113,145
PA1629,85,92,89,98,81,99
PA4756,6016,5008,6588,7625,5518,5150
PA2620,27739,27828,24008,14907,16896,17810
PA4080,276,315,267,227,293,231
PA1452,1676,1560,2115,2530,1792,1765
PA3841,1268,1096,1228,1828,1537,1511
PA2481,857,925,936,868,834,949
PA2908,478,455,472,518,471,576
PA0696,120,131,120,94,128,129
PA4418,4000,4085,4843,3729,4710,4113
PA3460,741,797,497,579,774,810
PA3152,612,670,911,743,680,618
PA4732,2444,2212,2083,2607,2789,2641
PA5256,440,500,459,456,390,327
PA5548,537,479,433,404,384,414
PA5109,888,920,1022,1253,1223,1249
PA5233,602,541,471,526,508,412
PA1787,7976,6853,7567,10750,8893,9235
PA1851,512,530,508,370,459,449
PA3292,29,26,32,31,29,13
PA4589,196,184,184,162,163,162
PA0840,123,153,134,145,164,120
PA0185,103,86,89,145,106,114
PA2520,471,372,291,312,281,278
PA2765,636,634,489,880,865,967
PA2759,5379,4937,3506,4527,5208,5575
PA5190,455,460,375,481,363,337
PA1508,106,93,107,89,104,104
PA0183,189,167,142,187,192,255
PA0483,204,253,177,230,277,277
PA3106,1436,1183,1372,1448,1213,1238
PA1692,53,50,64,84,43,51
PA1184,298,328,291,280,313,291
PA1841,518,435,476,488,513,514
