,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA4727,2877,2646,3164,2952,2300,2125
PA0246,276,326,339,361,277,273
PA4212,40,94,58,28,32,22
PA0888,2163,1799,2028,2059,2312,1912
PA4709,103,83,109,107,106,110
PA2013,295,345,387,554,527,629
PA0235,28,23,32,54,62,75
PA1706,563,538,623,664,561,561
PA3278,1711,1495,1792,1886,1664,1433
PA0143,804,902,648,998,1084,1104
PA4036,511,502,572,542,575,541
PA0010,206,166,162,151,170,159
PA3997,1436,1287,1201,1476,1509,1408
PA1796,407,421,498,502,375,368
PA1646,462,403,347,371,401,434
PA2595,174,157,207,135,115,96
PA4097,47,28,30,33,22,18
PA3438,205,200,168,179,218,196
PA0042,195,164,178,281,260,205
PA3440,63,50,42,68,87,55
PA0929,104,133,103,142,163,197
PA5501,665,597,754,705,565,575
PA4226,321,347,258,377,347,372
PA2792,64,48,57,57,51,34
PA3109,758,702,836,836,656,590
PA1974,18,22,31,23,29,27
PA1256,26,44,25,30,33,40
PA3269,327,332,389,621,422,388
PA4294,460,384,245,187,290,295
PA2848,57,57,58,57,67,43
PA1537,81,65,74,188,287,273
PA0892,1329,1253,1429,918,830,845
PA1424,297,257,290,304,303,294
PA3443,23,23,28,24,27,29
PA4402,1884,1800,1754,1891,2165,2065
PA4238,4994,4834,4991,5442,5975,5549
PA5251,411,465,417,491,415,458
PA3928,385,456,490,342,351,488
PA0711,129,89,110,89,68,88
PA2232,1362,1213,1290,1030,994,1130
PA2902,431,428,402,441,466,461
PA3822,1624,1696,1965,1660,1396,1297
PA3015,428,473,496,487,544,489
PA2297,2,-,5,-,6,2
PA0998,732,559,572,91,99,106
PA1713,1465,1231,2016,2365,1634,1325
PA2936,41,22,33,22,19,21
PA4592,144,98,101,108,108,162
PA1266,137,112,104,171,104,173
PA3827,1383,1451,1771,2066,1939,1614
PA0763,18304,18342,19612,10651,9311,8666
PA1301,46,58,64,57,43,29
PA3009,873,869,1216,1022,870,809
PA2800,2609,2406,2725,2479,2151,1952
PA4534,495,440,513,464,565,430
PA0470,567,535,463,474,467,484
PA1441,3067,3106,3833,2711,2550,2852
PA4605,792,861,846,654,753,742
PA5325,83,89,78,63,76,52
PA4046,377,380,472,453,340,320
PA3847,155,188,176,158,191,146
PA2480,697,890,917,724,680,794
PA5443,1989,1976,2117,2400,2157,1982
PA3383,14,31,21,26,29,14
PA0495,236,245,169,211,237,248
PA1729,1475,1378,1282,1373,1376,1445
PA3067,133,134,125,129,69,122
PA0616,193,204,263,167,238,262
PA1489,82,125,78,117,99,103
PA1236,124,126,77,66,150,107
PA4279,289,282,350,329,351,293
PA4724,247,262,257,381,314,311
PA1487,107,127,158,120,148,171
PA1192,1277,1195,1421,1049,1009,750
PA0217,104,112,130,121,181,166
PA1204,188,243,178,229,253,295
PA0492,78,96,95,73,82,85
PA0147,219,184,189,255,244,253
PA4959,3359,3397,4220,4191,3019,2599
PA3119,253,303,252,182,187,191
PA2695,525,435,532,593,537,552
PA3652,1163,935,1089,1157,979,1126
PA2392,129,122,142,126,135,123
