,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
phnJ,11,9,10,26,12,11,6,4,3,13,3,1,1
phnK,5,7,18,13,10,5,5,2,4,1,2,3,0
phnL,8,6,14,9,15,0,5,1,2,4,0,2,0
phnM,19,20,20,16,21,9,10,8,19,11,3,2,0
phnN,12,11,9,11,17,7,13,13,13,12,4,2,5
phnP,12,5,5,4,4,7,9,3,7,3,14,4,4
PA14_20460,8,3,1,4,0,4,1,3,1,0,16,7,7
PA14_20470,12,2,7,1,1,3,0,1,2,1,17,17,10
PA14_20480,10,7,9,4,4,5,10,5,3,2,42,29,28
PA14_20491,0,2,2,2,3,2,2,4,4,1,3,1,3
PA14_20500,3,0,0,0,1,0,0,0,1,1,0,0,1
PA14_20510,30,28,29,28,28,28,29,38,39,32,61,56,69
PA14_20520,17,19,26,35,23,53,40,47,35,48,62,86,80
PA14_20530,22,15,20,13,19,27,29,43,38,30,65,93,86
PA14_20550,0,0,4,3,1,1,1,6,0,2,1,1,2
amiE,35,59,75,92,93,44,55,56,64,40,189,139,165
PA14_20570,10,15,18,17,16,10,10,12,8,5,20,18,33
amiC,3,10,7,6,10,4,3,9,10,5,25,14,20
amiR,4,0,7,4,5,4,3,5,4,6,20,10,18
PA14_20600,55,64,77,89,83,53,72,58,54,58,55,36,46
lecB,247,261,406,434,342,237,288,227,258,223,338,308,338
PA14_20620,1,1,2,1,1,2,1,3,2,2,1,2,2
PA14_20630,4,4,7,4,2,4,5,3,2,5,5,2,4
PA14_20640,1,0,0,1,0,1,0,4,0,3,2,0,1
dsdA,6,6,6,12,5,11,12,8,10,14,8,4,3
PA14_20670,39,41,61,42,39,24,48,38,37,33,70,37,34
PA14_20680,19,13,15,19,22,13,17,22,18,19,17,16,14
PA14_20690,15,22,33,33,20,23,23,14,19,20,14,20,11
PA14_20700,57,39,39,39,49,69,89,64,59,73,91,58,53
flgN,54,61,95,89,92,88,107,80,92,83,127,75,79
flgM,127,119,190,227,277,151,191,221,209,175,288,313,356
flgA,44,47,90,73,76,75,79,128,77,69,105,82,98
PA14_20750,400,462,635,776,848,521,537,390,455,476,595,441,413
PA14_20760,89,94,128,113,128,100,133,76,119,98,68,33,45
PA14_20770,43,66,79,107,73,55,63,59,75,60,93,67,94
PA14_20780,55,75,102,109,121,80,76,99,91,86,128,112,109
PA14_20800,6,9,10,5,9,6,21,18,18,16,16,14,15
recQ,37,23,36,23,28,44,63,44,45,53,38,21,25
PA14_20820,8,9,15,14,28,27,16,26,24,25,15,22,26
PA14_20840,7,8,8,10,12,11,18,8,11,11,9,5,8
PA14_20850,17,8,17,18,22,16,22,19,19,19,31,23,26
PA14_20860,53,35,49,49,43,71,53,68,52,55,63,45,58
PA14_20870,19,11,21,23,16,20,18,16,22,27,21,19,19
PA14_20880,5,4,6,8,7,1,5,5,5,10,5,7,6
rfaD,37,67,72,55,50,41,47,68,50,51,20,19,20
PA14_20900,14,27,23,16,27,21,27,14,23,10,10,19,19
PA14_20920,9,5,21,14,25,8,9,8,12,8,8,5,4
PA14_20940,11,12,17,9,13,4,2,11,8,6,4,5,1
fabH2,8,15,25,14,24,6,9,8,8,13,0,0,4
PA14_20960,4,11,20,14,19,5,6,6,15,8,1,1,1
cyp23,14,25,38,36,37,10,17,16,18,15,5,7,5
PA14_20980,9,20,29,28,27,17,12,13,12,6,2,2,0
PA14_21000,9,22,33,24,35,16,17,19,15,11,2,5,6
PA14_21010,6,21,36,27,31,14,16,25,14,16,4,1,2
PA14_21020,146,185,368,353,327,194,291,323,253,271,106,69,92
PA14_21030,243,325,424,487,511,388,363,368,345,377,812,437,463
PA14_21040,28,25,29,31,33,30,39,38,30,36,30,16,17
PA14_21050,2,5,11,7,6,7,5,4,7,5,4,6,9
PA14_21060,0,1,5,4,5,3,2,0,0,3,1,2,1
PA14_21070,4,4,2,1,3,5,6,3,13,3,2,4,6
PA14_21080,4,1,2,3,0,3,1,4,6,1,1,1,3
PA14_21090,0,0,0,0,0,0,1,0,2,2,0,0,0
plcN,16,10,46,52,68,7,14,9,13,10,7,3,4
PA14_21120,5,4,4,7,8,11,7,10,12,13,12,6,11
PA14_21130,6,16,16,23,12,13,22,9,23,14,11,9,17
PA14_21140,0,2,0,2,2,2,3,2,1,2,0,0,1
PA14_21150,3,4,0,0,2,2,1,3,2,4,2,1,3
PA14_21160,6,8,9,8,8,7,7,4,2,5,1,3,2
PA14_21175,19,32,34,51,43,14,32,12,31,17,16,9,16
PA14_21180,14,6,13,14,15,4,3,7,13,8,4,4,7
PA14_21190,47,57,77,63,58,36,50,43,51,56,51,28,45
PA14_21210,50,70,68,56,51,51,66,57,66,53,63,83,85
PA14_21220,176,367,549,498,517,332,360,445,404,332,389,375,489
hepA,36,36,48,42,59,70,82,68,52,80,20,11,18
PA14_21240,4,14,13,26,18,7,18,13,17,14,10,8,14
alkB,7,11,8,10,9,13,12,18,7,7,5,5,15
PA14_21260,15,41,34,59,47,30,17,39,41,16,11,16,21
PA14_21280,18,15,14,16,7,8,17,13,10,17,16,19,20
PA14_21290,5,7,4,2,3,7,3,13,5,5,8,13,5
PA14_21300,4,10,8,11,6,9,11,5,8,7,10,5,7
phaJ1,15,9,10,6,8,14,15,17,20,26,33,18,23
PA14_21320,5,6,13,8,15,11,15,11,14,6,5,5,9
fadD2,59,100,142,95,133,60,66,79,69,55,42,27,32
fadD1,98,142,235,206,221,164,165,155,189,210,107,85,104
PA14_21380,2,2,1,2,7,6,4,4,3,0,7,3,3
hrpA,25,36,39,30,34,41,64,54,57,66,33,18,24
phoA,5,5,8,18,17,6,6,13,3,10,7,3,2
PA14_21440,21,26,21,14,20,27,20,34,26,24,48,52,49
PA14_21450,5,5,2,8,5,10,30,15,4,15,34,9,37
PA14_21460,4,0,4,0,2,1,2,3,5,3,7,3,4
PA14_21470,1,1,0,3,2,2,4,2,1,1,5,3,7
PA14_21480,3,1,3,4,4,1,5,2,5,1,10,6,12
PA14_21490,47,49,42,57,43,74,74,74,55,63,132,127,153
PA14_21510,10,13,17,16,28,8,8,17,18,10,15,15,11
PA14_21520,5,15,15,15,11,4,10,8,13,9,5,3,5
PA14_21530,17,22,32,33,27,12,18,5,15,8,5,5,4
PA14_21540,97,115,128,159,172,63,76,62,97,94,62,33,42
PA14_21550,33,36,33,45,21,26,41,24,34,16,16,12,8
PA14_21560,13,10,20,15,13,10,10,9,13,8,8,5,8
PA14_21570,123,114,98,61,53,61,59,55,35,30,122,103,117
PA14_21580,220,162,188,129,103,147,172,95,72,97,205,129,142
PA14_21590,13,12,12,9,5,28,16,15,9,9,6,2,4
PA14_21600,8,11,5,7,3,8,14,8,10,10,9,7,6
oprO,25,23,35,55,49,25,24,30,34,32,10,12,19
oprP,5,6,7,8,5,3,5,6,8,6,4,3,7
PA14_21630,5,4,5,5,6,5,6,11,7,3,7,4,1
PA14_21640,12,10,16,21,27,17,7,7,6,5,11,3,8
PA14_21650,14,21,19,20,10,27,20,18,24,29,20,10,13
PA14_21660,3,4,4,3,9,5,6,8,6,2,3,3,3
PA14_21670,23,14,17,12,7,15,19,18,13,11,8,24,16
PA14_21680,1,7,1,12,6,7,7,8,7,3,4,3,5
PA14_21690,26,28,19,29,23,25,39,32,32,18,16,17,12
PA14_21700,41,23,19,13,16,36,33,68,38,43,29,19,22
PA14_21710,13,16,19,31,29,21,18,27,26,25,8,10,23
PA14_21720,4,7,6,4,3,4,6,12,9,12,6,5,2
PA14_21730,9,9,10,15,26,22,26,12,18,24,16,8,13
PA14_21750,44,44,39,50,40,65,64,52,68,59,67,70,83
capB,1000,409,374,418,345,2109,997,1464,831,845,761,690,816
PA14_21770,5,4,4,1,2,6,5,6,4,4,9,3,7
PA14_21780,4,4,5,4,3,7,6,9,0,8,4,5,1
rdgC,9,5,11,3,5,8,13,11,15,15,5,1,3
PA14_21800,1,2,1,1,0,0,0,1,1,1,0,1,2
PA14_21810,0,1,0,0,0,3,0,0,0,0,1,2,5
PA14_21820,183,164,176,212,179,286,264,239,235,267,372,241,200
PA14_21830,35,27,35,47,28,59,28,29,25,29,30,31,20
PA14_21840,42,54,64,70,51,65,74,72,84,75,89,86,81
PA14_21850,4,3,4,10,6,9,7,7,3,7,11,9,3
PA14_21860,4,4,6,5,2,4,7,8,8,5,10,9,9
PA14_21870,19,10,10,14,13,25,19,25,27,26,36,34,51
tsp,516,389,367,296,247,572,579,560,466,543,741,455,489
PA14_21890,24,31,39,34,31,38,23,37,20,19,16,5,5
PA14_21900,8,9,18,12,15,18,15,13,19,22,13,13,11
PA14_21910,6,2,10,7,6,6,9,13,5,5,3,5,5
PA14_21920,6,5,3,8,3,2,2,4,9,8,4,5,4
PA14_21930,3,1,5,5,3,3,5,7,1,4,2,7,2
PA14_21940,4,4,6,6,3,4,3,2,6,4,1,3,8
PA14_21960,11,18,44,34,46,15,26,41,39,31,29,20,24
PA14_21970,1,2,4,2,1,6,11,11,7,15,5,9,8
PA14_21980,10,4,8,7,9,20,13,11,9,15,9,3,3
PA14_21990,19,27,22,14,22,23,46,27,51,46,20,14,15
rluA,5,11,12,6,6,13,18,12,17,10,15,8,3
minE,32,33,64,61,82,78,70,69,85,76,92,68,86
minD,92,108,155,142,165,158,175,182,218,190,243,126,167
minC,19,14,21,14,21,16,36,40,36,24,32,21,43
htrB,4,10,19,5,6,9,19,20,14,10,7,6,6
PA14_22060,12,5,8,12,7,4,14,13,12,11,12,8,7
PA14_22075,16,23,29,25,23,34,48,51,38,31,22,17,28
PA14_22080,20,15,24,26,22,41,34,29,28,34,76,89,133
PA14_22090,26,24,27,30,28,29,34,27,41,33,35,41,48
PA14_22100,2,1,3,3,0,5,3,8,1,4,6,4,7
PA14_22110,10,9,3,4,7,9,7,9,10,9,9,15,13
PA14_22120,20,12,4,12,15,19,13,16,19,12,30,25,30
PA14_22130,4,4,13,17,12,9,11,12,3,9,12,14,11
PA14_22140,3,6,3,4,5,4,10,12,6,9,6,15,9
PA14_22160,3,4,2,2,1,2,3,5,4,4,0,5,0
PA14_22180,1,2,5,3,2,5,9,4,4,5,1,1,7
PA14_22190,15,16,17,16,12,12,20,22,15,16,14,24,22
PA14_22210,2,5,5,2,3,2,4,6,3,3,6,2,9
PA14_22220,0,1,1,0,2,1,1,2,3,2,5,4,4
PA14_22230,2,2,1,2,2,4,2,2,2,4,6,3,4
PA14_22240,1,1,3,4,3,7,1,5,4,7,5,3,4
PA14_22250,4,3,3,0,4,7,11,4,7,6,3,8,7
PA14_22260,1,0,2,1,2,4,4,3,3,4,4,4,2
PA14_22270,158,157,217,218,199,185,133,191,163,148,192,132,128
PA14_22280,24,19,24,37,34,27,16,31,17,24,29,21,20
vacJ,42,45,65,79,54,68,84,70,52,69,64,47,46
PA14_22310,73,84,111,92,92,82,72,80,83,78,71,53,60
PA14_22320,0,0,2,2,2,2,2,3,2,0,1,2,2
PA14_22330,5,11,10,14,13,15,9,6,10,12,7,7,11
PA14_22340,150,133,150,180,191,48,28,141,41,76,21,16,19
actP,298,379,461,302,356,68,75,228,81,108,22,7,15
PA14_22370,83,104,98,58,63,27,32,52,24,26,21,12,11
PA14_22380,24,21,16,12,11,11,4,12,9,9,5,1,0
PA14_22400,30,38,24,31,30,20,30,44,44,19,35,40,45
PA14_22410,24,13,29,11,16,15,22,27,28,13,16,14,14
PA14_22420,7,3,4,5,4,10,8,3,13,3,7,11,4
PA14_22440,22,12,20,20,10,46,62,35,30,30,41,27,36
ppiA,17,15,22,20,14,31,40,36,39,43,52,32,30
PA14_22460,9,8,6,11,7,7,10,5,5,9,11,14,19
PA14_22470,8,4,13,5,15,13,19,11,13,23,18,17,10
PA14_22480,19,17,20,18,20,21,17,48,23,28,42,41,55
acpD,3,0,1,4,1,3,2,5,2,2,2,5,3
PA14_22500,2,5,1,1,5,6,3,0,2,6,4,6,5
PA14_22510,1,1,3,0,1,3,2,4,1,0,2,5,5
PA14_22520,6,5,5,5,9,6,3,12,13,6,9,9,5
PA14_22530,5,6,7,6,17,8,4,2,10,7,9,4,8
PA14_22540,4,3,10,7,7,4,6,6,8,7,8,8,13
PA14_22550,2,5,5,3,2,4,10,6,7,5,9,3,4
PA14_22560,4,3,3,2,2,8,5,5,5,4,7,4,5
csaA,2,3,6,6,3,3,2,5,7,5,7,2,5
PA14_22580,3,3,5,7,5,4,9,7,11,4,2,4,3
PA14_22590,0,2,7,3,2,2,1,2,4,2,4,3,5
PA14_22600,8,3,5,3,6,4,5,6,5,7,7,4,4
cyaB,20,19,23,17,13,38,30,39,35,37,33,25,42
PA14_22630,6,10,7,13,12,7,6,10,10,8,15,16,9
PA14_22640,11,15,16,16,14,21,16,22,17,20,19,18,27
PA14_22650,11,1,3,2,7,8,9,9,8,6,5,3,10
PA14_22660,8,11,8,4,12,12,23,20,11,20,25,18,15
PA14_22670,12,13,5,4,3,6,16,8,5,12,6,6,9
PA14_22680,15,22,14,19,13,25,42,27,33,21,30,20,24
trkH,11,9,3,5,8,5,14,13,4,9,14,8,8
PA14_22700,2,4,2,6,4,2,6,2,6,5,7,6,4
PA14_22710,9,10,8,8,13,6,5,11,13,10,4,5,5
PA14_22720,1,4,2,8,7,4,8,6,4,4,1,1,0
PA14_22730,5,4,8,4,9,10,5,3,4,7,4,4,6
PA14_22740,5,5,9,12,7,8,5,8,7,7,16,12,12
cpxR,5,4,8,4,4,7,11,10,11,9,6,5,4
PA14_22770,5,3,6,3,0,8,11,7,14,8,6,4,7
yciI,24,10,8,10,9,17,18,24,26,25,20,21,13
yciB,35,28,31,17,23,45,46,53,53,45,37,42,50
PA14_22820,13,13,17,26,16,28,28,22,28,24,26,15,12
PA14_22830,16,22,17,24,20,11,32,20,19,25,26,14,11
PA14_22840,7,9,9,10,8,21,15,14,14,12,12,8,9
PA14_22860,18,11,11,15,17,20,22,24,26,24,17,15,10
PA14_22870,9,10,4,8,10,17,17,17,14,7,16,15,15
PA14_22880,4,2,7,3,1,5,5,4,5,4,4,4,3
gapA,27,25,26,32,26,50,46,66,59,57,73,51,53
edd,27,29,40,36,30,70,58,56,48,46,116,119,107
glk,17,14,9,14,13,22,18,26,25,24,13,11,14
gltR,11,13,8,10,3,17,15,20,16,15,6,9,5
PA14_22960,3,9,9,1,7,11,13,22,10,7,22,6,11
PA14_22980,184,361,189,170,156,583,532,257,479,363,565,381,415
PA14_22990,26,52,14,18,14,46,64,35,59,39,45,31,22
PA14_23000,22,39,28,15,11,51,65,36,41,31,43,20,22
gltK,51,70,29,21,21,132,126,39,96,70,71,31,28
oprB,88,98,56,40,35,144,122,42,101,83,104,28,48
PA14_23050,31,25,26,35,30,40,42,38,44,44,46,33,34
hexR,5,14,8,12,15,9,15,25,25,15,23,22,20
zwf,9,10,14,17,14,72,57,45,38,45,143,113,159
pgl,6,2,4,3,4,10,14,18,11,7,7,3,6
PA14_23090,4,3,7,5,4,14,16,17,14,15,27,18,17
PA14_23100,15,4,12,7,7,14,17,15,26,19,12,16,9
PA14_23110,27,45,76,99,108,54,67,54,69,89,30,18,30
PA14_23120,8,9,29,8,14,11,18,9,11,10,14,13,5
PA14_23130,34,20,40,28,19,25,33,41,27,30,27,31,32
gltS,4,3,2,3,2,1,4,2,1,2,0,0,2
PA14_23170,7,3,1,7,3,4,4,6,3,4,3,3,2
PA14_23190,2,4,1,2,4,3,4,4,6,3,2,1,2
PA14_23200,12,16,23,14,12,9,9,21,11,11,13,3,11
PA14_23210,8,10,14,13,13,8,17,12,18,7,11,6,8
ubiG,15,16,26,21,16,20,16,15,13,25,15,9,9
PA14_23240,19,23,28,20,32,27,26,23,19,25,12,5,7
mtnA,23,12,5,14,11,16,23,10,17,17,8,6,7
gyrA,196,182,262,189,215,373,419,258,265,338,235,167,174
serC,53,48,65,33,40,95,121,69,88,111,47,25,43
pheA,48,39,56,33,40,110,104,70,89,101,40,33,23
hisC2,33,18,17,17,15,41,73,41,35,37,18,18,4
PA14_23310,53,57,72,47,52,112,129,88,88,102,56,34,33
cmk,26,40,47,34,44,64,53,53,62,53,35,19,28
rpsA,827,793,969,898,942,2164,1778,1616,1957,2247,849,410,516
ihfB,63,75,113,130,133,117,89,127,133,92,129,156,154
orfA,37,37,42,50,41,49,39,58,56,61,86,65,65
wzz,260,133,126,173,136,394,331,390,335,297,427,465,397
orfK,254,160,122,98,103,430,375,401,396,364,540,469,502
orfH,203,122,105,104,83,349,291,420,399,338,450,466,389
orfE,139,41,37,53,33,206,144,189,153,141,146,150,136
PA14_23400,142,77,68,80,71,425,265,362,294,255,247,344,291
orfJ,58,27,20,26,16,131,96,131,102,84,83,104,103
PA14_23420,489,284,173,212,168,1266,1129,1226,979,974,975,887,754
PA14_23430,252,146,95,89,82,688,583,606,448,461,479,484,377
orfL,174,114,62,78,70,421,372,419,316,348,388,426,329
orfM,123,74,52,55,41,324,291,300,262,245,278,304,258
orfN,56,26,21,26,19,96,107,86,92,76,102,69,85
wbpM,141,101,117,88,103,291,354,317,252,292,369,267,239
PA14_23480,10,4,6,10,9,15,8,11,11,10,14,8,12
PA14_23490,0,1,1,0,0,0,1,0,0,0,0,2,2
tyrB,124,113,140,169,142,169,216,177,231,218,262,148,199
uvrB,30,30,57,58,50,48,43,36,33,41,39,17,27
PA14_23520,14,8,13,17,13,13,11,13,11,12,8,14,8
PA14_23530,5,4,8,11,5,2,6,4,12,4,6,3,4
act,9,9,6,8,8,6,11,7,12,10,5,6,1
gltX,38,42,44,43,41,76,67,75,65,73,61,34,34
PA14_23570,1,2,2,2,1,0,2,4,2,1,1,5,7
PA14_23580,0,0,0,0,1,1,0,0,0,0,0,1,0
PA14_23590,2,1,2,9,4,4,4,3,7,3,3,2,3
PA14_23610,2,3,9,2,4,2,2,4,2,3,1,0,4
kdgA,12,8,17,12,9,9,10,10,12,11,7,6,0
PA14_23630,5,10,10,14,8,6,8,9,9,12,7,5,9
PA14_23640,11,15,18,13,25,18,16,29,25,22,9,5,13
PA14_23650,9,3,9,20,10,1,8,11,7,8,5,0,3
PA14_23670,2,6,11,11,9,7,5,7,7,6,6,3,2
ibpA,100,69,59,86,67,154,375,369,328,367,536,460,431
PA14_23690,4,4,4,2,0,7,22,5,11,10,12,4,8
PA14_23700,5,7,7,5,4,4,11,9,9,8,8,4,10
PA14_23720,9,11,18,23,21,11,12,13,9,13,14,11,16
PA14_23730,9,14,20,17,21,8,19,14,25,12,10,9,12
leuC,112,131,202,87,85,114,72,240,147,145,10,20,13
leuD,15,24,62,33,35,16,15,28,14,12,14,9,21
PA14_23770,7,2,6,9,4,4,3,4,3,4,6,2,2
leuB,22,18,26,34,34,32,20,33,20,16,21,20,22
asd,59,65,82,65,75,61,73,50,80,83,47,35,36
PA14_23810,9,10,12,23,32,9,22,13,16,20,5,9,9
fimV,125,191,321,263,284,218,229,195,209,219,185,154,169
truA,22,8,18,12,14,21,28,18,24,23,24,17,22
trpF,51,45,46,50,39,51,71,66,64,67,31,20,31
accD,85,99,172,227,273,142,126,83,171,144,142,104,129
folC,82,68,100,90,103,91,93,91,120,104,58,55,45
PA14_23890,26,29,30,31,31,42,43,38,49,34,24,20,19
cvpA,7,3,12,6,10,14,15,13,20,20,16,10,8
purF,43,42,40,36,34,97,98,58,91,90,69,37,48
metZ,33,30,25,19,30,63,73,53,42,51,29,14,20
PA14_23950,18,3,5,9,9,31,34,26,24,30,14,8,14
xcpQ,103,39,45,30,35,120,139,145,127,150,157,102,112
xcpP,92,90,80,94,96,93,98,123,100,96,79,77,77
xcpR,72,71,115,74,52,64,67,79,68,62,48,27,40
xcpS,24,19,31,19,16,23,20,40,35,24,19,15,19
xcpT,27,26,22,35,18,20,31,39,26,27,40,27,22
xcpU,17,5,7,8,7,11,12,17,14,11,15,5,6
xcpV,12,4,8,2,1,6,7,7,6,10,3,5,3
xcpW,7,6,10,11,5,17,14,22,17,17,9,7,7
xcpX,18,8,10,12,10,17,17,24,12,14,14,11,18
xcpY,23,25,20,19,15,18,27,24,19,20,11,9,11
xcpZ,10,3,12,3,6,17,5,11,8,11,4,5,3
PA14_24110,2,1,6,1,0,3,2,2,3,0,3,4,2
PA14_24120,0,2,0,0,0,1,0,1,0,0,0,0,5
PA14_24130,0,1,0,2,0,0,0,1,0,0,2,3,5
PA14_24140,5,9,14,11,7,20,10,21,9,21,9,8,8
PA14_24150,7,4,10,14,7,9,13,10,26,17,7,7,14
fadH1,42,70,94,63,74,47,42,24,26,25,8,6,6
PA14_24180,12,20,43,29,47,28,28,25,23,37,31,22,25
PA14_24190,7,3,3,8,10,6,2,5,6,7,5,3,8
PA14_24210,10,10,11,6,4,9,5,9,6,11,17,9,12
ppnK,19,16,10,16,10,19,21,16,12,15,23,9,15
PA14_24230,14,5,11,5,3,8,11,8,13,13,6,7,13
PA14_24240,10,4,10,8,4,8,10,6,11,11,8,5,2
PA14_24245,4,6,5,3,4,8,13,4,7,12,18,14,20
PA14_24260,22,26,26,15,16,31,30,31,27,23,20,16,14
pepN,109,124,128,113,103,81,160,104,114,112,77,48,53
gbt,12,13,17,14,14,28,27,25,31,27,16,9,12
PA14_24300,16,12,20,17,19,16,15,19,22,19,11,8,11
PA14_24310,21,31,39,26,37,59,57,58,74,57,9,7,7
PA14_24330,31,40,51,58,49,130,119,107,123,98,33,12,22
PA14_24340,5,6,7,11,3,14,22,19,16,19,15,12,3
PA14_24350,5,4,1,2,5,7,8,3,2,5,4,1,0
PA14_24360,8,6,4,14,4,12,20,14,21,11,4,5,9
PA14_24370,15,14,10,11,10,15,13,15,21,12,11,5,8
PA14_24380,4,5,3,4,1,6,16,10,9,13,6,4,4
PA14_24390,12,3,4,7,3,10,19,14,6,10,8,3,10
PA14_24400,5,0,6,5,1,7,9,7,6,9,3,4,3
PA14_24410,5,1,0,0,0,0,3,1,0,2,3,1,0
PA14_24420,12,9,7,3,5,5,5,6,5,13,7,5,7
PA14_24430,24,20,18,20,18,17,44,28,42,35,36,22,29
PA14_24440,3,10,7,6,4,16,20,7,11,10,17,12,16
gdhB,247,436,563,483,544,194,226,227,194,211,213,96,106
pelA,29,13,25,33,18,39,68,62,63,42,12,20,18
pelB,13,5,11,5,8,34,43,36,29,19,3,10,9
pelC,1,6,2,3,1,3,0,4,2,6,0,0,0
pelD,4,2,2,1,4,2,5,4,6,0,1,0,1
pelE,2,0,3,0,1,3,2,1,2,3,1,0,0
pelF,5,6,0,1,5,8,7,7,1,7,2,4,2
pelG,6,1,13,3,5,1,5,9,6,7,17,15,13
PA14_24570,0,0,0,2,2,1,0,0,0,2,1,3,4
PA14_24580,1,3,10,8,3,4,10,7,8,7,4,7,6
PA14_24590,9,7,7,10,7,13,10,8,16,10,6,11,19
PA14_24600,12,18,26,17,16,14,15,18,10,16,12,2,9
PA14_24610,13,9,15,13,9,12,12,14,8,11,3,9,6
PA14_24620,10,9,13,8,9,9,22,10,12,19,12,7,12
PA14_24630,1,3,4,2,5,2,2,8,2,2,6,7,5
pyrD,34,30,27,29,45,48,44,32,51,44,27,26,47
rmf,127,155,251,311,264,121,116,167,184,162,420,730,746
PA14_24665,5,10,10,14,6,17,26,17,17,14,10,7,11
PA14_24675,12,2,13,17,8,21,26,30,28,18,9,16,5
PA14_24690,44,34,25,29,21,36,55,45,50,30,42,34,40
PA14_24700,26,29,66,58,51,47,54,73,44,54,81,57,91
PA14_24710,1,2,1,3,4,4,3,5,2,4,7,14,4
PA14_24720,10,6,10,7,6,6,13,11,19,9,10,8,10
PA14_24730,52,33,24,26,22,56,65,55,51,42,58,38,35
PA14_24740,58,47,34,41,30,70,66,55,46,41,41,23,13
PA14_24760,89,76,70,56,55,70,96,60,57,58,69,38,27
PA14_24770,206,200,194,201,164,201,182,147,156,134,306,286,291
PA14_24780,17,14,15,25,18,6,3,6,2,4,13,10,1
PA14_24790,208,253,276,218,298,89,97,192,93,120,24,9,24
PA14_24810,3,5,2,4,3,5,2,2,2,2,0,4,4
PA14_24820,4,4,4,3,2,1,1,0,1,0,3,3,0
PA14_24830,3,3,4,4,2,2,2,2,1,1,3,0,1
PA14_24840,8,11,8,7,7,9,17,18,11,15,8,7,6
PA14_24850,5,5,2,1,1,7,7,4,8,7,3,4,7
snr1,45,137,188,218,222,37,37,24,50,43,20,17,21
PA14_24870,0,0,0,0,0,0,0,1,0,0,0,0,0
PA14_24880,408,284,292,340,262,404,441,542,479,436,595,631,699
mobA,5,7,5,9,9,8,4,6,6,4,6,6,4
moaB2,10,8,19,12,18,11,10,25,14,14,20,13,9
moeA2,21,10,21,14,20,13,30,22,18,21,11,10,8
PA14_24920,8,13,11,11,12,10,13,12,21,17,8,5,2
PA14_24940,4,3,14,11,9,7,14,10,9,6,5,4,2
PA14_24950,4,6,7,5,1,1,5,4,4,7,1,3,3
PA14_24960,7,8,8,11,7,7,13,3,7,7,5,3,3
PA14_24970,36,41,31,44,34,24,35,29,29,17,23,12,20
PA14_24980,22,28,32,28,21,33,63,37,43,39,27,20,15
PA14_24990,14,11,12,27,18,27,24,23,26,18,25,11,15
PA14_25000,20,36,29,31,34,53,82,52,39,47,43,44,40
PA14_25020,27,25,47,48,58,42,48,42,47,49,22,38,26
PA14_25030,6,7,11,13,5,4,8,8,10,8,9,4,7
PA14_25040,20,24,57,56,56,23,37,37,31,30,26,27,44
PA14_25050,3,7,3,8,9,2,5,5,10,2,4,3,3
PA14_25060,16,16,44,27,46,28,25,29,27,28,16,15,19
fadB,276,634,1017,942,966,819,937,460,789,1035,194,115,117
fadA,143,307,347,332,320,375,560,276,379,610,48,38,43
PA14_25100,38,36,42,56,48,69,67,52,47,49,27,32,35
topA,181,176,238,191,212,500,628,486,554,715,357,220,246
PA14_25130,18,34,45,44,31,54,72,67,65,65,45,16,27
PA14_25140,10,15,13,12,16,21,28,22,26,27,22,35,44
PA14_25150,16,13,18,18,10,25,29,23,24,22,47,25,19
lexA,25,17,29,18,16,31,32,43,34,35,52,41,34
psrA,207,314,331,425,311,479,590,480,606,458,257,231,252
nagZ,30,22,29,27,42,33,41,40,47,40,30,26,27
PA14_25210,19,17,31,28,23,10,34,25,35,32,10,14,13
PA14_25220,16,9,9,12,11,16,25,22,15,23,11,12,15
mfd,27,30,22,30,25,44,49,38,43,49,42,24,33
PA14_25250,133,160,237,194,228,251,295,223,258,341,139,103,130
aroP1,37,29,48,31,44,74,71,65,63,77,38,36,32
nqrA,34,36,61,65,83,46,58,55,62,57,28,18,16
nqrB,12,29,31,35,28,35,42,19,34,28,11,8,10
nqrC,8,21,15,10,10,20,21,11,20,23,6,4,6
nqrD,12,11,20,12,8,20,19,20,16,16,6,6,6
nqrE,7,11,15,8,9,12,15,16,20,17,3,6,5
nqrF,19,21,49,28,27,29,34,37,34,42,18,17,9
PA14_25360,12,14,20,7,10,20,33,17,16,19,16,8,17
PA14_25370,4,7,9,7,9,9,7,10,7,11,6,7,15
sth,77,76,89,70,91,71,69,106,75,91,70,47,53
PA14_25400,38,44,38,26,21,36,40,34,46,45,39,25,21
PA14_25410,1,0,5,4,4,4,3,4,5,2,7,3,4
PA14_25420,23,16,14,13,22,25,14,19,25,22,28,37,20
PA14_25430,45,28,26,26,15,75,94,66,67,65,106,92,83
PA14_25440,28,9,16,13,5,34,50,43,35,38,47,34,21
PA14_25450,22,13,9,8,8,47,63,59,32,47,68,43,22
PA14_25470,7,2,2,6,8,15,17,11,16,14,9,17,13
PA14_25480,3,2,7,4,2,3,3,4,6,5,4,3,5
