,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
PA0083,515,402,514,629,440,379,401,79,75,98,35,29,33
PA0084,1387,1046,1442,1625,1163,893,884,174,205,367,72,63,85
hcp1,2161,2029,2548,2773,2068,1430,1360,328,295,467,99,97,125
PA0086,760,898,1097,1580,1766,979,1080,465,133,258,123,38,46
PA0087,231,261,342,409,338,200,273,60,28,56,29,13,5
PA0088,412,558,686,823,1240,923,870,537,182,320,194,75,58
PA0089,489,514,551,769,998,408,439,354,67,130,89,19,22
clpV1,788,738,891,1442,1820,825,871,474,203,385,161,43,59
vgrG1,409,423,513,767,1095,634,750,290,190,369,79,49,50
PA0092,59,51,91,119,41,81,70,5,20,42,5,6,6
PA0093,351,308,572,661,496,508,581,144,107,106,61,26,30
PA0094,105,86,210,193,87,75,92,19,9,23,8,4,5
PA0095,363,283,441,443,311,348,566,89,74,109,104,23,25
PA0096,9,7,14,19,8,25,34,3,6,3,6,4,1
PA0097,37,54,58,73,84,61,79,23,8,22,29,7,1
PA0098,36,36,46,65,72,41,61,25,8,21,16,7,4
PA0099,61,84,136,96,74,102,139,17,17,36,27,16,12
PA0100,133,104,145,117,132,114,242,22,33,47,50,14,12
PA0101,93,80,98,213,236,122,235,70,23,37,50,10,9
PA0102,362,237,454,484,210,206,542,66,77,156,44,23,24
PA0103,29,20,32,41,37,56,121,5,21,31,39,9,7
PA0104,18,13,23,24,36,58,81,10,18,37,29,7,5
coxB,43,26,71,53,49,141,117,16,41,50,24,27,27
coxA,15,13,25,20,23,89,76,5,22,41,35,18,16
PA0107,0,2,6,3,1,19,14,3,6,9,18,7,3
coIII,7,7,12,10,1,57,47,3,11,21,21,11,8
PA0109,8,4,7,3,6,17,29,2,4,6,3,2,0
PA0110,19,14,18,30,41,40,50,17,5,9,8,5,0
PA0111,4,1,1,6,4,6,8,1,3,3,3,1,0
PA0112,2,2,8,2,5,19,25,2,4,6,15,5,1
PA0113,3,5,17,5,2,32,39,0,11,10,16,4,3
senC,23,38,51,85,42,94,168,5,14,51,27,7,13
PA0115,75,49,92,95,54,79,120,13,15,33,5,4,9
PA0116,106,97,107,133,84,85,160,27,43,43,30,17,14
PA0117,114,81,105,169,113,64,83,56,8,14,41,6,6
PA0118,33,22,42,45,20,34,28,6,5,7,10,4,4
PA0119,69,64,118,125,51,87,110,17,38,40,37,12,12
PA0120,88,51,82,79,76,83,105,52,31,26,38,10,13
PA0121,33,22,50,49,42,41,59,9,8,14,20,4,1
PA0122,32,15,40,30,42,62,83,14,19,33,14,12,10
PA0123,76,57,78,114,68,77,91,21,14,16,27,8,5
PA0124,64,40,87,72,15,27,46,3,12,10,1,3,2
PA0125,77,44,84,89,35,38,50,9,5,5,8,8,0
PA0126,95,125,166,325,166,140,142,24,30,65,14,20,9
PA0127,57,24,43,78,33,37,83,7,16,17,5,7,5
PA0128,186,128,217,274,458,215,667,89,57,188,31,12,28
gabP,12,12,12,24,31,175,363,9,70,120,27,26,34
PA0130,136,67,97,141,180,146,386,40,49,141,28,19,36
PA0131,62,40,46,63,103,39,84,26,11,20,8,1,9
PA0132,92,21,49,51,117,89,264,25,37,102,37,19,18
PA0133,38,50,66,76,32,91,82,5,28,29,20,15,22
PA0134,29,25,45,40,71,131,199,28,52,82,45,19,33
PA0135,1,0,2,0,1,0,2,1,0,1,13,1,1
PA0136,32,19,33,26,50,44,54,30,8,16,42,11,1
PA0137,7,4,8,14,13,21,54,2,8,15,14,3,6
PA0138,16,13,13,14,19,49,58,12,17,17,22,8,4
ahpC,1397,1128,2220,1944,1028,1511,1801,218,675,947,54,274,304
ahpF,178,142,267,314,337,296,1031,356,290,342,122,85,121
PA0141,92,59,91,310,489,247,1700,83,104,249,30,61,76
PA0142,114,69,133,192,109,184,275,24,57,82,22,17,13
nuh,103,87,150,231,162,220,349,43,72,177,29,16,25
PA0144,11,15,26,39,43,125,232,18,22,65,12,4,7
PA0145,25,25,35,52,40,57,71,6,20,11,4,2,6
PA0146,6,0,14,11,30,48,53,6,20,19,17,5,8
PA0147,21,12,22,28,38,67,75,10,24,17,30,12,13
PA0148,77,57,110,135,99,129,148,17,74,121,14,28,26
PA0149,38,28,32,86,78,54,96,42,10,29,24,3,10
PA0150,149,171,211,558,534,128,303,180,21,56,57,8,17
PA0151,20,15,30,41,45,46,91,12,23,37,39,9,17
pcaQ,50,49,45,90,85,151,265,23,23,40,29,12,13
pcaH,3,1,12,6,8,21,31,2,6,10,11,2,4
pcaG,4,3,11,4,7,27,46,2,16,12,11,6,7
pcaR,56,33,77,56,40,47,49,5,16,21,19,6,5
PA0156,193,124,180,263,420,240,305,131,54,79,55,14,22
PA0157,80,79,107,189,194,120,175,50,27,63,30,12,8
PA0158,357,272,458,527,564,605,790,128,198,326,97,62,67
PA0159,91,65,116,176,122,126,169,20,27,67,16,9,9
PA0160,14,8,18,16,8,24,16,3,14,19,1,2,4
PA0161,1258,439,1044,1013,576,394,377,335,58,71,126,25,36
opdC,221,138,241,482,190,265,264,45,112,115,68,43,64
PA0163,41,47,66,91,48,92,129,11,27,25,60,9,15
PA0164,145,47,102,172,108,435,631,64,57,92,36,22,17
PA0165,337,363,636,639,179,292,337,38,74,96,27,29,25
PA0166,7,5,4,9,12,58,70,3,14,15,32,6,6
PA0167,240,157,277,333,126,184,319,29,29,55,9,8,18
PA0168,134,96,147,209,227,112,191,77,14,46,18,6,4
PA0169,145,102,181,209,201,212,177,65,68,115,25,18,19
PA0170,101,59,125,140,97,112,63,27,22,59,5,6,6
PA0171,83,62,101,150,111,84,62,21,26,60,9,3,5
PA0172,581,459,577,901,1004,907,694,286,187,403,94,34,56
PA0173,2,3,8,8,6,20,25,2,6,9,19,1,2
PA0174,1,3,2,4,1,12,12,0,0,8,8,5,3
PA0175,9,4,6,7,10,39,43,1,14,12,53,8,10
aer2,37,25,58,55,48,219,214,10,63,93,45,40,41
PA0177,9,7,14,17,9,27,49,5,11,24,13,7,8
PA0178,18,21,26,27,32,167,152,12,44,64,44,39,20
PA0179,16,11,18,27,7,132,142,1,59,77,9,35,42
cttP,64,54,92,124,60,105,144,11,22,35,19,10,15
PA0181,28,30,57,77,40,76,95,3,16,30,14,7,6
PA0182,14,19,27,33,19,24,47,4,9,11,8,1,1
atsA,12,19,18,27,27,29,70,13,21,20,39,9,2
PA0184,9,10,21,24,21,26,38,7,10,10,18,7,2
PA0185,13,9,19,18,23,28,44,8,7,10,30,7,9
PA0186,18,7,16,13,19,76,83,7,14,15,27,5,7
PA0187,7,4,10,6,9,11,25,7,4,4,17,5,3
PA0188,21,7,22,17,31,38,34,10,9,20,11,6,6
PA0189,6,1,7,10,11,42,44,1,4,12,19,11,7
PA0190,13,13,21,12,29,24,35,15,11,5,14,5,3
PA0191,52,13,34,26,28,38,62,7,16,7,17,3,4
PA0192,8,7,11,15,8,34,57,3,5,18,37,8,8
PA0193,3,1,6,4,2,17,19,3,6,4,9,0,1
PA0194,4,5,10,6,5,19,39,5,6,10,27,5,2
pntAA,21,7,15,55,53,104,89,16,16,19,13,12,7
pntAB,8,0,10,19,12,19,13,1,2,4,5,0,1
pntB,31,33,62,67,80,126,119,11,19,32,25,11,10
tonB2,3,0,2,1,3,12,39,3,8,1,19,0,0
exbB1,10,6,10,10,7,17,52,1,3,9,15,2,2
exbD1,2,1,1,0,3,11,23,0,1,3,10,3,1
PA0200,19,16,16,67,33,9,46,7,3,6,5,2,4
PA0201,99,22,23,122,126,39,211,46,30,21,30,6,11
PA0202,1,3,8,4,4,49,143,6,26,14,22,8,14
PA0203,5,1,15,8,11,15,28,2,5,6,23,7,4
PA0204,1,0,5,3,2,19,9,3,5,5,18,2,3
PA0205,2,1,2,5,5,29,40,0,10,11,13,3,4
PA0206,15,9,24,26,14,33,56,4,13,11,18,10,10
PA0207,51,44,61,111,59,60,83,14,21,19,13,4,4
mdcA,18,8,32,26,65,275,460,31,59,82,29,22,16
PA0209,4,2,4,7,10,15,20,4,1,5,4,3,2
mdcC,0,2,1,1,1,4,6,0,0,2,2,0,0
mdcD,12,7,14,11,15,27,36,6,5,6,10,2,1
mdcE,8,5,5,8,15,17,27,7,3,9,11,3,2
PA0213,15,6,18,34,44,15,42,14,9,5,12,1,2
PA0214,4,2,7,11,27,38,61,8,7,9,13,4,3
PA0215,7,12,21,24,24,29,43,1,3,9,9,3,2
PA0216,45,28,59,48,108,91,164,53,68,86,39,27,27
PA0217,74,45,97,78,83,61,74,16,25,16,25,14,9
PA0218,28,16,32,43,26,37,37,3,16,16,29,8,5
PA0219,15,9,23,22,23,21,34,9,4,7,32,7,5
PA0220,10,4,14,10,16,53,52,2,13,14,17,8,7
PA0221,9,3,27,7,8,32,30,4,4,10,21,5,4
PA0222,3,1,8,3,1,8,13,1,1,3,24,4,1
PA0223,154,112,174,148,195,302,378,93,56,100,47,20,19
PA0224,22,24,22,43,22,39,39,5,13,13,21,8,4
PA0225,76,40,98,66,44,47,63,10,14,27,21,4,7
PA0226,15,9,12,20,17,15,20,5,6,7,22,2,3
PA0227,12,7,11,17,19,18,26,9,5,5,15,5,1
pcaF,30,22,39,47,34,43,59,13,10,18,20,8,3
pcaT,9,7,22,17,16,43,46,4,9,21,58,6,4
pcaB,92,70,98,148,200,111,220,93,18,49,45,11,7
pcaD,16,11,10,23,30,28,30,7,10,9,12,2,3
pcaC,6,6,13,5,9,18,21,3,3,6,16,3,2
PA0233,28,24,58,47,37,53,108,11,8,28,15,5,12
PA0234,13,8,25,18,11,59,74,3,25,16,16,5,7
pcaK,22,11,19,17,19,21,48,5,8,16,30,8,3
PA0236,148,121,159,224,173,148,181,61,32,49,38,8,6
PA0237,19,15,9,15,8,14,21,4,4,2,19,2,0
PA0238,18,17,30,48,60,41,67,24,6,9,18,0,0
PA0239,25,33,35,48,31,42,73,8,9,21,24,2,9
PA0240,5,3,4,2,7,66,101,1,23,17,8,5,6
PA0241,5,2,12,8,3,21,16,4,1,4,24,6,5
PA0242,17,6,33,26,20,31,53,11,10,11,37,11,5
PA0243,176,117,205,174,121,137,184,28,27,45,34,8,8
PA0244,7,13,15,18,24,38,65,19,13,10,14,3,8
aroQ2,6,9,22,19,13,27,31,4,5,9,3,5,5
PA0246,71,51,90,110,146,155,276,41,46,105,31,19,21
pobA,14,6,12,10,12,34,67,4,6,12,16,4,4
PA0248,129,95,160,180,129,119,177,34,17,41,44,15,4
PA0249,60,33,57,74,68,55,81,13,17,29,9,9,2
PA0250,70,34,90,85,101,111,138,31,25,42,15,13,14
PA0251,2,0,6,1,6,22,32,1,6,5,10,3,2
PA0252,25,14,25,38,10,14,15,1,4,5,4,1,1
PA0253,201,161,253,299,221,182,306,59,36,79,10,6,13
PA0254,45,29,81,49,57,91,113,12,17,13,43,7,8
PA0255,154,126,135,159,200,119,210,44,27,40,36,8,10
PA0256,49,34,70,67,48,72,121,18,30,32,25,14,6
PA0257,48,44,86,67,46,57,116,5,12,18,17,11,6
PA0258,18,20,51,23,24,16,37,5,4,15,2,0,2
PA0259,307,196,302,336,364,422,778,128,118,191,75,31,53
PA0260,119,56,130,93,109,211,399,33,57,113,81,18,23
PA0261,37,30,34,50,20,31,53,8,7,14,10,1,4
PA0262,197,117,240,264,218,190,296,55,22,90,86,13,22
hcpC,3,1,7,2,1,5,20,2,5,4,4,2,1
PA0263.1,65,81,232,137,481,725,611,321,59,63,154,22,31
PA0264,3,1,9,6,10,181,384,2,29,69,8,10,13
gabD,2728,774,1288,1250,1973,1282,2861,661,342,714,140,125,135
gabT,2457,799,1263,1146,2114,1900,3132,903,545,1150,210,210,195
PA0267,134,121,129,312,258,144,353,105,35,89,41,19,23
PA0268,25,14,38,27,23,74,87,8,24,27,44,10,9
PA0269,14,5,14,11,10,16,20,2,10,14,0,3,5
PA0270,18,6,10,15,7,22,26,4,2,15,7,6,2
PA0271,20,13,6,10,24,24,48,7,11,12,12,8,4
PA0272,36,50,73,90,30,85,116,6,18,39,19,8,11
PA0273,6,2,5,5,13,9,12,0,3,2,17,1,1
PA0274,5,3,8,10,4,10,10,4,5,5,20,1,2
PA0275,51,28,66,72,28,45,81,4,10,20,7,5,6
PA0276,5,3,14,7,11,23,25,0,1,4,14,2,2
PA0277,300,435,724,1315,709,347,289,93,69,143,45,26,36
PA0278,20,12,16,26,38,27,49,9,3,7,17,6,3
PA0279,41,54,81,138,140,67,132,66,12,23,23,5,6
cysA,367,61,111,89,63,121,123,12,75,50,9,21,21
cysW,196,23,35,42,36,78,76,5,68,39,24,13,15
cysT,190,25,43,48,24,56,45,7,48,17,13,8,10
sbp,682,55,102,90,78,131,156,30,103,65,18,23,21
PA0284,145,13,12,11,16,18,15,3,14,11,0,4,2
PA0285,261,228,391,493,356,436,735,93,144,314,76,44,37
desA,709,692,1239,1465,790,914,1677,200,328,938,65,69,104
gpuP,24,13,34,30,29,25,70,5,10,17,31,4,3
gpuA,28,17,31,26,36,41,54,20,6,14,28,1,3
gpuR,93,38,54,88,86,78,132,15,22,25,18,5,8
PA0290,65,56,71,59,44,80,128,14,33,41,19,17,9
oprE,1551,1134,1712,3120,1049,1125,1754,246,296,521,77,110,116
aguA,345,197,282,435,207,302,341,41,69,119,38,26,34
aguB,70,72,126,100,62,210,153,19,58,45,22,27,10
aguR,23,23,25,43,33,51,86,3,12,21,10,7,6
PA0295,46,40,57,104,57,81,191,10,21,41,22,17,16
spuI,725,459,781,752,427,562,1412,70,135,252,39,37,47
spuA,376,205,339,218,329,460,1194,117,134,229,70,44,55
spuB,831,296,554,461,820,468,1615,262,192,406,128,64,100
spuC,1744,584,947,992,857,861,1934,235,271,433,85,109,107
spuD,965,666,1265,1120,564,692,952,151,256,442,53,93,93
spuE,306,207,317,319,191,253,419,27,83,120,32,32,23
spuF,248,161,208,251,204,283,391,67,81,103,37,36,20
spuG,141,103,173,198,104,195,301,20,45,115,25,17,19
spuH,363,291,398,425,486,413,638,170,122,207,43,51,46
PA0305,78,57,91,117,100,154,227,30,43,74,62,26,15
PA0306,22,18,37,35,25,58,112,17,20,31,28,9,9
PA0307,86,66,128,133,107,120,236,17,27,50,18,15,8
PA0308,131,94,127,190,221,208,293,76,39,70,68,20,22
PA0309,149,119,197,232,170,238,332,22,60,106,11,22,20
PA0310,99,124,186,239,253,160,319,47,36,91,30,13,20
PA0311,6,4,5,6,11,21,80,3,10,20,12,8,2
PA0312,125,107,131,197,136,131,274,45,35,71,26,7,14
PA0313,95,94,168,179,97,156,212,38,43,70,34,24,14
PA0314,144,105,191,218,91,143,205,13,45,90,16,17,10
PA0315,729,490,779,603,321,523,483,39,122,178,15,29,25
serA,813,638,986,1596,850,1291,1205,156,480,890,65,149,133
PA0317,769,558,998,1043,787,748,1091,144,229,502,52,91,73
PA0318,346,213,319,410,331,300,503,82,102,144,34,16,28
PA0319,312,212,407,485,210,312,512,67,71,166,34,14,25
PA0320,41,31,74,66,36,62,61,7,20,34,8,10,4
PA0321,12,10,14,9,8,65,86,5,15,25,17,4,6
PA0322,14,14,27,23,14,36,63,3,16,26,14,8,6
PA0323,10,12,27,16,21,17,30,1,6,11,33,5,3
PA0324,1,0,6,6,3,12,15,1,0,8,16,1,4
PA0325,4,6,16,6,6,30,46,1,10,11,12,1,3
PA0326,0,2,5,6,5,9,9,1,3,6,17,2,1
PA0327,52,37,60,50,65,92,142,15,29,42,23,14,15
PA0328,182,116,160,177,110,154,336,33,37,87,44,20,14
PA0329,422,197,420,557,800,389,982,254,377,527,64,137,124
rpiA,213,159,260,370,267,347,438,73,111,259,26,33,49
ilvA1,550,374,534,730,559,550,761,165,157,264,79,37,32
PA0332,113,102,154,313,411,185,371,111,52,77,23,20,20
PA0333,263,202,248,521,470,256,503,134,67,117,46,18,22
PA0334,65,51,89,126,122,214,433,34,35,76,28,11,13
PA0335,97,76,98,145,121,145,212,34,36,67,12,13,10
ygdP,1121,744,1570,1244,793,1091,1902,182,253,438,68,69,90
ptsP,1424,925,1571,1713,1431,1782,2427,422,439,731,146,150,170
PA0338,333,239,451,426,467,427,498,179,92,132,62,24,34
PA0339,42,32,51,89,43,107,132,14,19,33,14,6,7
PA0340,198,159,213,302,233,256,375,30,47,86,37,12,14
lgt,251,193,362,456,245,309,498,45,86,184,26,19,33
thyA,326,292,507,565,301,354,488,64,117,177,20,27,24
PA0343,31,28,47,53,38,458,601,12,94,182,12,31,23
PA0344,61,37,61,67,96,90,115,32,27,49,22,9,8
PA0345,106,97,139,178,228,106,157,61,28,46,50,6,10
PA0346,53,18,37,39,16,53,79,9,9,26,10,8,7
glpQ,4,2,10,9,5,23,85,6,10,23,21,6,3
PA0348,33,22,43,58,62,56,61,25,13,15,18,6,4
PA0349,15,8,17,11,24,26,38,4,3,13,22,6,8
folA,248,172,291,329,301,246,328,90,53,98,26,11,17
PA0351,44,43,63,74,58,100,150,25,31,44,9,11,11
PA0352,540,461,761,915,583,727,939,193,234,440,86,84,47
ilvD,468,359,560,721,296,483,682,63,114,199,25,43,49
PA0354,287,212,290,488,435,357,523,148,141,291,47,52,43
pfpI,49,15,31,46,38,65,126,11,30,37,7,12,13
PA0356,220,145,328,351,189,226,332,57,65,124,33,15,18
mutM,526,355,472,763,374,316,702,104,69,135,49,28,33
PA0358,72,55,84,93,35,52,155,8,44,75,9,10,7
PA0359,133,144,234,223,78,125,203,18,33,76,11,11,19
PA0360,158,137,230,185,143,216,335,60,51,70,22,18,22
PA0361,183,171,219,367,277,324,504,104,66,136,54,21,18
fdx1,266,263,632,420,162,153,365,38,48,69,16,9,10
coaD,476,443,1129,794,250,348,664,33,83,176,11,21,34
PA0364,74,39,45,56,47,59,84,10,8,17,36,12,12
PA0365,12,16,11,20,11,15,27,3,2,6,10,2,0
PA0366,80,39,80,89,68,139,144,7,64,56,26,34,24
PA0367,67,42,76,63,44,87,117,8,26,33,23,14,10
PA0368,114,96,130,192,157,140,323,46,31,74,20,16,12
PA0369,48,26,59,51,127,59,110,29,16,31,9,4,1
PA0370,92,89,115,173,128,126,211,42,53,89,18,20,13
PA0371,211,217,329,487,254,341,567,46,152,311,22,34,41
PA0372,170,152,255,352,248,243,403,34,133,281,29,46,33
ftsY,911,715,1052,1704,1597,989,1616,486,251,532,158,76,85
ftsE,649,473,589,914,690,671,964,340,186,316,94,45,56
ftsX,1250,823,1313,1380,1516,1474,2149,594,374,658,129,99,108
rpoH,7337,4468,8943,8748,39951,15385,16613,25593,16497,23842,9981,3915,6784
PA0377,81,63,76,163,463,242,349,290,204,418,92,43,75
PA0378,173,148,192,279,277,292,408,66,120,181,16,33,48
PA0379,60,74,126,159,83,110,189,11,41,71,17,22,24
PA0380,176,158,332,299,168,206,265,39,20,49,8,6,5
thiG,631,476,785,866,474,532,761,88,105,230,24,25,31
micA,808,584,848,1130,827,704,1376,261,132,288,53,27,33
PA0383,106,104,134,180,192,194,328,57,41,57,36,12,11
PA0384,12,16,14,24,13,23,30,1,5,6,4,1,2
PA0385,45,29,93,75,30,46,56,3,13,33,5,4,3
PA0386,120,95,135,223,115,165,342,31,41,64,16,9,12
PA0387,514,355,555,812,375,291,605,68,71,135,23,29,36
PA0388,221,180,302,428,135,198,353,14,50,98,9,38,32
PA0389,185,143,262,338,200,206,345,34,42,83,14,11,14
metX,321,266,477,521,287,340,447,35,104,185,26,20,22
PA0391,254,213,335,355,202,235,395,49,67,100,42,19,27
PA0392,184,202,351,390,128,211,355,27,97,124,23,36,15
proC,332,307,446,702,936,472,673,416,128,158,103,31,33
PA0394,178,184,267,355,358,221,259,81,95,79,28,19,26
pilT,359,268,503,462,166,339,477,37,75,117,41,18,28
pilU,283,191,373,332,160,269,372,46,54,105,28,37,36
PA0397,43,21,45,47,44,98,152,19,27,46,22,9,8
PA0398,109,121,215,156,103,147,205,20,45,76,4,11,13
PA0399,180,103,168,305,213,251,358,47,103,217,38,42,39
PA0400,167,114,138,308,210,274,362,42,105,197,30,39,47
PA0401,222,218,254,541,364,353,629,86,106,198,33,34,30
pyrB,212,192,294,419,272,323,589,68,112,163,37,58,39
pyrR,51,55,81,128,56,83,128,9,12,27,11,5,6
PA0404,57,42,67,90,105,118,151,28,24,55,13,5,5
PA0405,128,110,210,223,91,186,286,23,42,88,5,12,21
tonB3,148,144,218,276,121,176,325,16,34,83,15,13,19
gshB,173,130,170,182,158,399,690,34,92,149,31,35,39
pilG,1609,1208,2475,1790,1054,841,1267,195,125,223,65,61,50
pilH,276,242,476,307,146,156,261,23,35,59,13,17,21
pilI,340,291,408,431,256,255,398,60,25,74,17,8,17
pilJ,1508,1276,2065,2116,1270,1117,2714,467,200,392,137,68,71
pilK,541,410,678,794,478,474,1218,136,57,125,63,7,11
chpA,3288,2432,3444,5395,4505,2966,10967,1784,498,1044,438,175,199
chpB,213,165,199,341,547,270,640,219,42,81,34,14,11
chpC,138,94,142,190,248,127,247,88,18,62,18,7,6
chpD,67,66,77,170,318,78,172,119,10,33,18,5,5
chpE,43,30,40,81,78,83,168,34,21,41,22,5,9
PA0418,51,48,68,74,56,109,176,15,24,45,19,15,8
PA0419,354,254,417,600,364,242,572,110,79,113,26,8,21
bioA,326,221,333,364,183,253,452,43,90,143,44,23,26
PA0421,838,688,1104,1370,903,842,1120,333,205,432,114,56,71
PA0422,244,201,343,364,198,259,566,31,76,164,15,21,19
pasP,2186,1632,2602,2573,1838,1441,3004,337,376,816,48,115,114
mexR,64,55,104,95,77,153,259,20,63,66,27,37,27
mexA,875,653,1037,1293,590,756,1095,171,243,393,49,82,90
mexB,2280,1730,2781,3142,2774,3052,3788,1021,1027,1670,388,397,351
oprM,1611,1123,1524,2301,2934,2330,2777,1939,532,937,881,229,196
PA0428,1424,1025,1479,2567,2128,1551,3062,415,287,481,117,108,98
PA0429,317,283,501,560,271,480,785,55,127,215,32,49,50
metF,406,349,567,695,559,668,930,208,122,154,76,47,36
PA0431,192,201,256,453,203,255,367,32,61,117,16,33,28
sahH,1766,1271,2227,2399,1208,1750,1820,235,577,771,79,272,177
PA0433,50,36,78,89,80,97,160,20,21,50,14,4,7
PA0434,19,22,20,51,71,182,160,17,33,87,57,18,12
PA0435,24,29,27,52,89,107,99,37,21,31,43,7,6
PA0436,63,71,113,130,98,115,177,14,37,64,17,9,17
codA,108,92,125,190,146,195,200,39,55,98,28,22,13
codB,121,104,182,286,121,156,201,26,39,76,25,11,8
PA0439,3,3,5,1,6,30,29,4,22,7,26,13,8
PA0440,4,8,10,6,8,30,44,5,11,14,23,6,4
dht,16,11,23,11,23,40,39,8,11,10,18,3,5
PA0442,2,0,2,2,2,0,0,0,0,0,1,0,0
PA0443,6,3,11,7,9,17,34,4,5,6,49,6,5
PA0444,18,7,22,10,20,78,105,4,23,23,40,11,8
PA0445,79,65,103,76,117,169,259,33,25,53,22,7,8
PA0446,15,13,34,45,47,318,359,9,68,132,22,26,41
gcdH,30,26,29,37,40,362,220,2,158,183,17,89,76
PA0448,269,244,408,404,229,148,263,48,57,64,42,16,22
PA0449,167,114,238,216,148,153,318,25,37,61,16,22,14
PA0450,27,19,39,27,31,68,128,5,13,25,39,13,6
PA0451,48,34,43,73,108,67,134,80,25,36,48,15,10
PA0452,11,14,20,10,13,34,26,5,7,9,24,4,6
PA0453,10,7,15,15,16,24,51,6,13,8,19,3,2
PA0454,147,101,200,246,172,297,520,84,59,103,74,23,24
dbpA,118,96,166,246,145,143,271,31,51,108,34,21,17
PA0456,10208,8351,13797,16701,7053,8958,16803,888,2365,10602,85,426,681
PA0457,29,29,61,71,42,49,116,14,18,48,19,4,7
PA0457.1,28,18,27,49,34,44,55,6,6,14,16,2,1
PA0458,84,57,81,129,79,137,207,24,42,70,73,15,9
PA0459,37,29,47,59,48,849,905,33,284,456,49,198,191
PA0460,243,154,172,491,462,511,1108,119,324,809,16,99,92
PA0461,295,182,387,375,219,365,575,44,140,270,27,52,52
PA0462,106,65,97,150,180,196,477,40,125,199,30,48,51
creB,93,83,106,128,90,97,161,21,26,52,19,4,9
creC,414,241,479,524,410,386,608,151,78,117,67,28,21
creD,38,32,40,40,67,94,175,26,22,30,39,6,6
PA0466,2,3,6,3,3,6,11,1,2,1,0,1,1
PA0467,18,13,28,29,19,35,44,8,7,19,18,11,3
PA0468,88,65,80,148,138,131,262,40,37,69,32,18,18
PA0469,102,61,97,122,120,135,231,30,49,80,26,29,20
fiuA,18,23,61,37,17,115,159,7,38,47,43,31,20
PA0471,15,9,18,22,12,25,28,16,11,29,21,3,7
PA0472,18,11,11,28,8,18,24,9,10,28,16,3,6
PA0473,37,37,69,63,56,55,77,11,23,33,14,14,7
PA0474,0,0,0,3,2,2,3,0,1,3,2,1,0
PA0475,31,16,35,24,30,13,35,8,5,7,18,5,1
PA0476,22,20,59,38,32,120,159,12,23,34,43,10,13
PA0477,22,13,24,29,36,61,80,9,13,15,12,4,9
PA0478,19,12,30,18,16,28,37,5,5,11,6,5,3
PA0479,22,16,30,30,33,78,117,4,16,29,14,4,2
PA0480,2,2,9,3,11,6,24,2,7,4,15,1,2
PA0481,95,64,134,137,104,117,160,34,27,58,16,16,7
glcB,1229,655,1049,1022,829,1016,999,195,304,463,95,174,163
PA0483,17,11,19,16,13,81,125,3,15,24,11,5,5
PA0484,19,11,13,21,11,44,42,4,12,20,9,8,10
PA0485,95,82,145,162,143,180,324,35,67,173,21,26,29
PA0486,47,39,75,120,52,71,110,8,33,26,33,6,15
PA0487,52,44,102,90,70,70,123,21,12,24,11,14,4
PA0488,48,38,38,81,78,51,112,21,5,10,6,5,6
PA0489,7,9,12,24,38,25,68,9,6,17,12,2,4
PA0490,14,11,19,16,23,39,81,4,24,32,4,9,7
PA0491,28,26,45,45,30,59,77,16,30,27,22,7,13
PA0492,251,87,177,232,246,385,1263,54,39,222,24,16,23
PA0493,22,12,22,33,17,54,166,9,8,59,4,1,8
PA0494,169,49,112,128,169,176,570,50,43,192,22,15,17
PA0495,91,47,80,108,81,164,397,25,56,226,16,20,13
PA0496,185,53,119,142,219,275,560,99,64,249,37,21,34
PA0497,7,5,21,13,6,56,121,0,15,72,30,5,7
PA0498,16,15,37,12,13,115,121,1,29,44,36,10,13
PA0499,2,2,9,6,2,24,36,3,8,15,23,6,5
bioB,458,208,374,404,174,462,594,48,146,191,41,71,77
bioF,202,164,191,428,207,244,481,42,40,72,30,20,14
PA0502,201,103,180,266,180,228,374,27,34,65,26,12,13
PA0503,136,56,104,199,87,113,200,11,15,30,15,3,6
bioD,75,56,93,190,136,110,298,16,6,40,11,6,4
PA0505,95,105,193,193,112,95,209,27,16,27,9,6,7
PA0506,508,389,602,657,1147,6199,920,243,993,303,105,488,96
PA0507,43,22,42,59,74,105,97,16,24,24,28,14,5
PA0508,119,68,103,133,154,492,237,55,84,63,49,65,22
nirN,21,25,42,71,248,70,1474,184,10,64,52,7,11
PA0510,6,7,11,26,47,21,605,21,3,10,15,2,2
nirJ,15,8,17,39,52,23,566,22,3,17,29,3,5
PA0512,17,10,22,49,40,22,385,25,2,12,9,1,5
PA0513,2,1,2,8,12,3,159,4,3,9,2,2,4
nirL,5,2,7,16,18,7,249,14,1,10,3,1,1
PA0515,2,2,5,30,38,19,252,13,2,16,10,4,2
nirF,14,4,15,49,57,45,586,16,9,26,22,16,16
nirC,3,2,1,27,14,8,94,7,1,5,4,0,0
nirM,2,7,8,15,29,12,308,2,2,10,1,1,4
nirS,30,43,39,194,114,57,1133,72,26,107,57,24,38
nirQ,52,41,53,92,83,46,121,29,15,39,13,8,7
PA0521,4,1,9,10,9,8,24,2,4,5,3,3,4
PA0522,0,0,6,2,4,2,6,0,0,1,5,0,0
norC,6,6,11,26,33,5,182,14,2,5,6,0,1
norB,21,18,33,63,59,24,307,17,9,38,54,6,7
PA0525,31,25,22,90,116,51,639,90,10,33,53,3,10
