,WT_count,ClpV3-KO_count
PA3827,23.5,39
PA3828,39.5,53
PA3829,1.5,3
PA3830,5.5,13.5
PA3831,307.5,309.5
PA3832,8.5,13
PA3833,125.5,73.5
PA3834,240,387.5
PA3835,98,58.5
PA3836,47.5,95.5
PA3837,0,0
PA3838,16.5,39
PA3839,49.5,73.5
PA3840,2,17
PA3841,622.5,103.5
PA3842,37.5,8.5
PA3843,2,3
PA3844,63.5,30
PA3845,10.5,6.5
PA3846,173,108
PA3847,25,16
PA3848,112.5,139.5
PA3849,77,104
PA3850,13.5,32
PA3851,29,33
PA3852,66,50
PA3853,148,176.5
PA3854,21.5,23
PA3855,40,48
PA3856,28.5,23.5
PA3857,162.5,199
PA3858,506.5,369
PA3859,28.5,41.5
PA3860,23,24.5
PA3861,108,130.5
PA3862,10.5,15
PA3863,18,16.5
PA3864,5,1.5
PA3865,111.5,130
PA3865.1,248.5,187
PA3866,1117.5,1030.26
PA3867,8,0.5
PA3868,2.5,7
PA3869,1.5,3.5
PA3870,4,9.5
PA3871,1,19.5
PA3872,2.5,12
PA3873,2,4.5
PA3874,85.5,174
PA3875,102,198
PA3876,22,22
PA3877,100,99.5
PA3878,76,114
PA3879,42,95
PA3880,23,56.5
PA3881,11,19
PA3882,18.5,29.5
PA3883,3,10.5
PA3884,0,0
PA3885,0,2
PA3886,2.5,11.5
PA3887,5,9.5
PA3888,16.5,11
PA3889,20.5,9
PA3890,10,5
PA3891,49.5,31.5
PA3892,4.5,3.5
PA3893,0,2
PA3894,4,10
PA3895,13,10
PA3896,12,11
PA3897,1.5,1
PA3898,3.5,10.5
PA3899,0.5,0
PA3900,0,0
PA3901,2,0.5
PA3902,55.5,30
PA3903,66,99.5
PA3904,15.5,4.5
PA3905,15,7
PA3906,1.5,4
PA3907,5.5,13.5
PA3908,56.5,52.5
PA3909,0,1
PA3910,0,0
PA3911,2,8.5
PA3912,2,17
PA3913,4,21
PA3914,0.5,0.5
PA3915,8,7.5
PA3916,13,9
PA3917,23,11
PA3918,19,24
PA3919,488,492
PA3920,65,48.5
PA3921,278,202.5
PA3922,270,672
PA3923,238.5,506
PA3924,80,111
PA3925,108.5,75
PA3926,0,1
PA3927,0.5,1.5
PA3928,1,2
PA3929,147.5,109
PA3930,296.5,230
PA3931,45.5,74
PA3932,4.5,6
PA3933,42.5,43
PA3934,57.5,46.5
PA3935,6,0.5
PA3936,0,0
PA3937,4,0
PA3938,2,0
PA3939,2,5.5
PA3940,26.5,30
PA3941,1.5,3.5
PA3942,23.5,40
PA3943,54,50.5
PA3944,46,39.5
PA3945,844.5,715.5
PA3946,9.5,17.5
PA3947,18.5,19
PA3948,43,53.5
PA3949,4,2.5
PA3950,27.5,30.5
PA3951,16,11.5
PA3952,63,16.5
PA3953,2,0
PA3954,0,0.5
PA3955,2,1.5
PA3956,35.5,38
PA3957,65,58.5
PA3958,16.5,12
PA3959,5,6
PA3960,2.5,2
PA3961,40,79.5
PA3962,44.5,25.5
PA3963,9.5,6.5
PA3964,0,0.5
PA3965,46,25.5
PA3966,0,2.5
PA3967,3.5,1
PA3968,1,3.5
PA3969,39,15
PA3970,93.5,86.5
PA3971,13,28.5
PA3972,614,730.5
PA3973,57,75
PA3974,145.5,196
PA3975,14,13
PA3976,5.5,6
PA3977,58.5,117.5
PA3978,55,84
PA3979,3,7
PA3980,26,29.5
PA3981,507,586.5
PA3982,11,21.5
PA3983,177.5,130
PA3984,3,12.5
PA3985,13,5
PA3986,648.5,236
PA3987,228,429.5
PA3988,67.5,125.5
PA3989,13,13.5
PA3990,0,0
PA3991,0,0
PA3992,25.5,25
PA3993,16.08,16.5
PA3994,4.5,2.5
PA3995,74,78
PA3996,353.5,430
PA3997,31,44.5
PA3998,162,160.5
PA3999,156.5,190
PA4000,96,132
PA4001,30,60
PA4002,1,3
PA4003,31,43
PA4004,25,66
PA4005,47,80
PA4006,10.5,25.5
PA4007,21.5,35
PA4008,3,3
PA4009,50,36
PA4010,14,22.5
PA4011,12,17.5
PA4012,138.5,100
PA4013,2.5,2.5
PA4014,2.5,1
PA4015,142,82.5
PA4016,17.5,23
PA4017,476,560
PA4018,1,0
PA4019,12,22
PA4020,74,51.5
PA4021,26.5,44.5
PA4022,499.05,698.775
PA4023,3,3.5
PA4024,91,75
PA4025,29.5,38.5
PA4026,9.5,39
PA4027,39,66.5
PA4028,0,0
PA4029,30.5,23
PA4030,10.5,5
PA4031,75.5,97
PA4032,42,26.5
PA4033,0.5,0.5
PA4034,7.5,7
PA4035,2,11
PA4036,0.5,4
PA4037,2,3
PA4038,1,0.5
PA4039,4,0
PA4040,30.5,11.5
PA4041,108.5,63.5
PA4042,8.5,15.5
PA4043,6.5,5
PA4044,53,95.5
PA4045,3.5,5.5
PA4046,1.5,1
PA4047,14,16.5
PA4048,18,17
PA4049,69,54
PA4050,4.5,6
PA4051,10.5,15.5
PA4052,28,27.5
PA4053,41.5,62.5
PA4054,65,103
PA4055,15.5,19.5
PA4056,39.5,54.5
PA4057,5.5,14
PA4058,8,6.5
PA4059,2.5,0
PA4060,2.5,1.5
PA4061,70.5,60.5
PA4062,7,4.5
PA4063,2.5,7
PA4064,2.5,1.5
PA4065,2,5
PA4066,0,1.5
PA4067,10206.5,17162.5
PA4068,7.5,31.5
PA4069,7.5,12.5
PA4070,11.5,5.5
PA4071,0,1
PA4072,8.5,4.5
PA4073,14,6
PA4074,0.5,5
PA4075,7,9
PA4076,5,3
PA4077,0,0
PA4078,227,59.5
PA4079,83,106.5
PA4080,46,37
PA4081,6.5,7
PA4082,26,7.5
PA4083,0,0
PA4084,2.5,1.5
PA4085,3,2
PA4086,10,8.5
PA4087,0,0
PA4088,0,0
PA4089,2.5,0
PA4090,11,28.5
PA4091,0,1
PA4092,0.5,0
PA4093,0.5,0
PA4094,4,12
PA4095,4,2
PA4096,0,0
PA4097,0,0
PA4098,0,0
PA4099,0,0
PA4100,2,2.5
PA4101,17.5,17.5
PA4102,3,6
PA4103,0,1
PA4104,0,0
PA4105,0,0
PA4106,2.5,0
PA4107,0,1
PA4108,167.5,140
PA4109,26.5,16
PA4110,4,7
PA4111,16.5,17
PA4112,622,431
PA4113,0,2
PA4114,7.5,11
PA4115,234.5,204
PA4116,6.5,6
PA4117,332,293.5
PA4118,4,10.5
PA4119,2,0.5
PA4120,4,2.5
PA4121,7,4
PA4122,3.5,0.5
PA4123,7,5
PA4124,14.5,12.5
PA4125,0.5,6.5
PA4126,2.5,0
PA4127,2.5,1.5
PA4128,0,1
PA4129,125.5,109.5
PA4130,1815,1423.5
PA4131,392,618.5
PA4132,620.5,858.5
PA4133,692.565,1406.55
PA4134,8.5,4.5
PA4135,2,14
PA4136,3,7
PA4137,4.5,4.5
PA4138,3,285
PA4139,43.5,52
PA4140,0,7
PA4141,15178.5,3359.5
PA4142,27,12.5
PA4143,9,7
PA4144,7.5,3
PA4145,7.5,7.5
PA4146,0,0
PA4147,28.5,14
PA4148,0,1
PA4149,1.5,0
PA4150,0,0
PA4151,1,0
PA4152,5,3.5
PA4153,6.5,3
PA4154,7,11
PA4155,0,0.5
PA4156,1.5,2
PA4157,1,3
PA4158,0,0
PA4159,1,2.5
PA4160,2.5,0
PA4161,1.5,0
PA4162,8,11.5
PA4163,33,48.5
PA4164,16.5,16.5
PA4165,2.5,6.5
PA4166,1.5,3
PA4167,0,0
PA4168,7,3.5
PA4169,0,1.5
PA4170,23,23.5
PA4171,16,2.5
PA4172,6.5,0.5
PA4173,0.5,0
PA4174,16,12
PA4175,622.5,89
PA4176,13,18.5
PA4177,0,0
PA4178,3,1
PA4179,1,0
PA4180,53.5,46.5
PA4181,7.5,2
PA4182,10,6.5
PA4183,1.5,4
PA4184,11,25
PA4185,11,13
PA4186,3.5,3.5
PA4187,0,0
PA4188,0.5,6.5
PA4189,4,3
PA4190,43.5,87.5
PA4191,0.5,0
PA4192,3.5,0
PA4193,0,0
PA4194,1.5,1.5
PA4195,0,0.5
PA4196,7.5,5.5
PA4197,9.5,30.5
PA4198,9,23
PA4199,97,76
PA4200,26,18.5
PA4201,39.5,47
PA4202,16,17.5
PA4203,1,8.5
PA4204,48.5,41.5
PA4205,10,3.5
PA4206,13,4
PA4207,33,20
PA4208,26,15.5
PA4209,106,56
PA4210,20.644,7.75
PA4211,387.285,461.94
PA4212,124.935,121
PA4213,58,41
PA4214,274,166.5
PA4215,181.25,64.25
PA4216,258.88,88.885
PA4217,646,420.5
PA4218,0,5.5
PA4219,0,0.5
PA4220,0,0.5
PA4221,23.5,34
PA4222,9,1.5
PA4223,9,2.5
PA4224,9,6.5
PA4225,48,31
PA4226,23.5,19.5
PA4227,0,3
PA4228,9,3.5
PA4229,2,1.5
PA4230,5.5,2.5
PA4231,15.5,2.5
PA4232,181.5,226.5
PA4233,11,14
PA4234,155.5,225
PA4235,283.5,445
PA4236,91472,62806.5
PA4237,254.5,339.5
PA4238,1114,1734.5
PA4239,288.5,539
PA4240,369,450
PA4241,452,556
PA4242,19,23
PA4243,399.5,710.5
PA4244,120.5,208
PA4245,9.5,21.5
PA4246,556,843.5
PA4247,130,162.5
PA4248,148.5,211.5
PA4249,92.5,128.5
PA4250,74,128.5
PA4251,1381,2038.5
PA4252,110.5,143
PA4253,1569.5,2103
PA4254,138.5,216.5
PA4255,32,62.5
PA4256,2405,3424.5
PA4257,764,1423.5
PA4258,2947.5,5136.5
PA4259,541,1065
PA4260,213,435.5
PA4261,41,124.5
PA4262,278.5,607.5
PA4263,318,547
PA4264,110.5,181.5
PA4265,6595.71,8768.885
PA4266,2104,3890
PA4267,344.5,529
PA4268,252,288
PA4269,2777.5,5803.5
PA4270,1571,3273
PA4271,428,506
PA4272,264,347.5
PA4273,692.5,827
PA4274,426,625.5
PA4275,246,328
PA4276,143.5,139
PA4277,1555.29,1788.615
PA4278,23.5,31.5
PA4279,15,24
PA4280,38.5,50
PA4281,11,23.5
PA4282,85.5,113.5
PA4283,148.5,176
PA4284,171,228
PA4285,318,250
PA4286,13,28
PA4287,2.5,1
PA4288,7.5,1.5
PA4289,4,7.5
PA4290,82.5,100
PA4291,10.5,3.5
PA4292,56,68.5
PA4293,592.5,241
PA4294,415.5,180
PA4295,0.5,1
PA4296,734,804.5
PA4297,188.5,74.5
PA4298,20,9
PA4299,224,82.5
PA4300,61.5,33
PA4301,168.5,53.5
PA4302,377.5,111.5
PA4303,354,84
PA4304,761.5,198.5
PA4305,1343.5,334
PA4306,1779.5,569
PA4307,106.045,104.55
PA4308,162.5,93
PA4309,526.01,849.72
PA4310,641.95,1015.225
PA4311,449,391.5
PA4312,249.5,188
PA4313,45.5,15.5
PA4314,52.5,67
PA4315,5017,2396
PA4316,47.5,65
PA4317,12,21
PA4318,2,11
PA4319,5,14
PA4320,5.5,25
PA4321,10,28.5
PA4322,32,26
PA4323,5.5,13.5
PA4324,98.5,167.5
PA4325,3,4
PA4326,187.5,174.5
PA4327,8,12
PA4328,93,96
PA4329,417.5,470
PA4330,5,10.5
PA4331,4.5,8
PA4332,26.5,23.5
PA4333,90.5,130.5
PA4334,10.5,5
PA4335,8.5,17
PA4336,147,134.5
PA4337,6.5,14
PA4338,35,25
PA4339,7,12
PA4340,29,17
PA4341,10,11.5
PA4342,5.5,9
PA4343,0.5,0.5
PA4344,21.5,13
PA4345,170.5,96.5
PA4346,1.5,1
PA4347,6.5,18.5
PA4348,177.5,287
PA4349,8,10
PA4350,3.5,6.5
PA4351,0,0
PA4352,7724.5,6720.5
PA4353,4.5,6
PA4354,0,2
PA4355,3.5,0
PA4356,21,49.5
PA4357,0,0
PA4358,15,34.5
PA4359,0.5,4
PA4360,26,22
PA4361,29,25
PA4362,81,39.5
PA4363,3.5,6.5
PA4364,2.5,1
PA4365,8,1.5
PA4366,2376,2074.5
PA4367,81.5,97
PA4368,96,55
PA4369,25.5,39.5
PA4370,58.5,49
PA4371,5,3
PA4372,3.5,5.5
PA4373,1.5,8
PA4374,12,18
PA4375,20.5,32
PA4376,22,39.5
PA4377,9812.5,1538.5
PA4378,14,10.5
PA4379,18.5,13.5
PA4380,18.5,8
PA4381,15,11.5
PA4382,0,2
PA4383,5.5,6.5
PA4384,21,30
PA4385,16458.5,7628
PA4386,184,71.5
PA4387,69.5,44
PA4388,48.5,75
PA4389,35,97
PA4390,9.5,18.5
PA4391,4.5,8.5
PA4392,6.5,2.5
PA4393,16.5,15.5
PA4394,47.5,29
PA4395,363.5,162
PA4396,9,15.5
PA4397,18.5,24
PA4398,8.5,12
PA4399,97.5,99
PA4400,166,190
PA4401,16.5,23
PA4402,87.5,87
PA4403,926,1088
PA4404,7.5,14
PA4405,2.5,10
PA4406,1679,1982.5
PA4407,3682,4118
PA4408,1006,1241
PA4409,152,218.5
PA4410,78.5,165.5
PA4411,583,876
PA4412,134,168
PA4413,163,185
PA4414,391,475.5
PA4415,72.5,155.5
PA4416,1242,869
PA4417,243,315
PA4418,550,641.5
PA4419,8.5,5
PA4420,135,220.5
PA4421,154,271.5
PA4422,12,16
PA4423,56.5,67
PA4424,0.5,5
PA4425,46,45.5
PA4426,78.5,81.5
PA4427,55.5,60
PA4428,26.5,49.5
PA4429,436.5,793
PA4430,518.5,768.5
PA4431,1003,1254
PA4432,57.5,79
PA4433,540,458.5
PA4434,72.5,97.5
PA4435,151.5,87.5
PA4436,0.5,1.5
PA4437,1.5,5
PA4438,17,21.5
PA4439,32,35.5
PA4440,2.5,10.5
PA4441,48,60.5
PA4442,54.5,52.5
PA4443,22.5,19
PA4444,89,59.5
PA4445,3,3
PA4446,46,27
PA4447,33,72.5
PA4448,9,17
PA4449,17,20.5
PA4450,87,103
PA4451,48,63.5
PA4452,2.5,2.5
PA4453,247.5,234
PA4454,26.5,21
PA4455,13.5,20
PA4456,51,50
PA4457,91,107
PA4458,36,41
PA4459,75,92.5
PA4460,260.5,330.5
PA4461,102,148
PA4462,242.5,109
PA4463,5238,9471.5
PA4464,174,374.5
PA4465,172,314
PA4466,7,7
PA4467,6.5,4.5
PA4468,1,0
PA4469,0,2.5
PA4470,2,9
PA4471,1,4
PA4472,151.5,76
PA4473,16,31
PA4474,770,594
PA4475,730.5,460
PA4476,167.5,216.5
PA4477,220,158
PA4478,100.5,58
PA4479,4,4
PA4480,19.5,26
PA4481,22.5,53.5
PA4482,11,16.5
PA4483,108,205
PA4484,111,196
PA4485,4,3
PA4486,4.5,6.5
PA4487,82,121.5
PA4488,28.5,63
PA4489,470.5,1128.5
PA4490,27,36.5
PA4491,149,257
PA4492,18.5,48
PA4493,295.5,461
PA4494,59.5,96.5
PA4495,423.5,389.5
PA4496,463.5,418
PA4497,94.5,111
PA4498,48.5,38.5
PA4499,22.5,24.5
PA4500,25.5,58.5
PA4501,27.5,37
PA4502,140.5,126.5
PA4503,116.5,109
PA4504,12,20
PA4505,36,46.5
PA4506,66,68
PA4507,13.5,23
PA4508,1,0
PA4509,9,6.5
PA4510,3.5,4
PA4511,14,13
PA4512,11,23
PA4513,6,3.5
PA4514,9.5,10
PA4515,3,7.5
PA4516,0.5,2.5
PA4517,0,1
PA4518,21,24.5
PA4519,95,57
PA4520,87,80.5
PA4521,7.5,19.5
PA4522,11.5,18
PA4523,2313,1688.5
PA4524,162,139.5
PA4525,2741.5,5686
PA4526,93.5,101.5
PA4528,34,43
PA4529,25.5,25.5
PA4530,1,0
PA4531,3,14
PA4532,4.5,13
PA4533,39,34
PA4534,36,26.5
PA4535,133.5,140
PA4536,47.5,58
PA4537,0,2.5
PA4538,77.5,67
PA4539,15.5,10
PA4540,0,1
PA4541,42,24.5
PA4542,8015,3425
PA4543,7.5,28.5
PA4544,22,20.5
PA4545,74.5,99.5
PA4546,36.5,18.5
PA4547,78.5,77.5
PA4548,33.5,62
PA4549,23.5,5.5
PA4550,21.5,39
PA4551,51.5,58.5
PA4552,47,75.5
PA4553,11.5,26.5
PA4554,477.5,880.5
PA4555,20.5,48.5
PA4556,510,777.5
PA4557,35.5,33
PA4558,8,18
PA4559,8,21
PA4560,246,518.5
PA4561,12.5,8.5
PA4562,7,9
PA4563,213,147
PA4564,112.5,95.5
PA4565,1081.5,916
PA4566,109,138.5
PA4567,61.5,77.5
PA4568,109,157.5
PA4569,42,30
PA4570,6,6
PA4571,472,888.5
PA4572,67,39.5
PA4573,25.5,16
PA4574,3.5,4.5
PA4575,2.5,10
PA4576,170.5,211.5
PA4577,703,1233
PA4578,1014.5,1755
PA4579,32.5,67.5
PA4580,26.5,6
PA4581,21,35.5
PA4582,14.5,10
PA4583,14.5,21
PA4584,5.5,21
PA4585,3.5,4.5
PA4586,0,0
PA4587,860.5,3077
PA4588,19.5,12.5
PA4589,8.5,5
PA4590,62.5,11.5
PA4591,2.5,4
PA4592,16.5,18
PA4593,3,2
PA4594,2.5,1.5
PA4595,261,193.5
PA4596,2,1
PA4597,0,2.5
PA4598,13.5,10.5
PA4599,6.5,9.5
PA4600,6,4.5
PA4601,64,121.5
PA4602,92.5,163.5
PA4603,57.5,63
PA4604,143.5,132.5
PA4605,6.5,46.5
PA4606,1596.5,2340.5
PA4607,18252,10512.5
PA4608,169,119
PA4609,95,93
PA4610,3,7.5
PA4611,525,519
PA4612,72.5,28
PA4613,8.5,11.5
PA4614,9221,8710
PA4615,10,11
PA4616,3.5,6.5
PA4617,25,16
PA4618,68,55
PA4619,75.5,57.5
PA4620,38.5,25
PA4621,181.5,196
PA4622,0,1.5
PA4623,0,1
PA4624,197,111
PA4625,27.5,19
PA4626,4,3
PA4627,6.5,2.5
PA4628,2,10.5
PA4629,0.5,1.5
PA4630,22.5,14.5
PA4631,46.5,38
PA4632,54,32
PA4633,1045.5,1343.5
PA4634,6,1.5
PA4635,6,3
PA4636,13.5,16
PA4637,0,1.5
PA4638,1.5,0.5
PA4639,110,89
PA4640,105.5,113
PA4642,2,1
PA4643,11,12
PA4644,4,2.5
PA4645,29.5,21.5
PA4646,284,156
PA4647,202,100.5
PA4648,2801,547
PA4649,129,56
PA4650,32,11.5
PA4651,89.5,49.5
PA4652,75,53.5
PA4653,36.5,19.5
PA4654,0.5,0
PA4655,120,143.5
PA4656,180.5,211.5
PA4657,209.5,215.5
PA4658,70.5,65.5
PA4659,6,6.5
PA4660,43.5,42
PA4661,1348.5,1333.5
PA4662,13.5,15
PA4663,23,18
PA4664,3,11.5
PA4665,7,25.5
PA4666,6.5,13
PA4667,63,87
PA4668,9,8
PA4669,32,20.5
PA4670,87,89.5
PA4671,259,314.5
PA4672,16,12.5
PA4673,83,100
PA4674,93.5,70.5
PA4674.1,246.5,183
PA4675,6,13
PA4676,10,23
PA4677,64.5,61
PA4678,7,6
PA4679,31.5,7
PA4680,10.5,10
PA4681,39.5,25
PA4682,173.5,93
PA4683,37.5,64.5
PA4684,9,4.5
PA4685,0,0
PA4686,26.5,59.5
PA4687,50.5,63
PA4688,0,3.5
PA4689,228,210
PA4690,22,21.5
PA4691,13,11
PA4692,55.5,41
PA4693,65,58
PA4694,676,954.5
PA4695,14.5,38
PA4696,109,241
PA4697,111.5,76.5
PA4698,19,7.5
PA4699,217.5,139
PA4700,42,54
PA4701,85,130
PA4702,136,74.5
PA4703,124.5,111.5
PA4704,105,48
PA4705,11.5,18
PA4706,2.5,6
PA4707,0,2.5
PA4708,16,22.5
PA4709,0,3.5
PA4710,6,6
PA4711,10.5,16
PA4712,2,2
PA4713,86,82.5
PA4714,53,111
PA4715,154.5,152.5
PA4716,21,14.5
PA4717,171.5,97
PA4718,5.5,5.5
PA4719,61,40.5
PA4720,124,60.5
PA4721,20.5,22
PA4722,31.5,65
PA4723,399,315
PA4724,9.5,6
PA4724.1,0.5,0
PA4725,33,36.5
PA4726,1139,1423
PA4727,40.5,58.5
PA4728,5.5,6
PA4729,19.5,21.5
PA4730,6,12.5
PA4731,2,1
PA4732,116,144
PA4733,161,112
PA4734,13.5,13.5
PA4735,642,558.5
PA4736,6.5,18.5
PA4737,3,5
PA4738,383.5,141
PA4739,135,60.5
PA4740,1431,1905
PA4741,335,602
PA4742,17,40
PA4743,22,24.5
PA4744,946.5,1285
PA4745,391.5,498.5
PA4746,12,18
PA4747,163,187.5
PA4748,458.5,400.5
PA4749,353,530.5
PA4750,43.5,40.5
PA4751,1897.5,1755.5
PA4752,18,14
PA4753,33,34.5
PA4754,18.5,12.5
PA4755,147.5,125.5
PA4756,728,1240
PA4757,38,33
PA4758,275,278
PA4759,349,126
PA4760,1369,539
PA4761,12588.5,3892
PA4762,764,222
PA4763,44,54
PA4764,280,230.5
PA4765,34,58.5
PA4766,12,5.5
PA4767,34,40
PA4768,37.5,41.5
PA4769,276,170
PA4770,15.5,15.5
PA4771,17,23
PA4772,42.5,38.5
PA4773,0,0
PA4774,1,0
PA4775,2.5,1.5
PA4776,13,14.5
PA4777,21,8
PA4778,81,66
PA4779,0,2
PA4780,103.5,72.5
PA4781,293,250.5
PA4782,3,2.5
PA4783,2.5,13
PA4784,13,3.5
PA4785,50.5,19.5
PA4786,39,21
PA4787,144.5,150
PA4788,14,7.5
PA4789,0,2.5
PA4790,3.5,0
PA4791,6.5,14
PA4792,34.5,43
PA4793,183.5,236
PA4794,10.5,17
PA4795,1.5,2.5
PA4796,6,1
PA4797,16.08,16.5
PA4798,107.5,59
PA4799,1.5,0
PA4800,2.5,1.5
PA4801,2.5,0
PA4802,0,0.5
PA4803,8.5,35.5
PA4804,6.5,6
PA4805,3,2
PA4806,0,3
PA4807,40.5,55.5
PA4808,59.5,63.5
PA4809,10,14
PA4810,62.5,73.5
PA4811,213.5,150.5
PA4812,1714.5,1299
PA4813,3,4.5
PA4814,6,1.5
PA4815,2,2
PA4816,6.5,6
PA4817,0.5,2.5
PA4818,2.5,4
PA4819,0,0
PA4820,0,0
PA4821,6.5,0.5
PA4822,0,0.5
PA4823,0,0
PA4824,0,0
PA4825,1,5
PA4826,0,0
PA4827,13.5,10
PA4828,0.5,2
PA4829,177,112.5
PA4830,0,2.5
PA4831,7.5,12.5
PA4832,8.5,10
PA4833,31.5,29.5
PA4834,0,1.5
PA4835,1,3
PA4836,0,4.5
PA4837,14.5,23
PA4838,1.5,1
PA4839,197.5,164.5
PA4840,2.5,3.5
PA4841,54.5,59.5
PA4842,457,501
PA4843,546.5,1178
PA4844,6,9.5
PA4845,19,29
PA4846,26.5,18.5
PA4847,146.5,76.5
PA4848,1265.5,608.5
PA4849,0,2.5
PA4850,41,43
PA4851,27,16.5
PA4852,238,165
PA4853,12.5,25
PA4854,32.5,43.5
PA4855,19,20
PA4856,128.5,105.5
PA4857,2.5,5.5
PA4858,0,1
PA4859,0,0
PA4860,0,0
PA4861,1,0
PA4862,2,3
PA4863,2,7
PA4864,1.5,3
PA4865,0,6.5
PA4866,0,2
PA4867,0.5,2.5
PA4868,62,126
PA4869,14,7
PA4870,31.5,20
PA4871,0,0
PA4872,9,20.5
PA4873,0,0
PA4874,2374,1100.5
PA4875,11,3
PA4876,658,244
PA4877,85,28
PA4878,25.5,15
PA4879,147.5,82
PA4880,880.5,380
PA4881,0,0
PA4882,1,3
PA4883,0,0
PA4884,2,0
PA4885,2,4.5
PA4886,4.5,9
PA4887,4.5,6
PA4888,5.5,21
PA4889,11.5,27.5
PA4890,9.5,7.5
PA4891,0,1
PA4892,0,2
PA4893,2.5,6
PA4894,0.5,2
PA4895,3.5,1
PA4896,0,0
PA4897,9,6.5
PA4898,2.5,1.5
PA4899,23.5,24.5
PA4900,6,3
PA4901,0,4.5
PA4902,5,5.5
PA4903,1,0
PA4904,0,0.5
PA4905,6.5,1
PA4906,22,19
PA4907,23.5,21.5
PA4908,6.5,7
PA4909,19.5,35.5
PA4910,7,21
PA4911,0,7
PA4912,1,4.5
PA4913,278.5,173.5
PA4914,4,5.5
PA4915,696.5,361
PA4916,89.5,54
PA4917,49.5,17.5
PA4918,15.5,34
PA4919,38,145.5
PA4920,115.5,179
PA4921,8,11.5
PA4922,2617,3334.5
PA4923,7,6
PA4924,19.5,14.5
PA4925,92.5,49.5
PA4926,14.5,6
PA4927,17.5,33.5
PA4928,70,42
PA4929,172,112.5
PA4930,15,4
PA4931,50.5,44.5
PA4932,156.5,251.5
PA4933,83,84
PA4934,105.5,159.5
PA4935,346,409.5
PA4936,110.5,148.5
PA4937,607,632
PA4938,684,828
PA4939,7,29
PA4940,0,1.5
PA4941,938,1079.5
PA4942,695,609.5
PA4943,629.5,580.5
PA4944,248,309
PA4945,110,75
PA4946,266.5,170
PA4947,683.5,459.5
PA4948,12.5,19.5
PA4949,28.5,32.5
PA4950,17.5,12.5
PA4951,307,278.5
PA4952,53.5,58.5
PA4953,38,58
PA4954,74.5,66
PA4955,69,56.5
PA4956,11.5,15
PA4957,58.5,70
PA4958,183.5,181
PA4959,144.5,161.5
PA4960,55,64
PA4961,37.5,38.5
PA4962,0,1
PA4963,65,79
PA4964,70,119.5
PA4965,4.5,11.5
PA4966,12,20
PA4967,34.5,80
PA4968,2.5,7.5
PA4969,10,15.5
PA4970,20.5,21.5
PA4971,131.5,149
PA4972,116.5,96.5
PA4973,52,26
PA4974,51,44.5
PA4975,33,18
PA4976,53.5,23
PA4977,1.5,6
PA4978,7.5,4
PA4979,3,1.5
PA4980,6.5,0
PA4981,4,3
PA4982,6.5,1.5
PA4983,9,5.5
PA4984,28.5,13.5
PA4985,1,3
PA4986,6.5,4.5
PA4987,0,2.5
PA4988,11.5,11.5
PA4989,1,0.5
PA4990,0,0
PA4991,4,19
PA4992,11,25.5
PA4993,12,5
PA4994,20.5,22.5
PA4995,1.5,5
PA4996,187.5,275.5
PA4997,45,97.5
PA4998,13.5,11.5
PA4999,8.5,13
PA5000,278.5,261
PA5001,87,148
PA5002,10.5,17
PA5003,40,57
PA5004,71.5,104
PA5005,220.5,379.5
PA5006,28.5,27.5
PA5007,6.5,16.5
PA5008,29.5,50.5
PA5009,15.5,14
PA5010,36.5,55
PA5011,84,87
PA5012,32,47
PA5013,567.5,721
PA5014,124.5,161.5
PA5015,796.5,1474.5
PA5016,412.5,937.5
PA5017,146,164
PA5018,54.5,48.5
PA5019,153,164
PA5020,9,28
PA5021,8,8.5
PA5022,70.5,72.5
PA5023,5.5,2.5
PA5024,0,0
PA5025,28.5,42
PA5026,11.5,14.5
PA5027,327,428.5
PA5028,194,100
PA5029,21,17.5
PA5030,49.5,43.5
PA5031,0,1
PA5032,2.5,0
PA5033,7.5,7
PA5034,28.5,21.5
PA5035,93,109
PA5036,88.5,73.5
PA5037,91.5,147.5
PA5038,111,172.5
PA5039,153.5,119
PA5040,3455.5,3899
PA5041,137.5,184
PA5042,229,208.5
PA5043,345,398
PA5044,2050.5,1930.5
PA5045,85.5,96.5
PA5046,217.5,286.5
PA5047,276.5,142.5
PA5048,183.5,116
PA5049,34.5,18.5
PA5050,10,13.5
PA5051,308,433.5
PA5052,16,23
PA5053,251,81.5
PA5054,705,375
PA5055,9.5,15
PA5056,184,159
PA5057,30.5,28
PA5058,522,236.5
PA5059,66,47
PA5060,5191.5,4234
PA5061,876,456
PA5062,0,1.5
PA5063,67.5,67
PA5064,10.5,7.5
PA5065,32.5,56
PA5066,45.5,80
PA5067,30,69
PA5068,241,290
PA5069,125.5,189.5
PA5070,6.5,24
PA5071,5.5,2.5
PA5072,17.5,18.5
PA5073,13.5,10.5
PA5074,5.5,17.5
PA5075,4.5,15.5
PA5076,70.5,135.5
PA5077,150.5,200.5
PA5078,165.5,232.5
PA5079,44.5,43
PA5080,167.5,385
PA5081,3,1
PA5082,9,14.5
PA5083,0,0
PA5084,4.5,2
PA5085,5,5.5
PA5086,110,113
PA5087,33.5,50
PA5088,127,245
PA5089,53,49
PA5090,37,36.5
PA5091,264,203
PA5092,166,110.5
PA5093,120,72
PA5094,129.5,73
PA5095,51.5,30
PA5096,145,63.5
PA5097,27.5,16.5
