,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
migA,746,918,789,1171,1038,982
cat,358,365,287,411,424,323
toxR,89,113,95,112,140,112
PA0708,326,304,315,499,559,478
PA0709,128,105,127,219,173,158
gloA2,95,105,109,132,122,98
PA0711,105,158,131,132,187,130
PA0712,34,41,43,40,54,53
PA0713,1723,2865,1319,1557,912,1173
PA0714,187,319,154,190,124,125
phrD,543,372,278,473,427,434
PA0715,619,458,653,1113,969,932
PA0716,640,550,638,1230,936,886
PA0718,87,99,76,93,102,118
PA0719,134,166,126,156,187,209
PA0720,80,84,92,184,133,115
PA0721,97,119,103,119,112,98
PA0722,228,242,259,309,302,256
coaB,1230,1294,1016,1645,1390,1256
PA0724,122,98,132,137,181,134
PA0725,36,38,29,54,56,37
PA0726,268,267,221,287,309,277
PA0727,224,229,195,266,285,267
PA0728,107,143,124,182,199,155
PA0729,421,336,465,766,653,556
PA0729.1,80,58,85,139,116,115
PA0730,477,494,421,555,548,499
PA0731,705,406,547,824,658,612
PA0732,3654,2319,1861,2624,3217,2673
PA0733,210,226,176,268,231,237
PA0734,205,208,190,250,249,240
PA0735,412,368,379,429,520,448
PA0736,639,588,465,623,689,585
PA0736a,2196,1967,1016,1335,1751,1615
PA0737,986,758,577,682,880,726
PA0738,148,123,103,154,149,143
PA0739,387,354,302,389,615,420
sdsA1,372,258,259,385,638,431
PA0741,694,588,531,584,854,715
PA0742,449,429,365,528,518,445
PA0743,5870,4135,4015,5524,5343,3913
PA0744,40238,25304,24579,28729,34374,23711
PA0745,34344,22974,22700,29722,36330,26146
PA0746,13403,8327,9984,14887,16055,12275
PA0747,10747,8843,6133,7913,14341,10345
PA0749,161,167,130,194,220,195
ung,599,563,846,1191,782,661
PA0751,2087,1418,3478,3971,2825,1525
PA0752,3147,1625,6340,8549,4647,2761
PA0753,588,291,1283,2026,1012,612
PA0754,3163,1555,6329,10649,5284,3362
opdH,629,378,1616,3073,1423,896
PA0756,415,437,399,416,558,484
PA0757,564,583,617,757,736,625
PA0758,922,814,875,1566,1005,960
PA0759,1425,1550,1150,1458,2261,2130
PA0760,842,1150,746,788,1262,976
nadB,3043,2830,2420,3361,3954,3309
algU,4715,4231,3459,4701,6501,5764
mucA,20069,17022,11232,13374,20028,16401
mucB,16168,14009,8989,9540,15209,12338
mucC,3320,2984,2098,2181,3458,2908
mucD,15962,9887,12849,17895,14553,12536
lepA,1342,1501,1519,2481,1903,1789
lepB,1385,1588,1440,1990,1647,1490
PA0769,1054,1149,806,1228,1026,924
rnc,1690,1587,1265,1625,1686,1462
era,1510,1333,1482,2067,1665,1478
recO,293,272,231,299,350,307
pdxJ,2080,1739,1918,1995,2034,1621
PA0774,284,289,353,422,410,302
PA0775,159,190,211,318,234,260
PA0776,345,270,235,312,313,266
PA0777,214,253,229,336,325,339
icp,370,271,476,578,538,469
bioD,1168,1138,890,835,1352,995
pruR,525,599,496,500,884,822
PA0781,252,284,220,238,254,276
putA,4051,3597,3435,4516,4300,4123
putP,1928,1814,1763,2438,2097,1709
PA0784,3052,3112,2391,3188,3968,3494
azoR1,158,190,147,183,851,775
PA0786,102,95,69,86,378,319
PA0787,1084,998,936,1106,1510,1278
PA0788,8020,7334,4696,5426,6361,5462
PA0788a,402,368,320,494,506,448
PA0789,813,1210,1022,1509,2815,2516
PA0790,60,84,70,103,142,108
PA0791,3802,2722,1666,1950,4069,2500
prpD,13187,7225,6016,7953,14180,9318
PA0793,9560,7057,4287,5686,14709,9861
PA0794,42293,35183,19027,23777,82263,53301
prpC,37963,36243,16000,21287,70299,44793
prpB,8752,9996,4665,6640,18575,13351
PA0797,662,1777,371,400,1689,1534
pmtA,675,841,593,746,624,523
PA0799,1050,1138,988,1182,1236,1100
PA0800,53,98,60,71,74,53
PA0801,412,685,433,541,550,434
PA0802,134,209,182,227,148,148
PA0803,904,872,701,899,740,568
PA0804,1637,1110,1288,1269,1352,1103
PA0805,1055,890,889,2107,1408,1399
PA0806,150,173,128,157,124,143
ampDh3,1624,1486,890,1207,1665,1340
PA0808,324,344,272,309,430,324
PA0809,337,398,252,313,489,383
PA0810,399,448,296,343,443,342
PA0811,601,600,424,464,675,512
PA0812,428,477,291,299,496,350
PA0813,956,1043,638,670,931,749
PA0814,376,401,174,222,298,244
PA0815,3535,3127,2400,2848,4498,3708
PA0816,1814,1884,1255,1344,2033,1627
PA0817,175,195,211,286,293,224
PA0818,178,168,160,215,245,165
PA0819,40,52,48,30,43,49
PA0820,870,807,812,1066,1327,1095
PA0821,483,570,578,1118,737,653
PA0823,265,307,225,299,281,226
PA0824,209,267,213,238,270,223
PA0825,25,26,30,42,32,28
PA0826,358,323,285,386,327,269
ssrA,2205868,1515005,1401602,1806572,2195338,1608312
PA0827,166,203,190,274,311,317
PA0828,125,139,120,129,193,152
PA0829,157,142,126,196,235,189
PA0830,1225,1054,2295,3966,1332,1168
oruR,721,743,512,669,1194,1072
PA0832,472,417,434,693,625,578
PA0833,6472,4996,6210,9383,8558,8899
PA0834,378,319,428,659,550,528
pta,16315,11127,15069,18679,17737,16234
ackA,10075,5369,9582,13361,11393,10066
PA0836.1,781,419,950,1346,1005,935
slyD,3133,2627,2431,3169,3145,2691
PA0838,6166,6021,4584,5225,5252,4203
PA0839,398,482,327,447,1144,828
PA0840,1613,1908,1617,1778,4599,3561
PA0841,409,418,439,613,839,640
PA0842,269,341,265,320,441,329
plcR,235,195,214,281,268,273
plcH,327,180,280,482,229,174
PA0845,306,268,343,383,304,274
PA0846,1191,1184,1079,1416,1387,1191
PA0847,975,831,835,1106,1048,856
PA0848,518,326,410,505,1958,1437
trxB2,768,528,721,864,2288,1900
PA0850,563,580,648,763,730,570
PA0851,1073,1113,1161,1359,1670,1388
cbpD,9562,11095,5688,7446,4182,3684
PA0853,3685,3077,2455,2612,4134,3309
fumC2,9418,7611,6102,8738,10773,8667
PA0855,640,539,414,530,636,549
PA0856,3730,3020,2922,3849,4092,3869
bolA,1366,1273,1164,1526,1662,1545
PA0858,960,884,864,999,1502,1232
PA0859,1246,1187,830,1042,1378,1197
braF,3100,1876,2633,4609,3343,2755
PA0861,4256,3989,3307,4283,4376,3672
PA0862,3781,4052,2426,3191,4984,3867
PA0863,740,770,598,755,944,738
PA0864,118,158,90,111,169,147
hpd,31122,25939,21866,49761,54448,37366
aroP2,2562,1815,1134,1562,2704,1714
mliC,3310,3616,3062,4658,5298,4664
PA0868,672,572,526,746,879,755
pbpG,1959,1835,1566,2238,2497,2247
phhC,65739,54335,40674,47799,71416,54168
phhB,8867,8198,8438,15487,15173,12414
phhA,24186,19581,18298,36240,36474,31743
phhR,1589,1555,1051,1185,2075,1759
PA0874,114,74,93,136,150,120
PA0875,531,623,423,456,633,453
PA0876,1382,1391,1185,1580,1969,1775
PA0877,438,417,372,436,555,535
PA0878,138,130,97,104,112,94
PA0879,135,126,130,151,159,139
PA0880,19,7,15,36,16,23
PA0881,97,71,98,118,139,87
PA0882,155,96,136,142,167,141
PA0883,172,107,123,130,148,106
PA0884,166,163,126,195,274,168
PA0885,47,30,32,47,49,43
PA0886,159,143,118,134,161,130
acsA,27248,50448,5542,6859,172450,126933
PA0887.1,36,48,34,115,82,103
aotJ,3972,3332,5673,7944,4553,4351
aotQ,875,785,893,1165,926,765
aotM,1144,934,1322,1877,1259,1129
PA0891,3028,2394,3332,3559,3299,2566
braG,2729,1608,2197,3607,2686,2236
argR,3713,3298,3171,3607,3648,3143
PA0894,842,690,631,658,772,593
aruC,22577,17741,15594,18860,27531,21996
aruF,7286,4746,5987,7311,8203,6434
aruG,8688,5415,7693,9897,9955,7567
aruD,17576,12018,15304,19807,19793,14618
aruB,23990,14446,21763,29738,25481,18498
PA0900,5137,3330,4830,6910,5383,4197
aruE,8961,6497,8647,10871,9290,7030
PA0902,854,746,710,878,1107,999
alaS,2211,2178,3574,5731,3807,3747
lysC,1335,1481,2093,3645,2058,2219
rsmA,943,843,1530,1725,1449,1279
PA0905.1,445,555,561,1128,716,680
PA0905.2,109,160,182,375,231,195
PA0905.3,23,44,31,39,46,30
PA0906,370,353,249,382,778,483
PA0907,600,739,369,414,725,517
PA0908,177,183,79,96,177,145
PA0909,78,138,64,56,113,104
PA0910,361,426,233,318,381,333
PA0911,229,287,171,256,268,241
PA0912,79,106,68,104,127,133
mgtE,1351,1176,1016,1120,1546,1334
PA0914,97,92,88,80,121,80
PA0915,35,48,54,85,59,61
PA0916,686,562,599,791,773,659
kup,3030,3733,2315,2805,3208,2685
PA0918,2691,4196,2251,2967,3982,3408
PA0919,2497,1977,2110,2585,2759,2486
PA0920,2873,3038,2513,3246,3057,3188
PA0921,1538,2451,1489,1692,1513,1609
PA0922,635,718,576,867,704,725
PA0922.1,8,8,9,23,12,8
dinB,633,672,493,624,876,649
PA0924,431,409,343,487,554,453
PA0925,524,433,490,652,553,567
PA0926,790,690,671,801,854,752
ldhA,719,586,701,962,1016,887
gacS,2847,2315,2423,3049,3668,3193
PA0929,561,2165,342,393,504,595
PA0930,490,899,369,398,507,540
pirA,473,505,351,469,581,461
cysM,1699,1715,1731,2277,2702,2469
ygcA,1980,2285,1836,2138,2980,2604
relA,6172,5527,7467,9946,9018,7810
PA0935,1105,985,1009,1066,1576,1385
lpxO2,1243,1314,1145,1634,1586,1610
PA0937,302,299,339,600,510,489
PA0938,1831,2464,1586,2268,2027,1829
PA0939,128,128,120,164,179,139
PA0940,508,414,428,459,707,534
PA0941,862,695,712,854,1126,903
PA0942,1172,1110,840,827,1343,1044
PA0943,2197,1719,2064,2889,3042,2594
purN,448,475,547,963,779,763
purM,1075,911,1367,1882,1263,1123
PA0946,2118,2006,1987,2371,3175,2401
PA0947,464,559,496,638,783,688
PA0948,425,409,345,516,636,604
wrbA,1333,1316,1020,1388,2013,1696
PA0950,635,684,569,1005,1194,993
PA0951,861,954,750,876,1086,965
PA0951a,2640,4314,1825,2411,2749,3036
PA0952,2402,3799,1745,2262,2469,2815
PA0953,739,774,604,661,1129,995
PA0954,1000,1169,775,965,1371,1241
PA0955,1590,1879,1588,2309,2416,2229
proS,3783,3636,4551,7132,5922,5621
PA0957,216,185,203,285,219,210
oprD,79479,55178,62111,92534,79813,63529
PA0959,7503,6046,4613,5038,6003,4607
PA0960,574,538,465,595,570,396
PA0961,258,226,319,427,288,301
PA0962,21554,16617,21630,30844,31725,26725
aspS,4021,4340,4840,6721,5761,4987
pmpR,2063,1768,2743,3769,3156,2893
ruvC,502,529,581,661,797,772
ccmA,367,484,389,450,404,403
clpA,48897,41624,33832,43682,44013,35694
PA0968,775,827,747,1009,913,963
tolQ,2194,2102,2372,3895,2725,2695
tolR,1447,1079,1433,2119,1685,1602
tolA,2185,1754,2063,2662,2779,2457
tolB,4825,3850,5142,8575,6164,6307
oprL,21177,22069,20261,23778,27541,24242
PA0974,2882,2943,3083,3600,4433,3692
PA0975,423,494,421,657,634,673
PA0976,664,877,727,1374,1144,1381
PA0976.1,242,248,284,422,420,453
PA0978,152,131,141,169,216,173
PA0979,86,85,73,75,136,106
PA0981,116,130,142,368,117,129
PA0982,296,357,263,467,387,315
PA0983,443,426,300,432,530,361
PA0984,72,63,67,123,55,59
pyoS5,191,198,193,462,287,251
PA0986,10,12,17,21,21,12
PA0987,65,59,57,59,51,50
PA0988,367,375,309,380,483,440
PA0989,140,160,176,188,211,208
PA0990,423,381,334,372,511,407
cupC1,537,515,451,758,688,586
cupC2,5,6,5,13,2,6
cupC3,417,398,377,508,596,461
ogt,615,587,536,787,897,790
pqsA,7677,5509,4658,5560,5526,4846
pqsB,23143,15426,10381,12213,12334,11012
pqsC,21715,12420,9324,12371,11542,10346
pqsD,30888,21913,12247,12815,15087,13505
pqsE,14725,12200,6375,6030,8045,7183
phnA,17421,15341,7011,7327,9196,8289
phnB,6171,5955,2823,3339,4024,3570
mvfR,3478,3033,2174,3187,3285,2812
nadA,3537,3446,2703,2906,4435,3484
PA1005,2623,2409,2295,3144,3568,3157
PA1006,245,234,195,232,320,223
PA1007,249,284,282,461,384,349
bcp,873,942,1025,1853,1321,1403
PA1009,606,656,629,1139,1104,979
dapA,3921,4049,4005,5948,5621,5475
PA1011,4683,4420,5233,6838,6657,6205
PA1012,1191,1285,1464,1851,1792,1673
purC,3656,3518,3513,4405,4621,4291
PA1013.1,63,93,79,111,91,89
PA1014,732,810,837,1089,1196,1012
PA1015,932,965,1070,1145,1177,921
PA1016,600,555,709,843,686,552
pauA,411,423,605,771,552,436
PA1018,185,295,298,334,273,207
mucK,149,110,140,210,164,177
PA1019a,83,82,108,114,132,97
PA1020,958,894,867,890,1078,902
PA1021,815,789,750,786,977,692
PA1022,705,550,715,1140,909,753
PA1023,1025,986,949,1509,1344,1021
PA1024,1002,958,1046,1274,1535,1081
PA1025,204,178,202,286,343,282
PA1026,164,161,424,659,230,159
PA1027,1856,1201,1640,1977,3903,3319
PA1028,539,529,511,677,1219,1035
PA1030,2346,2278,1768,2195,3092,2498
PA1030.1,8,9,12,12,10,21
PA1031,1391,1327,1121,1236,1960,1690
quiP,2048,2008,2013,2689,2688,2363
PA1033,1278,838,892,1381,1740,1468
PA1034,108,129,118,217,195,181
PA1035,358,385,278,444,485,400
PA1036,1734,1653,1301,1424,1945,1554
PA1037,434,416,402,515,538,442
PA1038,541,524,449,511,725,629
PA1039,1044,895,856,1012,1265,1081
PA1040,631,587,521,780,899,848
PA1041,37765,26997,23808,28856,17905,13720
PA1042,760,702,657,731,646,506
PA1043,1206,1063,1119,1128,1183,919
PA1044,319,290,333,354,404,330
clpP,2661,2902,2744,5319,3685,3538
PA1046,912,767,728,847,968,771
PA1047,981,932,887,1041,1249,1102
PA1048,4455,3742,3791,5246,4751,4207
pdxH,2414,1203,2793,3561,3139,2967
PA1050,1842,1190,1887,2098,2278,2103
PA1051,288,265,288,379,496,414
PA1052,774,832,754,892,1072,848
PA1052a,117,131,188,322,207,186
PA1053,23545,23782,19168,23213,22787,20888
PA1054,3216,2926,2767,3283,2827,2212
PA1055,833,754,703,827,725,616
PA1056,2262,1968,1737,1973,1786,1436
PA1057,1417,1320,1106,1235,1239,931
PA1058,497,453,430,568,441,334
PA1059,276,274,259,580,301,300
PA1060,885,964,811,839,1033,879
PA1061,1832,1653,1659,2022,2347,2031
PA1062,1051,1018,1102,1302,1480,1158
PA1063,373,357,461,573,577,510
PA1064,1019,933,1118,1444,1576,1426
PA1065,927,894,804,1048,1042,1005
PA1066,981,929,704,940,1509,1313
PA1067,120,106,137,174,203,188
PA1068,1038,899,1103,1248,1234,1020
PA1069,2275,2075,2643,2838,2821,2176
clpX,23557,22200,20150,31283,26516,24292
cysA,3848,3723,1205,1726,2850,2701
braE,6778,4047,5010,6923,6306,4819
braD,2384,1496,1956,3789,2496,2155
braC,24813,15295,16819,26065,23169,18414
PA1075,452,479,362,452,725,600
PA1076,1625,791,2229,5162,2754,2980
flgB,1566,1461,1011,1619,1947,1676
flgC,1307,1288,846,1368,1582,1546
flgD,866,1036,830,1863,1517,1495
flgE,9412,8819,7345,12608,11065,9953
flgF,1832,1748,1210,1624,2523,2212
flgG,5412,5401,3851,5723,6762,6095
flgH,2188,1794,1715,2553,2837,2584
flgI,4173,3872,3011,3431,5003,4488
flgJ,3498,3067,2573,3185,4178,3852
flgK,7558,6352,6122,9118,8900,8073
flgL,5623,5159,4915,7503,6707,5859
PA1088,3185,2828,2570,2936,3629,2922
PA1089,2389,2135,1724,1923,2412,2056
PA1090,1217,1090,907,1182,1146,1127
fgtA,15260,15340,11653,12038,15963,13292
fliC,137200,142565,112553,177412,149536,125478
PA1093,3532,3484,3657,6940,4651,4135
fliD,19547,16632,16252,28099,20496,18110
PA1095,10356,14242,8418,10920,11807,9751
PA1096,8001,9335,5982,7238,8050,6579
fleQ,8509,6675,6112,7589,7751,6203
fleS,4043,3872,2646,3007,4115,3936
fleR,4052,4102,3133,4018,4905,4807
fliE,1250,1430,826,1058,1361,1277
fliF,4395,4473,3453,4283,5062,4897
fliG,2924,2885,2593,3554,4033,3859
PA1103,1909,1996,1657,1723,2496,2336
dbpA,1987,1978,1708,2145,3096,2621
fliJ,249,303,273,360,372,302
PA1106,505,522,501,687,767,702
PA1107,951,931,533,689,1080,943
PA1108,66,93,84,71,123,90
PA1109,395,457,347,351,606,509
PA1110,508,608,411,493,769,624
PA1111,1176,759,480,440,1172,870
PA1112,2602,2039,1967,2359,2421,1905
PA1112a,765,611,558,674,786,590
PA1112.1,679,775,665,1752,832,882
PA1112b,653,751,649,1721,814,858
fliI,2199,2359,1832,1997,2743,2507
PA1114,851,799,664,660,824,693
PA1115,2976,2665,2025,2723,2999,2686
PA1116,333,396,316,428,370,360
PA1117,437,430,392,564,441,419
PA1118,1706,1312,1073,1248,1198,1141
yfiB,2202,1782,2183,2821,1762,1575
tpbB,738,668,666,969,710,641
yfiR,617,694,557,714,624,558
PA1123,764,1599,723,939,778,957
dgt,1007,943,865,1423,1330,1282
PA1125,976,968,805,930,1202,1049
PA1126,337,341,336,440,812,661
PA1127,1735,1641,1467,1767,7394,6249
PA1128,215,188,211,249,246,202
PA1129,982,1185,699,718,719,591
rhlC,3207,2993,1998,2208,2116,1924
PA1131,1144,1262,627,687,823,645
PA1132,198,233,201,286,286,263
PA1133,123,145,104,132,195,156
PA1134,107,67,78,68,106,79
PA1135,5548,3705,2879,3504,5358,4366
PA1136,1239,1278,1331,1746,2439,2051
PA1137,8105,9836,9116,10633,16920,12604
PA1138,418,308,323,435,598,515
PA1139,827,703,633,797,1096,872
PA1140,1055,726,856,1222,998,715
PA1141,196,184,214,263,270,196
PA1142,269,213,232,256,343,299
PA1143,290,184,214,183,172,122
PA1144,134,104,108,140,105,108
PA1145,299,262,213,280,344,286
PA1146,179,136,154,155,171,171
PA1147,262,334,256,241,416,314
toxA,283,293,256,280,304,252
PA1149,103,85,97,127,160,114
pys2,1235,1347,1065,1998,1697,1393
imm2,1288,789,1391,2627,1672,1420
PA1153,184,175,195,200,195,162
PA1154,76,55,56,69,88,74
nrdB,4613,8456,6389,8794,14967,15599
nrdA,8046,7647,12825,19452,22160,20766
PA1157,268,257,270,363,361,309
PA1158,415,363,454,480,535,484
PA1159,2097,1800,1109,1357,1387,1351
PA1160,688,705,592,642,1029,811
rrmA,432,421,477,608,622,612
dapE,625,605,712,1014,936,882
ndvB,1023,955,720,971,949,783
PA1164,690,826,664,675,1125,944
pcpS,594,677,507,557,875,759
PA1166,824,782,652,746,678,620
PA1167,713,763,452,659,805,787
PA1168,96,46,61,152,64,58
PA1169,986,694,682,819,700,599
PA1170,489,607,420,527,491,627
PA1171,1852,1829,1618,2072,1899,1626
napC,2191,1555,1539,2356,1540,1259
napB,2765,1744,1775,2517,1868,1555
napA,18184,11420,11501,16158,12897,10525
napD,1578,945,1085,1389,1087,941
napF,4838,4003,2837,2793,2855,2257
napE,7144,5675,3899,3772,4444,3392
oprH,25809,38770,28475,59099,37922,46105
phoP,13077,19428,12925,16502,16006,18893
phoQ,3946,6856,4448,6079,5509,7259
PA1181,2611,2833,1992,2400,2552,2303
PA1182,948,1076,624,628,742,657
dctA,3774,6117,2166,3580,11263,10751
PA1184,541,482,400,501,594,504
PA1185,116,102,85,101,171,130
PA1186,215,175,132,205,231,214
PA1187,180,158,278,358,315,325
PA1188,1035,973,956,1071,1336,1169
PA1189,277,282,320,399,399,379
PA1190,1345,646,918,1257,3120,1177
PA1191,512,423,401,502,525,436
PA1192,319,290,365,544,475,413
PA1193,454,451,458,603,587,516
PA1194,381,376,222,305,338,302
PA1195,787,669,301,447,564,418
PA1196,3902,693,4834,5387,5945,5397
PA1197,1540,586,1692,2098,2168,2149
PA1198,669,673,793,1601,1092,976
PA1199,1247,972,789,1284,1602,1380
PA1200,1098,923,707,897,1384,1091
PA1201,946,973,748,817,1145,958
PA1202,3024,2609,2708,4424,2944,2603
PA1203,1273,1306,950,1129,3528,3008
PA1204,1337,1231,1080,1512,2967,2473
PA1205,2002,1899,1627,2189,4796,3917
PA1206,329,359,320,466,734,585
kefB,1445,1366,1248,1404,2472,2019
PA1208,983,1043,663,860,1139,960
PA1209,715,760,489,587,1178,947
PA1210,239,287,165,265,3686,3087
PA1211,338,250,175,217,203,159
PA1212,409,404,333,478,308,269
PA1213,858,611,630,774,486,360
PA1214,1585,1245,1038,1258,1003,762
PA1215,2118,1540,1457,1789,1431,1001
PA1216,4079,2597,2752,3613,2632,1890
PA1217,4922,3230,3137,3905,3116,2259
PA1218,2269,1269,1315,1938,1422,991
PA1219,363,263,242,262,312,217
PA1220,827,574,616,659,857,533
PA1221,793,546,601,630,852,532
PA1222,802,783,811,1081,1352,1209
PA1223,1928,1767,1592,1706,3416,2855
PA1224,565,551,497,639,61036,51398
PA1225,306,309,344,409,23228,19061
PA1226,297,250,323,298,5648,4744
PA1227,611,634,439,480,7687,6179
PA1228,127,155,144,174,1249,1011
PA1229,296,213,227,292,698,567
PA1230,3,3,2,3,18,15
PA1231,45,47,39,49,113,63
PA1232,200,192,194,223,313,250
PA1233,125,110,139,206,172,158
PA1234,325,310,284,370,416,339
PA1235,425,468,403,527,673,557
PA1236,130,136,145,195,175,168
PA1237,113,96,70,87,145,127
PA1238,128,115,80,75,141,94
PA1239,206,170,169,170,251,230
PA1240,351,271,246,347,521,378
PA1241,168,168,158,216,248,230
PA1242,3388,2290,1709,1988,3663,2733
PA1243,7122,4526,4343,5302,8113,6364
PA1244,6373,6501,5978,9049,7380,6664
PA1245,3491,3218,2515,2922,2477,1958
hisE,917,933,790,1092,1430,1278
aprE,3119,2675,2588,3205,2204,2007
aprF,3528,3129,2766,2931,2515,2123
aprA,35277,29244,29398,44740,26250,23979
aprI,3707,3014,3101,3312,2811,2212
PA1251,3698,3159,3172,2827,2842,2195
PA1252,2078,1326,1549,1489,1532,1210
PA1253,812,417,718,825,494,412
PA1254,510,154,425,527,182,107
PA1255,967,288,601,797,441,292
hisG,1321,1153,1618,2145,1851,1620
PA1257,125,65,88,120,89,49
PA1258,56,37,60,55,52,34
PA1259,424,354,301,298,357,282
PA1260,208,112,140,224,143,122
PA1261,228,226,166,202,300,212
PA1262,62,56,38,65,84,41
PA1263,523,427,536,688,736,603
PA1264,605,635,584,612,1238,985
PA1265,84,111,92,90,909,776
PA1266,245,228,237,224,648,524
PA1267,182,171,169,162,257,217
PA1268,141,108,99,132,174,137
PA1269,564,606,463,659,705,600
PA1270,130,146,126,123,144,130
PA1271,315,313,380,549,535,489
cobO,323,292,489,521,613,536
cobB,364,334,441,521,598,523
PA1274,206,254,258,240,334,252
cobD,190,185,205,169,246,194
cobC,235,245,264,325,370,335
cobQ,386,410,439,497,634,586
cobP,201,231,255,271,375,328
cobU,547,887,728,732,1106,955
PA1280,158,238,221,220,320,292
cobV,286,300,427,560,358,374
PA1282,675,537,1836,2444,510,416
PA1283,1245,959,3469,4082,1290,955
PA1284,737,683,1483,1622,1013,821
PA1285,333,339,361,327,2502,2106
PA1286,170,200,193,178,3121,2388
PA1287,1469,1035,966,1384,1562,1337
PA1288,15505,13619,13998,21336,28468,22384
PA1289,299,392,311,377,334,318
PA1290,194,191,253,320,296,256
PA1291,423,435,447,597,580,499
PA1292,1969,1741,1955,3027,2681,2516
PA1293,662,626,987,1357,926,771
rnd,1473,1490,1143,1402,1572,1445
PA1295,96,110,137,224,145,170
PA1296,1209,1184,998,1088,1696,1562
PA1297,602,625,508,628,882,714
