,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS01565,"1,454","1,331",824,"1,938","1,316",980,790,645,511,601,381,478
PA14_RS01570,525,505,360,670,506,370,392,258,294,419,325,309
PA14_RS01575,843,887,774,"1,392",947,603,727,400,669,707,546,584
PA14_RS01580,"8,913","9,250","8,831","12,678","10,692","12,216","9,670","9,490","9,031","10,199","8,707","9,708"
PA14_RS01585,"2,650","2,889","2,536","3,951","3,535","3,821","3,182","3,042","1,881","3,367","2,613","2,452"
PA14_RS01590,"3,086","3,275","2,833","4,010","3,535","3,700","3,378","3,107","3,095","3,522","2,680","2,606"
PA14_RS01595,"8,284","7,947","8,032","10,532","8,693","8,993","9,317","8,490","7,959","9,286","6,839","7,951"
PA14_RS01600,"9,926","10,866","8,590","13,172","10,643","7,590","10,108","8,963","7,738","9,437","6,882","7,234"
PA14_RS01605,"2,287","2,575","1,913","3,239","2,421","2,059","2,314","2,160","1,975","2,415","1,819","2,164"
PA14_RS01610,"1,968","2,354","1,728","2,682","2,242","1,561","1,868","1,662","1,509","1,739","1,335","1,454"
PA14_RS01615,"1,371","1,637","1,245","2,002","1,600",972,"1,227","1,155","1,028","1,209",940,"1,060"
PA14_RS01620,"1,505","1,865","1,672","1,870","1,671","1,332","1,219","1,319","1,622","1,524","1,170","1,097"
PA14_RS01625,719,653,574,950,699,487,671,498,694,779,541,604
PA14_RS30005,30,31,49,76,44,29,44,40,42,46,32,27
PA14_RS01630,278,245,175,244,219,331,305,193,280,296,161,295
PA14_RS01635,"2,368","2,459","2,330","2,858","2,408","1,530","2,476","1,904","2,309","2,618","1,825","1,849"
PA14_RS01640,95,134,119,141,119,162,58,70,86,86,50,77
PA14_RS01645,363,408,261,348,299,461,193,178,202,196,136,173
PA14_RS01650,679,631,551,645,510,693,564,445,575,523,413,499
PA14_RS01655,437,521,524,828,875,755,492,431,333,494,403,428
PA14_RS01660,23,17,12,15,13,18,6,18,15,16,11,7
