,covR_Ctrl1,covR_Ctrl2,covR_Ctrl3,covR_Ctrl4
CHF17_RS02075,13265,8614,9076,8566
CHF17_RS02080,11125,10952,11247,9235
CHF17_RS02085,10248,9337,9623,8798
CHF17_RS02090,7295,8756,7487,7115
CHF17_RS02095,23488,23139,26084,28361
CHF17_RS02100,8207,6194,6887,8526
CHF17_RS02105,714,482,504,596
CHF17_RS02110,84,69,66,107
CHF17_RS02115,16783,8006,10944,13237
CHF17_RS02120,36526,24260,38583,28299
CHF17_RS02125,21707,18154,27485,23257
CHF17_RS02130,61263,41250,47781,50269
CHF17_RS02135,10758,8166,7901,9690
CHF17_RS02140,37952,27406,23742,24740
CHF17_RS02145,868,823,641,1017
CHF17_RS02150,1030,915,1006,1087
CHF17_RS02155,766,701,731,854
CHF17_RS02160,4642,3548,3447,4236
CHF17_RS02165,4518,3200,3199,3587
CHF17_RS02170,4536,3452,3389,3999
CHF17_RS02175,24250,15778,15116,16469
CHF17_RS02180,13672,10785,9260,10575
CHF17_RS02185,5623,7178,5738,7198
CHF17_RS02190,2144,3013,2744,3472
CHF17_RS02195,1902,2847,2925,4632
CHF17_RS02200,7150,6944,7644,7399
CHF17_RS02205,38159,39102,35116,35040
CHF17_RS02210,730,894,589,982
CHF17_RS02215,2940,3584,2481,2777
CHF17_RS02220,1398,1736,1378,1185
CHF17_RS02225,19974,17146,14656,14810
CHF17_RS02230,8604,7697,6755,7133
CHF17_RS02235,1660,1938,1502,1891
CHF17_RS02240,1631,1948,1567,1987
CHF17_RS02245,2525,3234,2812,3157
CHF17_RS02250,31,32,20,25
CHF17_RS02255,31,35,27,38
CHF17_RS02260,323,339,334,414
CHF17_RS02265,479,642,656,773
CHF17_RS02270,308,363,386,393
CHF17_RS02275,535,595,564,669
CHF17_RS02280,34992,20469,24204,29294
CHF17_RS02285,2470,1630,1963,1735
CHF17_RS02290,153,120,134,129
CHF17_RS02295,23,17,26,15
CHF17_RS02300,17,16,12,19
CHF17_RS02305,4807,5829,2825,3574
CHF17_RS02310,4661,2556,4307,4049
CHF17_RS02315,9,7,8,16
CHF17_RS02320,2063,506,1377,1125
CHF17_RS02325,9,5,4,4
CHF17_RS02330,14,8,9,10
CHF17_RS02335,11704,10322,7445,9016
CHF17_RS02340,3401,3085,2200,3590
CHF17_RS02345,79607,62760,79078,84934
CHF17_RS02350,44843,35801,39550,53774
CHF17_RS02355,178222,136599,167470,203414
CHF17_RS02360,28646,23090,24745,35212
CHF17_RS02365,25697,25655,37388,70096
CHF17_RS02370,23544,24145,35868,74425
CHF17_RS02375,16327,16665,24668,51430
CHF17_RS02380,35131,35675,54073,98244
CHF17_RS02385,17978,19344,31689,52612
CHF17_RS02390,7686,8480,13309,27874
CHF17_RS02395,34324,37605,55113,101529
CHF17_RS02400,38792,38109,51673,78239
CHF17_RS02405,40295,32795,47567,66100
CHF17_RS02410,4441,4084,3960,4918
CHF17_RS02415,27671,20058,23251,22184
CHF17_RS02420,3045,4155,2386,3474
CHF17_RS02425,5551,4761,4495,5762
CHF17_RS02430,67002,63169,85990,91291
CHF17_RS02435,45651,47321,64843,66644
CHF17_RS02440,54007,49003,63156,75905
CHF17_RS02445,1862,1710,2061,2571
CHF17_RS02450,9709,5670,6548,7792
CHF17_RS02455,3264,2354,2467,4299
CHF17_RS02460,12621,8263,8182,13756
CHF17_RS02465,19167,11078,14751,18445
CHF17_RS02470,3479,2243,2541,2785
CHF17_RS02475,8737,6316,6912,6679
