Id,WT.1,WT.2,WT.3,X13.1,X13.2,X13.3,X14.1,X14.2,X14.3,X15.1,X15.2,X15.3
GALLO_RS05630,1427,1938,1632,1646,1784,1638,1644,1679,1598,1472,2449,1374
GALLO_RS05635,1665,1996,1496,1794,1807,1606,1918,1869,1599,1639,2615,1404
GALLO_RS05640,290,410,299,242,360,281,260,345,268,256,484,239
GALLO_RS05645,145,274,477,271,283,349,241,259,313,269,515,276
GALLO_RS05650,75,133,217,165,133,195,159,139,166,136,234,125
GALLO_RS05655,149,287,314,223,297,346,171,226,267,220,337,248
GALLO_RS05660,1555,1576,1030,957,1448,818,1106,1150,739,896,1528,1108
GALLO_RS05665,824,689,412,399,530,324,386,429,238,299,519,327
GALLO_RS05670,1435,1496,1173,1573,1457,1345,1590,1307,1120,1450,2063,972
GALLO_RS05675,12208,14665,13263,15321,13767,13026,14738,12297,13186,14055,18483,11605
GALLO_RS05680,232,236,167,169,388,203,146,264,106,137,280,421
GALLO_RS05685,79,89,94,66,109,60,60,82,66,54,161,76
GALLO_RS05690,93,122,114,54,136,78,62,97,62,49,205,89
GALLO_RS05695,45,50,57,25,65,33,19,67,34,31,71,45
GALLO_RS05700,14,17,15,12,21,20,11,17,9,11,33,18
GALLO_RS05705,42,49,51,34,43,50,27,39,20,24,71,36
GALLO_RS05710,1404,1743,1019,1318,1335,779,1240,1412,764,1127,1767,743
GALLO_RS05715,2062,2334,2113,1727,2383,1846,2049,1962,1646,1921,2693,2470
GALLO_RS05720,1869,2430,2052,2166,2295,2037,1824,2125,1659,1837,3026,1627
GALLO_RS05725,1457,2041,1779,1670,1927,1816,1423,1610,1408,1361,2350,1326
GALLO_RS05730,1792,2068,2262,2406,2083,2331,2151,1801,2049,2261,2877,2019
GALLO_RS05735,816,929,1244,1171,961,1204,1053,799,1068,1026,1324,953
GALLO_RS05740,3873,5719,4561,3563,4610,3720,3969,4629,3764,3746,6416,3851
GALLO_RS05745,6665,9513,6957,6163,7691,6208,6358,7839,6072,6049,10182,6047
GALLO_RS05750,272,343,213,218,249,141,302,249,224,297,403,235
GALLO_RS05755,503,625,393,382,461,322,463,486,349,402,640,393
GALLO_RS05760,336,438,237,293,341,181,333,343,217,307,424,228
GALLO_RS05765,13151,16394,10628,11687,12373,8681,14453,13270,10311,12478,17430,9354
GALLO_RS05770,17,16,35,31,18,16,13,15,11,21,29,20
GALLO_RS05775,2475,3373,2539,2525,2787,2273,2251,2581,2086,2288,3518,1943
GALLO_RS05780,2744,4092,2947,2939,3113,2665,2707,2983,2378,2690,4199,2183
GALLO_RS05785,2422,3158,2513,2581,2668,2345,2256,2403,1836,2082,3221,1680
GALLO_RS05790,304,350,336,239,290,255,286,316,306,254,388,262
GALLO_RS05795,991,1571,1808,169,193,180,164,147,161,135,317,148
GALLO_RS05800,334,582,584,45,90,66,61,72,64,55,130,58
GALLO_RS05810,239,338,315,178,275,232,212,272,187,228,395,243
GALLO_RS05815,139,194,173,86,167,144,109,136,104,100,160,122
GALLO_RS05820,45,73,114,29,77,99,28,54,73,22,84,76
GALLO_RS05825,38,69,104,40,70,117,22,55,74,28,91,92
GALLO_RS05830,56,108,238,59,130,188,58,79,147,47,133,138
GALLO_RS05835,1310,1312,1178,1304,1044,862,1792,1077,1341,1575,1572,1082
GALLO_RS05840,235,302,399,302,261,370,293,192,436,292,406,364
GALLO_RS05845,449,512,717,527,484,671,603,451,800,598,777,687
GALLO_RS05850,438,529,356,395,504,335,372,501,243,340,594,440
GALLO_RS05855,2321,3273,4504,2714,3078,3862,2403,2622,4052,2455,4253,3675
GALLO_RS05860,6513,7949,7745,6364,7194,6697,5902,6217,7123,5930,9063,6444
