,GAS-WT-no-manganese-OD1-0-rep-1,GAS-WT-no-manganese-OD1-0-rep-2,GAS-WT-no-manganese-OD1-0-rep-3,GAS-WT-100um-manganese-OD1-0-rep-1,GAS-WT-100um-manganese-OD1-0-rep-2,GAS-WT-100um-manganese-OD1-0-rep-3,GAS-delmtsR-100um-manganese-OD1-0-rep-1,GAS-delmtsR-100um-manganese-OD1-0-rep-2,GAS-delmtsR-100um-manganese-OD1-0-rep-3
SpyM3_0672,30.20579306,28.67490505,33.61292241,28.96310545,34.03469924,29.03601878,215.2546849,216.9304844,201.6895087
SpyM3_0674,154.6108531,156.1997248,149.1330465,149.2945981,144.4323944,143.0426703,143.7648966,152.3580395,120.4092221
SpyM3_0675,118.6884603,106.2777221,112.5600981,117.6290757,117.8806343,109.0888617,141.7088155,139.2168619,133.9811288
SpyM3_0676,393.6630821,394.5507009,377.7573017,365.8388168,377.55943,388.588344,169.9329863,194.8739561,157.2643316
SpyM3_0677,5.969607792,6.287623309,6.053521884,6.002011176,6.04164264,5.590921451,470.8796106,492.7566777,449.1962332
SpyM3_0678,10.58765126,10.8328169,10.19453192,12.05895067,9.365012508,11.13898332,146.6725583,144.2946056,127.9512156
SpyM3_0679,10.58984226,11.9127858,10.46480521,13.82457461,9.626670488,10.38197767,1825.103699,1769.200234,2973.816551
SpyM3_0680,6.89441857,8.908072059,8.532068079,9.648757574,6.516857051,6.889430844,2668.836821,2635.471061,2956.162877
SpyM3_0681,0,0,0,0,0,0,2116.304544,2214.687782,1816.858241
SpyM3_0682,0,0,0,0,0,0,5271.195763,4959.805527,4268.277216
SpyM3_0683,0,0,0,0,0,0,297.1846462,320.5764359,239.3582909
SpyM3_0684,0,0,0,0,0,0,391.4217071,411.4064261,278.5818057
SpyM3_0685,0,0,0,0,0,0,642.015278,666.9100298,501.3970353
SpyM3_0686,0,0,0,0,0,0,34.68980947,36.13693774,36.2740508
SpyM3_0687,0,0,0,0,0,0,27.92229369,33.3424717,25.82487055
SpyM3_0688,0,0,0,0,0,0,64.4939174,83.56757038,80.34404171
SpyM3_0689,0,0,0,0,0,0,30.25777587,27.25416501,31.82642497
SpyM3_0690,0,0,0,0,0,0,111.4294619,112.9742259,124.7583665
SpyM3_0691,0,0,0,0,0,0,127.671496,120.7977994,140.602073
SpyM3_0692,0,0,0,0,0,0,175.0246114,165.4380402,179.6582044
SpyM3_0693,0,0,0,0,0,0,389.6625412,413.9091712,360.5268651
SpyM3_0694,0,0,0,0,0,0,2444.525559,2329.336298,2736.034171
SpyM3_0695,0,0,0,0,0,0,349.4709424,378.5851566,288.819695
SpyM3_0696,4.860180236,2.645487917,4.165689379,2.39424609,2.598902993,3.032133575,31.52322968,34.15145291,26.12691582
SpyM3_0697,0,0,0,0,0,0,153.669449,151.2097315,129.2244492
SpyM3_0698,1.485055072,0.857334047,1.225202759,0.997602537,0.721917498,0.601613805,30.20985548,32.48719653,26.84392048
SpyM3_0699,0,0,0,0,0,0,72.22637245,82.57113671,57.0008404
SpyM3_0700,0,0,0,0,0,0,25.0247955,25.83676787,19.57317612
SpyM3_0701,0,0,0,0,0,0,89.99516211,87.69711908,77.12325287
SpyM3_0702,0,0,0,0,0,0,98.37255518,96.5686573,90.06626298
SpyM3_0703,0,0,0,0,0,0,31.67958158,29.52651902,30.68979258
SpyM3_0704,0,0,0,0,0,0,11.5678917,16.19401941,12.58400653
SpyM3_0705,0,0,0,0,0,0,99.17183995,80.49985329,88.53701965
SpyM3_0706,0,0,0,0,0,0,2372.175151,2006.633344,1855.370637
SpyM3_0707,0,0,0,0,0,0,136.2035905,131.0310685,106.2185278
SpyM3_0708,0,0,0,0,0,0,6.482194927,6.599070375,6.740091735
SpyM3_0709,0,0,0,0,0,0,7.928716719,8.598572016,9.088692502
