geneID,NSC2,NSC3,SC2,Nmts1,mts1,mts3
SSUSC84_RS06235,1786,1828,2372,2632,1775,2929
SSUSC84_RS10530,5,6,4,7,4,3
SSUSC84_RS07695,807,920,853,950,940,1068
SSUSC84_RS01115,103,127,208,178,173,219
SSUSC84_RS07630,2040,2442,1940,2418,1893,2342
SSUSC84_RS05905,1188,976,969,1290,924,967
SSUSC84_RS06695,6428,6045,4888,4982,5882,5371
SSUSC84_RS08000,85,65,35,39,49,39
SSUSC84_RS03390,545,545,343,710,417,657
SSUSC84_RS06570,0,4,0,1,0,0
SSUSC84_RS00305,4,7,14,3,12,10
SSUSC84_RS01320,139,193,258,162,187,313
SSUSC84_RS03985,934,1110,2666,854,808,948
SSUSC84_RS09010,34,25,18,39,39,43
SSUSC84_RS00580,11152,11480,9369,6665,9826,6928
SSUSC84_RS04425,4,0,4,0,1,2
SSUSC84_RS07355,35,35,18,19,19,24
SSUSC84_RS00810,0,1,1,1,1,1
SSUSC84_RS01405,157,226,422,300,454,650
SSUSC84_RS02655,908,971,1041,1207,1082,1508
SSUSC84_RS03965,95,122,71,69,111,104
SSUSC84_RS04985,3,5,9,9,14,12
SSUSC84_RS03160,2124,2501,2782,2407,2600,3450
SSUSC84_RS08750,5813,6186,5790,5820,6997,7199
SSUSC84_RS02210,60,78,118,114,105,144
SSUSC84_RS07490,0,0,0,0,0,0
SSUSC84_RS02200,57,81,92,64,37,62
SSUSC84_RS10310,3,2,0,1,0,2
SSUSC84_RS05170,1490,1397,2587,1704,1588,2320
SSUSC84_RS01990,758,734,1006,1067,688,842
SSUSC84_RS02275,3993,3542,4426,4173,3532,4160
SSUSC84_RS03330,223,235,233,172,203,191
SSUSC84_RS06630,995,1034,1516,934,1290,1362
SSUSC84_RS00635,0,0,0,0,0,0
SSUSC84_RS03980,40,64,22,5,66,27
SSUSC84_RS06810,646,815,1393,681,642,850
SSUSC84_RS04240,39,61,51,26,81,82
SSUSC84_RS09060,182,220,289,179,236,268
SSUSC84_RS05325,257,222,447,263,200,232
SSUSC84_RS07075,304,350,357,319,286,365
SSUSC84_RS06405,74,93,101,78,78,125
SSUSC84_RS05380,115,143,87,119,202,206
SSUSC84_RS04780,712,871,936,862,642,898
SSUSC84_RS06110,2703,2526,3326,3106,2222,3024
SSUSC84_RS06095,1384,1421,1195,1867,1222,1521
SSUSC84_RS08185,923,1102,1549,1045,987,1337
SSUSC84_RS01825,3,1,4,0,6,6
SSUSC84_RS03135,105,132,113,104,96,106
SSUSC84_RS05150,4236,4326,5560,5339,4980,6007
SSUSC84_RS01615,24,20,29,30,30,50
SSUSC84_RS09615,5,3,3,2,0,3
SSUSC84_RS03765,1024,1579,1073,825,1331,1297
SSUSC84_RS06350,623,732,852,601,527,520
SSUSC84_RS07610,542,710,600,1881,1174,1773
SSUSC84_RS08065,2535,2815,2399,2138,1755,2027
SSUSC84_RS06385,3682,3993,4412,3515,3492,4233
SSUSC84_RS08330,1667,1780,1622,1484,1606,1606
SSUSC84_RS07885,1490,822,2934,1022,696,380
SSUSC84_RS04560,6,2,3,8,0,5
SSUSC84_RS05540,21,45,28,23,21,34
SSUSC84_RS07925,82,99,121,90,94,137
SSUSC84_RS10260,0,0,0,0,0,0
SSUSC84_RS09365,1193,1301,1730,1572,1357,1781
SSUSC84_RS00630,0,0,0,0,0,0
SSUSC84_RS08950,507,550,585,730,477,707
SSUSC84_RS05240,1276,1199,1607,1409,1148,1270
SSUSC84_RS02130,0,0,0,0,0,0
SSUSC84_RS07980,793,934,748,643,718,891
SSUSC84_RS02675,31788,32999,31382,26587,25368,25314
SSUSC84_RS10445,111,230,59,69,97,63
SSUSC84_RS00460,2033,2004,2336,2189,1833,1909
SSUSC84_RS08190,2004,2121,2564,2246,1676,2094
SSUSC84_RS05550,12125,11647,11926,10288,8040,8857
SSUSC84_RS10430,91,162,81,112,80,130
SSUSC84_RS05875,705,802,1342,922,567,1307
SSUSC84_RS08115,57,54,25,30,52,49
SSUSC84_RS04660,13,4,5,10,6,5
SSUSC84_RS01140,40,37,37,37,38,44
SSUSC84_RS00385,1503,1354,2131,2412,1453,2405
SSUSC84_RS07800,1830,1960,2059,2192,1606,2447
SSUSC84_RS08020,938,800,898,975,633,982
SSUSC84_RS02540,95,98,106,118,109,113
SSUSC84_RS01450,2751,2560,4079,3236,2765,4001
SSUSC84_RS01780,554,744,1105,665,631,1047
SSUSC84_RS07625,712,687,760,932,590,1002
SSUSC84_RS00930,10350,11127,10725,16374,12502,16993
SSUSC84_RS10205,494,468,760,546,415,500
SSUSC84_RS03025,1559,1892,1471,1352,1350,1533
SSUSC84_RS03995,17,25,8,22,8,12
SSUSC84_RS07205,1146,1217,1361,1226,971,1257
SSUSC84_RS02660,522,723,737,728,671,1073
SSUSC84_RS09125,48,53,46,46,62,79
SSUSC84_RS09000,41,27,36,20,33,11
SSUSC84_RS01490,967,702,1939,1292,821,838
SSUSC84_RS02615,8617,10531,16019,7717,11957,12556
SSUSC84_RS08150,3313,4221,3932,3869,4031,3970
SSUSC84_RS02530,586,643,697,632,543,874
SSUSC84_RS06690,19,23,18,19,26,30
SSUSC84_RS09920,1,0,0,0,0,0
SSUSC84_RS04410,4,3,10,11,7,5
SSUSC84_RS03560,83,45,98,94,57,49
SSUSC84_RS00710,144,172,157,97,90,112
SSUSC84_RS01445,2910,3027,4319,3535,3348,4490
SSUSC84_RS04235,39,39,22,46,45,48
SSUSC84_RS06440,114,178,138,75,173,150
SSUSC84_RS09630,5,10,10,14,12,10
SSUSC84_RS07790,1314,1059,1266,1440,1135,1666
SSUSC84_RS06070,4777,4130,3726,4877,2969,3536
SSUSC84_RS00990,549,538,837,591,574,736
SSUSC84_RS07725,1869,2054,1242,1416,1200,1251
SSUSC84_RS04350,8,9,15,4,8,3
SSUSC84_RS08395,709,776,784,984,704,1043
SSUSC84_RS10560,57,50,60,53,54,73
SSUSC84_RS04360,3,0,0,2,0,0
SSUSC84_RS08515,2118,2153,2454,2273,2248,2559
SSUSC84_RS00145,0,0,0,0,0,0
SSUSC84_RS00670,0,0,0,0,0,0
SSUSC84_RS07350,22,49,35,17,45,50
SSUSC84_RS09210,799,727,522,521,556,521
