,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS02605,364,515,423,349
CHF17_RS02610,4563,5887,4861,5167
CHF17_RS02615,11406,14205,11485,12237
CHF17_RS02620,8359,9616,8675,8976
CHF17_RS02625,6401,5126,5844,5998
CHF17_RS02630,612,627,639,782
CHF17_RS02635,2863,2514,2867,3320
CHF17_RS02640,8437,10214,9439,8343
CHF17_RS02645,2612,4233,2929,2645
CHF17_RS02650,149,299,113,134
CHF17_RS02655,58504,66366,58651,57490
CHF17_RS02660,1900,2726,2200,1995
CHF17_RS02665,1766,2692,2031,1827
CHF17_RS02670,15306,16069,15365,14438
CHF17_RS02675,15077,19127,19675,17639
CHF17_RS02680,9557,13152,13583,12047
CHF17_RS02685,2004,2334,2250,1968
CHF17_RS02690,15184,20969,16330,14278
CHF17_RS02695,20091,26184,20053,19303
CHF17_RS02700,2037,1339,3360,1491
CHF17_RS02705,7,9,21,1
CHF17_RS02710,713,301,1360,200
CHF17_RS02715,6,4,20,1
CHF17_RS02720,18,11,15,27
CHF17_RS02725,53,31,43,75
CHF17_RS02730,108,70,76,125
CHF17_RS02735,204,141,127,194
CHF17_RS02740,169,114,92,134
CHF17_RS02745,130,116,77,100
CHF17_RS02750,86,74,52,65
CHF17_RS02755,6473,7504,7683,6789
CHF17_RS02760,3025,3733,3044,2913
CHF17_RS02765,5162,6993,5502,5281
CHF17_RS02770,1612,1681,1591,1632
CHF17_RS02775,3387,3278,3283,3531
CHF17_RS02780,13137,14984,19804,27928
CHF17_RS02785,8038,7274,8642,10851
CHF17_RS02790,24677,17493,27513,27789
CHF17_RS02795,7559,6287,8624,8674
CHF17_RS02800,58563,46964,75605,70354
CHF17_RS02805,109658,102288,151388,130745
CHF17_RS02810,21096,19160,27211,23568
CHF17_RS02815,6122,6131,7695,7187
CHF17_RS02820,7417,5719,8481,8179
CHF17_RS02825,7828,6293,8509,7865
CHF17_RS02830,9958,7955,10925,10777
CHF17_RS02835,14111,11736,16561,15961
CHF17_RS02840,3328,3090,3949,3885
CHF17_RS02845,3589,3613,4695,4078
