GeneID,CovS-LP1,CovS+LP1,CovS-SP1,CovS+SP1,CovS-LP2,CovS+LP2,CovS-SP2,CovS+SP2
FE90_1381,127,178,36,48,176,165,47,38
FE90_1382,1477,1632,111,301,2456,1732,152,108
FE90_1383,734,907,92,112,1119,1021,117,66
FE90_1384,452,493,258,430,633,506,311,305
FE90_1385,46,12,68,37,61,16,82,35
FE90_1386,38,14,74,48,48,13,81,26
FE90_1387,54,34,114,56,100,36,122,48
FE90_1388,86,142,179,162,188,164,290,121
FE90_1389,190,168,467,390,316,255,656,370
FE90_1390,966,275,509,351,1676,281,860,237
FE90_1391,278,1120,117,525,433,1018,185,241
FE90_1392,1735,10458,403,4325,2452,8740,535,1787
FE90_1393,1849,11987,469,5331,2857,10373,610,2741
FE90_1394,8775,26740,747,9949,11227,22703,1115,5127
FE90_1395,1,7,19,2,0,2,14,0
FE90_1396,407,1275,317,869,589,976,350,597
FE90_1397,634,723,149,179,820,696,196,162
FE90_1398,1178,1795,286,655,1825,1536,347,315
FE90_1399,1132,1582,198,434,1444,1376,237,229
FE90_1400,79,101,35,35,110,66,42,16
FE90_1401,550,891,166,460,893,778,260,244
FE90_1402,357,596,67,134,542,540,120,71
FE90_1403,172,271,36,52,189,252,64,47
FE90_1404,5,6,9,4,20,8,20,4
FE90_1405,90,98,83,56,174,99,109,24
FE90_1406,1509,2059,1434,1767,2124,1840,2028,1865
FE90_1407,1368,1926,1408,1225,1638,1722,1902,1402
FE90_1408,2148,2702,1716,1981,3011,2398,2217,1899
FE90_1409,2208,2678,1629,2006,3322,2553,2045,1751
FE90_1410,1782,1851,898,1247,2539,1799,1190,1031
FE90_1411,387,620,231,350,740,506,314,170
FE90_1412,1153,1791,354,548,1742,1644,487,345
FE90_1413,519,1007,586,654,724,797,740,819
FE90_1414,546,613,243,410,768,564,303,201
FE90_1415,617,885,253,497,925,789,427,344
FE90_1416,264,371,155,163,413,414,214,70
FE90_1417,390,736,257,314,749,691,322,150
FE90_1418,128,261,91,68,238,219,111,36
FE90_1419,471,1897,211,809,702,1528,337,402
FE90_1420,2452,3620,1008,2834,3793,3344,1472,1722
FE90_1421,1417,2133,610,1534,2453,1869,806,1118
FE90_1422,1105,1839,473,914,1463,1616,583,724
FE90_1423,164,143,85,119,167,133,131,74
FE90_1424,213,271,131,252,310,252,186,133
FE90_1425,379,668,290,765,601,582,387,392
FE90_1426,415,791,324,919,819,714,453,542
FE90_1427,790,1407,633,949,1106,1196,776,815
FE90_1428,929,2154,723,1228,1397,1861,1043,937
FE90_1430,437,913,327,512,767,851,439,379
FE90_1432,96,161,64,95,174,131,103,81
FE90_1433,23,64,30,30,50,54,45,43
FE90_1434,12,5,29,8,23,10,38,6
FE90_1435,11,6,26,3,33,6,33,13
FE90_1436,108,142,117,219,107,138,139,201
FE90_1437,164,197,138,471,262,224,278,346
FE90_1438,81,124,85,247,125,146,151,242
FE90_1439,9,4,14,7,14,3,16,5
FE90_1440,31,19,43,24,63,14,50,20
FE90_1441,27,18,28,15,36,14,29,10
FE90_1442,126,70,186,92,214,56,315,76
FE90_1443,29,14,27,11,28,5,47,21
FE90_1444,257,339,249,348,464,322,300,190
FE90_1445,172,273,105,182,316,250,170,95
FE90_1446,148,218,123,133,229,229,124,81
FE90_1447,201,299,137,171,344,298,164,102
FE90_1448,242,425,122,163,421,338,165,106
FE90_1449,111,140,69,73,150,123,80,43
FE90_1450,95,138,72,76,158,155,113,46
FE90_1451,86,127,72,29,123,121,74,28
FE90_1452,60,49,65,40,105,68,71,11
FE90_1453,49,84,85,149,91,93,151,121
