,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0133,291,316,305,87,84,88,116,181,367,95,74,71,,
M5005_Spy0134,6093,7932,5655,6100,6609,6159,5091,7711,14741,10629,8666,14212,,
M5005_Spy0135,5618,10563,4480,4110,4500,3491,3869,7474,20030,8778,6860,11454,,
M5005_Spy0136,3748,7670,3347,2623,3074,2833,5506,11669,22204,9877,9500,14619,,
M5005_Spy0137,10748,18484,9467,2473,2553,2614,11916,21168,39782,11694,11482,18727,,
M5005_Spy0138,1661,2012,1854,256,369,309,1645,2249,3592,778,593,985,,
M5005_Spy0139,3412,5673,3611,412,315,309,1554,4017,7218,215,138,155,,
M5005_Spy0140,1608,2542,1812,219,236,178,795,1841,3570,106,71,88,,
M5005_Spy0141,10566,18575,10668,2198,2271,1957,4461,10465,26398,680,559,552,,
M5005_Spy0142,108,163,111,21,12,4,64,141,252,6,16,10,,
M5005_Spy0143,0,3,0,0,0,0,1,4,6,0,0,0,,
M5005_Spy0144,2,1,0,0,0,0,0,2,2,0,0,1,,
M5005_Spy0145,1,1,0,0,0,0,3,2,0,1,1,1,,
M5005_Spy0146,2312,4100,2076,3435,3583,3224,1252,2078,4745,9947,8493,7099,,
M5005_Spy0147,10954,20992,9560,2821,3011,2381,8471,19907,42795,7233,6297,6567,,
M5005_Spy0148,52,76,39,79,61,47,47,97,195,111,85,122,,
M5005_Spy0149,6,9,9,3,12,6,7,8,9,12,15,13,,
M5005_Spy0150,6,8,9,10,19,14,4,6,4,20,14,18,,
M5005_Spy0151,13,24,14,24,28,23,12,21,46,41,19,36,,
M5005_Spy0152,9,29,12,8,13,8,9,20,24,21,21,21,,
M5005_Spy0153,24,26,17,9,15,12,10,25,55,20,20,26,,
M5005_Spy0154,3,2,4,0,1,1,1,4,5,3,2,2,,
M5005_Spy0155,3274,4461,3076,1930,1905,1705,2605,3864,7592,2076,1946,1460,,
M5005_Spy0156,283,667,216,254,312,294,229,664,1323,223,156,171,,
M5005_Spy0157,1954,3655,1544,314,281,277,1550,3949,7913,2158,1886,2747,,
M5005_Spy0158,3482,6269,2752,1854,2260,1867,2802,6985,14514,4819,4204,6253,,
M5005_Spy0159,11903,24092,9550,17149,17373,18084,6584,14914,34073,19732,16324,25058,,
M5005_Spy0160,4350,6292,3927,3688,3527,3538,2945,4829,7556,5031,4659,5338,,
M5005_Spy0161,6667,12074,5570,5060,5266,5373,4084,8480,15940,8331,6936,8666,,
M5005_Spy0162,3689,4748,3135,2412,2125,2325,2406,3880,6537,3726,3607,4037,,
M5005_Spy0163,14842,21479,14839,10721,10058,9922,11722,17339,32675,16695,16547,15946,,
M5005_Spy0164,10103,10962,8976,7172,7988,8329,8295,10372,22192,11768,10899,12770,,
M5005_Spy0165,1546,2459,1082,782,828,754,1047,2244,5695,1530,1208,1387,,
M5005_Spy0166,19,32,16,12,9,6,11,14,53,14,12,14,,
M5005_Spy0167,173,230,136,82,88,82,81,172,282,106,72,131,,
M5005_Spy0168,41,51,36,16,14,15,21,26,89,27,16,34,,
M5005_Spy0169,268,449,240,174,176,183,231,334,898,277,174,258,,
M5005_Spy0170,151,252,130,69,69,44,92,210,468,88,87,89,,
M5005_Spy0171,91,110,69,53,75,63,63,111,234,104,69,62,,
M5005_Spy0172,53,88,51,46,58,58,63,101,227,70,67,59,,
M5005_Spy0173,1915,4225,1443,1323,1947,1573,1332,4248,9070,1750,1216,1766,,
M5005_Spy0174,228,475,229,80,95,81,229,433,654,277,190,211,,
M5005_Spy0175,5046,9254,4878,1196,1290,1088,3746,8638,16473,4540,3899,3265,,
M5005_Spy0176,92,155,70,5,10,15,69,149,224,21,22,19,,
M5005_Spy0177,182,308,193,13,22,30,157,334,639,73,52,72,,
M5005_Spy0178,3719,5371,3416,2580,2680,2428,3286,5517,11560,4088,3889,3366,,
M5005_Spy0179,3957,6806,3510,2555,2460,2157,3334,6036,13115,3866,3763,3477,,
M5005_Spy0180,1104,1592,1085,157,226,179,793,1431,2321,441,335,361,,
M5005_Spy0181,58,45,77,11,19,15,56,44,57,29,25,23,,
M5005_Spy0182,1227,1535,1220,550,546,557,1155,1586,4477,1031,934,1342,,
M5005_Spy0183,116,177,112,23,28,26,104,148,356,65,68,101,,
