,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS05380,69,85,84,38,43,44,159,182,117
SSUSC84_RS08925,262,483,400,413,605,437,330,232,207
SSUSC84_RS10275,87,105,111,98,122,102,133,198,150
SSUSC84_RS01300,2,6,4,8,3,7,7,10,3
SSUSC84_RS07995,11,17,14,40,26,22,8,7,14
SSUSC84_RS02265,127,181,181,102,128,96,174,122,101
SSUSC84_RS00705,128,167,105,134,100,91,218,198,180
SSUSC84_RS07475,71,91,87,65,70,75,139,99,93
SSUSC84_RS00040,1270,1952,2067,2233,2655,2582,1135,1280,1147
SSUSC84_RS03890,211,348,308,155,174,197,534,590,440
SSUSC84_RS06980,82,120,123,69,84,112,145,118,99
SSUSC84_RS08920,330,529,378,299,384,362,538,425,327
SSUSC84_RS09600,557,849,630,538,663,594,544,368,242
SSUSC84_RS02375,6568,10241,8415,5696,6185,6238,8959,6732,5129
SSUSC84_RS05900,792,1182,940,846,978,849,1048,1070,711
SSUSC84_RS08645,128,173,140,308,304,259,132,158,112
SSUSC84_RS03420,3,2,2,0,0,0,0,0,1
SSUSC84_RS09655,0,0,3,5,3,1,0,2,0
SSUSC84_RS09250,881,1387,1361,1416,1590,1561,1068,1078,1082
SSUSC84_RS03975,752,876,1163,1076,1357,1326,738,963,680
SSUSC84_RS05535,1963,2880,2424,1416,1533,1480,3070,1728,1483
SSUSC84_RS07515,464,620,470,545,512,443,677,589,490
SSUSC84_RS00595,0,0,0,0,0,0,0,0,0
SSUSC84_RS04005,864,1171,939,778,839,787,911,898,666
SSUSC84_RS05665,724,720,1124,2125,2413,2166,417,269,306
SSUSC84_RS02705,1309,1835,1482,1724,2182,1837,997,1003,684
SSUSC84_RS00750,3284,4221,3909,3704,3938,3380,2684,2829,2030
SSUSC84_RS00785,0,1,6,1,4,3,4,0,0
SSUSC84_RS04295,73,82,102,90,64,82,105,81,61
SSUSC84_RS09450,491,772,716,382,459,427,779,653,583
SSUSC84_RS02925,2220,3050,2283,2105,2268,1824,3851,3279,2363
SSUSC84_RS02335,10,8,8,4,5,0,7,5,5
SSUSC84_RS04680,5,5,4,14,8,5,10,7,5
SSUSC84_RS03280,141,145,156,218,237,208,113,124,90
SSUSC84_RS02220,1061,1527,1057,846,893,661,2315,2478,1645
SSUSC84_RS08350,56,59,67,86,71,81,44,46,36
SSUSC84_RS07865,195,320,249,308,410,363,204,219,178
SSUSC84_RS08310,490,594,489,489,508,473,477,483,388
SSUSC84_RS09845,395,596,500,322,369,329,967,749,638
SSUSC84_RS05010,1,2,9,9,2,2,2,3,0
SSUSC84_RS02815,8022,12938,13069,8395,10114,9512,10312,9576,8573
SSUSC84_RS06535,645,723,630,1244,866,967,1235,957,925
SSUSC84_RS06785,2190,3200,2427,1570,1593,1569,3511,3185,3188
SSUSC84_RS08090,6584,8860,7262,9630,9699,8106,5837,6032,4306
SSUSC84_RS07695,737,965,723,763,837,698,1115,1042,761
SSUSC84_RS03670,826,1096,1191,1628,1716,1620,876,735,646
SSUSC84_RS08840,5016,9163,6723,2079,3064,2744,13324,12909,11302
SSUSC84_RS09935,33,61,63,261,327,310,26,26,28
SSUSC84_RS08700,928,1382,1198,894,976,925,1625,1447,1261
SSUSC84_RS04675,0,0,0,0,0,0,0,0,0
SSUSC84_RS09785,2358,3322,3605,6544,8565,7563,2948,2064,2240
SSUSC84_RS06805,5180,7003,5297,3087,3133,2824,10924,10114,9860
SSUSC84_RS03380,389,577,424,392,440,394,478,517,325
SSUSC84_RS10075,17,59,38,24,27,33,59,77,93
SSUSC84_RS04120,0,0,0,0,0,0,0,0,0
SSUSC84_RS08465,11060,15671,12612,9247,13304,11607,23309,17682,13323
SSUSC84_RS05585,868,1416,1162,571,682,607,1785,1633,1405
SSUSC84_RS09795,1618,2206,1788,1030,1137,1015,3941,3768,2965
SSUSC84_RS10430,39,44,55,121,89,87,32,16,14
SSUSC84_RS04040,567,597,516,700,658,492,467,322,320
SSUSC84_RS07020,1319,1797,1335,825,918,817,2155,2119,1635
SSUSC84_RS02540,56,105,81,26,20,21,79,82,71
SSUSC84_RS07430,1795,2358,2386,5758,5666,4475,762,731,684
SSUSC84_RS10180,302,463,336,266,302,287,443,591,417
SSUSC84_RS08110,2289,3456,2886,1726,2028,1854,2772,2930,2300
SSUSC84_RS05295,6,19,13,35,32,23,8,9,12
SSUSC84_RS09635,62,117,91,79,101,87,134,96,71
SSUSC84_RS04645,38,36,45,49,56,30,56,40,34
SSUSC84_RS09615,4,3,4,3,1,2,4,3,4
SSUSC84_RS04200,172,222,209,165,176,152,300,303,191
SSUSC84_RS00580,4780,5598,5206,14901,14260,14075,2624,3064,2252
SSUSC84_RS02170,0,0,0,0,0,0,0,0,0
SSUSC84_RS09695,190,283,360,840,1111,1039,229,224,216
SSUSC84_RS04530,137,200,172,146,155,165,223,118,113
SSUSC84_RS01430,1138,1806,1692,399,466,662,1805,2060,1973
SSUSC84_RS04910,3132,3918,3996,15655,16676,13319,1468,1569,1288
SSUSC84_RS02230,9,22,15,0,11,15,40,22,37
SSUSC84_RS02160,0,0,0,0,0,0,0,0,0
SSUSC84_RS09345,2064,2889,2361,1185,1259,1096,3590,3435,2861
SSUSC84_RS09820,45,56,33,39,35,48,67,73,48
SSUSC84_RS06395,2721,3498,3562,4497,4950,4194,2008,1658,1307
SSUSC84_RS04600,311,494,481,476,581,513,378,403,389
SSUSC84_RS08995,1,0,0,0,1,2,2,3,2
SSUSC84_RS05015,293,382,266,260,246,211,534,502,360
SSUSC84_RS05720,15,18,27,16,28,20,44,7,30
SSUSC84_RS05485,30,52,51,19,36,38,50,41,48
SSUSC84_RS01290,594,708,567,571,604,498,733,620,493
SSUSC84_RS06070,3296,4545,4942,5365,5467,4806,2964,2370,2183
SSUSC84_RS07615,651,789,874,750,818,711,569,525,496
SSUSC84_RS10375,4455,7335,7283,4183,5240,4660,6409,6316,5970
SSUSC84_RS06295,139,182,110,175,182,150,158,162,128
SSUSC84_RS10020,271,397,282,304,334,280,420,353,300
SSUSC84_RS10040,347,571,496,624,711,644,443,558,488
SSUSC84_RS02610,114334,152196,127635,144450,146414,128090,134888,153535,117513
SSUSC84_RS07140,0,0,5,3,0,0,0,1,2
SSUSC84_RS03765,1119,1409,1030,1046,1057,807,1250,1203,928
SSUSC84_RS10360,5,4,8,2,2,2,10,5,6
