X,UA159_1count,UA159_2_count,UA159_3_count,X1995_1_count,X1995_2_count,X1995_3_count
SMU_2140c,8500,11228,12331,10585,9764,8637
SMU_2141,3987,4637,4836,4978,4752,4060
SMU_2142,2074,2909,3161,3064,2742,2573
SMU_2143c,4959,6750,6932,6864,5869,5567
SMU_2146c,5658,6284,7056,5809,7702,7318
SMU_2147c,11685,11962,14023,9579,9009,9316
SMU_2148c,1758,2472,2349,2041,1812,1762
SMU_2149c,3086,4137,4204,3792,3414,3018
SMU_214c,0,1,0,2,0,0
SMU_2150c,6150,7207,7116,6336,5613,5286
SMU_2151,856,1404,1556,1254,1373,1284
SMU_2152c,5480,6516,6143,5298,5080,4727
SMU_2153c,658,811,768,858,705,843
SMU_2154c,911,1289,1240,1117,885,1072
SMU_2155,460,513,466,422,433,450
SMU_2156,3746,3886,3885,3525,2925,3179
SMU_2157,16102,20334,22210,23571,28882,24138
SMU_2158c,2930,4326,4001,3762,3707,3577
SMU_2159,9049,11000,10334,9341,9023,8126
SMU_215c,0,2,0,0,2,4
SMU_2160,354,561,518,458,463,496
SMU_2161c,730,967,785,837,833,776
SMU_2162c,412,544,457,476,414,421
SMU_2164,7204,8232,7813,6445,6280,5637
SMU_2165,636,659,673,604,533,527
SMU_2166,4814,5571,5755,4828,4850,4219
SMU_2167,45120,60314,61032,50282,50608,41698
SMU_216c,0,0,2,2,4,3
SMU_217c,5,15,6,5,9,5
SMU_218,76,71,62,78,63,50
SMU_219,139,115,178,121,116,139
SMU_22,138758,154958,173476,142239,148390,127811
SMU_220c,20138,25765,29767,28486,42734,34841
SMU_221c,3882,3940,4242,3689,2825,2668
SMU_222c,1358,2154,2094,1643,1493,1631
