,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_0877,6793,8800,10057,5573,6446,7536,9761,16466,17018
SpyM3_0878,6589,7918,8396,5314,6143,6665,8384,14834,13007
SpyM3_0879,5257,6483,6756,4265,5220,5162,6597,12080,10585
SpyM3_0880,4228,5059,5383,3401,4099,4161,5647,9856,8256
SpyM3_0881,5526,7019,6787,4319,5052,5302,7108,13306,10802
SpyM3_0882,5307,6850,6998,5445,6284,6930,5648,9903,8431
SpyM3_0883,3282,4444,4474,3667,4170,4741,3481,6420,5389
SpyM3_0884,912,1139,1064,913,1016,1106,930,1544,1151
SpyM3_0885,5876,9382,7491,5127,5321,6623,6305,12452,7985
SpyM3_0886,4866,6029,6125,4572,5019,5529,3338,6372,4754
SpyM3_0887,3521,4788,4595,3477,3967,3783,2580,4252,3688
SpyM3_0888,4176,5679,5078,5405,6303,6913,2898,5117,3910
SpyM3_0889,1610,2358,2254,1612,2134,2343,1756,2786,2211
SpyM3_0890,1606,2140,2159,1611,2021,2228,1568,2407,2250
SpyM3_0891,1444,1934,1804,1669,2050,2177,1358,2349,1935
SpyM3_0892,348,501,452,370,450,418,372,512,483
SpyM3_0893,504,651,724,531,593,654,591,818,762
SpyM3_0894,8607,10267,10945,7786,10266,9508,5667,11625,8332
SpyM3_0895,40729,48381,46638,36060,41508,38701,25513,50536,33682
SpyM3_0896,14234,17879,16745,12363,15345,14970,9502,17097,12843
SpyM3_0897,63258,79123,87308,54041,69138,61180,41253,73476,61350
SpyM3_0898,10226,11083,12454,8839,8778,8858,6557,10118,11777
SpyM3_0899,36465,44508,45590,28941,36774,32361,23604,41069,30374
SpyM3_0900,4622,5409,5739,4082,4930,3851,3072,5243,4135
SpyM3_0901,16090,22949,21444,21248,27022,31189,14617,25191,20400
SpyM3_0902,1110,1701,1903,613,943,1046,1794,2598,2331
SpyM3_0903,2567,3753,4074,1652,2532,2602,3785,6290,5640
SpyM3_0904,2907,3874,4115,2989,3472,4062,2916,4762,3961
SpyM3_0905,635,645,589,323,366,395,1297,2803,1715
SpyM3_0906,12694,16449,16769,9082,9826,11351,14237,21458,19998
SpyM3_0907,8936,10753,10845,5945,7489,8344,9111,16080,14185
SpyM3_0908,10649,12892,13675,7678,8320,9341,10366,19214,18371
SpyM3_0909,3262,4478,4045,2335,2458,2433,3034,7075,5365
SpyM3_0910,44285,67912,56780,69518,66473,88738,33752,52393,49128
SpyM3_0911,3517,4986,5301,3782,3976,4710,3328,5648,4451
SpyM3_0912,75344,90370,80225,76453,100590,98482,71103,132830,95357
SpyM3_0913,72389,80777,74618,71580,85244,82769,65127,113944,92658
SpyM3_0914,12461,16073,15906,11920,14380,14841,9510,17674,13942
SpyM3_0915,3034,4114,4087,2777,3609,4478,3414,4797,4038
SpyM3_0916,6505,9402,9754,6916,9778,11242,6891,11076,8670
SpyM3_0917,4027,5098,4953,4279,5272,5946,3802,6284,4811
SpyM3_0918,6281,8121,8577,10139,10759,12226,4358,7289,6724
SpyM3_0979,1544,1985,2122,1033,1167,1262,1557,3072,2362
SpyM3_0980,5047,5920,5475,6382,5528,6118,4457,7488,6716
SpyM3_0981,2934,4352,3926,3724,3298,3775,3216,4391,4293
SpyM3_0982,2513,3150,2938,2233,2578,2694,2819,4482,3579
SpyM3_0983,5430,8179,7613,11139,10196,11090,6434,9671,8853
SpyM3_0984,2622,3912,3903,3566,3772,4303,3239,4966,5228
SpyM3_0985,1279,1647,1831,1831,1894,1999,1437,2171,2109
SpyM3_0986,12,8,11,11,10,9,12,6,7
SpyM3_0987,41,80,74,70,96,97,49,109,99
SpyM3_0988,247,269,323,283,331,314,237,443,378
SpyM3_0989,38,52,52,56,58,55,51,94,61
SpyM3_0990,18374,22704,21833,31967,37901,39613,13297,20152,16486
SpyM3_0991,21493,29778,27230,36877,43695,50679,15718,28102,20916
SpyM3_0992,7409,11116,10065,13349,15515,17175,5677,9176,7505
SpyM3_0993,17493,22897,21287,30625,36823,40274,12498,21966,16661
SpyM3_0994,20340,29272,27700,34331,43067,47737,15789,27683,21595
SpyM3_0995,96,143,118,140,166,190,55,147,77
SpyM3_0996,13790,18630,17551,19627,22286,25861,11663,19939,16329
SpyM3_0997,40841,72922,64491,85909,91798,115312,55142,71512,77531
SpyM3_0998,13516,21795,18922,27585,29092,35255,16658,27048,23394
SpyM3_0999,5,13,10,4,11,7,6,11,13
SpyM3_1000,209,225,227,223,231,261,191,315,250
SpyM3_1001,59,108,98,73,91,82,71,102,77
SpyM3_1002,23,34,22,25,39,34,27,34,26
SpyM3_1003,43,66,70,40,49,67,46,75,80
SpyM3_1004,3,5,7,9,14,6,5,10,8
SpyM3_1005,223,298,319,255,275,357,247,370,332
SpyM3_1006,93,137,91,99,124,132,129,182,134
SpyM3_1007,109,147,121,106,124,134,120,176,153
SpyM3_1008,1458,1825,2092,774,880,985,1552,2768,2227
SpyM3_1009,120,191,151,128,143,157,123,237,152
SpyM3_1011,95,166,179,53,51,62,132,281,216
SpyM3_1012,212,298,313,166,169,233,265,459,367
SpyM3_1013,920,1218,1191,655,774,806,980,1609,1434
SpyM3_1014,2063,2719,2518,1457,1774,1968,2080,3358,2973
SpyM3_1015,200,233,210,118,150,167,186,295,253
SpyM3_1016,1442,1850,1654,1136,1359,1508,1739,2421,2125
SpyM3_1017,857,1092,964,671,878,857,934,1509,1308
SpyM3_1018,2050,2854,2519,1699,2111,2381,2264,4094,2865
SpyM3_1019,176,296,267,339,435,525,164,248,198
SpyM3_1020,1619,2230,1767,1223,1672,1912,3700,7641,4213
SpyM3_1021,10761,14720,13891,9301,12476,13176,13058,24835,19192
SpyM3_1022,1272,1697,1583,1189,1316,1499,925,2022,1369
SpyM3_1023,1995,2478,2542,2246,2754,2839,1610,2889,2528
SpyM3_1024,3767,4892,5003,4267,4860,5710,3171,5579,4679
SpyM3_1025,10552,13930,13041,12293,14217,15534,8874,15324,12183
SpyM3_1026,570,649,651,623,767,708,415,752,536
SpyM3_1027,3019,4173,3569,3322,3938,4475,2507,4216,3124
SpyM3_1028,6861,8661,8119,8722,10153,10725,5935,11224,7767
SpyM3_1029,19628,24941,26273,23697,27424,30414,18295,28783,26158
SpyM3_1030,5597,6647,5958,5785,6980,7535,4884,9717,7594
SpyM3_1031,2985,3586,3386,3076,3309,3580,2787,4803,4059
SpyM3_1032,23779,27718,26342,11501,14454,14880,38447,72210,60312
SpyM3_1033,13364,18084,17658,10097,12097,13298,17528,29609,24696
SpyM3_1034,13978,17658,15909,11034,13077,13258,13113,25753,20422
SpyM3_1035,945,1422,1480,707,856,967,917,1565,1254
SpyM3_1036,2658,3340,3338,3371,3802,4140,2120,3690,3228
SpyM3_1037,2212,2960,2890,2784,3179,3691,1663,3425,2688
SpyM3_1038,10470,13767,13697,13025,14745,17529,7554,13843,11207
SpyM3_1039,1906,2553,2338,2435,3039,3125,1381,2533,1882
SpyM3_1040,1518,1950,2006,2021,2372,2556,1295,1995,1794
SpyM3_1041,255,366,345,280,337,350,228,335,265
SpyM3_1042,6250,8662,7544,6515,7583,8077,5668,11120,8744
SpyM3_1043,3749,4889,4853,4381,5132,5868,4107,7877,6069
SpyM3_1044,16209,20950,18892,17513,19679,21515,9817,16204,11827
SpyM3_1045,101639,128002,120513,107730,128792,140312,90806,161674,133488
SpyM3_1046,158770,214375,209929,166945,205488,235932,154905,256934,233252
SpyM3_1047,51261,72530,61882,56245,66157,76665,48145,80055,59931
SpyM3_1048,1007,1404,1396,1727,2344,2509,695,936,732
SpyM3_1049,18820,28451,28852,33254,50315,58919,12847,20193,18957
SpyM3_1050,10741,14828,15352,18419,28135,33443,7226,11020,10655
SpyM3_1051,852,1197,1157,1049,1438,1583,824,1471,1283
SpyM3_1052,83,115,147,92,110,134,114,127,149
SpyM3_1053,330,429,365,217,306,339,320,411,433
SpyM3_1054,172,261,265,174,216,232,171,244,282
SpyM3_1055,915,1243,1261,824,1104,1162,945,1364,1275
SpyM3_1056,1383,2147,1927,1264,1690,1706,1438,2028,1876
SpyM3_1057,728,1123,1172,613,745,948,787,1091,1142
SpyM3_1058,28471,36124,35942,32146,38506,39881,24695,40854,33718
SpyM3_1059,33678,45326,42858,46403,51874,61914,22076,35460,27942
SpyM3_1060,4099,5573,5318,3912,4242,5040,3695,6645,5496
SpyM3_1061,1433,1940,2287,777,906,1096,2068,3070,3935
SpyM3_1062,8278,12008,11421,10627,12476,14958,8095,14242,11470
SpyM3_1063,641,791,825,708,827,954,617,1076,797
SpyM3_1064,2169,2654,2524,2195,2466,2822,1890,3340,2457
SpyM3_1065,489,509,541,329,448,415,479,979,646
SpyM3_1066,3902,5015,5093,4655,5872,6182,3437,6419,5062
SpyM3_1067,3862,4754,4689,4591,5406,6004,3228,6103,4863
SpyM3_1068,341,377,406,194,241,220,560,1204,859
SpyM3_1069,91,92,71,47,51,57,159,291,164
SpyM3_1070,170,169,202,83,86,118,247,599,486
SpyM3_1071,15620,13996,15126,9951,7797,8212,9106,23157,14135
SpyM3_1072,3046,3653,3477,3364,3658,4111,2487,4307,3323
SpyM3_1073,163,223,240,162,226,239,180,301,239
SpyM3_1074,47,59,86,43,64,87,41,102,75
SpyM3_1075,4470,5846,5463,4661,5416,5799,3823,7321,5902
SpyM3_1076,2526,3212,3480,2927,3566,3781,2155,3315,3097
SpyM3_1077,1281,1789,1860,1578,1846,2017,1098,1935,1735
SpyM3_1078,1331,1428,1380,334,493,460,4384,9232,6560
SpyM3_1079,42259,51536,54814,38783,43096,45668,41458,79527,67270
SpyM3_1081,2085,2962,3404,2013,2528,2950,2174,3210,2520
SpyM3_1082,19211,25162,23932,24541,25935,28310,13630,21629,19384
SpyM3_1083,10019,11563,12167,11059,12315,12939,9817,17233,15787
SpyM3_1084,9262,12230,12247,10414,12011,13967,8682,15491,13587
SpyM3_1085,2095,2835,2719,2690,3027,3381,2089,3883,3406
SpyM3_1086,852,1286,1572,1060,1300,1585,1097,1555,1451
SpyM3_1087,1272,1715,1684,1423,1600,1715,1404,2119,2084
SpyM3_1088,3082,4374,4303,2744,3440,4020,3030,4370,4175
SpyM3_1089,2737,3882,4029,2662,3305,3898,3183,4570,4697
SpyM3_1090,33672,48715,46860,31714,41578,44277,36862,69761,56790
SpyM3_1091,5892,6702,6870,4134,5239,5554,6160,11251,9976
SpyM3_1092,214,383,350,202,261,271,167,551,213
SpyM3_1093,16965,31443,25712,8814,15090,17355,24889,37840,25968
SpyM3_1094,85,118,130,107,106,108,63,77,134
SpyM3_1095,2173,3503,2907,3275,4051,4599,629,1053,817
SpyM3_1096,94,134,118,65,90,104,45,94,66
SpyM3_1097,21,36,29,12,21,22,12,24,20
SpyM3_1098,71,105,85,41,53,90,36,77,47
SpyM3_1099,28,40,38,14,19,26,11,16,15
SpyM3_1100,170,272,277,115,169,194,97,182,139
SpyM3_1101,81,130,105,59,77,67,50,85,56
SpyM3_1102,148,235,242,114,127,155,92,150,86
SpyM3_1103,64,119,133,36,61,60,43,76,59
SpyM3_1104,174,307,234,96,168,163,89,165,133
SpyM3_1105,28,50,34,23,22,22,16,32,12
SpyM3_1106,31,50,59,17,31,19,14,16,17
SpyM3_1107,85,153,125,42,62,48,41,63,56
SpyM3_1108,10,12,7,2,11,5,8,8,3
SpyM3_1109,24,48,37,11,13,26,17,29,19
SpyM3_1110,54,61,48,20,29,28,23,46,26
SpyM3_1111,46,81,50,23,29,24,34,37,33
